[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 针对访问过程当中
[04:14] 我们知道现在像巴基斯坦
[04:17] 斯里兰卡
[04:17] 还有菲律宾
[04:18] 已经正式实施每周四天工作日
[04:21] 好像是好事
[04:22] 这样只要工作四天
[04:23] 目的就是为了节省能源
[04:25] 但问题是
[04:26] 目前每个人都还在假设危机会很快的结束
[04:29] 至少从资产价格来看是如此
[04:31] 要不然就不会造成这么高的估值了
[04:34] 可是回过头来说
[04:35] 大家就在对赌
[04:36] 第一
[04:37] 有没有可能结束这场中东战事
[04:39] 到7月份以前
[04:40] 第二
[04:41] 如果无法结束
[04:42] 那供应链的转移来不来得及填补得上本轮的长期缺口
[04:47] 我们看这次由于大量的货船
[04:49] 已经无法正常进入到波斯湾
[04:51] 全球航运公司
[04:52] 现在改成路桥运输
[04:55] 也就是先把货物
[04:56] 先运到红海或者阿曼湾的港口
[04:58] 再用卡车横跃整个沙乌地阿拉伯
[05:01] 伊拉克和阿联
[05:03] 把货送到海湾地区
[05:04] 所以我们看
[05:05] 大规模的动员卡车车队
[05:07] 到底本轮能够取代多少的原油缺口呢
[05:11] 这个值得观察
[05:12] 但结果就是运费暴涨了
[05:14] 上海到海湾的红海航线
[05:16] 20尺的货柜运价
[05:18] 已经从战前的980美元
[05:20] 到现在是多少
[05:21] 4131块
[05:24] 运价翻了四倍以上
[05:25] 甚至比疫情的高点还来得高
[05:27] 很多企业开始面临数十天的延误
[05:30] 或者数千美元的额外成本
[05:31] 其实整个4月份到5月份
[05:33] 大家都还在烧战略运用储备
[05:35] 不太可能缺油
[05:36] 重点就是油价很贵而已
[05:38] 可是时间线拖得越久
[05:40] 我们就要挑战
[05:41] 我们在上一轮的疫情
[05:43] 我们是曾经做到
[05:44] 21年到22年
[05:46] 供应链断链
[05:47] 我们还是能够照顾
[05:48] 基本的生活所需
[05:49] 只是有时候可能
[05:51] 那个口罩
[05:52] 或者一些医疗设施
[05:53] 有点紧绷
[05:54] 可是呢
[05:55] 本轮我们迎来第二次的
[05:56] 供给链的调节
[05:57] 中东打仗了
[05:59] 全球承受得住吗
[06:00] 这时候就要观察了
[06:01] 但是呢
[06:02] 至少囤货潮
[06:03] 在世界各地
[06:04] 已经逐步的发酵
[06:05] 这一次我们看
[06:06] 不只是台湾
[06:07] 前阵子南韩民众
[06:08] 也开始封墙塑胶袋
[06:09] 那澳洲的乡村地区
[06:11] 甚至出现大量民众
[06:12] 抢购汽油铜和柴油
[06:14] 澳洲虽然是能源出口大国
[06:16] 可是它的成品
[06:18] 又是从海外进口的
[06:19] 那中国社群甚至传出
[06:21] 市场上石化产品
[06:22] 进一步稀缺的问题
[06:24] 当然这种状态
[06:26] 跟疫情初期不太一样
[06:27] 很多短缺
[06:28] 它其实并不是
[06:29] 真的完全缺货造成的
[06:32] 而是从恐慌的情绪开始推升
[06:34] 但是过往的想法都是
[06:37] 由于大家觉得
[06:38] 中东战是终有一天会落幕
[06:39] 就使得这种囤货的情绪
[06:41] 它无法推到极致
[06:43] 可是现在市场上
[06:44] 已经逐步认可
[06:45] 也许油价就是
[06:46] 一直保持在这样的位阶
[06:47] 也许新一轮的塑化价格
[06:49] 报价它就会保持在
[06:51] 这样的位阶一年以上
[06:52] 如今航运受损
[06:54] 保险成本大涨
[06:55] 燃料供应吃紧的情况底下
[06:57] 就开始外移出去了
[06:58] 昨天我们所提到的
[06:59] 农粮价格
[07:00] 其实也是如此
[07:00] 所以亚洲国家
[07:02] 现在做什么事情呢
[07:03] 进行高强度补贴
[07:05] 过去亚洲国家
[07:06] 的确相对于欧洲
[07:08] 彼此还是比较缺乏信任
[07:10] 不愿意共享能源系统
[07:11] 现在大家才发现
[07:13] 真正被亚洲
[07:14] 或者说真正让亚洲被绑架的
[07:16] 是几千公里以外的中东战争
[07:18] 所以现在各国开始寻找替代方案
[07:21] 泰国改向巴西和利比亚来买油
[07:24] 新加坡加速再生能源的投资
[07:26] 更加开放升值燃料
[07:29] 或者跨国电网
[07:30] 那另外一方面
[07:31] 中国的部分
[07:32] 现在是太阳能板
[07:34] 和风电设施的全力开火
[07:36] 我们知道现在世界各地
[07:37] 都在向中国
[07:38] 持续开展下单
[07:40] 再生能源相关设备
[07:42] 还有庞大的战略石油储备
[07:44] 现在开始出口汽油
[07:46] 出口汽油和航空燃油
[07:47] 给越南 辽国 澳洲国家
[07:49] 这说明着很多东南亚国家
[07:51] 反而本轮要跟中国
[07:53] 来进行适度的能源采购
[07:55] 你像穆迪的部分
[07:57] 印度现在压力很大
[07:58] 印度政府最近大幅提高
[08:00] 黄金进口关税
[08:02] 目的是什么呢
[08:02] 要求大家不要再买黄金了
[08:04] 因为中东战事还有油价暴涨
[08:07] 印度的外汇压力
[08:08] 越来越大
[08:09] 由于印度高度依赖
[08:10] 进口石油和天然气
[08:11] 和我们的海峡
[08:12] 所造成能源的飙升
[08:14] 让印度的贸易逆差
[08:15] 和卢比的贬值压力
[08:16] 快速的恶化
[08:17] 那偏偏印度又是
[08:19] 全球第二大的黄金消费国
[08:21] 每年大概要进口
[08:22] 600到800万吨的黄金
[08:24] 大量消耗美国的外汇存底
[08:26] 所以最后呢
[08:27] 就希望大家
[08:28] 不要再让资金外流了
[08:29] 整体而言
[08:30] 伊朗战事
[08:31] 对于台湾的影响我们很清楚知道其实台湾整体基本生活还算是OK真正比较大的压力还是来自于能源供应我们现在能源进行大量的转化从原本我们的能源最大来源国
[08:44] 天然气的部分是来自于卡达
[08:46] 目前已经转化成澳洲
[08:48] 接下来会让美国的市占率快速的提升
[08:51] 可是压力就是报价
[08:53] 现在亚洲天然气价格报价相对来的是高的
[08:57] 再来是汽油原油的部分
[08:59] 目前主要是依赖美国
[09:00] 那当然整体报价而言
[09:02] 现货价格的紧急调货压力也会有点大
[09:05] 这就导致内部也采取了一系列的补贴
[09:08] 其实从本周开始
[09:09] 计程车补贴就开放申请了
[09:11] 计程车加油每公升可以补贴五块钱
[09:15] 每辆最高补助是六千块
[09:17] 这就是交通部因应国际油价持续高涨
[09:20] 体恤民间所推出的申请方案
[09:22] 当然有人会想
[09:23] 我上班也要开车
[09:25] 怎么没有补贴我
[09:26] 那是当然
[09:27] 我们当然知道有一点
[09:29] 年底的政治意图的打算
[09:31] 有一首歌什么
[09:33] 黑皮银浆
[09:35] 所以我们不管怎么看
[09:36] 整体而言
[09:37] 世界各国都在做高强度的补贴
[09:39] 日本政府也是如此
[09:40] 我们看日债之利率这一次的暴升
[09:43] 其实就是跟高市所提到的
[09:45] 可能要开始进行最新一步的发展
[09:48] 其实高市本来在刚上任的时候有提过
[09:51] 说他的财政刺激
[09:53] 不会高强度的追加预算
[09:55] 或者大量发行新债
[09:56] 可是中东战事以后
[09:58] 他就改口了
[09:58] 高市已经正式宣布
[10:00] 从本季度开始
[10:01] 研议追加预算
[10:03] 用来支应能源补贴
[10:05] 和紧急纾困措施
[10:06] 这就说明了
[10:07] 日本人即便债务压力
[10:09] 已经这么大了
[10:09] 在高市政府底下
[10:11] 看起来债务只会继续膨胀
[10:12] 这也导致超长天期
[10:14] 公债殖利率
[10:15] 目前再创新高
[10:16] 所以日本现在压力
[10:17] 其实比台湾还尴尬
[10:19] 民众是支持政府
[10:20] 去压低油价和电价的
[10:22] 希望甚至能够减税
[10:23] 但另外一方面
[10:24] 市场又很担心
[10:26] 日本现在通膨是全亚洲最严重的
[10:28] 比中国南韩台湾都还来得严重
[10:32] 结果你这个时候又要开始进行持续性的补贴
[10:35] 然后外部性的压力
[10:37] 而且日本财政的失控
[10:39] 都可能导致日本的两南压力来得越大
[10:42] 尤其日本的能源命脉
[10:44] 我们看我们在石油部分
[10:46] 台湾还是大量依赖于美国的石油
[10:49] 可是日本几乎能源命脉都是压住在中东
[10:52] 不管是石油还是天然气
[10:54] 70%到80%都是来自于中东地区
[10:57] 这也使得市场上压力越大
[10:59] 所以世界各国
[11:01] 尤其是新兴市场
[11:02] 已经开始出现了缺油的风暴
[11:04] 这是第一件事情
[11:05] 当它缺能源缺油以后
[11:08] 很快的就会因此而缺电
[11:09] 我们看美国的部分
[11:10] 美国本身是不太缺油的
[11:12] 不过美国的基础电网
[11:14] 在本人的AI浪潮当中
[11:16] 它也开始缺能源
[11:17] 另外一方面就是能源成本的过度拉升
[11:20] 这一次AI资料中心
[11:21] 导致用电暴增以后
[11:23] 我们看到德州即将要打造全球第一座天然气加上核能的混合电厂
[11:29] 初期会用天然气的涡轮机来供电
[11:32] 大约会提供1GW的电力
[11:34] 后续再用SMR小型模组化合反应炉完工之后
[11:39] 再逐步的切化回核能
[11:41] 最终发电量应该会是全美最高
[11:44] 但是不管怎么说
[11:45] 都说明着现在在能源压力的持续拉升底下
[11:49] 全球的电网压力其实也来得越来越大
[11:51] 像马里兰州前阵子我们有提到
[11:53] 马里兰现在跟维吉尼亚州
[11:55] 现在吵起来了
[11:56] 原因就来自于
[11:57] 马里兰现在已经迎来
[11:58] 10年来最高的电费上涨压力
[12:01] 他就怪给维吉尼亚州
[12:02] 北部的AI资料中心
[12:04] 因为大量的新建输电设施
[12:06] 还有电网升级
[12:06] 最后周边的州民们就要一起买单
[12:10] 电费价格正在暴涨
[12:12] 今年平均上涨幅度是接近有16%
[12:14] 这也导致一个效果
[12:16] 那就是全球发达市场
[12:18] 针对过去的能源政策
[12:19] 产生高度转向
[12:20] 我们很长一段时间
[12:22] 针对再生能源
[12:23] 一直是市场的主流
[12:24] 去核化也是市场的共识
[12:26] 但目前全球能源政策
[12:28] 正在出现巨大转向
[12:30] 各国不只是谈战胜能源
[12:33] 而是全面的拥抱核能
[12:35] 只要有能源就先用
[12:36] 我们看在今年
[12:38] 最特殊的一件事情就是
[12:39] 今年从1月份到现在5月份
[12:42] 没有任何一座核能发电厂退役
[12:46] 就是正常来讲
[12:47] 总会有年限快到
[12:49] 那准备要退
[12:50] 今年全世界一座都没有
[12:52] 这件事情就意味着
[12:53] 全球都在尝试的拉长时间线
[12:56] 第二开始进行新一波能源的再投入
[12:59] 那问题当然就浮现了
[13:01] 全球的右供应缺口持续的扩大
[13:04] 高盛把最新模型
[13:05] 首次把SMR纳入到长期需求的预测
[13:08] 预估到2045年小型核电部署
[13:11] 可能会增加17%的右需求
[13:14] 这就导致两种结果
[13:15] 第一所有的核能电厂
[13:17] 即便你在老
[13:18] 看起来未来20年都不能够退役
[13:20] 甚至我们知道过去
[13:22] 美国最恶名昭彰的核电厂
[13:24] 就是三里岛
[13:25] 现在要重新启动了
[13:27] 那背后推手也不是政府
[13:29] 是AI
[13:29] 微软在去年
[13:31] 它就已经跟电力公司
[13:32] 签下20年的长约
[13:34] 未来会包下
[13:35] 整座核电厂的发电量
[13:37] 专门供人工智慧资料中心来用电
[13:40] 原因就是因为
[13:40] AI实在太耗电了
[13:42] 科技巨头
[13:43] 正在疯狂的寻找稳定电力来源
[13:45] 要从头盖一个厂实在太麻烦了
[13:47] 干脆直接去启用
[13:49] 当时发生核灾地点的三厘岛电厂
[13:52] 这件事情就很诡谲了
[13:54] 一边就是我现在在发展AI
[13:57] 最前沿的AI革命
[13:59] 另外一边是1960年代
[14:01] 所设计的核电的控制室
[14:04] 里面都是那种老式按键
[14:05] 指针 类比仪表
[14:07] 他也没有打算要换
[14:08] 他只是把零件重新换一轮
[14:10] 然后准备就要发电了
[14:12] 所以这件事情就说明了
[14:14] 美国的核能复兴正在持续
[14:15] 但它是一种匆忙上路
[14:17] 他也并不是说SMR技术已经全面到位了
[14:20] 准备做大量投入
[14:21] 没有能够启用的就先启用
[14:23] 连三里岛现在都启用了
[14:25] 所以全球核能产业目前已经进入到全面性的扩张循环
[14:29] 这个就是缺电所形成的结果
[14:32] 那韩国也是如此
[14:33] 韩国在最近
[14:34] 我们看到电力设备概念股正在加速布局全球
[14:38] 韩国本身因为正在打造主权AI
[14:41] 资料中心的新建量远远大于台湾
[14:43] 所以整体我们看到
[14:45] 现代电力加速在韩国的投资速度
[14:49] 导致现在在整个韩国的变压器市场
[14:53] 成长幅度大概15%到16%
[14:55] 甚至在阿拉巴马州
[14:56] 全球应该算全美最高的变压厂工厂
[15:01] 因应需求
[15:02] 现在准备要投第二座工厂了
[15:04] 这个就是韩国的缺电情况
[15:06] 开始进行全面性的扩散
[15:07] 台湾就不用讲了
[15:09] 台湾已经很明显了
[15:10] 在今年三月底已经送出了战域转移计划
[15:13] 正式进入到审查程序
[15:15] 那当然这只是第一个流程的起点
[15:17] 第二和第三个关键是
[15:19] 到时候的机组本身
[15:20] 自主安全的检查和修复
[15:22] 到时候就进行全面性的返核
[15:24] 就是重返到核能之路
[15:26] 其实上个礼拜
[15:27] 台湾政府跟美国合作
[15:29] 小型模组化反应炉FMR的计划
[15:32] 已经正在实施了
[15:33] 上礼拜是美国的
[15:35] 这个怀俄明州的州长
[15:37] 戈登来台湾访问
[15:39] 然后他就跟国家原子能研究院
[15:41] 还有工研院签署了意向书
[15:43] 准备要合作SMR技术
[15:45] 这对于台湾而言
[15:46] 就说明着
[15:46] 这感觉他不是在拖
[15:48] 就看起来赖政府
[15:49] 是真的的确打算
[15:51] 开始采取更深层的供应链
[15:53] 和地缘政治
[15:54] 在能源上的整合
[15:55] 尤其是新核能技术
[15:57] 所以台湾现在看起来
[15:59] 也是希望透过技术合作
[16:00] 来产生在长周期当中
[16:03] AI可能引发的缺电危机
[16:05] 所以第一步骤
[16:06] 我们聊的是缺油
[16:07] 第二步骤
[16:08] 我们聊的是缺电
[16:09] 那待会我们再来看一下
[16:10] 缺能的问题
[16:11] 先回过头看一下
[16:12] 美国股市的概况
[16:13] 道琼指数上涨159.0.32%
[16:16] 收在49,686点
[16:18] 标普下跌5点
[16:19] 0.07%
[16:21] 收在7,400点
[16:22] 纳指下跌134点
[16:24] 0.5%
[16:25] 收在26,090点
[16:27] 非半下跌285点
[16:29] 2.47%
[16:30] 收在11,302点
[16:32] 好像刚才讲得很严重
[16:34] 不过股市也好像没有跌多少
[16:35] 的确
[16:36] 现在呢
[16:37] 某种程度而言
[16:38] 似乎只要在缺电
[16:40] 缺能源
[16:42] 缺人
[16:42] 某种程度就意味着
[16:44] 算力不会过剩
[16:45] 算力不会过剩
[16:47] 那就意味着
[16:48] 没有泡沫破灭的风险
[16:49] 因为按照过往经验
[16:51] 泡沫破灭
[16:52] 都是网络公司太多
[16:53] 都是NFT太多
[16:55] 都是郁金香太多
[16:56] 那什么时候AI太多
[16:58] 算力多出来
[17:00] 那这个时候就泡沫破灭了
[17:02] 那看起来
[17:03] 如果什么都缺
[17:03] 就很难泡沫破灭
[17:04] 就开始有一种
[17:05] 市场的心理情绪
[17:07] 开始形成
[17:07] 也许美国股市台北股市它有中期回调的可能但是似乎没有泡沫铺面的风险那有回跌我就买有这样的一个心态昨天就特别明显外资卖那么重
[17:19] 结果散户还是买上去
[17:20] 但是我们回过头看
[17:22] 美国股市到目前为止
[17:23] 也并没有想象中
[17:25] 来得这么均衡式的上涨健康
[17:27] 其实AI行情并没有错
[17:28] 但动能交易在过去一段时间
[17:30] 还是稍微有点过热
[17:32] 标普摆在今年
[17:33] 如果我们把大多数的涨幅
[17:36] 回过头来看
[17:37] 可能今年现在涨幅接近20%左右
[17:40] 大概87%都来自于科技和通信巨头
[17:43] 加上亚马逊和特斯拉
[17:45] 你把这些公司拿掉以后
[17:47] 标普百今年涨幅是接近
[17:49] 从15%直接掉到剩下2%
[17:51] 光是辉达一家公司
[17:53] 就占了整体涨幅的五分之一
[17:55] 就代表着资金其实是过度集中的
[17:58] 张图表就很明显
[17:59] 这是市场广度
[18:00] 广度就是有多少股票一起上涨
[18:02] 它往上走就代表了大家都一起涨
[18:04] 它往下走就代表着
[18:05] 只有少数股票在涨
[18:07] 那现在的位积
[18:08] 已经回到2021年
[18:10] 甚至接近2000年的水位了
[18:12] 如果我们把美国股市
[18:13] 本轮的获利上修
[18:14] 再拿来做更细致的观察
[18:16] 会发现它也是高度集中在
[18:18] AI基础设施概念股
[18:20] 整体而言
[18:21] 整个AI基础设施相关
[18:22] 在27年的EPS预估累积上涨
[18:25] 上修到32%
[18:27] 能源股也有19
[18:28] 可是你把能源给剔除掉
[18:30] 再把AI基础建设概念股
[18:33] 给剔除掉
[18:34] 标普500指数今年是零成长
[18:37] 你只要不看AI
[18:38] 你也不看能源
[18:39] 今年就是大多数企业的EPS是零
[18:42] 就没有持续性的成长
[18:44] 这就说明着
[18:45] 现在我们看到
[18:46] 美股所谓的动能交易
[18:48] 其实就是AI交易
[18:49] 整体半导体
[18:50] 科技硬体
[18:51] 记忆体能源
[18:52] 这些都是AI基础建设的一部分
[18:54] 可是其他像是软体
[18:56] 医疗设备
[18:57] 食品或者传统的防御性产业
[18:59] 现在不只是没涨
[19:01] 还甚至被大量的做空或者低配
[19:03] 说明其实大家知道
[19:05] 现在大家的资金是有限的
[19:07] 只能够投未来最有希望的
[19:09] 所以AI现在也变成这样的一个状态了
[19:12] 多头看到的是AI正在改变世界
[19:14] 企业获利在上修
[19:16] 资本支出爆炸
[19:17] 科技巨头的现金流还不错
[19:19] 空头看到的就是市场的广度快速的收敛
[19:22] 资金挤到同一批股票
[19:25] 所有人都在压同一个股市就危险了
[19:27] 但是其实看书的事情原本都是两面的
[19:31] 市场如果只剩下单一共识的时候
[19:34] 风险往往开始累积
[19:35] 至少你知道现在大家在担心什么
[19:37] 既然还有担心
[19:38] 那也许就还有几股传花的空间
[19:42] 持续存在了
[19:43] 所以只要市场上
[19:45] 没有那种单面的叙事成立
[19:47] 有这种双面叙事
[19:49] 多空交错的话
[19:50] 我觉得本质上还算是健康的
[19:52] 跟老婆手机没电关机
[19:55] 开机发现老公打了
[19:58] 二十多个未接来电
[19:59] 瞬间觉得自己幸福死了
[20:01] 如果老公手机没电关机了
[20:04] 开机之后发现
[20:06] 老婆打了二十几个未接来电
[20:09] 瞬间觉得自己死了
[20:11] 一个是幸福死了
[20:13] 一个是死了
[20:14] 都是死了
[20:14] 但是感觉不同
[20:15] 所以事情的两面就是这样子
[20:17] 你要去观察说
[20:18] 如果仍然有正面叙述
[20:21] 和悲观的叙述
[20:22] 同时成立的话
[20:23] 其实本质而言
[20:25] 市场还没有一个同意的共识
[20:27] 而现在就这样子
[20:28] Michael Berry还在持续
[20:30] 彰显他的看法
[20:31] 博克夏目前的现金水位还在不断的创高
[20:33] 而AI行情又不断的上涨
[20:35] 这就是当前我们看到的市场AI牛市
[20:38] 当然是一个很极度幸福
[20:41] 但是也很极度脆弱的关系
[20:43] 辉达亚马逊微软继续成长
[20:45] 世界感觉充满希望
[20:46] 但也说明着
[20:47] 未来你也不用看经济好不好
[20:49] 只要他们不好
[20:51] 指数下跌的幅度就会开始变大
[20:54] 这给投资朋友做一些观察
[20:55] 其实我们回过头来看
[20:57] 整体而言
[20:58] 今年大多数资产仍然处于正报酬
[21:01] 少数开始进入到收叠资产
[21:03] 主要集中在比特币
[21:04] 还有长天期国债
[21:06] 长天期国债主要来自于这几天
[21:08] 开始利率飙升所形成的估值卖压
[21:10] 我们看今年涨幅最高的
[21:12] 还是DBC大宗资产
[21:14] 涨幅有39.5%
[21:16] 其他像是可转债
[21:17] 纳指100
[21:18] 小型股涨幅63
[21:20] 还勉强可以
[21:21] 价值股涨幅9%
[21:22] 其他像大型股涨幅7%
[21:24] 或者我们看到美国的黄金
[21:27] 特别股
[21:28] 现金
[21:29] 短期股股券TIPS
[21:30] 还普遍在收涨
[21:31] 大概是80%的资产收涨
[21:34] 其实你看
[21:34] 23年到24年
[21:36] 到25年到26年
[21:37] 这4年其实下跌的资产
[21:39] 也不是特别多
[21:40] 23年跌的唯一就是大宗资产
[21:43] 还在帮你降通膨
[21:44] 24年唯一跌的
[21:45] 基本上是长天期国债
[21:47] 25年唯一跌的是比特币
[21:49] 26年
[21:50] 现在就是比特币和长天期国债
[21:51] 可是已经连续4年
[21:53] 大家都享受在
[21:54] 如此高强度的多头
[21:56] 当然中间有没有回调
[21:57] 有啊
[21:57] 2025年的关税战
[21:58] 回调幅度也很大
[21:59] 可是年底就给它涨回来了
[22:01] 回过头来说
[22:02] 我们的看法一直始终都是
[22:04] AI的泡沫
[22:05] 有没有形成疯狂
[22:07] 情绪当然是推得有点高
[22:09] 可是从获利动能来看的话
[22:11] 目前整体而言
[22:13] 标普白指数EPS
[22:14] 还是有成长25%
[22:15] 即便扣除掉
[22:17] Amazon和Google的特殊收益
[22:19] 仍然有16%左右的成长
[22:21] 其实这句话就说明着
[22:24] 市场上并不是单纯
[22:25] 去靠情绪炒作
[22:26] 企业的获利爆发
[22:28] 表现也算是不错
[22:29] 所以这个时候到底距离1995年到2002年的泡沫破灭
[22:33] 到底距离有多远呢
[22:35] 从涨幅来看
[22:36] 当时纳斯达克指数是从1000点一路涨到6000点
[22:39] 那你对照回台股好了
[22:41] 反正现在波动有点像
[22:43] 本轮的爆发点从7GPT的爆发
[22:46] 大概以18000作为主轴
[22:48] 那以6倍来看的话
[22:50] 好像想得有点远
[22:52] 但是我觉得距离这个泡沫破灭的压力并没有想象中来得大
[22:56] 今年看起来有终极回调的可能
[22:58] 估值这么高
[23:00] 但是有没有泡沫扑面的风险
[23:01] 我认为反而并不大
[23:03] 很多人反而是嘴巴讲得好听
[23:05] 情绪情怀
[23:07] 长期投资价值
[23:08] 要有信仰
[23:09] 结果每一次那股票一回底
[23:12] 比如三月份一回底
[23:13] 你就不买了
[23:14] 你就害怕了
[23:15] 就觉得中东站是会长期化
[23:16] 最后使得估值
[23:17] 开始做大幅度的修正
[23:19] 你决定要离开市场
[23:20] 而不是选择加仓
[23:21] 牛市的时候
[23:22] 大家都说自己看的是十年之后
[23:24] 相信的是产业革命
[23:25] 愿意陪伴着公司一起成长
[23:28] 结果只要连跌三天
[23:30] 黑三兵账面开始亏损
[23:33] 你就变成短线逃命者了
[23:36] 很经常这样子
[23:37] 所以真正投资
[23:39] 从来都不是我们嘴巴上喊信仰
[23:41] 你要市场上
[23:42] 不再替你壮胆的时候
[23:43] 你敢不敢相信自己当初的判断
[23:46] 老婆说
[23:47] 老公
[23:48] 我很严肃的跟你说
[23:50] 以后我们年纪大了
[23:52] 要是我先走了
[23:54] 你就再找个老伴吧
[23:56] 老公说我不要
[23:57] 老婆说听话
[24:00] 你不用替我守着
[24:02] 以后你说你生病什么的
[24:04] 也需要有人照顾吧
[24:06] 老公说我不要
[24:07] 我不要老伴
[24:09] 我要找年轻的
[24:10] 很多事情都这样子
[24:13] 现实里最可怕的
[24:14] 不是人家伤害你
[24:16] 他先让你误会
[24:17] 嘴巴上讲的是情怀
[24:18] 讲的是价值投资
[24:20] 讲的是信仰
[24:21] 结果最后一句话才告诉你
[24:23] 投资市场也一样
[24:24] 股市一杀
[24:25] 就开始准备套现
[24:26] 准备跑了
[24:27] 所以这件事情就告诉我们了
[24:29] 一定要坚持自己的信念
[24:31] 现在坚持没什么大不了的
[24:32] 下一次回调
[24:33] 你还能不能坚持就很关键了
[24:35] 刚才聊了很多
[24:36] 我们刚才聊的是缺油缺电的问题
[24:39] 现在整体市场开始进入到一个
[24:42] 缺能的环节
[24:43] 尤其在新兴市场就特别明显了
[24:46] 美国的部分我们知道
[24:47] 虽然科技业有适度的裁员轮替
[24:50] 可是整体服务业制造业
[24:52] 需求度还是很高
[24:53] 美国劳动业市场还算是有一点偏紧绷的
[24:56] 只是不像两年前这么紧绷了
[24:58] 而回过头看
[24:59] 台日韩市场都开始出现了
[25:02] 高度人口稀缺的现象
[25:04] 那缺油又缺丁又缺人
[25:06] 西运市场的压力就很大了
[25:08] 我们举例来说
