[00:00] 投资编欢迎收听早晨财经速解读
[03:03] 能源市场的价格跳动
[03:04] 也开始尝试的放大
[03:06] 短天期利率
[03:08] 美元和非美股市
[03:09] 也遭受到比较大的一个影响
[03:11] 在这样的一个效果底下
[03:12] 等同于目前指数的获利动能
[03:15] 由于越来越依赖少数AI相关企业
[03:18] 而这些AI企业
[03:19] 到最后变成了动能交易
[03:21] 或者说资金这种拥挤交易以后
[03:24] 短期内资金的流动流出
[03:27] 就容易造成指数的显著波动
[03:29] 但好在是VIX指数
[03:30] 在这一波的显著上扬
[03:32] 似乎意味着恐慌情绪的蔓延
[03:35] 我们最害怕的是股市一直跌
[03:37] 市场也没有再恐慌
[03:39] 然后就一路缓跌
[03:40] 但现在VIX指数
[03:41] 至少已经来到了30左右的关卡
[03:44] 我们从1990年代开始
[03:46] VIX单周涨幅最大的25次
[03:48] 回看它的未来几周
[03:51] 不管是四周
[03:52] 三个月
[03:53] 六个月
[03:53] 一年两年之后的表现
[03:55] 都可以看得出来
[03:56] 如果在短期内
[03:58] 那恐慌情绪
[03:59] 在短期内显著放大的话
[04:01] 后续反而是股票市场的好买点
[04:03] 所以我们今天呢
[04:04] 直播就用三个层次来看待市场
[04:07] 第一
[04:07] 先谈原油价格
[04:08] 为什么会这样的爆虫
[04:09] 是有新的讯息传出来吗
[04:11] 还是这一次是单纯的投机炒作
[04:14] 还是说中东战事即将升级
[04:16] 产油国被迫减产呢
[04:18] 那另外一方面
[04:19] 我们也来观察
[04:20] 川普和联准会也一起进入了两难的局面
[04:23] 川普一方面对于伊朗的强硬态度
[04:26] 并没有太大改变
[04:27] 可是一方面
[04:27] 我们也清楚知道
[04:29] 他不可能放任高油价
[04:30] 伤到美国的经济和选情
[04:32] 美国汽油价格已经占上
[04:35] 3.1美元每加仑了
[04:36] 连总会更麻烦
[04:38] 就业数据上礼拜五公布出来
[04:40] 非农数据蛮差的
[04:41] 所以市场上是有一股的降息预期
[04:43] 可是油价飙升
[04:45] 又可能会重新推高通膨
[04:47] 既不能太快救经济
[04:49] 也不能太早放松货币
[04:50] 那第三呢
[04:51] 就是股票市场
[04:52] 这个时间点休息到底是不是坏事
[04:55] 目前跌幅算大吗
[04:57] 目前恐慌情绪这么高
[04:58] 可是从指数而言
[05:00] 好像本来就是盘头盘了一阵子
[05:03] 外部性冲击做一次健康的整理
[05:06] 让杠杆降低一点
[05:07] 洗掉一些筹码
[05:08] 情绪冷一点
[05:10] 筹码洗一洗
[05:11] 对中长线难道就是坏事吗
[05:13] 今天从三个角度来跟投资朋友做一些思考
[05:15] 我们先看一下摩根大通这一次所释出的报告
[05:18] 冲突已经超过一个礼拜
[05:20] 荷姆兹海峡的商业航运几乎已经停摆
[05:23] 目前航行的船只大多只剩下伊朗相关的船舶
[05:28] 还有中国相关船舶
[05:29] 由于原油已经无法顺利出口
[05:31] 产油国只能把石油暂时存放在海上
[05:35] 或者陆上的储存设施
[05:36] 那从2月底以来
[05:39] 市场上现在9天
[05:41] 大概已经累积了7600万桶的原油库存
[05:45] 其中4600万桶在邮轮上
[05:48] 2200万桶在炼油厂
[05:50] 800万桶进入到商业储存设施
[05:52] 相当于中东地区
[05:54] 4到5天的出口量
[05:56] 大部分其实都集中在沙乌地阿拉伯
[05:58] 不过即便荷姆茨海峡受阻
[06:00] 还是有一些替代的输油路线
[06:02] 有剩余能力
[06:02] 比如沙乌地阿拉伯
[06:03] 东西向的输油管
[06:05] 每天还是运送380万桶
[06:07] 民意产能可能有500万桶
[06:09] 甚至更高
[06:10] 阿联酋的阿布达比输油管线
[06:13] 也有40万桶每天的闲置产能
[06:15] 那市场最担心的
[06:16] 就是航运中断就中断了
[06:18] 反正各国还有一定的除气
[06:20] 或者除油时间
[06:22] 你不要超过一个月
[06:23] 还是有机会处理的
[06:24] 可是问题在于
[06:25] 现在陆续传出实质减产讯息了
[06:29] 原因很简单
[06:30] 因为除油厂满了
[06:32] 这些中东国家
[06:33] 波斯湾国家的除油上限
[06:35] 并没有想象中还要来得多
[06:37] 我们举例来说
[06:38] 中东主要产油国的能源体系
[06:40] 按照摩根大通的估算
[06:42] 伊拉克大概六天左右
[06:44] 它的除油槽就被塞满了
[06:46] 所以伊拉克现在是目前
[06:47] 最早宣布进行减产的
[06:49] 那一旦减产
[06:50] 关闭油田
[06:51] 下一次要重新的开放
[06:52] 这段时间所造成的供给链瓶颈
[06:55] 市场上就会反映在原油价格身上
[06:57] 科威特的部分是14天
[06:59] 阿联酋16天
[07:01] 卡达20天
[07:02] 那沙乌地阿拉伯因为储能比较大
[07:04] 大概可以撑到一个月36天
[07:06] 如果用替代路线的话
[07:08] 比如说沙乌地阿拉伯
[07:10] 刚才提到的东西石油管线
[07:12] 或者阿联酋的管线
[07:14] 稍微可以延长到65天
[07:16] 或者36天
[07:17] 那这些讯息基本上就面临着
[07:20] 现在很大的问题
[07:21] 已经不再是单纯的供给链困扰
[07:24] 所引起的心理情绪
[07:26] 而是储油仓快满了
[07:28] 那伊拉克已经满了
[07:29] 接下来就是科威特
[07:30] 接下来就是阿联
[07:32] 那这些是否会影响到
[07:34] 进一步的心理情绪传导
[07:35] 才是真实影响价格上升的原因
[07:38] 而并不是美国缺油了
[07:39] 美国现在业佣油可以自产自销
[07:41] 美国现在已经是石油的出口国
[07:44] 主要真正受到影响的
[07:46] 反而是亚洲经济体
[07:47] 那另外一方面
[07:48] 卡达之前所导致的天然气价格的大涨
[07:51] 我们看到最新的卫星影像分析
[07:54] 卡达虽然也暂时停产了
[07:56] 可是其实卡达最大的液化天然气的出口基地
[07:59] 目前从卫星空照图来看
[08:02] 大致完好
[08:03] 彭博社藉由数位卫星数据相关分析以后
[08:07] 会发现拉斯拉凡的天然气设施
[08:10] 其实并没有出现明显的损坏迹象
[08:12] 所以全球最大的LNG出口基地
[08:16] 之前说因为遭受到攻击被迫停运
[08:19] 那到底是产生什么样的事情呢
[08:21] 还是中东局势尝试的趁这一波原油价格的大涨市场心理情绪的传导尝试的去定谋当前的市占率或者原油价格呢这个就要看一下市场的博弈了原油供给本来就比较复杂
[08:35] 你以为现在所有人都希望原油价格一直上涨吗
[08:38] 当然大家也清楚知道
[08:40] 上涨到一定程度之后消费力就收缩了
[08:43] 或者政府的干预就来了
[08:45] 那对于美国厂商来说的话
[08:48] 趁这段时间难道我不能够去夺取中东的市占吗
[08:51] 不管是天然气的澳洲
[08:53] 还是出口石油的美国
[08:55] 都可以尝试的扩大自己的实战
[08:57] 所以在这样的一个效果底下
[08:59] 伊朗战事对于全球景气的冲击
[09:02] 已经从供给链陆续传导到
[09:04] 出油设施的问题
[09:05] 那我们后续会观察
[09:06] 那这对于资本市场的反应为何
[09:08] 另外一方面是伊朗冲突之后
[09:11] 全球的贸易
[09:11] 也开始出现比较明显的震荡
[09:13] 冲突不只是海运
[09:15] 航空物流也运不太出来
[09:17] 中东是连接亚洲
[09:19] 欧洲和非洲的重要航空转运中心
[09:22] 但暂时现在已经超过3万架航班取消
[09:26] 那本周会陆续恢复
[09:27] 但由于大量的空运货物
[09:29] 它是属于客机积富的载运
[09:33] 航班减少等同于空运运力的大幅下滑
[09:36] 所以很多高价值的时效商品
[09:39] 比如说药品鲜花和食品
[09:40] 就会进一步影响到
[09:42] 那现在波斯湾大概只剩下9艘的空油轮
[09:46] 所以能源供应的压力的确开始升高
[09:48] 对于全球而言
[09:50] 现在另外一大影响的就是外溢效果
[09:53] 我们现在知道
[09:54] 大部分的能源价格的涨幅
[09:56] 基本上还是当前大宗资产价格推升的主力
[09:59] 主要就集中在天然气和石油价格
[10:02] 可是如果外溢的话
[10:03] 那就会引起大宗资产价格的全面创高
[10:06] 那就怕市场乱联想
[10:08] 引起进一步的恐慌
[10:09] 如果我们根据波斯湾国家
[10:11] 在全球淡肥的供应链关键地位
[10:14] 你会发现其实想象中高很多
[10:16] 从过去五年来看
[10:18] 阿曼卡达
[10:19] 沙地拉伯
[10:20] 阿联
[10:21] 巴林和伊朗
[10:22] 合计出口大概500亿美元的蛋肥
[10:25] 形成一种全球农业供应链的网络
[10:27] 主要进口国像是印度
[10:29] 巴西
[10:30] 美国
[10:30] 澳洲
[10:31] 尤其印度进口一半都来自于海湾地区
[10:34] 那我们要清楚知道
[10:35] 因为蛋肥生产
[10:36] 它高度依赖天然气
[10:38] 或者能源资源丰富的海湾国家
[10:41] 那现在呢
[10:42] 长期来看
[10:43] 这是尤其是东南亚重要的农业来源
[10:46] 那接着就代表着
[10:47] 这个石油或者天然气的不到位
[10:50] 影响到台日韩的半导体的能源供应
[10:54] 那么农业的部分
[10:56] 影响到整个东南亚的农业的增长情况
[11:00] 那这其实是会造成
[11:01] 适度的大宗资产价格
[11:03] 外溢到不管是半导体价格的上涨
[11:06] 还是外溢到
[11:07] 接下来农业农产品价格的上涨
[11:10] 所以的确我们要知道
[11:11] 印度洋是全球最繁忙的海上运输枢纽
[11:15] 红色航线几乎是涵盖整个区域
[11:18] 连接中东到南亚到东南亚
[11:20] 那基本上可以观察到
[11:22] 这一波所造成的影响
[11:23] 由于现在还主要集中在波斯湾
[11:26] 但是上周我们看到
[11:28] 因为在斯里兰卡附近
[11:30] 伊朗的船只也被集成
[11:31] 那是否会产生进一步的外溢效果
[11:34] 也是市场上进一步担心的
[11:35] 但不管怎么说
[11:36] 我们就要看本周
[11:38] 川普应该很快就会释放新的动作
[11:40] 那第一个动作
[11:41] 当然就是确保航运的稳定
[11:44] 这个随时利多都有可能出来
[11:46] 所以原油价格是不是要一路的上涨
[11:48] 我个人认为是很难说的
[11:49] 现在对于原油价格抱持的过高的信任
[11:53] 那当然了
[11:54] 你说70 80 90
[11:55] 其实按照过往经验
[11:56] 好像都还算是一个正常区间
[11:58] 100就有点紧张了
[11:59] 110 120
[12:01] 那个通膨年增幅
[12:02] 石油价格涨幅就是五成六成了
[12:05] 这个我看川普可能很难接受
[12:07] 这种情况一路延续到年底的期中选举
[12:10] 加上通膨的传导
[12:12] 差不多两个月的时间就会传进去
[12:14] 我们看现在美军在印太地区的军事布局存在
[12:18] 红色点就是长期的驻军基地
[12:20] 日本冲绳关岛马绍尔群岛
[12:24] 如果后续产生进一步的军事调动
[12:27] 都很有可能让市场针对中东局势
[12:30] 有进一步的制衡效果
[12:32] 那我们就看一下
[12:32] 本周川普所释出的具体动作为何
[12:35] 这个周末其实看起来
[12:37] 他的出售时还是相对平静
[12:39] 主要是嘲讽一下英国
[12:41] 那伊朗对于阿联的攻击形态也出现了明显的转变
[12:44] 一方面呢
[12:45] 不再针对海湾国家来进行大量攻击
[12:47] 第二大方面呢
[12:48] 针对美军基地
[12:50] 弹道飞弹的使用量也在快速的下滑
[12:52] 不过无人机现在还是维持在高频率
[12:55] 从228当时冲突初期
[12:57] 弹道飞弹的数量一度高达137枚
[13:01] 几天之后就迅速下滑
[13:02] 这几天大概就每天十几枚而已
[13:05] 看起来伊朗也是非常节制的在使用
[13:08] 那相较之下
[13:09] 无人机还保持的比较稳定
[13:11] 最高一天332架
[13:12] 现在每天大概100多架
[13:14] 大部分都被防空系统给拦截
[13:17] 在这样的一个效果底下
[13:18] 我们第一个观察效果
[13:20] 是各国政府如何看待当前原油价格的变化
[13:23] 欧盟的部分暂时不释放战略石油储备
[13:27] 欧盟认为目前没有必要动用石油储备
[13:30] 原因是因为当前我们还有90天的消费量的石油库存
[13:34] 至少可以撑三个月
[13:35] 这个是欧盟当前所给予的态度
[13:38] 但美方的部分
[13:39] 我们根据FOX最新所传出的读家
[13:42] 美国可能随时会放松
[13:44] 针对俄罗斯石油的制裁
[13:46] 来尝试的抑制价格
[13:47] 那美国有没有释放
[13:49] 战略原油储备的空间呢
[13:50] 其实现在美国战略原油储备
[13:52] 规模也不是特别高
[13:53] 那这很意外
[13:54] 因为原油价格之前跌很深
[13:56] 照来讲
[13:56] 石油库存应该会有进一步的上升
[13:59] 不过呢
[13:59] 当时美方并没有采取进一步计划
[14:02] 可能预估石油还会遭受到进一步压力
[14:04] 可能是因为川普正在放松监管
[14:06] 预估石油还会跌
[14:07] 想不到涨这么快
[14:09] 所以美方现在
[14:10] 释放战略原油储备空间
[14:12] 对原油价格的抑制效果没这么大
[14:14] 可能直接采取针对俄罗斯石油制裁的放宽
[14:17] 直接导致原油供给大增
[14:19] 这个我后面去就要观察
[14:21] 川普大概很清楚知道
[14:23] 这个什么中东战事
[14:25] 委内瑞拉的抓捕事件
[14:27] 种种讯息应该都没有比
[14:29] 当时他当选的原因更重要
[14:31] 他当选的原因是什么
[14:32] 就是拜登时期通膨太高
[14:34] 所以处理通膨
[14:35] 一定是川普到时候的优先问题
[14:37] 那我们看美国通膨数据
[14:39] 因为本周就要公布了
[14:40] 二月份当时
[14:42] 我们看市场的普遍预估
[14:43] 是仅上升0.2%
[14:45] 可是那个是在伊朗战争爆发之前
[14:47] 接下来针对三月份的预期
[14:50] 很快就会反映在数据身上
[14:52] 或者提前交易
[14:53] 那加上联准会现在所命的两难
[14:56] 会导致接下来的通膨倾老
[14:59] 来得更为难控制
[15:02] 原因很简单
[15:02] 因为二月份的非农就业数据
[15:04] 是意外下滑的
[15:05] 现在通膨是有升温的迹象
[15:07] 所以你基本上是有紧缩的空间
[15:09] 可是二月份的非农
[15:11] 大幅的意外下滑
[15:12] 减少了9.2万人
[15:13] 这个比预期增加5万人
[15:15] 低了14万
[15:16] 远远低于一月份修正的12.6万人
[15:19] 这也是过去五个月内
[15:21] 第三次出现就业下滑
[15:22] 失业率上升到4.4%
[15:24] 在这样的一个效果底下
[15:26] 似乎彰显着
[15:27] 美国的就业市场出了一些问题
[15:30] 我们如果看失业率的部分
[15:32] 现在大概从本来4.3%
[15:34] 重新上行到4.4还没有破高
[15:36] 就代表着没有系统性风险的问题
[15:38] 可是就业市场逐步的在软化当中
[15:41] 那其中如果我们细看
[15:43] 真正令人担忧的
[15:44] 就是因为财源已经扩散到多个产业
[15:47] 包括建筑制造资讯
[15:49] 休闲餐饮业
[15:50] 如果我们细看
[15:51] 医疗社会部门
[15:54] 从22年1月份以来
[15:55] 它是首次我们看到的下滑
[15:57] 过去好长一段时间
[15:59] 其实美国的就业市场
[16:01] 是相当依赖医疗产业
[16:03] 撑住整个非农就业增长
[16:05] 多数月份
[16:06] 如果你把医疗给剔除的话
[16:08] 那你会发现
[16:09] 过去几个月的非农
[16:11] 其实已经很明显偏弱了
[16:12] 这说明AI的大激进
[16:14] 并没有导致
[16:15] 目前制造业功能的显著上升
[16:17] 反而可能还在前期
[16:20] 时间还没有到位
[16:21] 或者AI所带领的投资
[16:23] 跟非农所增长的数据
[16:25] 看起来并没有成正比
[16:27] 但到了今年二月份
[16:28] 这个情况
[16:29] 由于医疗相关职业
[16:30] 现在已经变成了拖累来源
[16:32] 所以整个整体就业数据就开始往下掉
[16:35] 那为什么会拖累呢
[16:36] 一方面是诊所和医师
[16:38] 现在办公室有护士罢工的问题
[16:40] 出现明显裁员
[16:42] 医疗的就业大幅下滑
[16:43] 也抵消了医院和其他医疗服务的小幅增长
[16:46] 结果就是长期支持就业的产业
[16:49] 突然开始失速了
[16:50] 非农业数据下滑幅度也开始变得很快
[16:53] 如果我们细看
[16:54] 现在少数还在增长的
[16:55] 金融产业增长1万人批发贸易增长6000人零售增加2300人公用事业1300人但是其他减出减少幅度就很大了休闲直接减少了2.7万人
[17:07] 医疗照护减少1.8万人
[17:09] 制造业减少1.2万人
[17:10] 运输仓储减少1.1万人
[17:12] 资讯也减少1.1万人左右
[17:14] 这件事情也看得出来
[17:16] 照原理来说
[17:17] 如果今年年初没有发生中东伊朗战火的话
[17:21] 那应该联准会要逐步的扩大码数
[17:24] 但就是来了一个意外
[17:25] 这一次中东的冲突
[17:27] 让原油价格阻碍了联准会
[17:30] 原本预估好的降息计划
[17:32] 联准会不管是鲍尔还是沃许
[17:33] 今年都是降息
[17:34] 只是看你是如表电的降两码
[17:37] 还是沃许上台以后
[17:38] 可以加大码数变成三码四码
[17:40] 看起来这件事情
[17:41] 已经逐步被油价给打乱了
[17:43] 但也说明着
[17:44] 美国的白领十位就业情况
[17:47] 过去一年的确是很明显转差的
[17:49] 那你要知道通膨在升温
[17:51] 就业数据
[17:52] 我们现在已经不感受实体温度了
[17:56] 我们就感受字面上的数字
[17:58] 专业商业服务类
[17:59] 金融活动
[18:01] 还有资讯产业
[18:02] 这三个典型的白领部门
[18:03] 多数月份都呈现负成长
[18:06] 也就代表着美国的中产阶级
[18:08] 目前所遭受到的压力是极大的
[18:11] 如果工薪阶级也没有进一步的拉升
[18:13] 压力可能就会来得很大的
[18:15] 所以总结来说
[18:16] 当前高盛所给予的四个关键的风险
[18:20] 第一个就是荷姆在海峡
[18:22] 因为每天有1800万桶的石油的流量
[18:25] 目前已经降到正常水准的应承
[18:27] 远远低于原本假设的15%
[18:30] 这是第一个意外
[18:31] 第二个意外是虽然部分油气
[18:33] 还是可以透过沙乌地阿拉伯的
[18:35] 红海的港口
[18:36] 或者阿联的港口改道输送
[18:38] 但实际替代流量大概只有每天90万桶
[18:41] 理论上你要至少每天有360万桶的输出能力
[18:45] 要不然石油潮就会爆掉
[18:46] 那第三呢
[18:47] 就是现在航运公司
[18:48] 即便美国美军已经宣布护航了
[18:51] 但多数航运公司
[18:53] 本周末没有人通行
[18:54] 所以保险现在
[18:55] 即便你跟美国政府申请
[18:57] 都可以通过
[18:58] 船只通过海峡的安全问题
[19:00] 还是导致多数航运
[19:02] 并不愿意通过
[19:03] 那第四呢
[19:04] 是这一次的攻击
[19:05] 冲击波动
[19:06] 对于市场上的心理情绪影响
[19:08] 因为现在什么东西
[19:09] 估值都很高嘛
[19:10] 积极都很高嘛
[19:11] 对于资产价格的影响
[19:13] 就来得更大了
[19:14] 那大致啊
[19:14] 你要让游士恢复正常
[19:16] 就三种可能
[19:17] 第一
[19:17] 冲突降温嘛
[19:18] 第二
[19:19] 美国加强军事护航
[19:21] 确保邮轮的安全
[19:22] 最好弄一个画面
[19:24] 两艘邮轮
[19:25] 两艘美军军舰
[19:27] 护送一只邮轮
[19:28] 这样子画面够震撼
[19:30] 呼吁大家赶快通过
[19:31] 第三就是伊朗允许
[19:33] 部分国家船只安全通行
[19:35] 比如说中国或者周边国家
[19:37] 那如果这些情况
[19:39] 没有出现的话
[19:40] 邮价呢
[19:41] 看起来会保持在这边一阵子
[19:42] 那川普的压力就越来越大
[19:44] 那川普要知道
[19:45] 他自己其实没有太多的时间
[19:47] 那当然了
[19:48] 影响真正
[19:48] 对于经济影响比较大的
[19:50] 并不是美国本土
[19:51] 美国现在是通膨压力传导的问题
[19:53] 是中东油价带领了全球油价上涨
[19:56] 但是美国本土能源一定是足够的
[19:58] 因为它有自己生产
[19:59] 重点来自于在亚洲各地
[20:02] 亚洲各地的能源命脉
[20:04] 是大幅依赖中东市场的
[20:05] 现在在三月初
[20:08] 每天大概最多就三艘邮轮穿过海峡
[20:11] 还是冒险穿过的
[20:12] 运送大概280万桶的原油和天然气
[20:15] 近期因为有三艘邮轮
[20:17] 在海峡遭到攻击
[20:19] 现在一度认为说
[20:21] 市场上对于原油价格
[20:24] 和天然气冲击
[20:25] 针对整个南韩日本台湾的冲击
[20:27] 大概南韩和日本
[20:29] 会是第一波冲击
[20:30] 大概是撑三到十周
[20:32] 日本的部分
[20:33] 大概可以撑三个月左右
[20:35] 所以后续我们就要具体来观察
[20:37] 针对全球能源资产的调配
[20:39] 也许美国或者澳洲市场
[20:41] 也会趁这段时间
[20:42] 来抢占台湾或者南韩的市占率
[20:45] 对于川普而言
[20:46] 一方面在本周日
[20:48] 川普是前往德拉瓦州的多佛空军基地
[20:52] 来出席一场庄严的迎临仪式
[20:55] 就是因为伊朗战争中
[20:56] 有六名美国军士士兵上升了
[20:59] 这一次主要是受到无人机的攻击
[21:01] 川普也表示战争难免会有伤亡
[21:05] 但是政府会尽可能的
[21:06] 把美军的损失降到最低
[21:08] 另外一个是最新所公布的民调
[21:11] 外国支持的政权更迭
[21:13] 其实很早带来真正的民主
[21:15] 一方面是现在美国内部民意
[21:17] 对于伊朗战争冲突
[21:19] 抱持的质疑态度
[21:20] 如果原油价格传进去以后
[21:23] 可能很快就变反对了
[21:24] 第二是根据70起的
[21:26] 外部介入政权更迭的事件
[21:28] 如果川普的最终目标
[21:30] 是达成政权更迭
[21:31] 大概只有按照过去历史经验
[21:34] 只有一成左右
[21:35] 最终会达成10年的民主制度
[21:37] 大部分基本上都很难达成
[21:40] 要不然就马上回到
[21:41] 威权统治或者政策不稳
[21:43] 所以在过去被视为26次的政权更替的
[21:47] 由美国主导的行动当中
[21:49] 基本上成为长期民主化的比例也非常低
[21:52] 那让大家更担心的是
[21:53] 你要让它民主化
[21:54] 你要花多久时间
[21:55] 我们要忍受接下来的高通膨多长一段时间
[21:59] 这也是川普所面临的挑战
[22:00] 所以我们必须承认
[22:01] 这原油价格从原理来看
[22:04] 一直紧张
[22:05] 原油就一直涨
[22:05] 然后就停止新通膨
[22:07] 过去2022年也是这样想的
[22:09] 但一个最大的因子是在于
[22:10] 不能忽略掉美国政府在今年中期选举当下
[22:15] 可能所采取的措施
[22:16] 看一下川普本周会端出什么新政策
[22:19] 我们看美国股市市大指数表现
[22:21] 市大指数道琼下跌453.0.95%
[22:24] 收在47501点
[22:25] 标普下跌90点1.33%
[22:28] 收在6740点
[22:29] 纳指下跌1.59%
[22:31] 22387点
[22:33] 费办下跌307点3.93%
[22:36] 收在7514点
[22:38] 如果从今年以来
[22:40] 其实指数也还好啦
[22:42] 就不涨不跌嘛
[22:43] 韩国COSPI指数到现在为止
[22:45] 今年还涨了两成九啊
[22:46] 台股涨了一成四
[22:48] 日金涨了7.3%
[22:51] 新加坡海峡指数涨4%
[22:53] 上证和废办还是正报酬
[22:55] 不过标普道琼
[22:57] 还有纳指今年已经复报酬了
[23:00] 大概跌1到3%
[23:01] 欧洲指数跌了2%
[23:03] 港股也跌了2.2%
[23:05] 不过你把时间周期拉长远一点
[23:07] 因为今年也才过两个多月嘛
[23:10] 如果是从2025年回过头来看
[23:12] 那韩股是涨了128
[23:14] 台股涨了46%
[23:15] 非半到现在为止涨了45%
[23:17] 日经涨了41%
[23:19] 港股涨了30%
[23:20] 上证新加坡海峡指数
[23:22] 欧洲纳指涨幅也是14到20%左右
[23:26] 道琼涨幅最低也有11%
[23:28] 所以从这样的一个角度来看
[23:30] 其实本来就是估值涨高以后
[23:33] 尽力适度休息
[23:34] 这一次是由中东战火来进行引发
[23:37] 那当然了
[23:38] 现在有趣的事情是
[23:40] 过去涨比较高
[23:42] 资金不断流落的硬体股
[23:44] 费办开始做比较显著的资金回调
[23:46] 反而是过去跌比较深的软体股
[23:49] 最近有开始足底的味道
[23:51] 那是不是代表着
[23:52] 美股内部其实有开始轮动的味道呢
[23:55] 其实我们从过去十年来看
[23:57] 全球大型科技公司的估值
[23:59] 一直都保持着相当高的极高估值
[24:02] 但这种情况
[24:03] 随着市场上针对人工智能投资的热潮
[24:07] 开始转为质疑
[24:08] 其实大型股近期开始有落后小型股的迹象
[24:12] 七巨头其实从去年10月底以来
[24:15] 平均下跌幅度也接近有80%了
[24:18] 在这样的一个效果底下
[24:19] 我们就看到一个非常标准的均值回调正在发生
[24:23] 我们举例来说
[24:24] 七大巨头它的预期本益比
[24:27] 你看21年那时候是最高的
[24:29] 35到40倍左右
[24:30] 这一次24年到25年也曾经冲过到38
[24:34] 可是最近从30到29到28到27
[24:38] 一路往下掉
[24:40] 最近只剩下23倍左右了
[24:42] 那不对啊
[24:43] 他们不是股价其实也没有跌多少吗
[24:46] 而且现在看起来
[24:48] 相对于很多软体股
[24:49] 这些科技巨头股价还偏高呢
[24:52] 原因就在于
[24:53] 本益比下滑的原因来自于
[24:55] EPS给追上来了
[24:57] 这件事情也就意味着
[24:58] 美国股市现在正在进行重新的定价
[25:02] 可是它的基期实际已经没这么贵了
[25:05] 现在随着中东战火所造成的估值回调
[25:08] 恐慌交易的出现
[25:09] 反而对于股市来说
[25:11] 可能是一件健康的事情
[25:13] 所以我们才讲说
[25:14] 这个时候反而休息一下
[25:15] 再往下掉一点点
[25:17] 我们就回到去年4月份的位阶了
[25:19] 点位肯定是比去年关税战还是高很多
[25:23] 从刚才股市走势看得出来
[25:25] 可是基期我们再过两个月股价不涨差不多就去年关税战的水准了这个时候你会发现这种中东战国所引发的恐慌交易对于股票市场来说
[25:36] 反而是一个健康的事情
[25:38] 休息很重要
[25:39] 这两天WBC
[25:40] 昨天两场都很精彩
[25:42] 那大股昨天稍微熄火一点
[25:44] 但是每场都有上雷
[25:46] 那我印象最深刻的
[25:48] 就是大股这一次在赛前受访的时候
[25:50] 就有提到
