[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 但大多數個人的實際觀點
[03:30] 四條均線是高度沉壓
[03:32] 那如果我們細看
[03:33] 其實會發現川普在昨天所釋出的三則貼文
[03:37] 基本影響到這一陣子他正在處理的幾大焦點
[03:41] 分別是針對油價的打擊
[03:43] 針對海外軍事的佈局
[03:45] 以及對於中期選舉的提前操作
[03:48] 如果細看川普在一個小時之前
[03:50] 已經正式公告
[03:52] 委內瑞拉把新油品的協議所換得的資金
[03:55] 會用來購買美國製造的產品
[03:57] 涵蓋農產品、藥品、醫療設施、電網
[04:01] 以及能源基礎設施裝置
[04:02] 等同於把油直接收入回到美國供應鏈本土了
[04:07] 現在委內瑞拉的原油
[04:09] 基本上已經完全由美國來進行控制
[04:12] 尤其是以接下來的油氣開採
[04:14] 以及現金流的掌握
[04:15] 川普已經牢牢掌握在手中
[04:17] 川普式的繫結交易已經正式上桌
[04:20] 那第二則貼文呢
[04:21] 是三個小時之前發的
[04:23] 川普把貿易戰直接接上了國防預算
[04:26] 川普宣稱
[04:27] 由於我們目前的關稅收入一直在提高
[04:30] 所以呢
[04:30] 他認為2027年的軍事預算
[04:32] 不應該停留在一兆美元
[04:34] 直接拉高到1.5兆
[04:36] 那在他的敘事裡當中
[04:38] 由於目前關稅是一個可持續性的國家財政政策
[04:42] 一邊撐起所謂的夢幻軍隊
[04:44] 一邊還能夠還債
[04:45] 一邊還能夠退稅
[04:46] 一邊還能夠針對中低收入戶
[04:48] 來發放鼓勵和紅利
[04:50] 等同於川普政府認為
[04:52] 現在的關稅戰
[04:54] 可以讓我們的軍費
[04:55] 有適度的開支提升
[04:57] 所以在這一段時間
[04:59] 你看到大而美法案之後
[05:00] 基本上川普針對軍事的投入力量
[05:03] 只有增加沒有減少過
[05:04] 那第三呢
[05:05] 是川普把矛頭對準了華爾街的房東
[05:08] 川普認為買房
[05:10] 應該是中期選舉非常重要的核心
[05:12] 高通膨脹年輕時代買不起房
[05:15] 所以呢在昨天他也發了推特貼文
[05:17] 把問題歸咎於民主黨政策的大型機構投資人囤房
[05:21] 所以他表態
[05:22] 美國即將採取禁止大型機構持續收購獨棟住宅
[05:27] 就我們看到的house
[05:28] 它的立法核心很簡單
[05:31] 房子是給人住的
[05:32] 不是給公司住的
[05:33] 所以在一系列的改革
[05:35] 你就大概可以瞭解到
[05:36] 他對於油價的打擊
[05:37] 他對於內部中期選舉的鋪層
[05:40] 對於低收入戶的拉抬
[05:41] 以及對外軍費的提升
[05:43] 那我們先回過頭來看
[05:44] 因為現在最趕的
[05:45] 是川普說要用關稅來維持目前的軍費開支
[05:49] 這件事情合不合理
[05:50] 因為禮拜五最高法院就即將裁定
[05:53] 川普這一次引用IEP
[05:55] 國際經濟緊急權力法的合法性
[05:59] 那你要知道
[06:00] 我們看從去年年底開始
[06:02] 當時美國的司法案件
[06:04] 有千家企業是集體告川普關稅
[06:09] 所以現在這麼多的法案的判決
[06:11] 最高法院一旦判定以後
[06:13] 接下來的訴訟條件結果
[06:15] 應該就會陸續出來了
[06:16] 現在參與訴訟的企業實力超過1000家
[06:19] 這些公司有零售
[06:20] 有製造
[06:21] 有汽車
[06:21] 有服飾
[06:22] 全部都跑去告川普
[06:24] 因為認為川普援引的關稅根本就不合法
[06:28] 你應該把關稅給退回來
[06:29] 因為關稅其實也不是
[06:30] 從原理來看也不是臺積金在繳
[06:33] 是進口商在繳
[06:35] 那最高法院最終否定關稅合法性
[06:38] 退款會怎麼發
[06:39] 誰能夠領
[06:40] 還是有可能會丟回到下級法院處理
[06:43] 所以這條算是漫漫之路
[06:45] 可是川普看起來就是
[06:47] 反正我就是不會還你了
[06:48] 按照目前制度
[06:49] 你想要拿回自己錢
[06:50] 你就要自己提告卡位
[06:52] 所以為什麼
[06:53] 當最高法院越有可能判定
[06:55] 川普關稅違法的時候
[06:56] 你看到所有人都在告川普
[06:58] 因為我告了就有機會拿回來
[07:00] 我不告
[07:01] 不一定能夠拿得回來
[07:02] 所以在這樣的一個角度
[07:03] 你就發現市場上針對Polimarki
[07:06] 川普在最高法院明天的判決
[07:08] 看起來判決他失敗
[07:12] 判決他失效的可能性是非常高的
[07:15] 如果我們仔細觀察
[07:16] 川普對前線
[07:17] 並不是什麼單一的受害產業
[07:20] 整條實體供應鏈
[07:21] 大家都在告他
[07:22] 剛才提到的有服飾
[07:23] 有汽車
[07:24] 有零售
[07:25] 有批發
[07:25] 電機設施到中間踩
[07:27] 那也很正常
[07:28] 這個平時跟我無關
[07:30] 被克了就被克了
[07:31] 現在有機會能夠把關稅給退還給我
[07:33] 我當然要能夠告就趕快去告
[07:35] 所以數千家美國企業
[07:37] 現在正在緊急召開會議
[07:39] 趕快先告川普政府
[07:41] 來看待最高法院判決之後
[07:43] 能不能拿回一些錢
[07:44] 那是不是代表著關稅收入
[07:46] 就有可能因此而減少呢
[07:48] 這樣子美國擴大封鎖和軍費的行動
[07:50] 是否會受到影響
[07:52] 畢竟在昨天
[07:53] 美國軍方在北大西洋扣押了一艘
[07:56] 懸掛俄羅斯國旗的郵輪
[07:57] 讓大家一度緊張
[07:59] 也象徵華府針對往返委內瑞拉
[08:02] 涉及制裁的船隻封鎖行動明顯升級
[08:05] 因為這一次的郵輪
[08:07] 基本上它裡頭掛載的是委內瑞拉的郵輪
[08:10] 但是呢
[08:11] 他卻掛了一個俄羅斯的國旗
[08:13] 那美方發現之後啊
[08:15] 發現郵輪嘗試的要避開美國的石油隔離措施
[08:18] 所以呢
[08:19] 直接登艦了
[08:21] 直接開直升機
[08:22] 把它給攔下來
[08:24] 那這一次的扣船行動啊
[08:25] 也會讓美俄關係面臨新的摩擦風險
[08:27] 因為的確現在有很多郵輪
[08:29] 為了要躲氣查氣
[08:31] 很多郵輪就偷偷就掛著俄羅斯國旗
[08:34] 或者呢
[08:35] 在船身上啊
[08:36] 塗上俄羅斯的三色旗來更名
[08:38] 試圖要製造那種灰色地帶那美國其實2020年就已經發現了但過去因為普丁跟川普還在一個和緩的過程那這一次呢就不管這麼多了
[08:49] 直接把你給攔下來
[08:50] 所以引發現在美俄
[08:52] 是否有進一步軍事對峙的可能性
[08:54] 我們以前知道
[08:56] 因為這一次藍的海
[08:57] 就是藍的郵輪
[08:58] 其實是在北大西洋
[08:59] 在這個冰島附近
[09:02] 在英國的西北方
[09:03] 我們看地圖的話
[09:04] 這個是公海
[09:06] 那我們以前其實看電影
[09:07] 大家都知道
[09:08] 現在小孩不知道孩子不知道
[09:10] 如果你搭郵輪到公海
[09:12] 你在船上犯罪
[09:14] 只有那艘船的註冊國家可以抓你
[09:16] 如果你搭的船是巴拿馬註冊
[09:19] 那你就要跟巴拿馬總統有點交情
[09:21] 但川普就不管這麼多
[09:23] 聽說昨天行動的時候
[09:24] 川普接電話第一句
[09:25] 是不是到公海了
[09:27] 已經到公海了
[09:30] 這副一斤挺顯眼鏡
[09:32] 是上個月西德
[09:33] 我們看川普所採取的動作
[09:36] 其實很明顯
[09:37] 這種我們看到現實主義的擴張
[09:40] 其實對於全球政治局勢
[09:42] 我們待會細談
[09:43] 產生了一系列的衝擊
[09:44] 讓大家總覺得
[09:45] 有沒有可能不小心
[09:47] 就稍微就有點火花
[09:50] 引起大國之間的對峙
[09:51] 事實上川普早在去年的時候
[09:54] 就已經要求北約所有國家
[09:56] 不要再購買俄羅斯原油了
[09:58] 當時的制裁條件
[09:59] 在美俄之間商談無果以後
[10:02] 北約成員國就一致停止了
[10:04] 針對俄羅斯進口原油
[10:06] 你要知道已經打了那麼多年
[10:07] 在川普的敦促底下
[10:09] 去年才停止進口俄羅斯原油
[10:11] 那川普政府當時還甚至向中國和印度政府來做施壓
[10:15] 要求不要再購買原油或者轉運了
[10:18] 尤其針對印度
[10:19] 當時是課徵了
[10:20] 高達50%的關稅
[10:21] 造成印度極大的壓力
[10:23] 可是在種種效果底下
[10:25] 現在我們看到控制委內瑞拉
[10:28] 對於原油供給有所擴張以後
[10:30] 對於俄羅斯的打擊
[10:31] 看起來就有利於美俄之間
[10:33] 可能有進一步的商談可能性
[10:35] 因為你要讓俄羅斯的收益下滑
[10:37] 在經濟力量上能夠減弱
[10:39] 這樣子才能夠在烏俄議題上
[10:42] 美方有更多的談判空間
[10:43] 你說到底現在是誰獲利呢
[10:46] 很明顯
[10:46] 還是美國的油企
[10:48] 尤其是雪佛龍
[10:49] 雪佛龍最近跟私募基金量子資本集團
[10:52] 正在組隊競標遭到制裁的
[10:55] 俄羅斯石油公司的盧克石油海外資產
[10:57] 那俄羅斯在海外有很多的海外資產
[11:00] 現在都被凍結了
[11:00] 這批資產估值大概是220億美元
[11:03] 涵蓋歐洲亞洲中東的油氣生產
[11:06] 和煉油裝置
[11:07] 超過2000座的加油站
[11:09] 如果交易敲定的話
[11:11] 雙方就能夠分拆持有並長期經營
[11:14] 而並不是短期的買賣
[11:15] 那這一點就蠻符合川普政府
[11:18] 對於戰略資源回到美國人手上的
[11:21] 這種政策偏好
[11:22] 所以大家雖然歐洲還不太感動
[11:24] 俄羅斯政府的海外資產
[11:27] 不過大家已經開始
[11:29] 把俄羅斯民間企業的海外資產
[11:30] 來開始進行瓜分
[11:32] 事實上現在處理完南美洲以後
[11:34] 川普的焦點持續往伊朗
[11:36] 我們也知道
[11:37] 最近美國國務院持續釋出旅遊公告
[11:41] 來明確指出伊朗屬於第四級
[11:43] 切勿前往的國家
[11:45] 風險涵蓋恐怖攻擊
[11:47] 社會動盪
[11:48] 綁架
[11:48] 任意逮捕和不當拘留
[11:50] 美國在伊朗的利益
[11:52] 現在壓力越來越大以後
[11:54] 採取了一系列的措施
[11:56] 包括最近澳洲
[11:57] 加拿大等國
[11:58] 都要求在伊朗人員
[12:00] 以及平民陸續進行撤離
[12:02] 我們也清楚知道
[12:03] 伊朗現在正在爆發
[12:05] 應該是過去20年來
[12:06] 最嚴重的一次抗議
[12:08] 從首都到大城市
[12:10] 外溢到各大省份
[12:12] 現在基本上
[12:13] 因為過去我們提過
[12:14] 過去有生存基本問題
[12:16] 有面包工作醫藥
[12:17] 貨幣暴跌通膨失控
[12:19] 包括現在全球
[12:20] 針對伊朗的制裁仍然存在
[12:22] 所以過去
[12:23] 即便當時B2轟炸彈下去的時候
[12:27] 沒有擊垮伊朗的民意
[12:28] 不過現在看起來
[12:29] 大家已經開始針對伊朗內部政權
[12:33] 表現得相當顯著的不滿
[12:35] 那是否會引起新一波的暴亂
[12:37] 那麼川普政府是否有介入的可能性呢
[12:40] 這個就可以值得觀察了
[12:42] 因為照理來講
[12:43] 伊朗只要不拒絕退核計劃
[12:46] 只要願意釋出善意
[12:48] 決心這幾年不再發展核子彈的話
[12:51] 那基本上美方是有可能試圖鬆綁制裁的
[12:55] 但現在伊朗的經濟形勢危機還是非常大
[12:58] 那川普是不是有著手的空間呢
[13:00] 給投資朋友做一些思考和留意了
[13:02] 那另外一方面呢
[13:03] 是回到東南美洲的問題
[13:05] 川普剛才有提到嘛
[13:07] 他在貼文當中其實已經正式宣佈
[13:09] 委內瑞拉目前的原油
[13:11] 會完全交付給美國
[13:13] 川普這一次明確表示
[13:15] 委內瑞拉向美國所交付的
[13:17] 3000萬桶到5000萬桶的原油
[13:19] 以目前油價來估算
[13:20] 大概是28億美元
[13:22] 那這批受制裁的原油
[13:23] 會依市場價格來出售
[13:25] 那相關的收入呢
[13:26] 是由白宮來掌握
[13:28] 並且宣稱會造福於
[13:30] 美國和委內瑞拉的人民
[13:31] 那這一項宣佈細節並不多
[13:33] 但時間很敏感
[13:34] 因為你已經把馬杜羅給抓了
[13:37] 那現在偉方又釋出
[13:39] 這樣的一個善意
[13:40] 那很明顯就是雙方接下來
[13:42] 看起來會有更多油氣上的合作
[13:45] 尤其這項安排
[13:46] 同時也被視為
[13:47] 對於中國的直接打擊
[13:48] 過去多年
[13:49] 中國一直都是
[13:50] 委內瑞拉石油的最大買家
[13:52] 雖然本身進口量也不是很多
[13:53] 因為委內瑞拉受到制裁
[13:55] 它本身的油產量也不是特別高
[13:57] 可是隨著美國的封鎖行動升級以後
[14:00] 這條委內瑞拉到中國的石油管道
[14:03] 看起來已經全面中斷
[14:04] 美國國務院這次也表示了
[14:06] 的確目前委內瑞拉的石油出口
[14:09] 已經完全代管
[14:10] 就是美方政府明確的表態
[14:12] 無限期的掌握委內瑞拉石油的對外銷售權
[14:15] 由華府接下來來進行原油銷售
[14:18] 收取款項
[14:19] 並且把收益先存在美國財政部的賬戶當中
[14:23] 我們在世道受的政權穩定
[14:25] 決定要撥多少錢
[14:27] 回饋給委內瑞拉本土
[14:28] 這講來很諷刺
[14:30] 但的確現在看起來情況就是如此
[14:32] 我們把委內瑞拉因為產油
[14:34] 它已經微小
[14:35] 縮小到少數幾個區塊
[14:37] 所以美方現在的管理
[14:39] 其實也很順暢
[14:40] 基本上就是重油提煉
[14:42] 由美方的油氣來做精煉以後
[14:44] 由美方的輪船
[14:45] 運送到美國本土
[14:48] 然後進行銷售
[14:49] 銷售以後所獲得的資金
[14:51] 再看到手的真實情況來進行分配
[14:53] 所以這一次川普的確在整個中南美洲
[14:57] 雖然略有國際法的爭議
[14:59] 不過至少他的現實主義霸權
[15:01] 是表現得一覽無遺
[15:03] 甚至在最近甘迺迪中心
[15:05] 他在共和黨的國會議員演講時
[15:08] 他也特別提到
[15:09] 馬杜羅被逮是因為學他跳舞
[15:13] 當然那是幽默
[15:14] 他說馬杜羅經常模仿他選舉造勢的時候
[15:18] 常跳的一些舞步
[15:19] 搭配一些手握拳頭的節奏
[15:22] 而且還配上YNCA
[15:24] 那當然了
[15:25] 川普這樣講
[15:26] 他稍微就挖苦一下
[15:28] 但是也事實證明
[15:29] 他在中南美洲
[15:31] 目前所取得的成功
[15:52] 好看完委內瑞拉
[16:08] 我們回過頭來看一下格林蘭
[16:09] 這個這次白宮也放話了
[16:12] 川普政府正在評估動用美軍在內的各種選項
[16:16] 以取得格林蘭的控制權
[16:17] 而且把這一塊隸屬於丹麥高度自治的北極領土定位
[16:22] 作為美國的國家安全優先事項
[16:24] 當然如果是為了油氣
[16:25] 這個就有點太遠了
[16:27] 因為格陵蘭很冷
[16:28] 能夠開採的時間線也不是特別多
[16:30] 大家有沒有看天潔倒數
[16:32] 你先看天潔倒數的電影名稱
[16:35] 英文好像就叫格陵蘭
[16:37] 這是很冷的一個區塊
[16:39] 所以照來講也不太可能是為了油氣
[16:42] 主要就是美方所定位的國家安全優先事項
[16:46] 白宮發言人這一次是指出
[16:48] 格陵蘭在北極的戰略位置非常關鍵
[16:50] 攸關對於俄羅斯和中國等對手的組合
[16:54] 所以總統與團隊正在討論不同的路徑
[16:57] 而軍事手段是目前三軍統帥可以使用的選項
[17:00] 當然我們要清楚知道
[17:02] 這會形成一個極大的問題
[17:04] 因為目前丹麥政府是力保格林蘭
[17:07] 不願意進行任何領土的割讓或者授權
[17:10] 理論上格林蘭應該是受到北約第五條條款的保障
[17:14] 美國也已經在當地有適度的軍事基地
[17:18] 早就不應該是衝突的物件
[17:20] 所以不太確定美方到底是要更多軍事基地
[17:23] 還是要割一塊地給你所以現實就是因為北約條文從來沒有設想過成員國攻擊成員國的情況那如果這條紅線被踩北約就名存實亡了
[17:34] 就本質上
[17:35] 他們是一個共同的對外的同盟
[17:37] 條約上通常就是誰打我們
[17:40] 我們就一起打他
[17:41] 那往內互打這件事情
[17:44] 到底要怎麼辦呢
[17:45] 所以一旦北約國對北約國動手
[17:47] 現場就會變得非常尷尬
[17:48] 其實有一個最經典的例子
[17:50] 是土耳其跟希臘
[17:52] 那前幾年
[17:53] 那個當時他們都是北約成員
[17:54] 不是常常在愛琴海上空
[17:56] 互相攔截戰機
[17:58] 希臘跟土耳其有一陣子
[18:00] 這個衝突也非常多
[18:02] 飛行員互相鎖定雷達
[18:03] 下一秒就可能開火
[18:05] 像1974年
[18:06] 土耳其入侵塞浦勒斯
[18:08] 北約就完全無法啟動集體防衛
[18:10] 只能靠美國私下調解
[18:12] 等同於第五條
[18:14] 在自己人內鬥的時候
[18:15] 會自動消失
[18:16] 那就很尷尬了
[18:18] 北約國打北約國
[18:19] 這個時候大家肯定沒有想到
[18:21] 事實上我們可以觀察到
[18:22] 美國從伊朗和委內瑞拉採取軍事行動以後
[18:26] 其實已經證明了川普是軍無戲言
[18:29] 說到做到
[18:30] 我們看過去一年
[18:31] 他說的有沒有做的嗎
[18:33] 不一定做得好
[18:34] 但通常他說的都會去做
[18:35] 根據Polymarket賭盤
[18:37] 現在在對賭
[18:38] 美國會在2026年取得格林蘭部分領土的機率
[18:41] 目前已經上升到19%
[18:43] 美軍直接入侵格林蘭的機率大概是9%
[18:47] 比較沒有這麼高
[18:48] 原因是應該還是
[18:50] 藉由政治手段來取得領土
[18:51] 如果真的要採取入侵成本的話
[18:54] 執行成本造成北美髮生戰事的機率
[18:58] 應該不是特別高
[18:59] 誰叫丹麥要販毒
[19:01] 沒有開玩笑
[19:02] 他們沒有販毒
[19:04] 誰叫現在他就擋在那邊
[19:06] 對於美方的戰略
[19:07] 川普可能最後還是會從私下的手段
[19:11] 來做互相進行溝通
[19:12] 來取得進一步美方希望達成的利益
[19:15] 還不確定他到底要達成什麼
[19:16] 因為他們不是已經有軍事基地了嗎
[19:18] 我現在也不太確定
[19:20] 是軍事基地擴張更多
[19:23] 還是他需要一塊領土
[19:24] 來確保商業的安全呢
[19:26] 其實過去一年的執政經驗
[19:28] 我們已經反覆證明
[19:29] 川普向來都不是隨口放話
[19:31] 而是主動把口頭的主張
[19:34] 轉化成實質行動
[19:36] 如果美國真的取得格陵蘭島
[19:38] 你仔細觀察一下地圖
[19:40] 那加拿大不就被美國領土
[19:41] 重重包圍了嗎
[19:43] 西北邊有阿拉斯加
[19:44] 東北邊有格陵蘭
[19:46] 下方就是美國
[19:47] 那你再想想
[19:48] 川普之前曾經提過要並加拿大
[19:51] 你就不覺得他是在唬爛了
[19:53] 他可能真的就是心裡這麼想的
[19:55] 所以經過一年時間的驗證
[19:58] 大家已經形成共識
[19:59] 川普每說的一句話
[20:00] 我們都必須當成
[20:02] 會被認真推進的政策結果來做看待
[20:04] 當然現在盧比歐跟丹麥總理
[20:08] 持續的進行會談
[20:09] 希望可以針對這一次的格林蘭爭議
[20:11] 持續的降溫
[20:12] 可是整個25年到現在
[20:14] 有沒有發現是全球世界
[20:15] 政治被重新洗牌的一年
[20:18] 從去年4月份開始
[20:20] 關稅戰的解放日
[20:22] 他就是一個分水嶺
[20:23] 川普針對全世界都加徵關稅
[20:25] 連無人島都沒有放過
[20:27] 當時有個契爾島
[20:28] 到5月的時候
[20:29] 印度跟巴基斯坦的四天戰爭
[20:31] 也不是一般的邊境摩擦
[20:33] 雙方打入到本土以後
[20:35] 川普馬上採取適度動作
[20:37] 6月份以涉獵對伊朗的核設施來動手
[20:40] 10月份加薩和平第一階段
[20:42] 計劃行使
[20:44] 10月底
[20:45] 當時川普跟習近平在首爾會面
[20:48] 一直到現在為止
[20:49] 每個月都有大新聞
[20:50] 可是總結來講
[20:52] 美方的唐羅主義的盛行
[20:54] 其實還是越來越明顯
[20:55] 我們禮拜一有提到
[20:57] 所謂的唐羅主義
[20:58] 它就是門羅主義的延伸
[21:00] 核心利益就是
[21:01] 要排除西半球的外部勢力
[21:04] 而是要完全進一步主張
[21:06] 美國不只是要排除西半球的利益
[21:09] 還要介入失敗國家的治理
[21:12] 把資源本身視為補償軍事或者政治行動的成本
[21:16] 從幾個基礎來看
[21:18] 其實過去幾個季度很明顯
[21:21] 川普的手段就這樣
[21:22] 第一直接行政的介入
[21:24] 必要時是由華府的小圈子的決策
[21:26] 軍事和外交同步執行
[21:28] 第二叫資源抵押
[21:30] 就是你把石油和礦產視為戰略的資源戰利品
[21:34] 我們已經幫助你這麼多
[21:35] 從一個失敗國家變成一個成功轉型的民主國家
[21:39] 所以你必須要做一些回饋
[21:41] 比如說把石油給我
[21:42] 把你的礦產給我
[21:43] 那第三
[21:44] 是不容許俄國或者中國勢力
[21:47] 在西半球建立長期的戰略存在
[21:50] 做生意也不行
[21:51] 跟我們西半球的國家溝通也不行
[21:54] 最好全部離開
[21:55] 西半球是由我美國說了算
[21:57] 所以我們才看到
[21:58] 整個真實的政治經濟輪廓
[22:00] 已經逐步出來
[22:01] 那當然現在全球各地
[22:04] 不管是歐洲
[22:05] 在亞洲部分地區
[22:07] 在南美洲
[22:08] 都有適度的衝突陸續發酵
[22:09] 但是反而美洲
[22:11] 中之間目前在和談的氛圍當中
[22:14] 稍微沒有進一步的衝突
[22:16] 包括這一次我們看到
[22:17] 北京在昨天又正式對日本持續出手
[22:20] 不僅是宣佈對於日本出口
[22:23] 可用於軍事用途的雙重用途的產品
[22:26] 全面禁止以外
[22:27] 影響的出口產品大概是接近四成
[22:30] 而且還放話會進一步收縮稀土管制
[22:33] 你只要不道歉
[22:34] 我就一直採取新一輪的動作
[22:36] 從原本的觀光產業
[22:38] 到目前針對部分原物料
[22:40] 同時間中國也針對一項關鍵半導體材料
[22:43] 啟動反傾銷的調查
[22:44] 那未來可能隨時都會公佈
[22:46] 對於日本的工業核心連續出權
[22:48] 那日本現在就稍微比較剋制
[22:51] 看得出來
[22:52] 一方面是針對中國的提議來提出抗議
[22:55] 另外一方面也暫時避免報復行動
[22:57] 因為國內的汽車和製造業
[22:59] 目前還是跟中國供應鏈有相當大的聯絡
[23:02] 東京和美方也保持溝通
[23:05] 那目前從華府得知的訊號
[23:07] 那華府就是希望
[23:08] 這件事情先暫時擱置
[23:10] 我們目前還在商談
[23:12] 等明年川習會再見面以後
[23:14] 應該講今年川習會再見面以後
[23:16] 我們到時候再看一下
[23:18] 有什麼樣的方式
[23:19] 能夠解決中日之間的爭端
[23:21] 這是我們看到的真實實質跡象
[23:23] 但是回過頭來看
[23:24] 到內政領域
[23:26] 其實就看得出來
[23:27] 川普在種種措施底下
[23:29] 其實還是儘量把各國的戰力成果
[23:32] 要拉回到美國本土
[23:33] 包括石油利益
[23:34] 礦產利益等等
[23:35] 為什麼呢
[23:36] 因為中期選舉才是下半年最為重要的課題
[23:40] 事實上如果我們仔細觀察
[23:41] 就目前中期選舉前哨戰來看
[23:44] 哪些州會左右國會版圖呢
[23:46] 共和黨現在在參議院的部分是五三比四期
[23:50] 預測大概有66%的機率還是能夠守住多數
[23:54] 那眾議院大家則是認為有可能被民主黨給拿回
[23:58] 本屆改選有33席
[23:59] 其中20席為共和黨席次
[24:01] 13席為民主黨席次
[24:03] 那關鍵幾個州的勝負會大幅影響
[24:06] 像Ohio 密西根 北卡羅蘭那州
[24:09] Holler's New Hampshire
[24:10] 那共和黨防守的壓力
[24:13] 集中在一些傳統的搖擺州
[24:15] 那過去總覺得這些搖擺州
[24:16] 應該沒有什麼太大問題
[24:18] 可是部分州目前經濟形勢相當惡化
[24:21] 所以這些州可能來不及
[24:23] 見到AI的龍井發展
[24:25] 選民就有跑票的可能性
[24:26] 所以川普才要花更多的心力
[24:28] 聚焦到國內
[24:29] 那事實上川普已經準備好資金了
[24:32] 我們看這一次川普出席的USA House
[24:35] 就是美國世界經濟論壇的活動
[24:38] 你像微軟或者麥肯錫
[24:41] 陸續都大幅出資100萬美元
[24:43] 來支援美國官方官員
[24:45] 另外一方面
[24:46] 川普政府在內部的鬆綁政策也在持續
[24:50] 像核能產業針對川普政府的補助
[24:53] 預估會形成中期選舉的重要推手
[24:55] 即便現在股價表現不佳
[24:57] 可是現在小型化模組的反應
[24:59] 如SMR討論度還是非常高
[25:01] 我們過去提過
[25:02] 因為川普政府已經開始進行
[25:05] 適度的監管放鬆
[25:06] SMMA過去總覺得會
[25:08] 要動輒拖十幾年
[25:09] 燒掉數百億元
[25:10] 現在預估施工期
[25:12] 會縮短到三到五年
[25:13] 也許在2030年以前
[25:15] 就有量產的可能性
[25:17] 與此同時
[25:18] 如果我們仔細觀察
[25:19] 到現在為止
[25:20] 川普政府都還沒有正式募資
[25:23] 他的超級行動委員會
[25:24] MAGA
[25:25] 在2025年下半年
[25:27] 去年下半年
[25:28] 已經募資到一億美元了
[25:30] 資金有XAI
[25:31] 有加密貨幣
[25:33] 有金融圈
[25:33] 看起來就是
[25:34] 馬斯克自己也出了不少錢
[25:36] 包括一些加密貨幣業者
[25:38] 這一批業者到現在為止
