[00:00] 投資變換收聽早晨財經速解讀
[05:37] 距離歷史高點只剩下2%,可是你看它的本益比,如果是以前章本益比來看,現在大概是22.5倍,哇,這個水準是比過去5年都低耶,你看去年高點10月份AI永動機是28倍嘛,2024年的高點是27倍,2023年也有27.5倍啊,所以現在的機器啊,跟大家分享,跟烏俄戰士差不多。
[06:01] 納斯達克指數你願不願意在烏鵝戰士,有可能開打之後可能價格修正更大,你願不願意在2022年買進股票,你現在就願不願意在2026年買進股票。
[06:13] 當然我們是抱持左側邏輯,最好等市場相對悲觀,可是你至少可以看得出來,從基期角度而言,2026年的股票比過去23年、24年、25年都要便宜。
[06:24] 那平移的程度差不多等於2022年的平均值,這就是真實市場的概況。
[06:30] 而且本輪的上漲也稍微比較健康了,不像過去這麼極端。
[06:33] 以前是如果你買個股,你只要沒有買到七巨頭,你大概就跑出大盤了。
[06:37] 現在不一樣,現在已經有75%的成分股都已經占上了200日的移動平均線,創下2024年10月份以來的新高。
[06:44] 所以這一次是廣泛性的上漲,沒有漲幅這麼極端了。
[06:48] 當然,現在從7月份的趨槓桿,現在重新加槓桿,有沒有可能重蹈覆轍?這很難說。有沒有可能5、6月份大家的信心又重新歸來,然後又上槓桿?這個要繼續觀察資金流的變化。
[07:01] 但至少可以承認,本人的上漲相對於以往幾年比較健康。第一本益比低,第二上漲的寬度正在明顯的擴散。如果你把AI拿掉,的確好像美國企業的獲利沒這麼強,可是美國企業獲利已經連續三年翻證了。
[07:18] 現在就是如果有 AI 這個基礎建設概念股的拉伸,大概整體成長今年第二季財報是54%。
[07:26] 越成長越誇張。
[07:28] 那如果你把這個基礎建設概念股給拿掉,那大概就剩下14%。
[07:33] 那你說14%很差嗎?其實還是過去六個季度以來的最高。
[07:38] 所以從這件事情都看得出來,為什麼波克夏這次所公布的13F願意開始採購?
[07:45] 銀方面當然是巴菲特交棒了,所以現在是阿貝爾主導,他有自己的投資風格。
[07:50] 這一次大幅的買入股票200億,創下現金部位從2022年以來最快的下滑紀錄。
[07:57] 買最多的第一個就是Google,因為本益比真的偏低,已經變成波克夏的第三大持股了,其他像是達美航空或者一些房屋建商等等。
[08:07] 這些持續性的投資都說明著,波克下的價值投資思維已經開始套用了,對他們來講,基期已經逐步到位,也許整個大盤他覺得可以更便宜,但很多個股已經吸引他持續的來做買入。
[08:20] 所以有時候我們自以為聰明往往比無知更危險,這句話在投資市場當中就是讓我們了解,至少自己不懂的話反而會保守一點。最危險的就是,你好像看懂了一些財報、總體經濟數據,就覺得自己好像完全看懂了市場。
[08:37] 有時候你覺得你早知道了,但是有時候市場上在不同的數據當中,你經由數據比對之後,反而得出了一個比較鮮明的例子。
[08:48] 就是股價雖然現在是高強度牛市,可是從所有指標來看,你似乎都看不到嚴重的及期失真。
[08:54] 這就是真實概況,你真正擔憂的都是擔憂那個錢頭太多會不回來的問題,這的確值得擔憂,可是你擔憂現在股票很貴,那就不一定了,所以這是從不同角度來做思維的。
[09:06] 當然回過頭說,現在在各大資產當中漲幅來得最多的,第一名仍然是大宗資產,34.2%,消息股漲24.5%,今年以來價值股漲23%,可轉債20.6%,中型股19.4%,納斯達克100有19.3%,成熟股是14.9%,成熟市場,標普500是14.5%,REITs漲13%,大部分都還是正報酬,少數真的表現相對比較差勁的。
[09:35] 一個是長天級國債,不過它跌3.3%,也不算特別重,領息搞不好這幾年領得回來,投資整機債是下跌1.1%。
[09:43] 深圳跌最重的又是你比特幣,跌幅是28%,比特幣這兩年確實比較慘一點,波動也有時候比股票、在地市場、傳統市場還要來得更為劇烈。
[09:55] 但如果把時間拉長,我還是相信比特幣最終還是會反映全球貨幣的供給和流動性長期擴張的趨勢。
[10:03] 我其實沒有這麼悲觀,其實不只比特幣,大多數具有生產力、有稀缺性、抗通膨的優質資產。
[10:11] 只要你不是單一個股、單一標的,你只要經濟繼續成長,大多數資產、貨幣量長期增長都能夠創高的。
[10:20] 這是我的看法,因為最後比的是資金流、比的是貨幣總量,投資到最後,其實這就變成了,你其實是在比時間,你能不能熬得過去。
[10:30] 即便它跌這麼重,我也不認為它一路就這樣跌下去了,畢竟它還是屬於定量資產嘛。
[10:35] 最重要的是,你還是要顧好自己的身體,因為負利需要的不是幾個月,你要10年、20年甚至更久。
[10:42] 只要資產配置做對,不要在中途被淘汰掉,不要被洗掉,剩下最大的關鍵就是身體健康,所以大家一定要活得夠長,一定要活得夠久,好不好?
[10:52] 最近有很多不是很厲害的一些前輩們陸續離開從以前黃董
[10:59] 後來我一想到看人家在講你像張忠謀先生已經95歲了
[11:04] 魏德嘉先生魏董已經73歲了
[11:08] 然後陳泰銘69歲
[11:10] 施政榮81歲了
[11:12] 曹董79歲了
[11:14] 郭台銘也75歲了
[11:17] 不是不禮貌嗎
[11:21] 就是如果我們要看到 AI 的大爆發,你甚至都沒辦法期待這些人陪伴著我們一起大爆發,因為畢竟壽命是有限的,可是你像黃仁勳才幾歲?他才60幾歲,潘董、潘建成才60幾歲,所以這些人就可以陪伴我們20年、30年。
[11:38] 所以有時候我們要講說,時間拉得越長,你就要越了解那個 Jensen 每天在說的話是什麼,因為他還要活很長,他要對自己說的話負責,但有些人其實他早就可以享清福了。
[11:49] 我們要回過頭來看,我們的年輕、我們的時間線,其實要比想像中還要拉得更遠。
[11:55] 讓負力效果發揮它的效果,在AI的浪潮當中,我們也許是有機會。
[12:00] 因為Z世代和Y世代,我記得是比前一代還要更為貧窮的,體感上貧窮,物質上不一定,體感上比上一代更貧窮的。
[12:09] 也許我們有機會在這一代產生明顯的轉捩點,如果搭上AI行情的話。
[12:14] 這就是我的看法,時間只要拉得夠長,因為真正能夠留在贏家榜上的公司也非常少了。
[12:20] 但是,如果他已經待了好幾十年,而且已經用事實來證明他的厲害,也許我認為那就值得相信他的話。
[12:28] 所以我是相信Jensen說的話,為什麼這樣講?
[12:31] 因為如果你是從過去五年、過去十年、過去十五年來看看輝達的報酬,他是少數一直在榜上的。
[12:40] 回答過去5年的總報酬是1019%,10年大概是14468%,15年是76248%,20年是63261%,不管是在過去5年、10年、15年、20年,它都是榜單當中漲幅第一。
[12:56] 所以它就是過去20年一直漲、一直漲、一直漲,當然中間會有非常多的波動,你要能夠留在市場當中。
[13:03] 這些人都已經證明了,不管是以前在做顯卡、做遊戲,到後來的AI浪潮,他做的事情,他其實也早就已經可以想清楚了,但他仍然在第一線鼓勵大家擁抱AI,這是非常值大家關注的重點。
[13:18] 好,那這是第一個角度我們看待一下股票市場在過去一周的表現。
[13:22] 第二,市場上的壓力仍然存在,是什麼原因導致我們希望股票可以創高,可是本益比又不願意給它高評價呢?這肯定跟利率環境有關。
[13:34] 因為在上禮拜原油價格周漲幅又高達了接近6%。布蘭特原油現在是每桶收在88塊,西德州大概82塊,就卡在這樣的一個區間。
[13:45] 雖然相對於今年3月到5月好很多,可是相對於去年一整年,大家看一下基期,去年的平均油價真的就是五六十塊,現在就一直維持在八十,那也是一個極大的通膨壓力。
[13:57] 雖然上禮拜公布的美國PPI算是明顯降溫,月增幅是零,可是我們還是要必須了解到,這種通膨的外溢效果,它會導致利率環境無法鬆綁,
[14:09] 那會讓接下來這些七巨頭的融資預期、融資規劃稍受到極大的沉壓。
[14:15] 我們從目前通膨數據來看也是如此,目前美加侖汽油價格大概4.07塊,跟2022年差不多,但是還是明顯比23年、24年、25年都還要來得高。
[14:25] 所以通膨那一直以來都是一個明顯的年增作用。
[14:29] 而且我們必須承認,這次通膨到底有沒有外溢效果?一個月沒有、兩個月沒有、三個月沒有,超過四個月差不多就要有了啦。
[14:36] 其實從伊朗戰事爆發以來,各大大宗資產的上漲幅度其實不小,所以不能夠僅僅說因為石油價格只有它漲,所以其他沒問題。
[14:47] 其實大多數資產價格都有非常明顯的外溢,漲最多是硫磺價格145%,歐洲天然氣價格從228到現在漲了92%,取暖油65%,航空燃油50%,柴油45%,汽油37%,稻米34%,棉花29%,一系列聚酯纖維也受到這種
[15:05] 油料耗材的損失或供應衝擊進一步上漲,棕櫚油上漲16%,小麥上漲14%。
[15:14] 當然,如果你是用年增幅來看,就直接用去年來進行對照,漲幅有的就更為極端了。
[15:20] 取暖油漲了92%、白鷹漲了72%、汽油漲了52%、銅價漲了47%、白金32%、鑫價漲了32%、黃金32%、小麥29%、鋁價27%、棉花26%、玉米23%、黃豆15%。
[15:35] 哇!都是雙位數字成長!你說有沒有好一點的數據?
[15:38] 有!咖啡值漲2%、活牛跌了2%、木材跌了7%、可可跌了34%。
[15:45] 可是你要知道,目前你看到這些在跌價的,很多都是這幾年已經漲很多的,然後現在開始稍微回檔而已。
[15:53] 它其實從體感上根本感覺不出來價格下跌,比如說咖啡豆、木材價格,前兩年那個飆到很離譜,甚至像是美國牛肉價格,疫情以來價格都已經翻了三倍了。
[16:05] 以前我們台灣,以前吃美國牛還有點顧忌嘛,剛開放的時候。
[16:10] 現在美國人自己都不夠吃了,還要跟阿根廷進口,餐飲成本現在也被迫抬高。
[16:16] 其實台灣已經有很多人吃牛肉已經習慣吃美國牛了,像我自己也慢慢開始習慣了,不管是牛排還是牛肉麵。
[16:25] 有時候我也是半夜兩三點,突然很想要吃一碗熱騰騰的牛肉麵,好險我都自己煮。
[16:33] 但是重點是,這種價格的外溢效果所形成的痛痛僵固性,的確會讓聯準會接下來的降息通道產生極大挑戰。
[16:43] 尤其,美伊戰事到目前為止仍然沒有十足的進展。
[16:47] 這一次美伊之間的衝突已經從短期的軍事行動變成了長期的消耗戰。
[16:53] 當時在去年6月的時候,大家還記得午夜之槌嗎?37小時向伊朗核設施投下了42萬磅的炸彈。短短幾天就天就結束當時的一個軍事行動。結果現在二月打,打到現在已經打半年了。
[17:10] 所以華許我們講說,雖然上任之後嘗試的減少對於利率路徑的明確指引,讓市場自行判斷,但是美伊戰士又沒有一個明顯的終局,難道你要認為我們藉由利率預期來逼你就範嗎?
[17:24] 所以我很好奇,華許會一輩子都不願意做前瞻指引嗎?
[17:29] 假設我們把10年其公債殖利率做多到4.8%、4.9%、5%呢?你都不喊話嗎?你都不會採取一定的措施或者一定的回應嗎?這是很重要的。
[17:39] 因為2026年的通膨問題,它已經不是單一各國問題,它是有明顯的全球同步正在加速。
[17:46] 你看美國CPI現在有3.4%,其他我們看到像是日本的部分、法國的部分、台灣的部分、歐元區的部分、波蘭的部分,
[17:56] 幾乎通膨都開始重新回到上行路徑。
[17:59] 那央行的表態其實又來得更為重要了。
[18:02] 更何況美國長期殖利率上行情況不只反映通膨,
[18:06] 它其實也反映著期限溢價正在快速上升。
[18:09] 從7月份聯準會FOMC會議以來,30年期的殖利率近升幅超過100%,幾乎都可以用期限溢價來解釋。
[18:18] 因為市場對於長期利率的預期反而還略下降。
[18:21] 說明什麼?說明現在大家不只是單純怕利率更高,
[18:25] 而是所有債券投資人都要求更多的補償,來承擔10年、20年、30年的政策路徑。原因很簡單。
[18:32] 第一,通膨降溫了,但是有外溢效果,壓力很大。
[18:35] 第二,華許刻意減少聯準會的市場前瞻之影,那我就把實質的期限溢價同步的做高。
[18:42] 所以在這樣效果底下,那你就要看華許到底願不願意做表態了。
[18:46] 要不然這種環境,那利率其實是很緊繃的,應該是沒辦法讓科技巨頭能夠放寬心的去發債。
[18:54] 當然,回過頭說,地緣政治的緊張也是讓通膨保持在高位的根本原因。
[18:59] 我們這一次知道伊朗戰爭加速了消耗庫存,五角大廈在上禮拜已經要求軍火商進行全面擴產。
[19:07] 那不只是中東問題,烏克蘭最近跟俄羅斯的衝擊,尤其是無人機的攻勢也創下新高了。
[19:14] 如果我們細看圖表,光是5月到6月,烏克蘭就已經成功攻擊了俄羅斯的煉油廠16次,創下單月的新高。
[19:22] 嚴重到美國希望烏克蘭可以停止攻擊俄羅斯的煉油廠。
[19:26] 以前都是俄羅斯不要做得太過分,不要攻擊民用設施,尤其是烏克蘭。
[19:31] 但是美國人叫烏克蘭人不要再打俄羅斯的煉油設施了。為什麼?
[19:35] 再打上去油價就壓不住了,所以打其他的,打軍用設施就好。
[19:39] 俄羅斯的煉油廠至少已經遭到了194次的攻擊,相對於去年同期已經增加了11倍。
[19:47] 光是在6月份,一個月俄羅斯就已經擊落了3萬2千架的無人機,嘗試的要攻擊煉油廠。
[19:54] 從這件事情就說明著,整個俄羅斯在7月份的雲油加工量,大概已經比平常少了三分之一,對於全球通膨的外溢效果也在陸續的整高。
[20:04] 另外一方面,黑海的航運風情也在慢慢的升高。最近烏爾站是因為一直攻擊黑海的商船,土耳其籍的船隻也遭受到波及。
[20:14] 最後土耳其已經宣布收緊達達尼爾海峽的通行,多艘原本要前往俄羅斯的重要油品和穀物被告知暫時不合法通行許可,必須要更長時間的審查,來向烏俄兩國施加壓力,你不要打到我的船。
[20:31] 這個是屬於中東的問題,還有屬於烏俄戰場的問題,嚴峻局勢的確比想像中還要來得更緊張。
[20:39] 在太平洋的另外一端,我們看日俄局勢最近也開始升溫了。
[20:43] 普丁上禮拜因為是踏上了日俄的爭議的地圖,叫做哲桌島。
[20:48] 高市早苗在上禮拜就隨即公開抗議,說此舉傷害日本的國民感情,完全無法接受。
[20:55] 這個哲桌島是在南千島群島,日本叫做北方領土。
[20:59] 除了哲桌島以外,日本也主張國後島、色丹島、上面這幾個島由日本來做領土的實質管轄。
[21:07] 不過真實的控制目前看起來是俄羅斯。
[21:10] 這項領土已經爭議很多年了,雙方無法簽譯和平條約,但是至少雙方都不願意登島,至少可以了解說還有可以溝通的空間。
[21:20] 不過這一次普京就直接登島了,他先前還視察俄羅斯太平洋的艦隊。
[21:25] 當然你說現在兩邊作戰那不太可能,難道日俄戰爭又蠢蠢欲動了?不太可能。
[21:30] 可是雙方一邊說談和平,一方面都在強化軍事和政治立場。
[21:35] 導致整體在日本海到北太平航,局勢再度緊張。
[21:40] 高市在上禮拜才剛剛正式成立日本國家情報局 由首相親自領導的國家情報會議。
[21:48] 因為日本以前是沒有國家情報局的,在二戰以後長期都分散在外務、防衛、或者法務、警察不同部門。
[21:56] 高市這次一覽大全,將整合各部會的情報提出綜合分析,主要推動日本改變的就是周邊環境不一樣。
[22:05] 中國、俄羅斯、北韓的壓力,帶來的軍事和情報威脅持續升高。日本以前都是靠CIA來供應情報,又很擔心未來總不能把情報跟國家安全完全外包給華府,最後還是得自己解決。
[22:20] 所以在上禮拜,高市早苗正式成立了國家情報局。
[22:24] 當然回過頭說,整體而言,在中太平洋,就是臺灣的部分,緊張局勢也一直都沒有緩下來過。
[22:32] 臺灣的局勢就是臺灣人自己不是很緊張,國外就一直做專題很緊張。
[22:37] 的確,中國對臺的灰色地帶行動正在從西側一路向東擴張。
[22:42] 這是天下做了一個專題,來了解到底五、六月份我們看到的實質臺灣海峽周邊情況為何。
[22:49] 看得出來,中國海警的確已經把維台變成了執法的常態,威脅可能比軍演還要來得更嚴重。
[22:56] 因為你看在金馬海域,幾乎頻率一天大概就四艘到五艘,每天就在那邊一直繞,繞進來趕走又繞回來,差不多就是這樣的一個態勢。
[23:07] 當然這會形成進一步的市場壓力。
[23:09] 最終我們看到,整體無人機的發展,就在這種地緣政治緊張的局勢底下,被迫推波助瀾。
[23:17] 川普在上禮拜也正式宣布對無人機課徵100%關稅,這說明美中的科技戰已經完全延伸到低空經濟了。
[23:25] 川普政府宣布對於進口無人機和零組件直接課徵100%關稅,其中重量超過25公斤,有特定敏感能力的無人機直接試用最高稅率。
[23:35] 一般小型無人機如果是商用的就課25%就好了,但是有排外,歐盟、日本、瑞士、台灣不用課這麼高的關稅,只要課15%就好。
[23:46] 英國是10%
[23:47] 那你要知道現在美國商用無人機市場最大的廠商是誰?
[23:51] 就是大疆嘛
[23:52] 所以大疆佔了70%
[23:54] 現在直接被課徵接近100%的關稅
[23:57] 那這一次要賭的就不是整機了
[23:59] 就賭中國領主艦
[24:00] 如果台灣用中國領主艦
[24:02] 照樣要課一樣的關稅
[24:04] 按比例來課徵
[24:05] 所以在這樣的一個效果底下
[24:06] 等於無人機大戰已經正式開始了
[24:09] 那中方其實也主動宣布
[24:11] 也要進行無人機的管制出口
[24:13] 雙方很明顯都在控制自己的籌碼
[24:16] 甚至在稀土戰層面又開始蠢蠢欲動。美國當然是跟歐盟、日本來投入數百億美元建立自己的關鍵礦物產業。
[24:24] 可是中國最近又開始逐步的收緊供應鏈政策,最近導致中國各類型的關鍵礦物價格開始水漲船高。
[24:32] 像種,種現在從25年以來每公斤已經突破2800塊了,2022年它才500塊。
[24:40] 烏的價格,現在因為中國已經幾乎停止供應給日本了,日本只好跟美國買,現在已經突破3000塊了,之前也才1000塊。
[24:49] 所以從一系列材料價格的大漲,都已經看到美中之間的稀土戰,已經開始影響到鄰近的一些中小國家。
[24:58] 那當然無人機產業的推行,就已經是勢在必行,現在美國有大量的訂單,向韓國、向日本、向中東、向烏克蘭來進行採購。
[25:07] 不過雙方的量體差距還是非常大。
[25:09] 如果我們就只看軍用無人機,現在中國的軍用無人機年產人大概是300萬到800萬架,取決於有沒有出口到烏俄戰場。
[25:20] 俄羅斯大概是500萬架到700萬架,烏克蘭是200萬架到500萬架。
[25:24] 那必須承認,就算是烏克蘭,其實大部分有一半以上也是中國運過去的。
[25:30] 中國無人機其實並沒有特別只供貨給俄羅斯,看起來是雙邊押注。那相對之下,台灣是多少?台灣也很多,台灣大概12萬架,在撇除正在打仗的幾國,在撇除中國,台灣已經產量算高的,美國大概10萬架,土耳其12萬架,伊朗15萬架,日本就很誇張,日本大概只有1000架而已,跟台灣甚至不是一個級別。
[25:53] 這也點出現代戰爭的新現實,就是過去軍工比的都是誰能造出最先進的戰機、飛彈和軍艦,現在比的是誰能用最低成本、最快的速度大量製造可以消耗的無人機。
[26:06] 無人機一家很便宜,但是可以摧毀數十倍甚至數百倍價值的裝備的時候,現在大量的生產能力已經被美國視為重要的國防能力了。
[26:16] 所以有時候我們要這樣想,的確從這個數據來看,那真的是落差很大,難怪美國這麼趕,也不商量,也不做逐步的關稅抬高,就直接課徵百分之百了,直接要停止任何中國的領土建進入到美國,開始瘋狂跟台灣跟日本或者其他國家來進行採購。
[26:35] 原因很簡單,有時候我們容易犯的錯,不是低估一件事情,是拿自己的尺度去衡量別人的世界。
[26:42] 投資世界也一樣,有些公司可能成長30%,你覺得很驚人,一個國家一年可以生產10萬架無人機,台灣都已經生產的比美國多了。
[26:53] 可是換一個競爭對手,換一個產業尺度,你才發現原來自己眼中的極限只是別人的基本盤。
[27:00] 所以你看那個數量就知道,的確台灣美國那個生產無燃機的數量跟中國的確它不是同一個量級,台灣已經創高了對自己來講,但是跟中國目前的產量比較起來,非紅供應鏈仍然有很長一段路要走,最後還是取決於大家的尺度看的不同,這個時候要瞬間來進行調整。
[27:19] 在網路上看,有一個非洲男人愛上一個白人千金。女生的爸爸看不起他,想娶女兒,先去哈佛拿學歷吧。結果男生真的去讀,半年之後,非洲男真的拿到學歷了。
[27:36] 爸爸說:「那你一個月可以賺一千萬嗎?」結果他真的去炒股票,炒到一個月可以賺一千萬,爸爸沒有招了。
[27:45] 最後說:「那最後一個條件,你那邊要有一公尺長。」男的沉默了一下:「為了你女兒,我撿。」
[27:54] 所以,人最容易犯的錯,不是低估一件事情,而是拿自己的尺度去衡量別人的世界。
[28:02] 更進一步的來看,現在一個國家它的武器夠不夠先進?另外一個國家想的可能是,我現在可以生產幾台無人機,夠便宜、夠快就可以了。
[28:12] 現在投資尺度對於軍事策略都是如此,所以你才可以看到為什麼現在改變的速度來得這麼快,突然之間關稅就已經課徵了,突然之間貨源就大量的來自烏拉台。
[28:22] 這是一個我們可以觀察到的一個世界的大變局,感覺這個世界的變化越來越快了。
[28:29] 事實上我們看到這一次前陣子我們不是看那個Top Gun 2嗎?
[28:33] 第六代戰機上次拍電影還是第五代
[28:37] 現在第六代戰機已經陸續推出
[28:39] 而幾乎第六代戰機預估都會採取無人僚機作戰
[28:44] 我們正常都是兩台飛機要一起飛要有僚機
[28:46] 現在預估僚機會大量的使用AI感測和數據系統
[28:51] 美方層面已經採取了新一代的一個更換思維
[28:55] 台灣其實也是如此
[28:56] 台灣最值得觀察的就是中央總預算
[28:59] 上禮拜終於過關了,三了480億,三減幅度從6%降到1.68%。
[29:05] 最重要的是什麼?是經濟部的無人機統籌計畫,80億預算,全數過關了。
[29:11] 與此同時,有634億接下來還會做細節探討。
[29:16] 不過,現在通過應該不會有什麼太大問題。
[29:18] 上禮拜消息一出來,雷虎、漢翔、河城、亞航、軍工概念股市全面漲停,因為正式過關了。
[29:26] 那一旦過關以後,代表著國防採購很快就會出來,有沒有機會能夠養出下一週的護國神山呢?
[29:32] 我們當然不能說每一次都這麼樂觀啦,台灣有很多國家隊的一個興建嘛,以前有那個生技國家隊,有那個風電國家隊,必須承認生技國家隊的效果沒有想像中來得這麼好。
[29:44] 風電國家隊,效果也許沒有達到飛鴻供應鏈,不過台灣是全球第五大的風電大國了,如果是從建制量來看的話。
[29:54] 所以必須承認,一個新的國家隊的成立過程當中,難免會有一點質疑。不過,既然朝野已經有共識,陸續過關以後,有兩個條件。一個,就是產業的興起,各大縣市都開始搶錢了。第二大,就是看一下,接下來美國的貨源和訂單量幅度會有多大,因為人家是真的有需求,我們都不用靠自己去爭取訂單的。人家的訂單,只要你有貨,現在正在瘋狂的下單。行政院這一次是大概投入600億左右。
[30:22] 中央資源會落腳何處?已經引發各地政府的競爭。
[30:27] 嘉義現在是有亞洲無人機人工智慧創新研究中心,也是政府最先投入的國家基地,我們預估可以拿到最多錢。
[30:34] 地方政府增最多的,主要還是來自一些2000億的國防自主無人機採購,或者無人機無人艇的21萬架的訂單,會由誰來拿?嘉義現在就是有基地優勢。
[30:47] 台中是精密製造和產業的巨弱,桃園有航空、有電子和物流條件。
[30:53] 現在預估,應該是比照 AI 伺服器模式,各地都會拿到一筆資金,讓各地依照研發、製造、測試和出口分工,來打造台灣無人機的供應鏈。
[31:05] 現在就不分藍綠了,所有縣市都在申請資金,希望可以獲得訂單,來扶植內部企業。
[31:11] 的確,台灣無人機現在最大的買家去年大部分都是捷克,捷克很明顯買到之後馬上就進烏克蘭了。
[31:19] 今年在6月到7月最大買家突然變成了沙烏地阿拉伯,單月採購金額就高達4720萬,這是23年以來的最高,一次就買了3000架,而且一架花很貴,一架買了1.45萬美元,是台灣出口到其他國家同類產品的十倍。
[31:39] 所以台灣莫名其妙,整個今年中旬無人機產業大爆發,因為中東正在瘋狂的採購,前兩年都靠烏鴉戰場在撐,現在靠中東戰場了嗎?以後有什麼戰場?看起來打越多,台灣無人機出口速度來得越快。
[31:54] 國防部大概也啟動了為期兩年,我說講的是美國國防部,大概有11億美元,大概是360億美元的無人機的採購計畫。
[32:04] 也就是在全球以每系訂單為準,預估會有數百億的資金鏈投散到全球各地。我們到時候就要看一下台灣能夠搶到多少訂單了。
[32:14] 當然我們做的不只是無人機,無人艇其實也是如此。台灣大家知道軍艦的確有高齡化的問題。
[32:21] 現在台灣95艘的軍艦當中,超過服務於50年以上的,已經有非常多了,大概有十幾艘。
[32:29] 部分兩棲或後勤艦甚至追溯到二戰下水時期,二戰打到現在都還沒有退役。
[32:35] 所以面對艦隊老化,目前到底是要更換新一輪的新艦,還是說可以把預算撥去採購大量的無人艇,這也是未來可以觀察的幾大方向。
[32:46] 但不管怎麼說,一個新的時代已經開始了。
