[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 第一次他的周文也發文道瓊指數將突破五萬點大關
[08:43] 畢竟國防產業軍工產業
[08:45] 本身就是一種科技力的展現
[08:47] 我們知道在上禮拜
[08:49] 其實魏哲嘉才跟高斯來做會面
[08:52] 還拿了他的書
[08:53] 在日本追加170億美元的投資
[08:56] 其中把奈米成績提前了
[08:59] 三奈米制程同步的落地
[09:01] 那這也不是一般同志新聞
[09:02] 它是一個很典型
[09:04] 我們看到在選前跟高市
[09:06] 所進行長達五到十年的
[09:09] 國家戰略補助補貼
[09:12] 以及長時間的半導體投資
[09:14] 那這樣的一個長期配置
[09:15] 某種程度而言就代表了
[09:17] 新的地緣政治環境已經逐步形成
[09:19] 我們過去跟投資朋友提過
[09:21] 在1980年代的時候
[09:24] 其實日本曾經一度靠低潤的技術
[09:26] 衝上全球半導體市佔的第一名
[09:28] 但之後因為產業策略的失誤
[09:31] 價格戰還有韓國臺灣代工模式的崛起
[09:34] 逐步的從機體戰場來撤退
[09:37] 市佔率一路從50%下滑到只剩下10%
[09:41] 後續龍頭地位要重新被美國給掌握回去
[09:44] 日本一直掌握在半導體制程的材料端
[09:48] 現在重新引進臺積電赴日盛場
[09:52] 來強化在地的製造和材料的裝置優勢
[09:55] 另外一方面也推動Reptus等國家隊的專案
[09:58] 來切近先進封裝
[09:59] 基本上都是做一個新的地緣政治
[10:02] 以及戰略佈局的調整
[10:04] 其實在日本九州的臺積廠
[10:06] 現在已經正在快速興建第二座工廠
[10:09] 目前也跟索尼來做合作
[10:11] 準備要建立起一個完整的半導體供應鏈
[10:13] 如果我們細看
[10:14] 整個九州為核心
[10:16] 已經變成半導體大洲
[10:18] 臺積電它先帶動先進製程來做投資
[10:22] Sony的部分做影像感測
[10:25] 三菱電機來擴建功率半導體的產線
[10:28] 東堅威立刻創則是設立製造裝置據點
[10:32] 那豐莊的話日月光也已經過去了
[10:34] 艾克爾就M-Core設立研發據點
[10:38] 創意的部分也在九州已經設立了子公司
[10:41] 代表整個九州大量的日商和臺商已經正式進駐
[10:45] 那當然休門生產是目前臺積電在海外擴散當中速度最快的
[10:49] 相對於Arizona和德勒斯登
[10:52] 目前施工進度產量最快的兩個州
[10:55] 一廠已經量產了嘛
[10:56] 二廠準備好了
[10:58] 三廠正在敲定當中
[11:00] 那其他地區我們看到
[11:01] 九州有這麼龐大的產能進入
[11:04] 其實都是由臺積電一開始帶頭的
[11:06] 所以在總統效果底下
[11:08] 對於半導體股
[11:09] 對於國防股
[11:10] 基本上未來是值得大家觀察的一大重點
[11:13] 當然我們要清楚知道
[11:14] 高市在高支援率底下
[11:17] 再度的掌握眾議院以後
[11:18] 其中最為關鍵的
[11:19] 就是民意的期待和現實制約的落差
[11:22] 高市雖然掌握了壓倒性的支援
[11:25] 但我們也知道
[11:26] 日本經濟還是有疲軟的問題
[11:28] PNI的疲弱
[11:30] 日元的疲弱
[11:31] 物價的持續攀升
[11:32] 大多數的家庭還是很明顯感受到吃緊
[11:35] 儘管政府也強調會改善實質行持
[11:38] 控制物價
[11:39] 可是過去幾任首相都做不到
[11:41] 高市有能力能夠做到嗎
[11:43] 中日關係也是一個棘手的領域
[11:45] 兩國經濟其實是高度依賴的
[11:48] 民間交易也比較熱絡
[11:49] 安全議題卻不斷升溫
[11:51] 挑戰政府必須要維持經濟利益
[11:54] 又必須要在安全議題上
[11:55] 不能夠示弱的平衡感
[11:57] 在這種效果底下
[11:58] 我們要如何觀察
[11:59] 現在日本大選以後
[12:01] 第一個迎來的炸彈是什麼呢
[12:03] 那就是政府稅收減少的問題
[12:05] 我們都很清楚知道
[12:06] 這一次高市最大政見
[12:08] 就是進行消費稅的減免
[12:10] 尤其是針對食品消費稅
[12:12] 在這一次集中醫院大選當中
[12:14] 大家都把減稅視為重要目標
[12:17] 高市的目的是把食品消費稅
[12:20] 暫時降為0%
[12:21] 兩年的時間作為選舉主軸
[12:23] 那當然這樣的一個效果
[12:25] 馬上就迎來新一波
[12:27] 市場上針對稅收預期下滑的疑慮
[12:30] 加上日本內部
[12:32] 現在社會保障
[12:33] 改革一直在被擱置
[12:34] 高市是否會趁這一波高民意
[12:37] 進行全面性的社會福利改革
[12:39] 畢竟目前日本尤其在醫療
[12:43] 長照保費的問題
[12:44] 壓力一直都很大
[12:45] 那麼如果能夠順勢的進行改革
[12:48] 就代表著讓日本的財務
[12:50] 稅收結構來得更為健康
[12:52] 但是如果無法接下來
[12:53] 順勢的改革成功
[12:55] 那我們幾乎就可以肯定一項事實
[12:57] 那就是日本的財政赤字
[12:59] 即將會持續爆發
[13:00] 其實我們從25年到26年
[13:03] 當時日本政府的試算
[13:04] 基本上在這兩年
[13:06] 基準的財政收支就應該要轉正了
[13:09] 不過現在預估
[13:10] 即便到今年年底
[13:12] 高市即便做了財政上的調解
[13:14] 也回不來
[13:15] 內閣府是估計
[13:16] 26年中央和地方政府的基礎收支
[13:19] 會出現8000億日元的赤字
[13:21] 那關鍵就在於
[13:23] 25年當時編列了18.3兆的日元的補正預算
[13:26] 不止創下金額的疫情後行高
[13:28] 部分支出啊
[13:29] 延到2026年執行了
[13:31] 所以2026年也不能怪高市
[13:33] 讓政府赤字率拉昇
[13:35] 而是因為前面幾任首相啊
[13:37] 他有很多錢不夠
[13:38] 都已經先借到2026年來了
[13:41] 所以單一年份
[13:42] 今年應該還是一定會赤字
[13:43] 就代表著日本本土國債GDP的比值
[13:47] 仍然非常高
[13:48] 大概是接近250%
[13:49] 遠遠高於歐洲五國
[13:51] 或者美國英國等發達市場的水準
[13:54] 這就代表著日債的拋售
[13:56] 看起來不會因為高市的當選而趨緩
[13:58] 日本債市在今年基本上是一路的受到市場賣壓
[14:03] 十年期公債殖利率已經逼近2.5%
[14:05] 超長天期甚至來到4%以上
[14:08] 這使得股票的相對吸引力有可能被侵蝕
[14:11] 我們的邏輯就是
[14:12] 那就代表著債券一直不值錢
[14:14] 所以股市值錢
[14:15] 可是如果殖利率來到3%
[14:17] 現在來到4%
[14:18] 以後來到5%
[14:20] 後來你買日本國債
[14:21] 你可以拿到10%殖利率
[14:22] 那你當然會對於股票市場開始形成沉壓
[14:25] 因為債券越來越香了
[14:27] 因為它跌幅有點太重了
[14:28] 所以我們要觀察重點在於
[14:30] 如果日債想要不往上拋
[14:33] 幾個角度
[14:34] 第一個是日本的財政一定要可控
[14:36] 不能夠亂花錢
[14:37] 擴張性的財政支出
[14:39] 它要選對產業來支出
[14:41] 不能進行全面性廣泛的普發現金
[14:44] 第二件事情
[14:45] 就日本通膨不能失控
[14:46] 如果日本通膨失控
[14:48] 市場的預估升息路徑可能會來得更強
[14:51] 那就代表著市場上
[14:52] 針對利率資源就會越來越高
[14:55] 債券的國債拋售就越來越大
[14:57] 那我們知道
[14:57] 在去年12月份的核心通膨
[15:00] 日本還是有2.4%
[15:02] 這還是相當高
[15:03] 遠遠高於臺灣的1.3%
[15:05] 大概是臺灣的兩倍
[15:07] 中國只有0.7%
[15:09] 那你要知道
[15:09] 即便它已經放緩這麼多
[15:11] 整體通膨對於市場壓力還是很大
[15:14] 大家想一想
[15:14] 我們參議院選舉其實才沒有多久
[15:17] 日本去年自民黨
[15:19] 在參議院大辦的一個根本原因
[15:21] 變成高市早描上臺
[15:22] 就是因為日本稻米價格的全面失控
[15:25] 當時我們看到
[15:26] 很多自民黨為了要爭取都市選民的支援
[15:29] 在物價上長期冒著失去年長
[15:32] 減少這些農村選票的風險
[15:35] 特別是稻米農民幾種的興奮
[15:37] 當時這些人全部都投給其他小黨了
[15:41] 原因很簡單
[15:42] 就是因為你們已經為都市選民
[15:45] 徵求利益時代太久了
[15:47] 但是忽略了我們看到
[15:48] 這段時間的稻米價格的失控
[15:50] 稻米價格在2024年以來
[15:52] 整體而言在日本已經翻了
[15:54] 接近有兩倍左右
[15:55] 在種種情況底下
[15:57] 高市最大的一個問題
[15:58] 就是財政支出減稅是減稅
[16:01] 減稅是否代表物價一定會下滑呢
[16:03] 或者通膨能夠趨緩
[16:05] 我們過去提過
[16:06] 日本雖然告別了30年的通縮
[16:08] 但是通膨並沒有提升多少的幸福感22年以來日本的物價大幅攀升東京迪士尼票價從9400日元上漲到10900日元漲幅16%東京地鐵漲幅6%
[16:21] NTT日本光鮮費用漲幅有4%
[16:24] 日本麥當勞漢堡漲幅73%
[16:27] 大阪王將漲了38%
[16:29] 吉野家漲了17%
[16:31] 貴宿寺漲了5%
[16:32] 家庭用品洗衣精漲了39%
[16:35] 衛生紙漲了24%
[16:37] 洗髮精也漲了11%
[16:38] 那我們也知道剛才跟投資朋友聊過
[16:41] 因為現在整體日本央行仍然在緩步縮表之路
[16:45] 而日本央行所持有的日本國債是接近52%
[16:49] 這代表著基本上只要他不買
[16:51] 這個毒藥就無法打下去
[16:53] 所以在種種效果底下
[16:55] 如果呢
[16:55] 如果無法快速的抑制有效的通膨政策
[16:59] 那我們知道日債的拋售在高市任期應該還是不會結束
[17:03] 我們過去跟投資朋友提過
[17:05] 日本現在已經成為了
[17:06] 全亞洲通膨最嚴重的經濟體
[17:08] 很多日本的大量的風俗店
[17:11] 桑拿店
[17:12] 情趣酒店
[17:13] 也因為法規成本的上調
[17:15] 掀起一波的漲價潮
[17:17] 影響很多男性夜生活的消費模式
[17:19] 尤其在去年
[17:21] 風俗營業法修正以後
[17:23] 營業的規定就變得很嚴格
[17:24] 現在像是交通費
[17:25] 像是照片指名費
[17:27] 入場費
[17:28] 平均至少調漲2000日元起跳
[17:31] 尤其在民股大板
[17:33] 同時反映在指名費和入場費
[17:35] 那對於很多中高年男性來說
[17:38] 風俗業的價格上升壓力已經很沉重
[17:40] 上班已經很累了
[17:41] 部分定價現在還出現那種模糊定價
[17:44] 高通膨策略令人防不勝防
[17:47] 很多人是感到無奈
[17:48] 只好降低自己喝茶的頻率
[17:50] 但種種訊息來說就說明著
[17:53] 如何讓物價程度有感的下滑是最大重點
[17:56] 我們舉例來說
[17:57] 張圖表示日本企業的破產數量
[18:00] 在疫情以後
[18:02] 我們看到就緩步的攀升
[18:03] 24年突破1萬件
[18:05] 到25年已經來到1萬2000件
[18:07] 這個是過去10年來最高的記錄
[18:10] 也就代表著
[18:11] 日本曾經在08年以後的海量貨幣寬鬆
[18:14] 讓中小型企業可以抑制住物價
[18:17] 但是同時間總體股票資產不斷創高
[18:20] 可是這段時間不一樣了
[18:21] 因為開始升息了
[18:22] 開始縮表了
[18:24] 高通膨來了
[18:24] 很多小型企業被迫倒閉
[18:27] 我們過去講說
[18:28] 一個最艱難的處境
[18:29] 就是你要麼就漲價
[18:32] 你要麼就是要維持住當前的成本
[18:35] 日元貶值輸入性通膨
[18:37] 一方面
[18:37] 其實顧客大部分都已經有通收環境了
[18:40] 你30年物價都沒怎麼變過
[18:42] 現在居然要調漲
[18:43] 我們之前講過大阪王這樣的例子
[18:45] 當時的模擬售價是
[18:47] 如果從290塊一路調升到460塊
[18:49] 後來會發現
[18:50] 有調漲的價格
[18:52] 有利於單吃客人的收入
[18:54] 但是會讓你的顧客
[18:56] 忠實顧客再也不願意回來
[18:58] 這會形成很多日本中小型企業的最大壓力
[19:01] 尤其日銀為什麼現在可能更為偏好的是壓低日元
[19:06] 而並不是採取進一步升息
[19:07] 就是面臨現在中小型企業的難關
[19:09] 日本央行已經意識到這件事情了
[19:11] 不能單靠資料來決定要升息或者降息
[19:14] 而必須根據體感溫度
[19:16] 我們舉一下的時候
[19:17] 張圖表示日本的每個月薪資
[19:18] 我們看紅四線
[19:20] 其實從2021年以來
[19:22] 日本每個月薪資都還在正成長
[19:24] 平均大概是2%左右
[19:25] 可是你看一下每個月的實質薪資
[19:27] 從2021年以來
[19:29] 基本上沒有超過三個月是保持在正值
[19:33] 就代表著每個月日本的通膨
[19:35] 都比薪資增幅來得高
[19:37] 實資購買力正在衰退
[19:39] 我們再看看臺灣
[19:40] 臺灣2021年到23年是也蠻慘的
[19:43] 實資薪資也是轉負
[19:44] 可是從2024年開始就開始集體之追
[19:47] 拉昇幅度就開始加快
[19:49] 而且到現在為止
[19:50] 整體實資薪資年增幅已經高達2%了
[19:53] 這就代表臺灣薪資大概是增長3%
[19:56] 因為臺灣現在薪資
[19:57] 現在通膨大概只有1.3
[19:59] 所以按照這樣的一個效果
[20:00] 臺灣的勞動力市場
[20:02] 其實是看起來比日本還要來得更好的
[20:04] 在這樣效果底下
[20:05] 高市的一系列政策
[20:07] 能否讓通膨顯著降溫
[20:09] 進行供給側的改革就很重要
[20:11] 最終根本目的
[20:13] 就是要改善當前的經濟環境
[20:15] 這個通膨它只是一個因
[20:17] 它的果是什麼呢
[20:19] 第一個是我們看到
[20:20] 日本的下流老人
[20:21] 根據日本律師聯合會的調查
[20:23] 過去20年30到50歲
[20:25] 破產的比例大致呈現下滑或者持平
[20:29] 可是60年代
[20:30] 就是60到69歲
[20:31] 或者70年代
[20:32] 70到79歲卻快速的上升
[20:35] 其中一個根本原因
[20:36] 就是因為退休金不足
[20:37] 就是很多老人家真的以為
[20:39] 自己不用做投資了
[20:40] 原因很簡單
[20:41] 不相信接下來物價會上漲
[20:44] 我已經通縮20年了
[20:46] 哪有可能五年內
[20:47] 就大幅度的改變環境
[20:48] 結果發現真的不夠了
[20:50] 再來就是醫療和租金負擔
[20:52] 快速拉大
[20:53] 原本以為醫療費用
[20:55] 它的保障還有租金價格應該很穩定
[20:57] 結果因為可能家人離開了
[21:00] 上偶收入中斷
[21:01] 直接導致物價上升壓縮生活空間
[21:04] 所以這跟過去我們看到
[21:06] 通常破產潮都是中壯年主導的
[21:09] 因為你承擔風險
[21:10] 現在日本最大的破產者
[21:12] 大部分都是集中在老年型破產
[21:15] 也就是你已經沒有能力再進行就業
[21:17] 但是你又是高齡
[21:19] 而且很多人活在泡沫經濟時期
[21:21] 認為經濟已經不再上漲了
[21:23] 結果因為疫情之後的高通膨
[21:25] 大幅喪失購買力
[21:27] 我們現在看到像上野公園
[21:28] 很多日本的公園去領取救濟補貼的排隊人數
[21:32] 其實是越來越長的
[21:33] 這個就是其中一個典型
[21:35] 那第二個典型是什麼呢
[21:36] 要如何轉化這群人對於高市的持續支援
[21:40] 我們講的日本冰河期時代
[21:42] 就是1980年代的人
[21:44] 他進入社會的這群人
[21:45] 年輕時被經濟冷落
[21:47] 年老時又被社會福利給壓縮
[21:49] 走不出30年的冰封時代
[21:51] 廣志就是這一段人
[21:53] 就是這一代人
[21:54] 那其實目前的通膨高漲
[21:55] 你要如何轉化這群人的契機
[21:58] 就是一個非常重要的觀察重點
[22:00] 這是第二項
[22:01] 就是從根本原因來看
[22:03] 那第三項呢
[22:04] 是對外政策
[22:05] 我們知道高市一直對於海外外國人政策
[22:08] 相對是比較嚴謹比較謹慎的
[22:10] 其實這兩年我們看到
[22:12] 外籍人口的移工人數
[22:13] 在日本已經正式突破四百萬人
[22:16] 那這麼龐大的人數
[22:18] 基本上會有管理上的困難
[22:20] 也會有本土就業者認為被壓縮空間
[22:23] 但其實海外移民現在早就已經是日本人口成長的主力
[22:28] 綠色線是總人口
[22:29] 08年以後我們看到達到1億2800萬的高峰
[22:33] 紅色線的部分是外國人口
[22:35] 從1980年代不到80萬
[22:37] 現在已經來到接近250萬
[22:39] 還在持續上升
[22:41] 現在我們平時在機場 唐吉科的Lawson
[22:44] 其實越來越容易遇到那些尼泊爾的移工
[22:47] 這是第一個
[22:48] 對於移民政策會開始去嚴格
[22:51] 那第二項呢
[22:52] 是針對訪日客的創新
[22:54] 剛才講到
[22:54] 因為移民如果政策相對變得嚴格
[22:57] 那其實也就意味著
[22:59] 日本的勞動力供給稀缺
[23:01] 會來得更為顯著
[23:02] 薪資成本壓力可能會來得更重
[23:05] 那第二個是日本觀光業
[23:06] 我們過去提過
[23:07] 日本在2025年的訪外的
[23:09] 訪日的外國旅客人數
[23:11] 是4270萬人
[23:13] 其的消費金額也衝高到9.5兆日元
[23:15] 在內需成長有限
[23:17] 人口持續下滑的情況底下
[23:19] 觀光換住宿業成了少數還在擴張的產業
[23:23] 可是我們也知道
[23:24] 內部其實已經有相當多的反感
[23:26] 所以接下來
[23:27] 不管是由中央還是地方
[23:29] 是否會採取一系列的
[23:31] 我們看到旅宿費旅宿稅的政策
[23:34] 可能性其實非常高的
[23:36] 去年日本有4000萬名旅客
[23:38] 平均一個人會花費23萬日元
[23:41] 大概是貢獻了9.2兆的日元的觀光收入
[23:44] 整體到2030年
[23:45] 整體消費金額大概還會在成長
[23:47] 接近有10%左右
[23:48] 那是否會開始趨於嚴格
[23:50] 後續也可以觀察
[23:51] 再來就是日本對於外國人政策
[23:53] 尤其是留學生政策
[23:55] 這一次呢
[23:56] 日本其實內部已經開始在討論
[23:58] 是否要提高留學生學費的討論
[24:00] 原因在於很多人認為先進國家
[24:03] 本來就應該向外國的學生來收取
[24:05] 比本國學生更高的學費
[24:07] 那日本長期是一視同仁
[24:09] 等同於日本人和中國人
[24:11] 臺灣人都收一樣的學費
[24:12] 但現在少子化
[24:14] 國內大學財政又吃緊
[24:16] 調漲留學生的費用看起來是一個合理又直接的方式但問題在於它也會牽動整個高校定位和國際競爭力當然高市的政策一直都是相對硬派其中一個原因是來自於
[24:28] 美國留學生政策這幾年收緊以後
[24:31] 中國留學生是大量的轉往日本來留學
[24:34] 即便中日之間有歷史情仇
[24:36] 但是失儀長計以至於
[24:39] 對於中國激烈的升學競爭相比
[24:41] 很多我們看到中國人還是更為偏好日本學校
[24:45] 一方面是日本的國際學校
[24:47] 中學的入學門檻比較低
[24:50] 簽證更容易取得
[24:51] 也能夠獲取更多的西方的尖端知識
[24:54] 每年現在中國到日本的留學生
[24:56] 平均一年大概是13萬人
[24:58] 而且人數看起來是越來越多
[25:00] 美國是越來越少
[25:01] 但中國過去日本的人數是越來越多
[25:04] 它直接造成了一個效果
[25:05] 東京部分豪華新建監獄
[25:08] 被中國人給買光了
[25:10] 包括23區70平方公尺的房型
[25:12] 平均已經衝上1.46億日元
[25:15] 遠遠超過大多數所的家庭
[25:18] 能夠負擔的範圍
[25:19] 尤其如果我們細看
[25:20] 張圖表示三菱銀行的調查
[25:22] 在東京的都心三區
[25:24] 就千代田港區和涉國
[25:26] 新建公寓當中
[25:28] 外國人購買的比例
[25:29] 2024年是16%
[25:31] 到2025年是21%
[25:33] 就代表著現在在日本
[25:35] 最都心三區
[25:37] 每五間公寓
[25:38] 只有一間是外國人購買的
[25:40] 其中旅宿業購買情況也非常快
[25:43] 中國正在以驚人速度來收購日本的度假生地
[25:46] 根據日經調查
[25:48] 過去一年有67處的旅遊設施
[25:50] 已經落入中國資本手中
[25:52] 包括北海道、二世古、富良野、長野縣的白馬
[25:56] 或者我們看到像是日光、納須、神奈川的香根等等
[26:01] 有大量的中國旅宿業正在進入
[26:03] 到2026年在日的中國人就會突破100萬人
[26:07] 所以在這樣的一個情況底下
[26:08] 也對於日本當地形成壓力
