[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 一个接着一个来
[03:55] 就又因为封锁反制措施再度的逆转
[03:58] 那部分船只啊
[03:59] 还尝试着想要关闭定位讯号
[04:01] 来直接通过
[04:02] 我们看CBS的新闻都可以了解到啊
[04:05] 那很多游人本来就要准备冲出去了
[04:08] 在冲出去的那一刻
[04:09] 居然收到消息又封锁了
[04:11] 裁判可以让人家开了又关
[04:13] 关了又开吗
[04:14] 现在叫做标准的薛丁格的海峡
[04:17] 哎我又开了我又关了
[04:18] 打我啊笨蛋
[04:20] 那川普啊
[04:21] 当然对于这件事情啊
[04:22] 也非常不滿
[04:23] 因為雙方說好要一起開放海峽的
[04:25] 但是伊朗單方面的再度封鎖海峽
[04:28] 川普在昨天發文表示
[04:31] 伊朗在荷姆茲海峽
[04:32] 向船隻開火已經違反了停火協議
[04:35] 強調如果不接受美方的條件
[04:37] 會針對伊朗境內的發電廠和橋樑等關鍵基礎設施
[04:41] 之間發動攻擊
[04:42] 那美國代表團預估在今天左右就要抵達巴基斯坦了
[04:47] 川普也指出
[04:48] 海峽封鎖已經對於伊朗每天造成5億美元的損失
[04:51] 所以这段时间各国还是可以向美国来下取订单
[04:55] 但整体讯号很明显
[04:56] 要求在这次谈判就把事情给谈妥
[04:59] 所以在这样的一个效果底下
[05:01] 我们看之后到底会呈现什么样的局面
[05:05] 毕竟巴基斯坦现在的看法
[05:08] 巴基斯坦现在全国大停电了
[05:10] 搞不好代表团到了巴基斯坦没有电可以用
[05:13] 应该不太可能
[05:13] 但是我们已经有知道
[05:15] 这种能源的外溢效果
[05:17] 其实已经在4月中旬向外开始衍生
[05:20] 这一次美军也不是说说而已
[05:22] 我们看到稍早两个小时之前
[05:25] 美军已经在阿曼湾截停扣留一艘悬挂伊朗旗帜的货船
[05:30] 该船尝试着要突破美方的海上封锁
[05:33] 你说美方不是不封锁吗
[05:35] 美方封锁
[05:36] 但美方是专门针对伊朗进出的港口封锁
[05:39] 伊朗是针对所有船只进行封锁
[05:42] 美国的驱逐舰在多次警告无效之后
[05:45] 在刚刚几个小时之前已经登船进行控制
[05:48] 理由就是该船涉及非法活动
[05:51] 并且它是遭遇制裁的
[05:52] 所以不能够做任何通行
[05:54] 那伊朗方面在两个小时之前
[05:56] 也强烈的反弹
[05:57] 透过军方机构潜舌
[05:59] 这样的一个举动
[06:00] 是海上的海盗行为
[06:02] 伊朗指责别人是海盗
[06:04] 所以局势也反映在市场身上
[06:06] 原油价格虽然距离破高有一段距离
[06:08] 但是刚刚布兰特边
[06:10] 有一度大涨了接近有7%
[06:12] 所以双方呢
[06:13] 到底现在有没有要针对第二轮的谈判
[06:15] 看起来是有的
[06:17] 不过呢在第二轮谈判之前
[06:19] 我们看得很清楚
[06:20] 现在美方和伊朗方
[06:22] 都尝试的要拥有更多的谈判筹码
[06:25] 伊朗的谈判筹码是什么
[06:26] 是开放海峡
[06:27] 所以他先封锁海峡
[06:29] 谈判筹码就可以开放海峡了
[06:30] 那美方呢封锁伊朗的邮轮
[06:34] 封锁伊朗的经济能力
[06:35] 那谈判条件是什么
[06:37] 放松伊朗的经济能力
[06:38] 所以双方都在为第二轮谈判来做准备
[06:41] 这还是蛮符合我们过去所讲的
[06:43] 打是为了谈
[06:44] 谈是为了打
[06:46] 谈不够那就再打一点
[06:47] 获取更多的筹码
[06:49] 为了下一次的谈判
[06:50] 所以我们看到大量的LNG船
[06:52] 在过去一天是大规模的掉头
[06:55] 全球能源供应再度陷入到极速
[06:57] 原本这批是由卡达出发
[07:00] 在波斯湾已经滞留超过一个月的LNG船
[07:03] 现在是部分已经回到卡达的水域
[07:06] 那有另外一部分
[07:07] 它就卡在荷姆兹海峡外面
[07:10] 就等着会不会随时准备完全开放
[07:13] 但实际情况
[07:14] 已经出现了枪声的通报
[07:16] 或者航运的混乱
[07:18] 甚至我们昨天才有看到
[07:20] 印度级邮轮的录音还传出来
[07:22] 当时印度级邮轮本来收到消息
[07:25] 它是在清单当中的第二名
[07:27] 就可以直接顺势通过
[07:28] 结果通过到一半的时候
[07:30] 就受到船只的一个攻击
[07:32] 或者是用枪声的示警
[07:35] 要求印度邮轮立即返航
[07:37] 印度外交部在昨天也正式表态
[07:40] 在当晚已经召见了
[07:41] 伊朗的驻新德里大使
[07:43] 由外交秘書親自會面
[07:45] 來討論兩艘印度級的商船遭受到射擊的事件
[07:49] 表達高度的關切
[07:50] 那伊朗呢
[07:52] 承諾會對內進行加速的討論
[07:56] 來商討這一次的事件對於印度可能造成的衝擊
[07:59] 可能啦我猜啦可能伊朗人說再往前開我就要開槍啦那印度人呢一直喊不要不要嘛不要就一邊搖頭嘛那伊朗人可能伊朗人说再往前开我就要开枪了那印度人一直喊不要不要不要就一边摇头那伊朗人可能误以为在印度摇头就是yes
[08:12] 就真的开枪
[08:13] 所以接下来看起来
[08:15] 这个不管是印度巴基斯坦
[08:17] 即便跟伊朗之间关系稍微和缓的国家
[08:21] 似乎也无法现在顺势的通过海峡
[08:24] 所以到底整个海峡的情势
[08:26] 到底是变放宽松了
[08:28] 还是变得更为紧迫呢
[08:31] 这很难说
[08:32] 所以荷姆兹海峡开了又关关了又开
[08:34] 市场就变成一种赌剧本的事态了
[08:37] 我们举例来说
[08:38] 根据Polymarket市场的赌盘
[08:39] 目前认为荷姆兹海峡会回到原点的情况
[08:45] 再度下滑到22%的几率
[08:47] 认为美国和伊朗可以在4月30号以前
[08:51] 达成永久的和平协议
[08:53] 从原本几率接近65%
[08:55] 现在大幅下滑到剩下35%左右
[08:58] 市场又拆肚的呈现割裂
[09:01] 那原油价格现在到底是多少呢
[09:03] 其实现货价格跟期货价格
[09:05] 我们知道已经有陆续脱钩的迹象
[09:07] 油价其实会因为种类时间地点不同而差很大
[09:11] 像美国内陆一桶原油可能只要70多美元
[09:14] 但是在亚洲或者在战区附近
[09:16] 目前实际到岸价格可能已经冲高到150到200了
[09:20] 不是什么现在看到的100到120
[09:23] 是很多亚洲油价的实质现货价格
[09:26] 已经冲高到1800 200了
[09:28] 我们举几个例子来说
[09:29] 你看沙烏地阿拉伯
[09:31] 对于欧洲的阿拉伯原油
[09:33] 目前对于布兰特期货的
[09:35] 这个价格溢价
[09:37] 现在是一路飙升
[09:38] 而整体而言
[09:39] 甚至冲高到历史新高了
[09:41] 这代表说的事情是
[09:42] 期货价格反而认为
[09:44] 暂时不会维持太久
[09:46] 油价迟早跌得回来
[09:47] 可是现货价格
[09:48] 已经非常非常紧迫
[09:50] 市场愿意为拿得到现货
[09:52] 而付出非常高的额外代价
[09:55] 在这样的一个效果底下
[09:56] 本身运油也变成了成本主体
[09:59] 我们看从波斯湾到日本的VLCC运价
[10:02] 每桶现在要15美元
[10:04] 原油才多少钱
[10:06] 每桶运价叫15美元
[10:08] 已经高到几年前整桶原油的价格水准了
[10:11] 代表能源压力正在从供应链延伸到物流端
[10:15] 背后就是航道的不确定性所造成的冲击
[10:18] 甚至现在全球原油价格的脱节
[10:21] 应该已经来到了过去
[10:23] 乌俄战事以来的最大
[10:25] 一整套分裂的价格
[10:26] 举例来说
[10:27] 你看实体原油
[10:28] 比如说已经飙到110
[10:30] 有到130的
[10:31] 但金融市场
[10:32] 布兰特原油
[10:33] 希德州原油
[10:33] 8 90块
[10:34] 那两者也脱钩太明显了
[10:36] 更关键的事情是
[10:37] 其实北美内陆的原油
[10:40] 甚至只有70多块
[10:41] 所以美国内部有没有压力
[10:43] 有
[10:43] 可是美国现在享受的原油冲击
[10:46] 仍然远远低于亚洲市场
[10:49] 你说台湾没什么影响
[10:50] 那台湾政府影响很大
[10:52] 台湾政府也不可能
[10:53] 这样子补贴一辈子的
[10:54] 压力还是很大
[10:55] 整体而言
[10:56] 美国市场担心的
[10:57] 还是通膨外溢效果
[10:59] 而并不是立即缺油的风暴
[11:01] 美国对于伊朗的军事行动
[11:02] 的确正在产生
[11:04] 一种延迟性的通膨
[11:05] 我们根据INF
[11:06] 在本周目搜释出的报告
[11:08] 原本预估通膨路径
[11:09] 今年会陆续的往下调
[11:11] 所以联准会本来
[11:12] 今年是有陆续宽松的条件
[11:14] 但这一次
[11:14] 云油价格已经连续两个月
[11:16] 维持在高档
[11:17] 美国通膨在三月份
[11:18] 已经升到到3.3%
[11:20] 柴油价格接近历史高点
[11:22] 那柴油会影响所有产业吗
[11:24] 从运输到农业到制造都无法避免
[11:27] 这种成本
[11:28] 差不多为止两个月
[11:29] 就一定要往外扩散了
[11:31] 包括航空票价
[11:32] 食品价格
[11:33] 日用品未来都有可能被迫要跟涨
[11:36] 那现在第一层压力是什么呢
[11:38] 就是由肥料价格上涨
[11:40] 所进程的农粮价格
[11:41] 其实过去一周我们看到
[11:43] 原油价格是回跌的
[11:44] 因为战事谈判有谱
[11:46] 西德州一周就跌了15%
[11:48] 热南油跌了11%
[11:51] 布兰特原油跌了9%
[11:52] 其他一些软性商品也在下跌
[11:55] 汽油价格跌了3.57%
[11:57] 可是你看过去一周涨最多的
[11:59] 第一是白银涨了8.16%
[12:01] 它本来波动性就比较大
[12:02] 可是一些软性商品和贵金属也开始上涨了
[12:05] 棉花价格涨了4.16%
[12:07] 其他像是玉米天然气小麦木材开始向外上涨
[12:12] 尤其现在美国内部
[12:14] 根据国家海洋大气总署的评估
[12:18] 从4月初开始
[12:20] 美国有48个州
[12:22] 60%的地区已经陷入了不同程度的干旱
[12:25] 那现在刚好是春季播种期了
[12:28] 对于农业形成重大影响
[12:30] 那当然美国的肥料不是那么大程度取决于中东
[12:34] 可是澳洲还有东南亚各国是来自于中东地区
[12:37] 而南部地区在美国甚至已经出现了极端的干旱
[12:40] 影响甘蔗稻米花生等作物
[12:43] 那更麻烦的事情
[12:44] 这也影响到畜牧业
[12:45] 因为美国牛之数量
[12:46] 已经降到1950年代的最低了
[12:49] 干旱很有可能会迫使牧场
[12:51] 进一步的缩减规模
[12:52] 所以我们以前才
[12:53] 虽然台美关税谈判问题
[12:56] 有谈到美牛或者内战问题
[12:58] 但不是特别担心的原因就是
[13:00] 美国牛越来越少了
[13:01] 美国牛自己人都吃不太够了
[13:03] 因为没有人要经营
[13:04] 那随着饲料有可能会进一步的上涨
[13:07] 就有可能导致
[13:08] 美国本土牛生产的速度越来越慢
[13:11] 所以这样的一个全球农业冲击的外溢效果
[13:15] 它就逐步的涌现
[13:16] 那当然传导到服务价格就回不去了
[13:18] 现在都是商品价格在涨
[13:20] 可是我们并没有看到
[13:22] 因为中东战事
[13:23] 所以我的服务成本
[13:25] 我的员工薪资要被迫调高
[13:27] 没有到这样的一个状态
[13:28] 可是服务价格已经陆续往航空业来进行传导
[13:32] 我们看全球航空业
[13:33] 目前正在被燃料成本压到极致
[13:35] 航班的缩减潮正在全面扩散
[13:38] 我们看荷兰皇家航空
[13:40] 在本周正式宣布
[13:41] 取消数十个往返的航班
[13:43] 联合航空
[13:44] 应该讲汉沙航空
[13:46] 或者国泰航空
[13:47] 台湾也是
[13:48] 有部分班次都开始缩减了
[13:50] 5月全球运能大概下修3%
[13:53] 更严重的事情是
[13:55] 这是供应本身开始吃紧
[13:56] 欧洲航空蓝油
[13:58] 大概是6周左右的库存
[14:00] 最多撑到6月中旬
[14:02] 多家航空公司也无法预测
[14:04] 中期蓝料的供应状况
[14:06] 毕竟蓝油成本是直接上升
[14:08] 40%到50%
[14:09] 但票价如果涨40% 50%
[14:12] 好像也有人这样子直接调涨
[14:14] 但是一定会引起公愤的
[14:17] 所以这一次包括停飞长途的航线
[14:19] 淘汰耗油的机型
[14:21] 甚至直接退出部分市场
[14:23] 已经变成航空公司的选择
[14:25] 这都是进一步通膨外溢的效果
[14:28] 所以我们现在要做的事情就是观察
[14:29] 原油价格
[14:30] 第一不能够再创高
[14:32] 第二要尝试的开始去抑制住这种外溢通膨
[14:35] 先从农粮价格扩大供给
[14:37] 或者不同的供应链调整来开始
[14:40] 尝试的要把这个通膨
[14:42] 就压在农粮价格就好
[14:44] 如果一路往下延伸到下游端
[14:46] 那可能就不可逆了
[14:48] 当然市场上虽然股票市场晶晶涨
[14:51] 但是我们也看到避险情绪
[14:53] 在本周开始陆续的回升
[14:55] 主要是几大方面
[14:56] 一大方面是胡赛武装
[14:58] 的确试图要尝试的进行
[15:00] 阿曼附近海峡的封锁
[15:03] 不过过去他也经常说要封锁
[15:05] 似乎影响并不是特别大
[15:07] 地缘政治的风险是否能够
[15:09] 让本轮美欧股市稍微休息一下
[15:11] 我反而认为这是健康的
[15:12] 第二件事情
[15:13] 是川普的动作似乎置不在中东
[15:16] 最近我们看到
[15:17] 美军的无人侦察机
[15:19] 陆续抵达古巴
[15:21] 而这一次新一轮的地缘政治冲突
[15:24] 让大家非常担心
[15:25] 是否这一次
[15:27] 川普要针对古巴采取新一轮的动作
[15:29] 我们看到大量的海神高空
[15:32] 长时间的无人侦察机
[15:33] 目前在古巴海域
[15:34] 维持超过12小时的监控任务
[15:37] 那有报道指出说
[15:38] 美国政府正在评估
[15:40] 要针对古巴采取某种形式的军事行动
[15:43] 那官方表示会为各种情境来做预备
[15:45] 不过现在中东问题还未果
[15:48] 如果要针对古巴采取进一步的动作
[15:50] 市场压力当然会因此而稍微紧张
[15:53] 地缘政治的紧张局势
[15:55] 造成避险情绪的升温
[15:57] 那第二个是北韩
[15:58] 北韩美伊谈判还未果
[16:01] 北韩在本周末再度从新普一带
[16:04] 向东海发射多枚的导弹飞弹引发南韩和日本的高度警戒那我们要知道金正恩这几年是积极推动飞弹和核武的现代化现在叫做不给糖就导弹
[16:16] 不给我糖果
[16:17] 那我就射导弹
[16:18] 所以尝试着似乎要获取更多的人道援助
[16:22] 等等要求
[16:23] 同时也深化俄罗斯和中国的战略合作
[16:25] 最近大家有看到新闻吗
[16:27] 他不是传出要让他13岁的女儿
[16:30] 金主爱
[16:31] 最近一直陪伴着他到处露脸
[16:33] 担任北韩飞弹总局局长
[16:36] 人家北韩人给女儿玩的芭比娃娃
[16:39] 果然不一样
[16:40] 对吧
[16:41] 可能每天跟几个高官讲
[16:43] 给我的孩子刷一排大火箭
[16:46] 所以很紧张
[16:48] 不同局势的紧张
[16:50] 都会使得避险情绪
[16:51] 短期内的升温
[16:52] 那当然了
[16:53] 我们作为科技乐观论者
[16:56] 外部冲突总有一天会落幕的
[16:58] 那真正观察的重点在于
[16:59] 第二轮谈判
[17:01] 我认为
[17:01] 这只是双方在第二轮谈判之前
[17:04] 所获取的筹码而已
[17:06] 就是你不要看他做了那么多动作
[17:08] 他做了那么多动作
[17:09] 他总有一个目的吧
[17:10] 他的目的是什么
[17:10] 为了在谈判上取得更多的筹码和优势
[17:14] 而双方都在针对第二轮谈判来做准备
[17:17] 这是我个人的感觉
[17:19] 当然我们后续观察
[17:20] 因为巴基斯坦面临一个极大的严重的问题
[17:23] 就是电力供应几乎变成了奢侈品
[17:26] 那谈判又在巴基斯坦
[17:28] 我们要知道
[17:28] 目前巴基斯坦的液化天然气也几乎是中断的
[17:31] 原本都是依赖卡达马
[17:33] 荷姆兹海峡遭受攻击以后
[17:35] 巴基斯坦运来的天然气
[17:37] 其实也不太够
[17:37] 所以各地开始进入到限电模式
[17:41] 甚至体育赛事
[17:42] 观光都受到波及
[17:43] 政府也面临两难
[17:45] 你要在发电
[17:46] 要在肥料
[17:47] 要在粮食安全之间
[17:48] 被迫要做取舍
[17:50] 整体来看
[17:51] 巴基斯坦内部
[17:52] 已经采取了部分的限电模式
[17:54] 你要想想看
[17:55] 谈判就在巴基斯坦
[17:58] 巴基斯坦有部分地区停电
[17:59] 停电要怎么和谈
[18:00] 你想想看
[18:01] 大家如果谈到一半
[18:02] 突然一片漆黑停电了
[18:05] 那正常怎么样
[18:06] 当然是冰豆
[18:07] 拿枪扫射
[18:08] 那黑社会
[18:09] 但煤电影响很大
[18:11] 所以我们讲说
[18:12] 这个外溢风险已经逐步形成
[18:13] 但我们是乐观以待的
[18:15] 来看看有没有回调的机会
[18:16] 毕竟美国股市真的涨太多了
[18:18] 我们看一下美股道行指数
[18:20] 上涨868.1.79%
[18:22] 说在49,447点
[18:24] 来追赶三大指数
[18:26] 标普500上涨84.1.2%
[18:29] 说在7,126点
[18:30] 创下历史新高
[18:32] 那达克指数上涨365.1.52%
[18:35] 说在24468点历史新高
[18:38] 费半上涨226.2.43%
[18:41] 说在9555点
[18:42] 费半什么时候快要接近1万点了
[18:44] 一样创下历史新高
[18:46] 费半跟纳斯都是连续13天的交易日
[18:49] 高强度的上涨
[18:51] 这也带动七巨头
[18:52] 似乎尝试着要突破新高了
[18:55] 这一轮的带动
[18:56] 其实是中大型股的带动优先
[18:59] 而我们看到的七巨头
[19:00] 还没有一家真正创高
[19:02] 可是你看
[19:03] 辉达的走势
[19:04] 从周线图
[19:05] 似乎有那么一丁点
[19:07] 想要进行向上突破的味道
[19:09] 再看一下微软
[19:10] 微软终于来一根硬的
[19:13] 上一周周线的大红K
[19:15] 尝试的把整个头部
[19:17] 做一个底部的确认
[19:18] 那接下来就要看一下
[19:20] 长期的大M头
[19:21] 它要花多久的时间
[19:22] 陆续收复了
[19:23] 毕竟我们回过头说
[19:25] 现在整体来看
[19:27] 整个苗股市
[19:28] 四大指数
[19:29] 陆续在创高格局
[19:30] 这个长期资产配置者要赔钱也很困难
[19:34] 这种行情要有严重亏损的
[19:37] 那要很高的难度
[19:38] 我们毕竟看
[19:39] 今年你几乎投任何资产
[19:41] 设飞标都是正报酬
[19:42] 大宗资产平均涨幅25%
[19:44] 黄金涨了12%
[19:46] 小型股涨了10%
[19:47] 其他像美国中型股瑞兹
[19:49] 新兴市场
[19:50] 以发达市场价值股
[19:51] 纳斯达克或者大型股
[19:53] 平均涨幅4%到10%左右
[19:56] 其他像是债建的部分
[19:57] 特别股高收益债
[19:59] 短期国库券
[20:00] 长天期国债
[20:00] 涨幅大概是1到3%
[20:02] 甚至总体债券涨幅也有1%
[20:05] 唯一收跌的
[20:06] 真的就只剩下比特币
[20:07] 今年跌幅也不大
[20:08] 剩下跌11%左右
[20:10] 这件事情也几乎足以说明着
[20:12] 你稍微有一点
[20:14] 不管是库存的周期概念
[20:15] 高低基期的概念
[20:17] 本益比高低基期的位节
[20:19] 基本上你会发现
[20:21] 过去几年来都是如此
[20:23] 如果你会选择
[20:26] 在行情波动极大的时候
[20:28] 才选择是否要调节股票
[20:30] 那本身而言
[20:31] 对于长期投资者
[20:32] 资产配置者的冲击都很大
[20:34] 那相反的
[20:35] 如果你有一个高低积极的概念
[20:37] 你至少可以了解到
[20:39] 什么样是外部性冲击
[20:41] 什么样是本益比高速下滑
[20:42] 什么样的时候估值比较低
[20:44] 所以套是一定要套的
[20:47] 因为外部性冲突
[20:48] 它是不可避免的
[20:50] 没有人
[20:50] 对于资产配置者来说
[20:52] 应该没有人能够避开关税战
[20:54] 没有人能够避开日元套利平仓股灾
[20:57] 没有人能够避开本轮的中东危机
[20:59] 可是你可以选择
[21:01] 适度的预留现金
[21:03] 或者说你能够选择
[21:05] 在行情悲观的时候
[21:07] 你能够勇敢的加码
[21:08] 所以像我们的部分
[21:10] 大家也知道
[21:11] 长期的河流都当中
[21:13] 难免会被套
[21:14] 但是你只要在高基期
[21:16] 你尝试的扣款力度小一点
[21:18] 你就不会全套了
[21:19] 为什么
[21:20] 像我的话
[21:21] 为什么是半套
[21:22] 因为全套比较舒服
[21:23] 不是因为你了解说
[21:25] 基奇什么时候本益比是高的
[21:27] 什么时候基奇本益比是低的
[21:29] 好那现在
[21:29] 似乎股市再度回到高乖里
[21:32] 可是基奇似乎还在一个
[21:34] 缓步的反弹力度当中
[21:36] 我们回过头看
[21:38] 当前我们看美银给予的看法
[21:40] 认为这是多头陷阱
[21:42] 但不管
[21:42] 大家的看法是多还是空
[21:44] 都承认当前经过本轮中东的战事回调以后
[21:49] 本益比下滑幅度
[21:51] 真的非常非常多
[21:52] 挥达即便股价
[21:53] 现在看起来准备要创下历史新高了
[21:55] 但整体前瞻本益比
[21:57] 因为今年12个月的EPS已经很好估了
[22:00] 预估在年底
[22:01] 基本上本益比也很难回高30倍左右
[22:05] 换句话说
[22:06] 那过去40倍50倍你都敢买了
[22:08] 现在辉达虽然股价要准备创高了
[22:10] 可是它的本益比也不过30几倍
[22:12] 真的有很高吗
[22:14] 真的有很大的风险吗
[22:16] 所以我们要有不同的思维
[22:18] 当然很多人会说
[22:19] 那如果买到微软怎么办
[22:20] 那我要等很久
[22:21] 你看微软
[22:22] 那股价涨回去要一段时间
[22:23] 是没错
[22:24] 所以我们讲说
[22:25] 投资世界当中最难的
[22:27] 就是幸存者鞭叉
[22:28] 的确没有一档股票
[22:29] 可以确保你能够活到最后
[22:31] 我们现在看到的
[22:32] 很多的成功的投资法
[22:34] 比如说那些被封神的投资人
[22:36] 的确他是历史上筛选后
[22:38] 留下的少数样本
[22:40] 以巴菲特为例
[22:41] 很多人会把它的归因于
[22:43] 价值投资本身
[22:44] 但我们也知道
[22:44] 1970年代
[22:45] 价值投资者也很多
[22:47] 只是大多数人的投资标的
[22:48] 他认为是价值投资的标的
[22:50] 丧失在产业更迭当中
[22:52] 或者被市场淘汰
[22:53] 那巴菲特这样子
[22:55] 刚好选中的公司
[22:56] 能够横跨数十年
[22:57] 最后就被历史放大成
[22:59] 解决的正解
[23:01] 那我们也知道这几年
[23:02] 似乎又不是正解了
[23:03] 如果你把时间再拉长到20世纪初
[23:06] 你就会了解这个问题的残酷
[23:08] 这是幸存者偏差
[23:10] 就一个价值投资者
[23:11] 刚进市场在1900年
[23:13] 你马上就遇到第一次世界大战
[23:15] 然后西班牙流感
[23:17] 然后大萧条
[23:18] 二次世界大战
[23:20] 韩战
[23:21] 晚年终于要退休了
[23:23] 结果遇到两次石油危机
[23:24] 所以在这种环境底下
[23:26] 长期持有优质公司这种策略
[23:28] 它就面临很大的风险
[23:30] 公司会倒
[23:31] 制度会变
[23:31] 货币会重置
[23:33] 最后真正活下来的
[23:34] 反而变成杰西里佛摩这样的人
[23:37] 他是标准的顺势交易者
[23:39] 这段时间有什么好做存股的
[23:41] 他就顺势交易
[23:42] 当然他最后的下场也不是特别好
[23:44] 换句话说
[23:45] 我们讲的
[23:46] 我们今天所学到的
[23:47] 不一定是最好的方法
[23:49] 我们只是刚好在历史当中活下来
[23:51] 所以这个时候为什么
[23:52] 我们选择用ETF的方式
[23:54] 尝试的分散自己的个股成本
[23:57] 原因就来自于
[23:58] 我们相信AI一定会做史诗级的科技力的突破
[24:02] AI会带动资产价格创高
[24:04] 但是是哪一支AI
[24:05] 这个会有一点风险
[24:07] 所以我们选择用参与大盘的方式
[24:10] 来经历这段AI龙井每个人的看法其实都不一样这就是我们讲的标准的幸存者偏护我看到网络上有一种说法他说为什么袜子总是只丢一只
[24:22] 因为丢两只的时候
[24:23] 你发现不了
[24:24] 为什么老歌会比
[24:26] 现在的歌好听
[24:27] 不好听的老歌流传不下来
[24:29] 为什么没有完美的犯罪
[24:31] 因为完美的犯罪
[24:33] 没有人知道
[24:33] 为什么发达国家的癌症率
[24:36] 反而高
[24:37] 因为落后国家的人
[24:39] 等不到癌症就死了
[24:40] 为何自古红颜多博命
[24:42] 丑的人早死晚死
[24:44] 没有人在意
[24:45] 所以我们讲说
[24:46] 幸存者偏差
[24:47] 无时无刻都在我们身边上演
[24:49] 本质上都是活下来的人
[24:51] 去说故事
[24:52] 为什么ETF配置
[24:53] 会变成更理性的选择
[24:55] 因为我们不愿意
[24:56] 把全部的赌注
[24:57] 压住在少数个体
[24:59] 能否穿越长周期
[25:00] 但是我看好
[25:01] AI和生产力革命
[25:02] 这也是历史上
[25:03] 推动美股的真实关键
[25:05] 我当然很喜欢台积电
[25:07] 我也认可回答
[25:08] 我最喜欢的是特斯拉
[25:10] 但是问题不在于
[25:11] 他现在抢不抢
[25:12] 50年后他还抢不抢呢
[25:14] 这就很难说了
[25:15] 在2080年
[25:17] 特斯拉能够跑赢大盘吗
[25:19] 这个我就不确定了
[25:21] 但是我知道
[25:21] 到时候一定是AI的社会
[25:23] 所以谁能够活下来这件事情
[25:25] 交给时间
