[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 千军万马来相见
[06:40] 就开始有新一轮的思维
[06:42] 就好像中东局势
[06:44] 有可能在持续乱糟糟的情况底下
[06:47] 反而达到了资产价格的持续上涨
[06:49] 因为美军不打了
[06:51] 伊朗本身也不打了
[06:53] 这就是我们讲的叙事错误
[06:55] 反而理解就偏向了另外一道方向
[06:57] 就好像这两天
[06:58] 我们小编就一直推荐我去看一部陆剧
[07:02] 好像最近很红叫做竹语
[07:04] 我听说男主角很帅
[07:06] 这几天刚好没什么事
[07:09] 我就想说点开来看
[07:10] 结果网路搜寻了老半天
[07:13] 都是女主角
[07:14] 那也很奇怪
[07:15] 后来我对了老半天
[07:16] 才发现自己搜寻错了
[07:18] 那个足浴
[07:19] 讲的是在乱世当中
[07:21] 追求如玉一般的真心和爱情
[07:24] 追足浴时
[07:26] 后来我发现我搜寻的足浴是
[07:27] 洗脚的足浴
[07:29] 难怪我总觉得怪怪的
[07:31] 但是看了就停不下来
[07:32] 发现洗脚的比演戏好看
[07:34] 有时候我们讲的沟通不良
[07:35] 市场也是一样
[07:36] 大家都在看
[07:37] 双方不打了
[07:38] 停火了
[07:39] 停火就是风险消失
[07:40] 没有
[07:41] 停火只限于双方
[07:43] 没有包含沙威地阿拉伯
[07:44] 没有包含黎巴嫩
[07:46] 没有包含第三方
[07:47] 战火只是从正面战场转向侧面
[07:50] 那问题呢就是
[07:51] 并不是没有资讯
[07:53] 大家理解错了方向而已
[07:54] 一旦叙事抓错
[07:56] 到底是逐玉还是洗脚的逐玉
[07:59] 那最后就完全不太一样的一个方向
[08:03] 那不管怎么说了
[08:04] 至少双方看起来
[08:06] 从这种正面冲突
[08:07] 往侧面冲突来做扩散
[08:10] 代表的是双方都有意愿
[08:12] 让荷姆赛海峡有进一步降温的手段
[08:15] 现在市场上反而仍然以正面看待
[08:17] 停火之后
[08:18] 我们看昨天首批的两艘邮轮
[08:21] 在开启导航的系统底下
[08:23] 通过了荷姆赛海峡
[08:25] 象征航道开始有限恢复
[08:27] 当然现在还有800艘卡在波斯湾
[08:29] 显示供应堵塞几乎没有完全的解开
[08:32] 但是依然目前正在尝试建立一套
[08:35] 审核和收费机制
[08:37] 所有船只必须要申报货物事前
[08:41] 而且经过批准之后才能够通过
[08:43] 甚至可以使用加密货币或者人民币来进行费用的支付更更重要的事情是这种模式本质上更类似于控制流量而并不是恢复流量
[08:54] 现在市场预期每天的通行量
[08:56] 大概从战前的135艘降到10到15艘
[09:00] 比前阵子好了
[09:01] 前阵子是每天两三艘
[09:02] 现在每天大概有10到15艘
[09:04] 那这就意味着供应它只恢复了一部分
[09:07] 它足以避免原油价格再暴涨
[09:10] 可是它也很难让市场完全回到正常状态
[09:13] 这也就意味着原油价格
[09:15] 恐怕会维持在高档一段时间
[09:17] 直到双方的谈判期间完全结束
[09:21] 这两周那就说明着
[09:22] 4月还有一半的时间
[09:24] 原油价格可能仍然维持在高档
[09:26] 所以市场的反应很典型
[09:28] 这一次是看到停火
[09:29] 股票涨
[09:30] 债券涨
[09:32] 油价跌
[09:32] 大家先交易最乐观的情景
[09:34] 可是涨多了
[09:36] 油价跌多了
[09:37] 市场上可能还是要更进一步去观察
[09:40] 最后的协议出来表现为何
[09:43] 从结构面来看
[09:44] 美国和伊朗其实都在打同一套的策略
[09:47] 先宣称胜利
[09:48] 再用停火去换取谈判筹码
[09:50] 川普希望透过军事优势和压力
[09:53] 在谈判桌上逼出结果
[09:55] 伊朗则是透过控制航道和区域的影响力
[09:58] 来维持自己的杠杆
[09:59] 那问题是双方提出的条件
[10:01] 几乎没有真正重叠
[10:03] 这意味着谈判的走向
[10:05] 很有可能是边谈边威胁
[10:07] 甚至还是有可能破局的
[10:09] 我们举一个比较直观的
[10:10] 这一次美国算是接受了
[10:13] 针对这十项伊朗所抛出的条件来做谈判
[10:16] 可是这十项停战条款
[10:18] 涉及到中东的军事布局
[10:20] 而且还有像是核能的发展
[10:23] 国际能源通道等等
[10:24] 这些双方局势的和缓
[10:27] 重塑的区域秩序
[10:28] 对于美邦来看
[10:30] 其实很难接受
[10:31] 我举几个例子来说
[10:32] 第一条叫做安全保证
[10:35] 美国原则上应保证
[10:37] 不侵犯伊朗的领土和主权完整
[10:39] 第二条是
[10:40] 航行的主导权
[10:41] 由伊朗在该水道的通行主导地位
[10:44] 第三是核能权利
[10:45] 国际要接受伊朗进行核浓缩钥的活动
[10:49] 解除一级管制
[10:50] 经济制裁松除
[10:52] 解除次级管制
[10:53] 包括第三国贸易
[10:55] 撤销联合国的决议
[10:56] 撤销IAEA
[10:58] 也就是国际原子能组织
[11:00] 对于伊朗的相关限制
[11:01] 还要支付赔偿金给伊朗
[11:03] 还要让美军撤离中东地区
[11:05] 还要提止区域性的战争
[11:08] 包括黎巴嫩等现行战线的战争行为
[11:10] 这十条
[11:12] 这基本上没有几条美方是真的能够接受的
[11:16] 连李鸿章都不敢签的条款
[11:19] 川普怎么可能签呢
[11:21] 所以距离双方真正的和谈
[11:23] 恐怕还有一段时间
[11:25] 双方还有持续谈判的条件
[11:27] 毕竟伊朗在停火期间
[11:29] 在昨天已经马上提出了新规定
[11:31] 要求所有通过荷姆治海峡的游人
[11:33] 都必须要支付过路费
[11:35] 使用加密货币来付款
[11:37] 每桶油预估会收一美元
[11:39] 空船的话可以免费通行
[11:41] 也就是说
[11:42] 如果你真的在波斯湾待很久
[11:43] 快受不了了
[11:44] 那你可以离开
[11:45] 反正你船只要事前报备
[11:47] 而且接受审查
[11:48] 你没有油就没关系
[11:50] 那他之所以这样做
[11:51] 是原因是因为
[11:52] 防止有人在停火期间来运送武器
[11:55] 一样也强调
[11:56] 所有的船只都会被严格监控
[11:58] 通行流程会刻意放缓
[12:00] 显示他们不急着把航运恢复到正常的位阶
[12:03] 那重点在于一边收钱
[12:05] 一边确保所有的船只
[12:07] 没有运送军火的可能性
[12:09] 所以其实我们看
[12:10] 和我们这海峡目前
[12:12] 全球能源的咽喉点
[12:14] 虽然在降温
[12:15] 但是不论是从进入波斯湾
[12:17] 还是离开波斯湾的船只数量
[12:19] 二月下旬
[12:20] 大概每天50到100艘
[12:22] 三月之后接近零
[12:24] 在四月初大概两到三艘
[12:26] 现在大概10到15艘左右
[12:28] 所以相对的
[12:29] 从沙乌地的盐布港
[12:31] 你看最近长龙有几只货运
[12:35] 应该讲说邮轮已经陆续抵达盐布港了
[12:38] 要准备从红海的方式来进行原油运输
[12:42] 那这一次盐布港所拉升的出货量
[12:45] 则是快速飙升
[12:47] 这次已经逼近到产能上限了
[12:49] 所以在这样效果底下
[12:51] 等同于第一
[12:51] 全球在整个中东的供应链能源位置
[12:55] 应该已经形成了长期的转捩
[12:57] 那第二件事情
[12:57] 那重点还是那油价得下来
[13:00] 所以在这样效果底下
[13:02] 川普一方面为中期选举来提前铺路
[13:05] 尝试着降温本能的中东战士
[13:07] 另外一方面
[13:08] 既然战士真的逐步来到尾声了
[13:10] 要开始找战犯了
[13:11] 这次我们看到川普在几个小时之前发了文
[13:15] 他说有一个国家
[13:16] 提供伊朗武器不分品项
[13:18] 卖到美国的东西都要被课50%关税
[13:21] 立即生效
[13:22] 原因就在于他提供了大量的武器给伊朗
[13:25] 那你把这个讯息拆开来看
[13:27] 他又发了两条
[13:29] 一条是对伊朗丢出的诱因
[13:31] 就是政权已经转移了
[13:33] 而且已经禁止浓缩诱了
[13:35] 拆除了核设施
[13:36] 外加制裁和关税松绑
[13:38] 等同于他认为
[13:40] 现在跟伊朗已经可以谈了
[13:41] 但同一时间
[13:42] 他又丢出了惩罚机制
[13:44] 对任何向伊朗提供军事物资的国家
[13:47] 直接课征50%的关税
[13:48] 没有豁免
[13:49] 那很明显
[13:51] 那不是针对中国是谁
[13:52] 一手是给伊朗胡萝卜
[13:54] 一手是给棍子
[13:56] 把战场压缩成谈判桌
[13:58] 要求中国不要再提供
[14:00] 伊朗任何的军事物资
[14:02] 当然这等于三条线同时收紧
[14:04] 第一是能源
[14:05] 针对伊朗原油流向中国的制裁豁免
[14:08] 即将到期
[14:09] 第二是军事供应链
[14:10] 包括非但相关的化学品和运输网络
[14:13] 第三是贸易结构
[14:14] 也就是50%关税的牌子
[14:16] 但我们要知道
[14:17] 川普好像忘记
[14:19] 最高法院已经判决
[14:21] IEPA的关税无效了
[14:23] 现在不能随便加
[14:24] 你要用301来课征
[14:26] 那还得要调查
[14:27] 所以在这样的一个效果底下
[14:29] 至少我们看到在整个战后的格局
[14:32] 也许5月份的川习会
[14:34] 再度成为市场主流了
[14:36] 那有没有发现
[14:37] 过去几轮的冲突
[14:39] 它都不是借由
[14:41] 事件的全面淡化而落幕的
[14:43] 都是由下一个事件的引起
[14:45] 举例来说
[14:46] 你像委内瑞拉事件的落幕
[14:48] 真的是因为大家不在乎了吗
[14:51] 不是啊
[14:51] 最后其实也没有
[14:53] 更进一步的具体协议出来
[14:55] 但是呢
[14:56] 格林兰事件爆发了
[14:57] 那一样啊
[14:58] 去年当时伊朗的核空袭结束
[15:01] 是被委内瑞拉事件给盖过去
[15:03] 并没有达到进一步原本事件的降温
[15:06] 你只要借由下一个事件
[15:08] 来引起市场心理情绪的传导
[15:10] 那么情绪就可以转移了
[15:12] 那一样
[15:12] 也许我们现在还在讨论
[15:14] 中东这个问题该怎么解决
[15:16] 过两周我们就在聊川习会
[15:19] 又有什么样的冲突
[15:20] 大家早就忘了中东的危机了
[15:22] 而股市似乎已经涨回来了
[15:24] 好
[15:24] 不管怎么说
[15:25] 现在我们回过头来看
[15:26] 等于川普必须要花更多的时间
[15:28] 在内政政策
[15:29] 第一个就是原油价格多快能够回跌
[15:32] 在昨天西德州和布兰特原油价格
[15:35] 陆续跌到95到96美筒
[15:37] 那现在呢
[15:38] 油价几乎还是被市场的紧张趋势给控制
[15:42] 几乎都对应到川普的发言节奏了
[15:44] 你看每一次川普说快结束
[15:46] 油价就回落
[15:47] 那当他威胁要攻击伊朗的基础设施
[15:50] 油价又上涨
[15:51] 这就变成好像市场上也不是在交易实际的工序
[15:55] 在交易的是风险预期
[15:56] 尤其赫姆治海峡这个全球能源命脉
[15:59] 一旦有封锁危机
[16:00] 那就风险溢价提升
[16:01] 结果只要川普一释放停战讯号
[16:04] 油价又回跌
[16:05] 所以基本上两个角度
[16:07] 一个是川普在未来两周
[16:08] 有没有可能释出更多的好消息
[16:10] 另外一方面
[16:11] 本身中东局势
[16:13] 至少地缘政治的冲突
[16:15] 是不是能够从直接冲突
[16:17] 倾向于局部地区冲突
[16:20] 比如说局限到阿沙布地阿拉伯
[16:22] 局限到黎巴嫩的问题
[16:23] 毕竟我们都很清楚知道
[16:25] 这一次的军事问题
[16:27] 已经形成美国内部的民意
[16:29] 重要的讨论对象
[16:31] 并不是完全的以负面看待
[16:33] 但是毕竟川普最近才刚刚丢出
[16:36] 2027年的政府预算
[16:37] 这次军事支出我们过去提过
[16:39] 拉高到1.5兆
[16:40] 年征服47.3
[16:42] 这个是二战以来最大扩张
[16:44] 国防支出战
[16:45] 可支配预算当中的占比
[16:47] 创下10年来新高
[16:48] 以前小布希反恐期间
[16:51] 大概就在50左右
[16:52] 你像柯林顿欧巴马时代
[16:54] 是一路的下滑
[16:55] 结果川普一提出
[16:57] 这次的军事预算
[16:58] 直接飙升到了接近60%
[17:01] 那背后讯号很明确
[17:03] 美国正在从一个
[17:04] 以经济和全球化为主轴的国家
[17:06] 转向成安全和地缘政治竞争核心的体制
[17:10] 这么高强度的军事支出
[17:13] 已经超过了雷根时期
[17:15] 还有过去的四任总统
[17:16] 那就代表着美国的赤字爆炸了
[17:19] 美国现在财政进入一个很难回头的阶段
[17:21] 债务占GDP比值大概120%以上
[17:24] 那未来往140%来靠拢
[17:26] 那你要知道这种结构性的赤字
[17:28] 基本上在軍費的大幅擴張底下
[17:31] 壓力越來越大
[17:32] 就代表著政府越來越難同時一邊要刺激經濟一邊要打通膨一邊要打仗所以我们才知道为什么过去一年川普做了这么多的内部的财政约束和改革
[17:44] 把很多内政的资金进行取消
[17:47] 有的是反DEI
[17:48] 有的是取消环保
[17:49] 再生能源补贴
[17:50] 把资金全部挪到军事支出来
[17:53] 而事实上军事支出的开支
[17:56] 又远远大于
[17:57] 他基本上减少的这些开支
[18:00] 最后今年又有减税计划
[18:02] 造成美国的财政问题
[18:04] 其实在今年
[18:05] 看起来是比拜登时期
[18:07] 还要来得更为严重的
[18:08] 所以这个时候
[18:09] 川普的核心任务
[18:10] 他就不单单是要把事情给做好了
[18:12] 他还把成股给收好
[18:14] 视为一个重要中期选举之前的讯号
[18:17] 伊朗问题不能够拖成泥沼
[18:19] 通膨必须要看起来在下滑
[18:22] 关税战的部分
[18:23] 必须要重新叙事成吸引投资的工具
[18:26] 打击非法移民
[18:28] 你要跟人家说明
[18:29] 我们治安变多好了
[18:30] 大而没法案
[18:31] 很快的要让美国民众
[18:33] 觉得今年缴的税变少了
[18:34] 那这些政策本质上
[18:35] 多半都是资源的重分配
[18:38] 但是在政治上
[18:39] 必须要包装成全面的成功
[18:41] 就MAGA
[18:42] MAGA不一定真的会让国家更伟大
[18:45] 但它关键在于建立一种感受
[18:48] 就是让支持者相信
[18:49] 所有政策都是为他们而做的
[18:52] 那这本身就是一个
[18:53] 很强大的政治凝聚力
[18:55] 因为你看
[18:55] 省了这么多钱
[18:57] 预算资质还不是一样创高了吗
[18:59] 打了关税蛋打老半天
[19:00] 贸易逆差还不是一样创高了吗
[19:03] 所以不论是民主党还是共和党执政
[19:05] 多数人的生活
[19:06] 其实都不会有结构性的改变
[19:08] 但是我要让你感受到
[19:10] 如果是我当总统
[19:11] 你会感觉到我在拼命的为国家出手
[19:13] 虽然从实际数据来看
[19:15] 好像没有太大改变
[19:16] 但是我会让你有这种感受
[19:18] 的确我们知道
[19:19] 每一次选举
[19:20] 川普之所以能够获得部分州
[19:23] 有进一步的支持推升
[19:25] 更多来自于简单的语言
[19:27] 和这种凝聚力
[19:28] 我们根据美联社的统计
[19:30] 学历比较低的选民
[19:31] 更倾向支持川普
[19:33] 那这不是偶然
[19:34] 是因为川普的语言
[19:35] 和表达的风格息息相关
[19:37] 川普在演说上
[19:38] 我们看到社群媒体上的用语
[19:40] 句型很简单
[19:41] 而且重复性很高
[19:42] 极少使用专业术语
[19:44] 或者抽象概念
[19:45] 使得教育程度不高的听众
[19:47] 也能够快速理解
[19:48] 所以我们看
[19:49] 从数据上来看
[19:50] 就特别明显了
[19:51] 上一次他跟哈里斯的选举
[19:53] 比较起来
[19:54] 在语言上的分布
[19:56] 川普只要讲得越简单
[19:58] 不能讲越粗俗
[19:59] 越减少专业术语
[20:01] 基本上在红州部分
[20:03] 对他的共鸣程度就来得越高
[20:06] 以前川普说过一句话
[20:07] 小宝读过书
[20:09] 民事里的人
[20:10] 大部分都在民主党里头当官了
[20:13] 所以我们要对抗民主党
[20:14] 就要用一些蠢一点的人
[20:16] 最后那些蠢人
[20:17] 就绝对不能跟他们说真话
[20:19] 必须用宗教形式来催眠他们
[20:21] 所以Make America Great Again
[20:24] 只不过是一个口号
[20:26] 跟阿弥陀佛是一样的
[20:28] 当然也有高教育知识分子是支持他的
[20:31] 但是川普至少把大部分
[20:34] 我们看到教育水准比较偏低的选民
[20:36] 几乎选票都已经完全给拿下来了
[20:40] 现在就是要把这些讯号助长下去
[20:42] 你说关税战真的对于美国有极大的利多帮助吗
[20:46] 你说本轮的中东战是真的有极大的利多帮助吗
[20:50] 不重要
[20:51] 重点是要让选民相信
[20:54] 你对他们做这些事情是对他们有极大帮助的
[20:57] 所以MAGA不一定会让你伟大
[20:58] 但是会尽量让你觉得
[21:00] 所有政策都是为你好
[21:01] 那现在就要开始收拢战线了吧
[21:03] 把所有的政策开始包装成
[21:05] 对于中期选举的拉伸
[21:06] 而中东战时
[21:07] 看起来是不利于中期选举的选民拉抬的
[21:10] 所以必须要快速结束掉
[21:12] 而且把通膨给压低
[21:13] 所以在这样的一个效果底下
[21:15] 等同于
[21:16] 其实不管是民主党还是共和党执政
[21:18] 你都不一定会过得更好
[21:20] 但是至少
[21:22] 我拼命的让你觉得
[21:24] 我在为美国而努力
[21:25] 虽然从数字上而言
[21:27] 基本上没有什么太大的一个本质区别
[21:31] 最近我才回去看了那个
[21:33] 逍遥江湖
[21:35] 逍遥江湖里面不是有一幕是讲
[21:36] 那个葵花宝典
[21:38] 要切小鸡鸡
[21:40] 欲练神功
[21:41] 必先辞功
[21:43] 然后我一直在想
[21:45] 想说这是什么邪魔歪道
[21:47] 后来才想说葵花宝典
[21:49] 这么奇葩的武功
[21:51] 其实网路上我看很多人的解读
[21:54] 它并不是真的要切小鸡鸡
[21:56] 就是因为练了葵花
[21:58] 你会产生强大的信誉
[22:00] 那你切掉就没有信誉的问题
[22:02] 就可以信吾旁吾
[22:02] 这个是原理
[22:03] 但是后来我才看了
[22:05] 很多高手解释
[22:06] 说挥刀自宫
[22:07] 它本质上是为了要去
[22:09] 去除掉皇室思想
[22:11] 换种说法来说
[22:12] 就是如果你练了葵花之后
[22:14] 产生的副作用
[22:15] 你一直很想要
[22:17] 手想要动
[22:19] 但是你怕走火入魔
[22:21] 但是你只要能够
[22:22] 克服自己心中的那个意志
[22:24] 手不要动
[22:25] 那这个时候
[22:26] 你就得到了葵花宝典的能力
[22:29] 所以这个时候我们才发现
[22:31] 所以千万不要记住
[22:32] 要切小弟弟才能够意志坚强
[22:34] 你要意志坚强
[22:35] 你才不用切小弟弟
[22:36] 这是我看到另外一种人的解读
[22:38] 为什么讲这个
[22:39] 讲这个原因就来自于
[22:40] 有时候我们想说
[22:42] 一个观念的形成
[22:43] 川普所希望达成的
[22:45] 他不一定要在所有数据上
[22:47] 得出一个极度亮丽的表现
[22:48] 而是未来几个月
[22:50] 我们要看的是
[22:50] 他如何把这种观念进行转变
[22:53] 有时候要让美国
[22:55] 不一定真的要让数据上全部
[22:58] 因为现在看起来数据上
[23:00] 到底关税战本质最后的意义
[23:02] 还有中东的战事
[23:03] 数据上要立即呈现是有点难度的
[23:05] 毕竟贸易逆差的确在扩大
[23:07] 通膨在升温
[23:08] 但是如何把这些数据包装成一个故事
[23:12] 就是未来中期选举接下来的重点了
[23:14] 这是我的想法
[23:15] 所以数据上也许也没那么重要
[23:17] 重点是要如何说服大家
[23:19] 关税战是有用的
[23:21] 这场中东战事通膨升高
[23:23] 其实对于美国经济也是有帮助的
[23:25] 这是另外一套延迟的安排
[23:27] 好我们回过头看美国股市市大指数
[23:29] 道中位指数上涨1325.2.85%
[23:32] 刷47909点
[23:33] 标普上涨165.2.5%
[23:36] 刷6782点
[23:37] 纳指上涨617点
[23:38] 2.8%
[23:39] 刷在22634点
[23:41] 这个好像没有第二只脚
[23:44] 然后一只脚就站上去了
[23:46] 背板的部分
[23:47] 昨天创下历史新高
[23:48] 上涨507点
[23:49] 6.34%
[23:51] 说在8510点
[23:53] 就这样子往上冲了
[23:54] 事实上我们看到
[23:55] 在昨天贝城半导体指数
[23:57] 部分个股涨幅极度夸张
[24:00] AMD涨了4.6%
[24:01] 博通涨了4.9%
[24:03] 辉达涨了2.2%
[24:04] 印财涨了8.8%
[24:06] 现在看起来位阶比较低的
[24:07] 大概就只剩下科技股巨头
[24:11] 稍微还比较低
[24:12] 要不然说硬体股都已经往上分配了
[24:15] 从欧洲股市来看
[24:18] 昨天也创下了四年来的最大单日涨幅
[24:21] 欧洲stock 600指数
[24:23] 昨天涨了4.2%
[24:25] 这个是2022年以来最大单日涨幅
[24:27] 德国deck指数涨了5.4%
[24:30] 法国CAC40指数涨了4.9%
[24:33] 英国富士指数涨了3.1%
[24:35] 基本上也是一个标准的压力释放
[24:37] 台股的部分
[24:38] 昨天喷出了史上第二大的涨点
[24:40] 涨了1531点
[24:42] 4天涨了3000点
[24:44] 这也是非常惊人
[24:46] 而且外资虽然三月份
[24:48] 是大幅撤离的7600亿
[24:50] 但是3月份
[24:51] 你觉得台股跌很重
[24:52] 你就知道
[24:53] 到底这段时间
[24:54] 那支到底有多强
[24:56] 当然我们回过头说
[24:57] 那你这样子
[24:58] 好像今年指数都回来了
[25:00] 那今年还有跌的资产吗
[25:02] 有
[25:02] 我们如果细看
[25:03] 其实从七巨头的表现来看
[25:06] 今年大部分还是跑出给大盘的
[25:08] 现在标普大概只跌3%
[25:10] 可是辉达是跌了4%
[25:11] Google跌了5.4%
[25:12] 苹果跌了5.8%
[25:13] Amazon跌了9.1%
[25:14] Meta跌了12%
[25:15] 特斯拉跌了19%
[25:17] 微软跌了22.6%
[25:19] 在这样的一个效果底下
[25:21] 市场上当然短期的认知不太一样
[25:23] 你像高盛的看法认为
[25:24] 这一次的上涨是技术性的回补
