[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 黃金資產也是收漲的
[06:39] 反而變成了最大包袱嗎
[06:40] 這個反而是2026年
[06:42] 川普可能最大的煩惱
[06:44] 如果我們細看
[06:45] 目前川普在白宮
[06:46] 一年的政治動盪
[06:47] 大概已經比得了別人十年了
[06:49] 可是回過頭看二五年
[06:51] 最為關鍵的轉折其實很清楚
[06:53] 就是選民對於他
[06:54] 搞經濟很在行的信心
[06:57] 看起來是徹底崩塌了
[06:58] 我們看最新的民調出爐
[07:00] 經濟學人報道
[07:01] 不管是爭議有多大
[07:02] 經濟表現
[07:03] 始終是撐住他支援度的底板
[07:06] 可是這一陣子
[07:07] 尤其在10月11月12月
[07:09] 下滑幅度開始有所加快
[07:11] 那這樣的一個轉變
[07:12] 也直接動搖他過去幾年
[07:14] 辛苦打下的選民地盤
[07:16] 因為他就是以經濟政策獲得市場主流的意志
[07:20] 他在拉丁裔
[07:21] 在年輕男性
[07:22] 在未受過大學教育的非白人選民當中
[07:26] 明顯過去一年支援度也在擴張
[07:28] 可是這幾個月
[07:30] 這個下滑幅度開始拉昇以後
[07:32] 大家就會特別觀察川普現在進白宮是340天左右關鍵如果從他的進支援度來看相對於剛上任時大概已經減了17個百分點
[07:44] 目前大概是39%表示支援
[07:46] 56%表示不支援
[07:48] 那如果是蓋洛普民調稍微高一點
[07:50] 大概是42到43%
[07:52] 不過呢總體而言
[07:53] 沒有一項民調顯示目前的支援率還在45%以上
[07:57] 這對於川普肯定對於26年的中期選舉是一個壓力
[08:00] 也許可能就無法持續達成絕對執政
[08:03] 那拖累支援度的關鍵
[08:05] 現在看起來很明顯還是經濟
[08:07] 川普在競選時期
[08:08] 不斷強調拜登時期的經濟失控
[08:10] 承諾要讓美國重新變得負擔得起
[08:13] 結果剛上任
[08:14] 他的確在就業和經濟的支援度上
[08:17] 一度比反對者高了12個百分點
[08:20] 不過就目前來看
[08:21] 失業率創下四年新高了
[08:23] 物價通膨率是下來了
[08:25] 可是物價沒有跌
[08:26] 它只是上漲的速度變緩慢
[08:28] 加上關稅政策和醫療支出
[08:30] 引發的成本疑慮以後
[08:31] 民調開始鬆動
[08:33] 那你說現在民調39到43%很低嗎
[08:36] 也不算特別低
[08:38] 如果我們以全球各大領導人來看
[08:40] 的確你像是穆迪或者高市早苗
[08:44] 那民調還有70% 60%
[08:46] 印度總理原來民調這麼高
[08:48] 李在民的部分有56
[08:51] 米萊有55
[08:53] 這些都是稍微比較高的
[08:54] 但有沒有很低的
[08:55] 歐洲大部分國家都很低
[08:58] 比如像波蘭 挪威 瑞典 德國
[09:01] 更不用講南非
[09:03] 最慘的當然就是英法
[09:04] 英國首相現在只有23%的民調的支援率
[09:08] 最低的就馬克宏
[09:09] 只有7%有夠低
[09:11] 所以可以看得出來
[09:12] 川普也沒有民調低到離譜
[09:15] 只是對於中期選舉一定會產生適度煩惱
[09:18] 如果我們細看
[09:19] 針對各項政策的近支援度
[09:21] 攤開來看
[09:22] 你會發現在1月時
[09:24] 選民對於就業經濟移民和國安
[09:26] 其實都是比較高的評價
[09:28] 可是在過去幾個月當中
[09:30] 整個落差就開始
[09:31] 拉得越來越大
[09:32] 尤其是稅收和政府支出
[09:34] 以及就業經濟現象
[09:36] 同步轉為-20左右的負平區
[09:38] 這其實就彰顯到
[09:39] 這個經濟問題
[09:40] 是現在選民最為焦慮的
[09:42] 如果我們現在觀察
[09:43] 關稅所造成的效果
[09:45] 到底對於美國經濟的影響為何呢
[09:47] 我們大概可以做一個
[09:48] 比較清楚的研判
[09:50] 那就是
[09:50] 關稅並沒有大幅的救到經濟
[09:52] 但是也沒有把美國拖下水
[09:54] 唯一可以確認的事情
[09:55] 是關稅獲得了很多投資
[09:57] 可是對於體感溫度
[09:59] 能不能在一年內
[10:00] 有效的讓選民感受到
[10:01] 可能就要看一下政策的傳導時間
[10:04] 所以川普才會這麼急
[10:06] 必須要立即落地生產
[10:07] 新起市場的就業基建潮
[10:10] 如果我們把政治承諾
[10:12] 跟現實資料拿過來看
[10:13] 川普宣稱10%的全球關稅
[10:15] 大概就可以增加280萬個工作
[10:18] 那第一個衝擊就是並沒有
[10:20] 我們看到在9月份的非農
[10:21] 也僅僅新增11.9萬人
[10:23] 過去幾個月
[10:24] 其實非農資料是越來越差
[10:26] 就說明關稅戰
[10:27] 並沒有帶來高強度的
[10:29] 職位控制的開出
[10:31] 或者非農就業資料的增長
[10:32] 那當然你有可能說是資料失真
[10:34] 那第二個呢
[10:35] 是我們看到從價格指數來檢驗
[10:38] 關稅到底最後是誰買單
[10:40] 如果我們細看
[10:41] 會發現實際進口的商品價格指數
[10:43] 在解放日之後
[10:44] 開始原本預期會大幅上升之後
[10:48] 並沒有全面性的暴增
[10:49] 反而緩步的下行
[10:51] 代表成本的確
[10:52] 它是屬於緩步的轉嫁到美國端
[10:55] 拆開細項
[10:56] 像是咖啡茶或者可可
[10:58] 它是優先跳升
[10:59] 傢俱類是止跌回升
[11:01] 電器類也由跌轉升
[11:03] 所以就說明了
[11:04] 不論怎麼看
[11:05] 關稅並不是抽象的談判籌碼
[11:07] 它是可以被測量的價格衝擊
[11:10] 看起來還是有衝擊
[11:11] 那你說可是有些產品
[11:13] 最後並沒有上漲
[11:14] 像是3C類
[11:15] 的確它可能被庫存迴圈的
[11:17] 龐大庫存壓力給衝消掉了
[11:19] 再來是關稅到底
[11:21] 對美國帶來多少財政收入
[11:22] 這個就真的不少
[11:23] 2025年預估大概是1900億
[11:26] 大概是往年的兩倍
[11:27] 不過這畢竟還是跟消費者來進行徵收
[11:30] 所以我們還是要觀察
[11:32] 這個關稅的滯後反應
[11:33] 是不是時間線拉得長
[11:35] 最後就是關稅承諾
[11:36] 和經濟迴圈的現實對照
[11:38] 川普當時認為
[11:39] 10%的關稅就可以讓全球經濟
[11:41] 增加7281的產出
[11:44] 不過實質GDP
[11:45] 你會發現
[11:46] 整個25年就是放大迴圈而已
[11:48] 因為25年二季度衰退
[11:50] 三季度大幅成長
[11:51] 所以看得出來
[11:52] 其實就是重新的進行資源的再分配
[11:55] 整場關稅戰的最大贏家
[11:57] 大概分為兩點
[11:58] 一個就是部分臺韓經濟體的電子業
[12:02] 這段時間因為豁免於關稅
[12:04] 加上受惠於AI龍井的大爆發
[12:07] 所以沒有受到任何關稅戰的影響
[12:09] 第二個就是墨西哥
[12:10] 墨西哥這一次細看
[12:12] 在經濟原本預估會首當其衝
[12:14] 結果墨西哥最終所承擔的有效關稅
[12:18] 比中國和多數亞洲市場都還來得低
[12:20] 幾乎在這一次關稅戰當中
[12:23] 減到了位置
[12:24] 今年前11個月
[12:25] 墨西哥對於美國的製造業出口
[12:27] 年增幅也有9%
[12:28] 美墨今年的貿易總額
[12:30] 可以來到9000億美元
[12:31] 再創歷史新高
[12:32] 所以這個是少數
[12:34] 沒有被關稅給影響的
[12:35] 可是從種種效果來看
[12:37] 你說關稅戰打下去以後
[12:39] 美國選民有因此
[12:41] 而變得非常看清
[12:42] 因此而經濟大好
[12:44] 從體感
[12:45] 以及從實質資料來看
[12:46] 並沒有
[12:47] 但它達成了兩個
[12:48] 明目上的條件
[12:49] 一個就是真的收到很多稅
[12:51] 雖然有很多稅
[12:52] 目前看起來是
[12:53] 從消費端來徵收
[12:54] 那另外一方面
[12:55] 拿到很多投資
[12:56] 那也許投資而產生的效果
[12:58] 它要花幾年的時間
[13:00] 大家才會感受到
[13:01] 那另外一個就是
[13:02] 針對整個經濟體感溫度的部分
[13:04] 其實還是來自於通膨
[13:05] 如果我們細看
[13:06] 張圖表示
[13:07] 目前經濟學人統計
[13:09] 美國選民最在乎的議題
[13:11] 結論很直白
[13:12] 經濟問題遠遠比其他問題來得重要
[13:15] 你不管是在非法移民
[13:16] 醫療健康
[13:17] 還是在國家安全
[13:19] 等等層面的議題
[13:20] 都比不上經濟問題
[13:22] 還要來得重要
[13:23] 這個大概是1比10的左右的幅度
[13:26] 那美國針對當下的經濟的感受溫度
[13:28] 我們從密西根大學的
[13:30] 12月份消費者心經調檢視得出來
[13:32] 已經跌到了47年以來的新低
[13:35] 這個低位
[13:36] 它比2008年金融海嘯還要來得低
[13:39] 你就大概可以理解說
[13:40] 整個市場上消費的奇化
[13:43] 股市在大漲
[13:44] 現在又不是08年
[13:45] 又不是全面崩盤
[13:46] 說明產業以及財富的奇化
[13:50] 它對於民眾信心的衝擊
[13:52] 甚至比大家一起進入金融海嘯
[13:54] 還要來得恐怖
[13:55] 08年就大家一起破產一起死
[13:57] 反而體感上覺得還好
[13:59] 現在不一樣
[14:00] 他怎麼賺那麼多錢
[14:01] 我怎麼那麼窮
[14:02] 體感上信心指數就會表達得更加悲觀
[14:05] 另外一方面
[14:06] 就算通膨預期已經開始降溫
[14:09] 可是民眾對於東西很貴的不滿感受
[14:12] 並沒有跟著消失
[14:13] 其實現在的通膨率的確比拜登時期降低非常多
[14:17] 可是就目前來看
[14:19] 通膨畢竟還保持在正值
[14:20] 它只是上漲比較慢
[14:22] 所以高物價正在拖累自己財務狀況的消費者比例
[14:26] 目前仍然在持續攀下新高
[14:28] 如果細看現在漲最多的
[14:30] 剛好就跟AI資料中心連線程度最高的
[14:33] 就是電力價格
[14:34] 平均漲幅有6%左右
[14:36] 其他像肉類、雞蛋、外食、二手車
[14:39] 平均漲幅3-5%
[14:40] 房租也明顯高於整體通膨
[14:42] 反而是油價、新車、衣服、蔬菜價格
[14:45] 漲幅是有限的
[14:47] 所以你要說美國現在民生物資有受到顯著的壓制
[14:51] 看起來跟AI就開始有一點敵對的情況了
[14:54] 那第二個角度是屬於就業
[14:56] 通膨很高
[14:57] 大家購買的壓力很大
[14:59] 但也不至於餓死
[15:00] 畢竟就業市場並沒有全面惡化
[15:02] 可是小企業的壓力的確是越來越大的
[15:04] 如果細看整個25年對於美國企業來看
[15:08] 大型企業幾乎是豐收年
[15:10] 包括AI的投資熱潮
[15:11] 推升獲利和股價
[15:12] 可是小型企業我們看到低於50人的公司過去半年持都在裁員,11月單月就少了12萬個工作機會,中型企業和大型企業卻持續在擴編,那你知道小型企業,大多數美國的服務業還是小型企業,薪資本來就比較低,然後股市上漲的財富效果又主要流向高收入人群,消費能力和企業經營條件同步分化,現在不是有錢人跟窮人之間的落差,
[15:39] 現在講的是大企業跟小企業裡面的員工
[15:42] 他的薪資的落差和就業的現況
[15:44] 都在持續加大
[15:46] 所以細看
[15:46] 小公司現在的確已經開始進入裁員潮
[15:49] 而大公司還在撐場面
[15:51] 由於大公司所招募的總體人力
[15:53] 還可以勉強抵消小公司的裁員
[15:56] 最後造成的效果就是體感很不好
[15:58] 但是也還沒有到衰退的地步
[16:00] 不過至少你要知道
[16:02] 有部分領域的確已經進入到裁員潮
[16:04] 我們來看一下這個sub-chapter
[16:07] 或者chapter 30
[16:09] 就是美國的破產法
[16:11] 不同的程式
[16:12] 目前正在執行的
[16:13] 看起來今年一共有19萬家
[16:16] 應該是創下歷史新高了
[16:18] 不過因為美國家數
[16:19] 本來就越來越多了
[16:20] 可是你至少可以觀察到
[16:21] 這個今年的整體景氣
[16:24] 居然順應著
[16:26] 小企業的破產潮而創高了
[16:29] 這也是蠻特殊的結構現象
[16:31] 那川普當然
[16:31] 想要解決這個就業結構現象
[16:34] 光靠等投資潮落地
[16:37] 然後就業規模的體量增長
[16:39] 看起來是有點難度的
[16:40] 因為AI資料中心
[16:41] 到底需要多少的就業機會
[16:43] 可能比不上服務業
[16:44] 那最好的做法是什麼呢
[16:45] 驅除非法移民
[16:47] 你只要驅除的速度過快
[16:49] 勞動供給就會緊縮
[16:51] 勞動供給緊縮
[16:52] 只要企業需求還沒有下滑
[16:54] 或者企業下滑幅度
[16:56] 沒有比勞動供給緊縮下滑幅度來得快
[16:58] 那最後也許就可以達到就業的拉伸
[17:02] 畢竟現在人變少了
[17:05] 那大家只為崗位不變的情況底下
[17:07] 就有更多的就業機會
[17:09] 所以川普持續採取
[17:10] 更進一步的非法移民驅逐政策
[17:12] 希望可以試圖進行就業上的拉抬
[17:15] 那當然他也造成了一些正面作用
[17:17] 舉例來說
[17:18] 我們看美國目前最新
[17:20] 在25年下半年的犯罪數量
[17:22] 如果我們改採的是
[17:24] 及時犯罪指數
[17:25] 也就是把美國570個執法單位
[17:28] 比較25年到24年的表現
[17:30] 你會發現兇殺案的確
[17:32] 已經年減幅高達20%
[17:34] 那這個統計不包含誤殺
[17:36] 正當防衛或者意外致死
[17:38] 不只是兇殺案
[17:39] 其他的重大犯罪型別
[17:41] 比如說
[17:42] 25年的汽車竊盜案
[17:44] 大概是減少了23%
[17:47] 搶劫減少了18%
[17:48] 加重攻擊大概下滑7-8%
[17:51] 一般的竊盜大概也是9%
[17:53] 那以城市等級來看
[17:55] 主要還是部分州
[17:56] 已經派了國民兵
[17:58] 有軍人在路上走著
[18:00] 所以犯罪率大幅的下滑
[18:01] 那另外一方面
[18:02] 的確今年有250萬名移民
[18:04] 已經離開了美國本土
[18:06] 那有一半以上是屬於自願離開
[18:09] 另外一半是進行強制驅離
[18:11] 或者已經抓起來了
[18:12] 所以從結果論來看
[18:13] 的確是有說服力的
[18:15] 可是剛才也提到
[18:16] 就非法移民
[18:17] 外交政策等等問題
[18:18] 好像在怎麼看
[18:20] 都不如經濟問題
[18:23] 還要來得更為重要
[18:24] 所以最後
[18:25] 其實回過頭來看
[18:26] 你只要經濟搞好了
[18:28] 看起來中期選舉就穩了
[18:29] 所以川普可能會花更多的時間精力
[18:31] 在整體體感經濟的溫度層面
[18:34] 那大概就兩個條件
[18:35] 不過這兩個條件
[18:36] 華爾街自己已經炒起來了
[18:38] 川普要做就是拉抬就業
[18:40] 並且意志通膨
[18:41] 但是展望整個2026年經濟的時候
[18:44] 華爾街的兩大投行
[18:45] 他就給出了比較明顯分歧的劇本
[18:48] 高盛是很樂觀
[18:49] 高盛認為明年的全年經濟成長會有2.6%
[18:52] 他是華爾街當中
[18:53] 70幾家投行最樂觀的一家
[18:56] 高盛認為26年上半年會特別強勁
[18:59] 包括川普的關稅
[19:00] 對於經濟的拖累減輕
[19:02] 另外一方面
[19:02] 明年會有1000億美元的退稅資金
[19:05] 所以高順是非常相信
[19:08] 只要退稅潮開始
[19:09] 民間的體感溫度就回來了
[19:11] 什麼意思呢
[19:12] 我們現在之所以有點緊縮
[19:13] 是因為川普的實質政策
[19:15] 通膨壓得還不夠
[19:17] 就業機會也增長得還不夠
[19:19] 可是明年大而美法案開始退稅了
[19:22] 甚至要普發現金了
[19:24] 底層民眾的體感溫度就回來了
[19:26] 簡單來講就發錢
[19:27] 發錢大家的支援率就回來了
[19:29] 那花旗就不買單
[19:31] 花旗的看法是
[19:32] 明年2026年的經濟成長
[19:34] 預估只有2.1%
[19:35] 幾乎就貼近市場的共識
[19:37] 而且直接對於上半年的加速潤
[19:40] 潑冷水
[19:40] 他認為退稅規模其實並不大
[19:42] 大概就300到500億
[19:44] 對於消費的刺激是有限的
[19:46] 那加上如果明年川普政府
[19:48] 打算真的嘗試的去抑制財政的擴張
[19:50] 那就必須要把關稅收入
[19:52] 拿來進行適度的政府財政刺激
[19:56] 或者支出上的抵消
[19:57] 用這樣的一個效果
[19:58] 川崎的核心角色是
[20:00] 明年的招募會變弱
[20:01] 薪資成長會放緩
[20:03] 家庭收入和消費會同步下滑
[20:05] 所以明年真正的主流
[20:07] 是看聯準會的降息幅度
[20:09] 來看待流動性的增長
[20:11] 這兩種邏輯
[20:12] 一個是美國景氣
[20:13] 靠AI龍井的自然驅動
[20:15] 另外一個
[20:16] 是靠聯準會適度的寬鬆
[20:18] 來維持住當前的牛市
[20:20] 不過我們講說市場預測
[20:21] 其實跟算命很像
[20:23] 有時候說的往往不是結果
[20:24] 說的是可能性
[20:25] 你說會降息
[20:26] 說經濟會成長
[20:27] AI長期有容緊
[20:29] 這些判斷本身未必有錯
[20:31] 但他們本來就沒有一個
[20:33] 明確的保證的時間點
[20:35] 所以我們做總經濟判
[20:37] 常常是看對趨勢時代波動
[20:39] 因為你無法確定
[20:40] 這是一年還是兩年
[20:41] 還是三年後的趨勢
[20:43] 那更沒辦法替你指定
[20:45] 你手上哪一檔一定賺錢
[20:46] 預測給的是一個方向
[20:48] 它並不是一個標準的路線圖
[20:50] 它只能告訴你風往哪裡吹
[20:52] 但是並沒辦法幫你判定
[20:54] 什麼時候該起飛
[20:55] 什麼時候該降落
[20:56] 那有時候真的受不了了
[20:58] 你就要自己親自下海來解釋
[21:00] 用真金白銀把它堆砌起來
[21:02] 市場才會相信你的敘事
[21:04] 就跟最近我才看到網路上
[21:06] 有女生因為年底了
[21:09] 年初的時候去算命
[21:10] 那發現不準
[21:11] 年底就去踢館
[21:14] 那女生就跑到算命師的面前
[21:17] 大喊
[21:18] 你不是說我今年一定會有桃花運嗎
[21:20] 到今天了
[21:21] 12月30號了
[21:23] 連個影子都沒有
[21:24] 你算的不準吧
[21:25] 然後就大聲啷啷
[21:26] 然後全部人都圍過來看
[21:27] 那算命師壓力很大
[21:30] 全部人都看著她
[21:31] 後來她想了想
[21:32] 說了一句
[21:33] 我愛你
[21:35] 對那個女生說
[21:37] 就你預測失準
[21:39] 你要麼就認錯
[21:40] 你要麼就乾脆認了
[21:42] 青稚下海
[21:43] 你跟著大盤
[21:44] 我認為這是最好的選擇
[21:45] 就如果大家對於明年的景氣預判形勢
[21:47] 的確也沒有一個很明顯的共識
[21:49] 那就有一定的部位參與著大盤
[21:52] 也許是最好的選擇
[21:53] 現在要跑贏大盤
[21:54] 也不是應該講要跑進大盤
[21:56] 其實也蠻困難的
[21:57] 按照今年的少數全職股的漲幅
[21:59] 好那回過頭來看
[22:01] 其實整個景氣的概況
[22:02] 整個26年
[22:04] 當然大家並沒有在怕衰退
[22:06] 而是怕這個主流估值的敘事
[22:08] 要如何形成
[22:09] 有的說要靠AI的實質獲利來做拉伸
[22:12] AI獲利有了
[22:13] 那我們就穩了
[22:14] 有的說連準會的流動性
[22:16] 預期必須要開啟
[22:17] 這樣的一兩碼
[22:19] 中小型企業怎麼活得回來呢
[22:21] 有人說
[22:21] 迎來一個更為理性的川普就OK了
[22:24] 美國經濟是很好的
[22:26] 只要川普不干擾就沒問題了
[22:28] 當然每個人有不同的邏輯和看法
[22:31] 我們回過頭看四大指數在今年的表現
[22:33] 造成指數昨天下跌249點
[22:35] 0.51%
[22:37] 收在48,461點
[22:38] 還在歷史新高附近
[22:40] 標普下跌24點
[22:42] 0.35%
[22:43] 收在6,905點
[22:44] 納指下跌118點
[22:47] 0.5%
[22:47] 收在23,474點
[22:50] 肺瘢下跌29點
[22:51] 0.41%收在7178點其實每年年末或者年初到26年年初你會發現越來越多對賬單尤其是當年是牛市的話
[23:03] 但不得不說
[23:04] 這樣的情況對於很多投資朋友來說
[23:06] 確實是一種考驗
[23:07] 就好像我們片頭說的
[23:08] 畢竟每個人的投資收益多寡
[23:10] 其實還是取決於你的本金大小
[23:12] 和心理的因素
[23:14] 但大多數人看到別人的對賬單
[23:16] 有時候就產生那種
[23:18] 憑什麼我做不到
[23:19] 就忽略這種自身條件
[23:22] 跟他人可能存在的差異
[23:24] 一山還有一山高
[23:25] 重要的是你能夠超越過去自己
[23:27] 今年最大的區別在於
[23:28] 你四月有沒有勇敢加倉
[23:30] 四月有沒有選擇停損
[23:32] 基本上就足以影響到
[23:33] 今年是否能夠超越大盤的績效
[23:35] 但是我們還是經常建議投資朋友
[23:38] 雖然我知道大家也是賺得盆滿缽滿
[23:41] 但是儘量不要秀對賬單
[23:43] 有很多投資朋友跟我分享
[23:44] 我很開心
[23:44] 我的工作就儘可能在
[23:46] 讓大家分散風險下
[23:48] 有亮麗的績效
[23:49] 但你如果拿給你的朋友看
[23:52] 拿給你的父母看
[23:53] 拿給你的同事看
[23:55] 那效果就不太一樣了
[23:56] 誰知道他是不是肆虐
[23:58] 砍在阿呆骨
[23:59] 誰知道他是不是去放空
[24:00] 所以表面上關係再好的人
[24:02] 只要感覺你在炫
[24:03] 你有很高的機率就會得罪他
[24:06] 人與人有時候是這樣的
[24:07] 簡單來講就是
[24:08] 你對別人的用處越大
[24:09] 那你炫的好處就越多
[24:12] 比如說你炫
[24:13] 你買車買房
[24:14] 工資很高
[24:15] 工作好
[24:16] 老婆漂亮
[24:17] 孩子很聰明
[24:18] 別人可能嘴上稍微恭維兩句
[24:21] 心裡就開始恨得牙癢癢
[24:22] 嫉妒會使人失去理智
[24:25] 巴不得你走路掉到坑裡
[24:27] 但你說真的很想
[24:29] 你就匿名
