[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 已经透露出一些好消息
[06:11] 所以到现在为止
[06:12] 到28 29年
[06:13] 资料中心还没有逐步建成之前
[06:15] 基本上我认为不太可能
[06:17] 真的有人推出这种游戏了
[06:18] 真正的压力
[06:19] 过去提过
[06:20] 仍然来自于信用市场的反压
[06:23] 因为随着科技巨头
[06:24] 大举的投资到AI资料中心
[06:26] 现在的举债规模
[06:27] 所造成的财务风险压力巨大
[06:30] 现在像是甲骨文
[06:31] SpaceX
[06:32] Alphabet
[06:32] Amazon
[06:33] Meta
[06:33] 这些企业的信用违约交换
[06:35] 也就是我们讲的CDS价格
[06:37] 把它当成高违约保险成本
[06:40] 全部创高了
[06:41] 甲骨文五年级的CDS
[06:43] 已经从年初的144个基点升到215个基点
[06:47] 代表1000万美元债券的投保违约保险
[06:51] 每年成本上升21.5万美元
[06:55] 这其实很不少
[06:56] 回答的CDS价格
[06:58] 五年期的也上升79个基点
[07:00] 创新高了
[07:00] Google的部分CDS上升了67个基点
[07:03] 那第二季的自由现金流它越转负
[07:06] 所以上升速度稍微加快
[07:07] 其他甲股因为宣布未来一年
[07:09] 又要投接近700亿美元的扩建资料
[07:12] 那股价最近又回撤到
[07:15] 这个2025年关税战的低点了
[07:18] 当然如果把甲骨文
[07:20] 跟SpaceX的信用风险拿来做比较
[07:23] 你会发现
[07:23] 这两者是目前压力来最大的
[07:26] 因为如果是从甲骨文来看
[07:28] 它是6月是接近155个基点
[07:31] 现在上升到210个基点了
[07:33] SpaceX从6月底开始有报价之后
[07:36] 也快速的从110个基点
[07:37] 攀升到180个基点
[07:39] 这种上升幅度
[07:40] 虽然信凭机构还来不及调整
[07:42] 但是有点接近垃圾再登机
[07:44] 我们讲的这个信用利差
[07:46] 或者我们看CDS的这种上升的速度
[07:50] 基本上可以看得出来
[07:52] 市场要求的风险贴水就要比十年积供债殖利率要求更高的报酬这件事情正在无条件的上升尤其在六月份之后都开始加速所以真实的卖压我其实认为更多其实是从债券市场回过头来影响
[08:06] 现在Google发行投资等级债
[08:09] Meta 微软
[08:11] 那接近7%到8%的殖利率
[08:13] 我记得是15%到20%年期的
[08:15] 那想一想
[08:17] 好像买债券也不是很不划算
[08:20] 你有8%的保底报酬
[08:22] 所以这个时候就会形成一些僵局
[08:24] 再次会不会回过头
[08:26] 影响到股票市场
[08:27] 加上最近破发频传
[08:30] 先是SpaceX的破发
[08:31] 再来海力士昨天也破发了
[08:34] 昨天盘中一度重挫10%
[08:36] 来到139块
[08:37] 最终是收在143
[08:39] 不过还是比发行价低了
[08:41] 接近有4%
[08:42] 这一次的IPO募资规模是265亿
[08:45] 不管是SpaceX还是SK海力士
[08:48] 第一波全套
[08:49] 所以市场的卖压
[08:51] 主要来自于投资人重新评估
[08:53] AI基础建设和融资风险
[08:55] 但是这种资金的流动性不足
[08:56] 看起来是足以影响到
[08:58] 行情面的主要原因
[09:00] 我们回过头看
[09:01] 美欧股市的四大指数变化
[09:02] 道琼指数上涨262点
[09:05] 0.51%
[09:05] 在52,210点
[09:07] 标普上涨1点
[09:09] 0.02%
[09:09] 在7,413点
[09:11] 反而是道琼标普表现还不错
[09:14] 纳指有点下压
[09:15] 不过还算是在高位做盘旋
[09:17] 纳指部分下结43点
[09:19] 0.18%
[09:20] 刷24932点
[09:22] 费办的部分
[09:23] 那就真的下跌有点重了
[09:25] 就看一下这一波前波低点能不能守住
[09:27] 下跌264点
[09:29] 2.23%
[09:30] 刷11554点
[09:32] 所以我们讲说
[09:33] 现在市场的论述就这样子
[09:35] 本来就是AI资本支出
[09:37] 一开始看到科技巨头
[09:39] 增加数千亿美元的投资
[09:41] 前几个月就很兴奋的买进
[09:43] 告诉你说现在自由现金流
[09:45] 因为钱投太多了
[09:46] 开始转弱了
[09:47] 折旧攀升
[09:48] 市场就开始掰开财报
[09:49] 股价反而就因此受到沉压
[09:52] 特别是他以前
[09:53] 你只要讲讲Robotex
[09:54] 也讲讲Optimus
[09:55] 市场就给你高本益比
[09:56] 现在投资人就开始掰开你的获利
[09:59] 每天看着交车
[10:00] 看着毛利率
[10:01] 鸡蛋里开始挑骨头了
[10:02] 韩国股市杠杆ETF也是
[10:04] 上涨时大家看到的
[10:06] 只有报酬倍数
[10:07] 下跌时就变成杠杆的曝显
[10:09] 追缴保证金流动性风险
[10:11] 我最近才看到一段对话
[10:14] 他说内库跟丁字库有什么不同
[10:17] 后来一看
[10:18] 内裤要掰开内裤才看到屁股
[10:22] 丁字裤是你要掰开屁股才看到内裤
[10:25] 牛市的时候
[10:26] 多头十大都在看股价
[10:28] 涨的时候
[10:29] 还没有反映在财报
[10:32] 所以先涨再说
[10:33] 财报本来就是落后的
[10:35] 下节的时候
[10:35] 反而每天在那边看财报
[10:37] 鸡蛋里挑骨头
[10:39] 平时一眼就看透了
[10:41] 如果是丁字裤
[10:42] 你真的要检查
[10:43] 要看到里面
[10:44] 你反而要把屁股掰开
[10:46] 你才看得清楚
[10:47] 好噁心好噁心
[10:48] 这例子举得不好
[10:50] 这段要剪掉
[10:51] 好险我们现在人不多
[10:53] 两万人人不多
[10:54] 这段待会剪掉
[10:55] 好但是重点是什么
[10:57] 重点是
[10:57] 如果它的基本面仍然保持优良
[11:00] 如果AI最终能成
[11:01] 那现在就是本益比大幅下滑的时刻
[11:04] 我们看最新从27年EPS来做
[11:07] 当前股价的本益比苹果
[11:09] 亚马逊大概掉到23倍
[11:11] Google22倍
[11:12] 微软20倍
[11:13] 博通20倍
[11:15] 戴尔20倍
[11:15] 台积电19倍
[11:16] 回答值剩下16倍
[11:18] Meta 16倍
[11:19] 甲骨文11倍
[11:20] 美光6倍
[11:21] SK海力士跌到现在
[11:23] 剩下4倍
[11:24] 所以这件事情都意味着
[11:25] 最后还是取决于
[11:27] 你相不相信
[11:28] 这些AI的资本支出
[11:29] 能够有回馈营收
[11:30] 如果你相信
[11:31] 现在到处都是低级企
[11:33] 当然了
[11:34] 我们也很清楚知道
[11:35] 只要没有来到
[11:37] 算力过剩的那一天
[11:38] 基本上这场游戏
[11:39] 还是可以把它
[11:40] 称之为估值回调
[11:42] 因为它就距离
[11:43] 显著的供给过剩
[11:44] 还有一段时间
[11:45] 川普最近
[11:46] 开始宣布扩大用电保护承诺
[11:49] 要求AI资料中心
[11:50] 不得把新增电力
[11:52] 成功的或者说全面性的
[11:54] 转嫁到一般的家庭
[11:56] 或者中小型企业
[11:57] 来试图回应AI热潮所引起的民怨
[12:00] 川普的出招
[12:01] 某种程度在为中期选举来做妥协
[12:03] 但是也意味着
[12:04] 接下来很长一段时间
[12:06] 资料中心的建制量只会延后
[12:09] 不太可能会提前
[12:10] 这是第一件事情
[12:11] 让本场泡沫形成的更远
[12:14] 第二件事情
[12:15] 是来自于供给链的调整仍然在持续
[12:18] 我们讲说这两年川普真正
[12:21] 其实对于美国非常有力达成的一项政策成果
[12:24] 就是美国AI晶片的供应成型
[12:27] 其实在上个月
[12:28] 辉达第一颗在美国生产的GP300 AI晶片
[12:31] 已经正式亮相了
[12:32] 虽然很吊诡
[12:34] 因为你晶片做完之后
[12:35] 你要回台湾做Coworks封装
[12:37] 然后再给鸿海伪创做组装
[12:40] 然后再运回来
[12:41] 但至少第一颗晶片在美国已经完成了
[12:44] 那这些调整
[12:45] 都有利于美国内部
[12:47] 一些设备股的资金轮动
[12:49] 持续下去
[12:49] 所以它是第二个
[12:50] 所带动的美国大基建
[12:52] 那当然
[12:53] 你像是各类型的科技巨头
[12:55] 也在华府持续的游说
[12:56] 可是即便像是
[12:57] Enthropy OpenAI
[12:59] 大量的在华府
[13:01] 拉升政治影响力
[13:03] 像OpenAI
[13:03] 今年上半年
[13:04] 它已经花了222万
[13:06] 赞助白宫
[13:07] Enthropy花了353万
[13:09] Google和微软
[13:10] 单季游说支出
[13:11] 也来到2020年的新高
[13:13] 每一个都希望
[13:14] AI资料中心建设速度可以加速
[13:16] 川普告诉你
[13:17] 不好意思
[13:18] 先顾中期选举
[13:19] 先慢慢来
[13:20] 你先告诉我
[13:21] 你有没有相关的发电的配套措施
[13:23] 我们再来慢慢做新建
[13:24] 做法规的更新
[13:25] 他的态度跟纽约州
[13:27] 有点越来越像了
[13:28] 某种程度在为选举来做妥协
[13:30] 这些事情都意味着
[13:32] 建制计划的延后
[13:33] 就代表着泡沫不会破
[13:35] 但是估值回调有可能会持续
[13:37] 这就是我们观察到的一个实质迹象
[13:39] 这是我个人的看法
[13:40] 当然回过头说
[13:42] 现在黄仁勋他所释放的谈话
[13:45] 某种程度就是把美国的效果外溢出去
[13:48] 我们今天持续往外聊
[13:49] 聊一下韩国市场
[13:50] 聊一下日本市场
[13:51] 韩国的部分
[13:52] 黄仁勋这一阵子砸了5100亿来布局南韩
[13:56] 刚才提到
[13:56] 西手never SK海力士打造AI新工厂
[14:00] 那接近是5000亿美元的合作计划
[14:03] 基本上在韩国各地
[14:05] 也会需要极大的用电量
[14:07] 当然了
[14:08] 人家说开玩笑
[14:09] 你现在提供人家5000亿美元资金的投资规模
[14:13] Jensen你要不要先救一下自家的股票
[14:16] 对啊好像现在先做股票回购
[14:18] 先撑住
[14:19] 挥达股价很重要
[14:20] 但不重要
[14:21] 重点是挥达
[14:22] 已经在上礼拜正式在南韩宣布
[14:25] 叫做AI前沿模型办公室
[14:28] 并考虑派遣部分的研究人员
[14:30] 长期居住南韩
[14:32] 和韩国科技技术学院
[14:33] 打造韩国的大圆模型
[14:35] 韩国即将推出本国的主权AI
[14:38] 此外
[14:39] 辉达和现代汽车
[14:40] 也共同开发搭载
[14:41] 自动驾驶的
[14:43] 我们之前讲
[14:44] 那个Apayamo的相关车款
[14:45] 跟LG合作的发展
[14:47] 也在工厂和家庭的
[14:48] 智慧发展系统当中
[14:50] 来做更进一步的合作
[14:52] 李在民在上礼拜
[14:53] 也跟黄仁勋握手
[14:54] 大喊我们是一家人
[14:56] 朋友一生一起走
[14:59] 那些跌停不再有
[15:01] 一家人就是要
[15:02] 整整齐齐的下去
[15:03] 我们看一下
[15:04] 稍早前的片段
[15:08] So if you say in Korean, it is 우리는 식구다
[15:12] 我会领导我们,也就是我们
[15:18] 然后你们会回答,我们是 식구다
[15:21] 我们是 식구다
[15:26] 这股吟啸,听了真是不舒服啊
[15:36] 但除了我们看辉达跟韩国各大企业的合作以外
[15:40] 三星电子也正式宣布取得博通价格超过2000亿美元的晶片代工合约
[15:47] 合作会一直维持到2030年
[15:50] 聚焦在两奈米和更先进的制程这也是目前三星在争夺AI晶片市场当中的重要突破南韩市场在上礼拜自从当时的三兆韩元计划以后
[16:03] 又重新推出新一轮的六项科技的拍板计划
[16:07] 这个六项科技拍板计划是把AI、AI晶片、国防AI、小型核能、AI港口
[16:13] 还有AI机器人列为发展的重点
[16:15] 目前的态度是全民打造科技主权计划
[16:19] 在欧七在国防晶片部分
[16:21] 南韩会由政府主导的可靠度验证
[16:24] 来通过测试的国产晶片
[16:26] 用于武器系统
[16:27] 来在公营私营层面
[16:30] 做有效的推动
[16:31] 南韩全民的AI计划
[16:33] 这一次预估在今年年底
[16:35] 应该就会正式推出
[16:36] 本土的AI聊天机器人
[16:38] 就有点类似的GBT一样
[16:39] 主要是跟三星SK海力士
[16:42] 还有Neva来做进一步的合作
[16:44] 以降低民众使用的生存式AI门槛
[16:46] 李在明已经提前宣布
[16:48] 今年所推出的AI聊天室机器人
[16:50] 会全民免费
[16:52] 只要是韩国人
[16:53] 你想用多少就用多少
[16:54] 难免可能用到一定程度之后
[16:57] 会做流量上的限制
[16:58] 但政府会做绝对性的补贴
[17:00] 让民众可以免费的使用聊天
[17:03] 搜寻摘要
[17:03] 而且会尽量鼓励商店
[17:06] 大量的采用相关的系统
[17:07] 让到时候每进到一个餐厅
[17:10] 就有相对的AI服务
[17:11] 能够顺势的出现
[17:12] 南韩政府也推动了AI基础医疗战略
[17:16] 在本周正式把人工智慧
[17:18] 全面导入到医疗体系
[17:19] 包括公共卫生
[17:20] 基层诊所
[17:21] 公立医院
[17:22] 都有一定程度的要求
[17:24] 南韩政府
[17:24] 现在看起来是很明显
[17:26] 依请国之力
[17:28] 尽力的推动AI
[17:29] 韩国做决策
[17:31] 好像都有这种感觉
[17:32] 以前都是那种
[17:33] 先冲再说的味道
[17:35] 你看97年
[17:36] 亚洲金融风暴
[17:37] 当时也是全民砸锅
[17:39] 卖铁救国
[17:40] 到后来
[17:42] 杠杆型ETF
[17:43] 人家推没有几个月
[17:45] 你就忍不住
[17:46] 你怕资金流到海外
[17:47] 你就赶快推
[17:48] 然后推了现在又有后果
[17:50] 急着消除韩国折价
[17:52] 然后到记忆体的扩敞
[17:54] 记忆体的稀缺才多少半年而已
[17:56] 你就开始国家的计划大幅扩敞
[17:59] 然后到AI资料中心
[18:00] 到主权AI
[18:01] 到医疗AI
[18:02] 到国防晶片
[18:03] 以前对台的策略
[18:05] 也是带着这种很强烈那种
[18:06] 感进度的色彩
[18:07] 这种集体动员
[18:09] 当然是韩国的优势
[18:10] 政策一拍板
[18:11] 政府财阀金融市场
[18:13] 往往就很快能够整对
[18:15] 但问题是什么
[18:16] 问题有时候太急
[18:18] 记忆体价格一高
[18:19] 你就立刻扩散
[18:20] 股市大涨
[18:22] 你就赶快上正额放大杠杆
[18:24] AI热潮一来
[18:25] 你要把资料中心晶片推到极致
[18:27] 韩国不是没有执行力
[18:29] 韩国是有时候那执行力用的太猛
[18:31] 最容易就变成抢先布局
[18:33] 变成产能过剩
[18:34] 以前记忆体就是这样子
[18:35] 全民参与变成全民套牢
[18:38] 所以心急吃不了热豆腐
[18:40] 真正困难的
[18:41] 从来都不是把计划喊得多大
[18:43] 你能不能控制速度
[18:44] 消化风险
[18:45] 让产业有时间
[18:47] 把投资转化成获利
[18:48] 所以我觉得
[18:49] 我们台湾也不要那么急
[18:51] 不要急慢慢来
[18:52] 台湾也可以走出
[18:53] 自己的一条路
[18:54] 之前看到一个父亲
[18:56] 临终之前
[18:57] 把儿子叫到眼前
[18:59] 慢条斯理的
[19:00] 从床下拿出一把筷子
[19:02] 长了很久的筷子
[19:04] 大儿子一见状
[19:05] 一把就把他折断
[19:07] 他就再拿第二双
[19:08] 老二也把他给折断
[19:10] 拿到第三双
[19:11] 三儿子
[19:12] 老三也赶快把筷子给折断了
[19:15] 最后他拿出仅存的一双
[19:17] 最后的小儿子
[19:19] 四子也赶快把筷子给折断了
[19:22] 然后四个兄弟就说
[19:25] 爸爸
[19:25] 你是不是要告诉我们团结的重要
[19:28] 爸爸快要断气了
[19:31] 气诺犹失
[19:32] 说这些筷子是乾隆皇帝用过的
[19:36] 可以换很多钱
[19:38] 所以不要急
[19:41] 慢慢来
[19:42] 有时候我们看到这件事情急不得
[19:44] 如果因为一场的AI风暴
[19:46] 这种AI的旋风
[19:47] 虽然2023年就已经推出了TEDGBT
[19:50] 可是这一场AI的旋风
[19:52] 这种对于硬底的稀缺
[19:53] 也不过就过去一年的事情
[19:55] 是否要由于过去一年的变化
[19:58] 在全世界当中
[19:59] 做那种显著很剧烈的改革
[20:02] 以国家资源倾泻而出
[20:05] 那会有人受伤的
[20:07] 真的有人可能
[20:08] 你的杠杆型ETF
[20:10] 从全民参与就变成了全民套牢
[20:13] 从抢先布局
[20:15] 搞不好就变成产能过剩了
[20:16] 所以像台湾就还不错
[20:18] 台湾是怎么样
[20:19] 台湾更偏向市场机制
[20:21] 和供应链的自主协调
[20:22] 官方虽然会提供政策方向
[20:25] 租税的优惠
[20:26] 土地水电或者人才的支持
[20:28] 但虽然我们讲是国家对了
[20:31] 政府很少直接主导
[20:33] 所有产业企业一起冲
[20:34] 你看像台积电联发科鸿海
[20:37] 台积电算了
[20:37] 但其他像联发科鸿海
[20:39] 广达伪创台达电
[20:41] 很多是依照市场的需求
[20:43] 各自的扩产
[20:44] 分工合作
[20:45] 再透过上下游的供应链
[20:47] 自然形成生态系
[20:48] 那个发展过程
[20:49] 就不像是韩国
[20:50] 这么轰轰烈烈了
[20:51] 也很少
[20:52] 随随便便就喊一个
[20:53] 数千亿美元的大计划
[20:54] 但优点是什么
[20:55] 企业会根据彼此的订单
[20:58] 技术成熟度
[20:59] 还有资本报酬率
[21:00] 来做逐步的投资
[21:01] 我认为这是很重要的
[21:03] 好 这个是韩国的部分
[21:04] 我们看一下日本
[21:05] 日本
[21:05] 因为他在去韩国之前
[21:07] 是先去日本
[21:08] 这次反而没有到台湾
[21:10] 那辉达这一次
[21:11] 也靠生产师AI
[21:12] 跟日本产生进一步的合作
[21:14] 那在日本访问期间
[21:16] 他把重心放在实体AI部分
[21:18] 也就是AI能不能控制
[21:20] 日本的机器人
[21:20] 自驾车和智慧工厂
[21:22] 黄文轩认为
[21:23] 日本拥有全球最顶尖的
[21:25] 精密制造能力
[21:26] 还有机器人的技术
[21:27] 你只要结合辉达的
[21:29] AI晶片和软体
[21:30] 就有机会主导
[21:31] 下一波的工业革命
[21:32] 那日本政府也是积极配合
[21:34] 高市已经指示
[21:35] 把AI列为半导体
[21:37] 最为核心产业
[21:38] 希望在2040年前
[21:40] 拿下全球AI机器人
[21:41] 30%以上的市场
[21:43] 规模大概是1330亿
[21:45] 黄仁鑫此行
[21:46] 也跟东京威力科创
[21:47] 松下 三菱 富士通
[21:49] 川崎重工 安川电经
[21:51] 等企业高层
[21:52] 来做进一步的会谈
[21:53] 那这一次的合作核心
[21:55] 就是由AI联盟
[21:57] Nutra
[21:58] 七手建立辉达
[22:00] 首座以实体AI为核心的
[22:02] 国家AI基础建设
[22:04] 对于韩国而言
[22:05] 更多还是供应链的组合
[22:06] 可是对于日本本土而言
[22:08] 辉达是希望可以借由日本的机器人
[22:11] 向外进行布局
[22:12] 能够跟陆系机器人来做抗衡
[22:15] 这个是辉达在日本的布局
[22:18] 其实之前我们看日本也是好赌
[22:20] 在北海道做新的高科技的聚落
[22:23] 目标就是打造一个
[22:25] 类台积电的晶片产业
[22:28] 不过目前其实在
[22:30] 良率上其实看起来是有效提升
[22:32] 但在产能上下压力度还是蛮大的
[22:35] 我们过去提过
[22:36] 因为日本政府
[22:38] 目前最大的僵持点
[22:39] 跟在野党当中的旗舰
[22:41] 其实就来自于
[22:42] 因为人家都是推行私人企业之后
[22:46] 来做辅助
[22:47] 日本现在都流行
[22:48] 直接成立一家新公司
[22:51] 然后由官国大量的一个进驻
[22:53] 那这到底是不是好事情呢
[22:55] 你像SpaceX的成功
[22:56] 当然美国政府有砸钱
[22:58] 但是它是在NASA太空说的
[23:01] 退役补给计划
[23:02] 掩护和成本失控的危险情况底下
[23:05] 才改用更为残酷的竞争制度
[23:08] 那日本政府
[23:09] 现在一次性的把预算
[23:10] 交给这些大型企业
[23:12] 然后设定一个技术的里程碑
[23:13] 那到底适不适用呢
[23:16] 所以政府出钱
[23:18] 是不是代表替市场来决定赢家
[23:20] 目前日本内部
[23:21] 还是有比较多的一个商讨
[23:22] 可是高市17项的战略计划
[23:24] 其实看起来
[23:25] 推行力度还是非常快的
[23:27] 也是藉由黄仁勋的帮助
[23:29] 其实我们过去跟投资朋友提过了
[23:31] 日本现在第一阶段的目标
[23:33] 还并不是说能够达成在全球有多少的市占率
[23:37] 第一阶段的目标
[23:38] 是尝试着跟日本的内容产业拉开距离
[23:41] 因为你要知道即便日本材料端
[23:44] 我们只看材料端的半导体
[23:46] 它产值是很庞大的
[23:47] 可是这几年即便多年的努力
[23:50] 你看到日本的内容产业的海外销售额其实比半导体产业出口额还高这在过去几年是很难想象的日本的内容产业是什么游戏动画
[24:01] 出版
[24:02] 电影
[24:03] AV
[24:03] 这些
[24:04] 其实这些的海外销售额
[24:06] 在过去几年
[24:07] 都是比半导体产业的出口额还要来得高
[24:10] 而且也比钢铁
[24:12] 比塑胶等传统产业来得高
[24:14] 所以日本其实有很强的软实力
[24:16] 这一波的实力崛起就意味着
[24:18] 半导体的优先目标
[24:20] 你要先尝试的超越这些内容产业
[24:22] 所以我们才讲说
[24:24] 日本其实有各自内部有很多的优势
[24:26] 那如何做好事做的协调
[24:28] 才是最重要的
[24:29] 日本真正我觉得难以取代的竞争力
[24:31] 未必在半导体
[24:32] 是身后的软实力
[24:34] 日本在材料设备半导体还有优势
[24:36] 但是这几年游戏动画电影
[24:39] 角色IP的内容产业
[24:41] 其实是更具有全球影响力的资产
[24:43] 你如何从这些软实力向外做延伸
[24:46] 我认为也是其中一种方式
[24:48] 我举个例子
[24:49] 我最近看了一下日本的IP
[24:50] 日本的IP收入当中
[24:52] 规模很庞大
[24:53] 规模最大是宝可梦
[24:54] 921亿
[24:55] 全球第一
[24:56] 然后Hello Kitty
[24:57] 也是800亿美元第二
[24:59] 面包超人有第三
[25:00] 有602亿
[25:01] 其他像玛丽
[25:02] 少年Jump
[25:04] 都是全球前十大
[25:05] 所以整体产业而言
[25:07] 虽然日本很缺乏那种迪士尼
[25:09] 或者Netflix的全球平台
[25:11] 可是在软实力层面
[25:13] 如果能够结合
[25:14] 接下来的特色型机器人
[25:16] 我认为也是有机会的
[25:17] 尤其现在在北美市场
[25:19] 美国人是越来越喜欢Hello Kitty的
[25:20] 我们看Hello Kitty的母公司三立油
[25:23] 在北美市场以前是长期低迷的
[25:26] 但经过连续七期的营收下滑之后
[25:29] 从23年20年就开始出现了V型反转
[25:32] 现在美国人人手一只Hello Kitty
[25:34] 所以我们才讲说
[25:35] 日本现在真正难以取代的竞争力
[25:38] 反而我认为是软实力
[25:40] 这有软实力的帮助
