[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 黃金也基本上在挑戰歷史新高的過程
[02:24] 從上海集貨交易所的成交量
[02:26] 看未平倉量來看
[02:27] 最近都突然創下歷史新高
[02:29] 投資人也在進行貨幣貶值交易
[02:32] 避開債券或者法幣
[02:33] 轉向實體資產
[02:35] 尤其就是貴金屬
[02:36] 美元是偏弱
[02:37] 它沒有到美元崩壞的地步
[02:39] 但是以美元計價的商品
[02:41] 事實上對於全球看起來
[02:43] 現在就更有吸引力了
[02:44] 美元貶值下去的話
[02:46] 如果今年再貶個5%到10%
[02:49] 那對於這些以美元計價的貴金屬
[02:51] 都是一個顯著的市場買盤象徵
[02:54] 當然我們看銅價的部分是市場最擔憂的
[02:57] 因為你說金價的飆升
[02:59] 那就把它怪給避險吧
[03:00] 那鎳價或者錫價
[03:03] 飆升它都不足以引得市場上全面性的供給收縮
[03:07] 可是你像電動車或者做AI伺服器銅線等等
[03:11] 對於銅的用量需求是很大的
[03:13] 而銅的礦產量其實沒有想象中來得多
[03:17] 尤其每5到10年才能夠有大規模新一輪的供給變化
[03:23] 所以短期內如果無法讓銅價順勢的回跌
[03:26] 那就會引發到目前迎來的新能源電網升級
[03:30] 或者資料中心的安全
[03:32] 那現在資金正在大量的往裡頭來做湧入
[03:35] 下一輪的爆發點
[03:36] 市場的平均預估是
[03:38] 什麼國家開始進行銅庫儲存備的時候
[03:41] 應該就引發了市場上國家戰略級的搶貨潮
[03:46] 所以銅價現在漲幅有點危險
[03:49] 但是也說明著
[03:50] 目前的通膨推升
[03:52] 似乎也不是供給鏈完全失控的油價問題
[03:55] 而更類似於全球都在搶金屬
[03:58] 如果我們仔細觀察
[03:59] 現在銅啊
[04:00] 現在囤最多的
[04:02] 我們從國家角度來看的話
[04:04] 應該就是美國了
[04:05] 那美國也很正常嘛
[04:06] 我們過去講說川普有鏈銅屁
[04:08] 希望所有的銅原料
[04:10] 都能夠優先進入到美國市場
[04:12] 再進行冶鏈
[04:13] 短短一年已經突破了50萬短盾
[04:16] 遠高於過去幾年常態水位
[04:19] 所以目前美國的擴存水位是很高的
[04:21] 照來講
[04:22] 銅是不應該崩的
[04:23] 但由於大家都預估
[04:25] 美國的戰略儲備要拉得非常高
[04:27] 所以呢
[04:28] 大家就更願意提前先囤
[04:30] 到時候再賣給美國人嘛
[04:31] 那白銀的部分
[04:33] 最近價格也創下歷史性高了
[04:35] 白銀ETF交易量也來到歷史高檔
[04:37] 那通常這種爆大量
[04:39] 通常是市場的見頂階段
[04:41] 不過呢
[04:43] 散戶的投機熱情似乎也才剛剛開始
[04:45] 市場上
[04:46] 尤其這一次的圈支調中以後
[04:49] 該有的賣壓好像也該出現了
[04:51] 市場就會擔憂
[04:52] 那到底這個白銀價格是漲真的還是漲假的
[04:55] 關鍵其實並不是單純需求暴增
[04:58] 而在於流動性的問題
[05:00] 因為年初當時因為關稅和政策不確定性
[05:03] 實體白銀曾經被大量的運往美國
[05:05] 我們講的是去年年初
[05:06] 導致倫敦金庫的庫存明顯下滑
[05:10] 接著實體支援白銀ETF的需求後來又暴增
[05:13] 所以去年那個下半年的漲幅
[05:16] 其實有很大程度是因為沒有流動性
[05:18] 所以就亂漲隨便漲
[05:20] 可是現在這個位階
[05:22] 即便流動性問題開始緩解
[05:24] 它價格好像也跌不太下去
[05:26] 所以把庫存
[05:28] 再把ETF
[05:29] 再把政策預期
[05:30] 交織出所形成的擠壓行情
[05:33] 就會變成那白銀價格的漲幅
[05:36] 相對於黃金
[05:37] 黃金還是那種緩漲
[05:38] 漲久了回撤到季線
[05:40] 然後再往上走
[05:41] 那白銀價格就是一路不回投資
[05:43] 就被往上飆
[05:44] 所以在像效果底下
[05:46] 市場會擔心
[05:47] 白銀的崩跌情況
[05:49] 可能會比接下來
[05:50] 同價的回檔幅度來得更大
[05:51] 那事實上也證明了
[05:53] 如果這些金屬資產
[05:55] 不在今年有一個適度的中期回撥
[05:57] 期貨價格轉嫁到現貨價格
[05:59] 雖然CPI當中不統計金屬
[06:02] 可是遲早會影響到生產成本PPI的問題
[06:06] 所以呢
[06:06] 什麼時候原物料價格的上漲
[06:08] 影響到PPI
[06:09] 我們大概就知道
[06:10] 通膨在短期內
[06:12] 僵固性又要出現了
[06:13] 不至於失控
[06:14] 因為油價還在跌嘛
[06:15] 可能到時候又失控了
[06:17] 或者說到時候又受到比較大的
[06:19] 將固性的懲押
[06:20] 那當然我們回過頭看
[06:22] 影響金屬資產短期內有市場買盤的
[06:25] 幾大原因
[06:26] 第一個當然就是伊朗目前的問題
[06:28] 伊朗政府目前是持續針對
[06:30] 全國進行鎮壓
[06:31] 死亡人數快速攀升
[06:33] 目前按照CNN的統計
[06:35] 已經超過2500人喪命
[06:36] 但是在全國性網路封鎖下
[06:38] 實際情況恐怕更為嚴重
[06:40] 那抗疫最初當然是貨幣爆扁
[06:43] 和民生惡化的問題
[06:44] 不過呢就目前來看
[06:46] 伊朗數十年來最血腥的鎮壓行動
[06:49] 應該已經上演了
[06:50] 這也就說明了
[06:51] 這個伊朗目前態度也很堅決
[06:54] 但是是否會引得美方來介入
[06:56] 美方可能採取的行動
[06:58] 不管是斬首行動
[06:59] 還是確保我們講說政權更迭成功
[07:02] 這個要做更進一步觀察
[07:04] 因為兩家重量級媒體
[07:06] 所透露的市場氛圍完全不一樣
[07:08] 我們舉例來說
[07:09] 如果是根據路透社的報道
[07:12] 路透社認為24小時內
[07:14] 川普就有可能會採取相關性的動作
[07:17] 來入侵伊朗
[07:18] 確保政權更迭成功
[07:20] 但是呢
[07:21] 如果觀察彭博社的報導
[07:23] 則是認為川普已經釋出降溫訊號
[07:26] 暫時不會對伊朗來動武
[07:28] 先觀察情勢發展再說
[07:29] 所以到底現在川普要做什麼事情呢
[07:32] 畢竟現在在美軍各地
[07:34] 在中東非戰鬥人員都在陸續撤離
[07:37] 看起來就是一場大戰即將引發
[07:39] 那如果我們細看在伊朗內部的問題
[07:42] 如果以重大動盪網路管控的方式
[07:45] 攤開來看
[07:45] 手法正在進化
[07:47] 這張圖表是19年當時的抗疫期間
[07:50] 網路連線也是反覆的被壓制
[07:52] 長時間維持在個位數的水準
[07:54] 但後來就慢慢恢復了
[07:55] 到2025年伊朗和以色列衝突時間
[07:58] 當時切斷方式也變得更為激進
[08:00] 連線率是突然之間降到零
[08:02] 所以每一次伊朗內部有緊急紛爭
[08:05] 抗疫潮的時候
[08:06] 就會經歷可能一到兩個月左右的斷網
[08:09] 那現在也是斷網了
[08:11] 不過當時STARLINK還沒有這麼發達
[08:14] 現在你只要有相關的裝置
[08:15] 都可以接收到網路
[08:17] 所以到底這一次網路清空以後
[08:20] 畢竟現在伊朗內部的經濟形勢
[08:22] 也沒有好轉要如何結束本場的動亂現在伊朗整體貨幣已經跟全球貨幣陸續脫鉤那川普呢也採取一系列動作來確保伊朗無法跟相關貿易國家來做生意
[08:35] 這個後續就要觀察
[08:36] 美國當前的做法
[08:38] 是不是可能採取進一步動作
[08:40] 因為呢
[08:41] 早在本週剛開始
[08:43] 川普就已經釋出卡達基地人員
[08:45] 進行非戰鬥人員全面撤離的跡象
[08:48] 那你要知道
[08:48] 卡達大概有一萬名左右的官兵
[08:51] 有大量的情報人員
[08:52] 這樣採取的預防性措施
[08:54] 似乎這個案子
[08:56] 美方隨時都有可能採取行動
[08:58] 那你說要採取行動
[08:59] 為什麼要撤離非戰鬥人員呢
[09:01] 因為當時以伊雙方在衝突的時候
[09:06] 伊朗就曾經向周邊的基地來發射火箭彈
[09:10] 雖然沒有造成人員死傷
[09:11] 不過先撤離非戰鬥人員是有其必要的
[09:15] 現在在美軍在中東
[09:17] 駐軍最多的就是科威特
[09:18] 大概是13500人左右
[09:21] 其次呢是卡達和巴林
[09:23] 各有9000人
[09:24] 阿聯酋有5000人
[09:25] 伊拉克有4000人
[09:27] 約旦有3800人
[09:29] 沙巴地阿拉伯有2300人
[09:31] 土耳其有1830人
[09:32] 敘利亞有1400人
[09:34] 埃及都有400人啊
[09:36] 所以其實美軍在整個中東
[09:37] 部署人數非常多
[09:39] 有5萬人啊
[09:40] 還有兩支航空母艦打擊群
[09:42] 尼米茲號和文森號
[09:44] 每支艦隊還有5500人
[09:46] 所以照理來說
[09:47] 這一次所採取的動作
[09:49] 我個人是覺得
[09:50] 川普採取軍事行動的可能性非常高
[09:52] 可能現在還在情報戰當中
[09:55] 所以讓伊朗高層說不準
[09:57] 到底要做什麼
[09:58] 可是這次的經濟行為
[10:00] 也採取了非常醒目的壓制
[10:01] 川普宣佈任何跟伊朗做生意的國家
[10:04] 都會被課徵25%的關稅
[10:06] 並且強調即刻生效
[10:08] 他也沒有交代試用範圍或者執行細節
[10:11] 他是直接把這項壓力丟給德黑蘭
[10:14] 也同時衝擊全球主要的貿易伙伴
[10:16] 不只是鄰國
[10:17] 還包括印度土耳其
[10:20] 那現在全球最大的伊朗石油買家是誰
[10:23] 就是中國
[10:23] 所以呢
[10:24] 你說中國因為這樣子就停止進口伊朗的石油嗎
[10:28] 好像也不會
[10:29] 那川普好像也沒有針對中國
[10:32] 想要再發動新一場貿易戰的理由
[10:35] 不過呢
[10:35] 至少就目前來看
[10:37] 嘗試的把能夠嚇唬的全部給下退
[10:40] 讓大家一起來孤立伊朗
[10:43] 這個是川普政府目前所採取的做法
[10:45] 我們過去跟投資朋友提過
[10:47] 整個伊朗目前當前的形勢
[10:49] 其實相當殘酷
[10:50] 一方面伊朗整體原油
[10:53] 基本上每桶要賣到164塊
[10:56] 才能夠被當前不管所課徵的關稅
[10:58] 還是遭到封鎖或者原油演練成本
[11:01] 才能夠相互抵消
[11:03] 所以本身而言
[11:04] 其實伊朗到目前為止
[11:06] 即便擁有全球相對大的石油存量
[11:08] 但即便賣給中國第一價格低
[11:11] 第二賣了都不一定能夠回本
[11:13] 經濟狀況無法好整的情況底下
[11:15] 代表本場抗疫的源頭
[11:17] 根本就無法解決
[11:19] 這就像是端著金飯碗要飯
[11:21] 如果無法解決
[11:22] 那伊朗形勢
[11:23] 你要讓他這一場抗爭自然的淡化
[11:27] 要麼就是政權內部的讓步
[11:28] 要麼那就是川普採取一定程度的行動
[11:32] 所以這第一件事情
[11:33] 伊朗問題
[11:33] 也許本週就會爆發了
[11:35] 上次委內瑞拉事件
[11:36] 也是莫名其妙就爆發了
[11:38] 而且每一次爆發都在週末
[11:40] 都讓我們有心情可以先沉澱
[11:42] 禮拜一大家又不是很緊張
[11:44] 只有貴金屬會飆
[11:45] 好那第二個引發貴金屬價格漲幅的
[11:49] 主要就來自於聯準會內部的反擊
[11:52] 以及全球央行的支援
[11:54] 我們知道這一次川普所採取的動作
[11:57] 司法部送達暗示刑事責任傳票之後
[12:01] 鮑爾已經正面指控總統要嘗試奪權
[12:04] 那也直言
[12:05] 這關鍵不是說個人恩怨的問題
[12:07] 而是利率究竟應該由經濟資料來決定
[12:10] 還是屈服於政治施壓和恐嚇
[12:12] 那明目上就是說
[12:14] 川普正在對我進行政治施壓和恐嚇
[12:17] 那如果我們細看
[12:18] 的確現在鮑爾在制度當中的選擇權
[12:21] 已經成為政治和司法角力的焦點
[12:23] 按照傳統
[12:24] 聯總會主席任期之後
[12:26] 通常一併就會離開領事會
[12:28] 但是鮑爾理論上是可以選擇留下的
[12:31] 這會直接影響到未來十多年
[12:33] 聯總會權力結構和投票平衡
[12:35] 所以很多人說川普目前的壓制
[12:37] 是希望你能夠現在就辭職
[12:39] 然後離開
[12:40] 我會保持利率的中性穩定
[12:42] 但是呢
[12:43] 鮑爾很明顯嘛
[12:44] 他一定要做到完
[12:45] 而且現在呢
[12:46] 就算是主席任期到了
[12:48] 他的理事任期
[12:50] 他也不一定願意走
[12:51] 所以你可以看到
[12:52] 現任理事當中
[12:53] 有人任期是一路到2038年
[12:55] 有人則是明顯到第二任期
[12:58] 重新佈局
[12:59] 川普到時候的任期結果
[13:00] 這讓誰留下誰被迫走
[13:02] 就不僅僅是
[13:04] 我們看到單純的
[13:05] 大家的人事安排問題
[13:06] 是說貨幣政策的獨立性
[13:08] 我們如果這些委員們
[13:11] 陸續出來喊話
[13:13] 都表達反對川普
[13:14] 那雙方針對未來
[13:16] 聯總會獨立性跟白宮之間的衝擊幅度
[13:19] 就會來得越高
[13:20] 不確定性就會來得越來越多
[13:22] 我們細看
[13:23] 張圖表示
[13:24] 目前參議院銀行委員會
[13:26] 目前大概是13比1
[13:28] 只要有一個共和黨級的跑票
[13:30] 任何聯總會的人事案都會直接停擺
[13:33] 我們之前提過
[13:34] 你像Tom Thiel
[13:36] 他已經明確表態了
[13:37] 那共和黨級的
[13:38] 司法部調查結束之前
[13:40] 不會放行任何聯總會主席的提名人選
[13:44] 連共和黨內部
[13:45] 都很明顯有人
[13:46] 明顯不支援川普
[13:48] 對於聯總會進行施壓
[13:50] 那這件事情
[13:50] 都會引發進一步
[13:52] 貨幣政策的不確定性
[13:54] 那貨幣政策的不確定性
[13:55] 引發的就是
[13:56] 金屬價格買盤的升高
[13:58] 尤其是黃金價格
[14:00] 你像是華爾街也是如此
[14:01] 像吉米戴蒙
[14:02] 雖然過去曾經對於川普
[14:04] 有適度支援
[14:05] 不過這一次
[14:06] 他也認為司法部調查聯總會主席
[14:08] 其實是不該做的
[14:10] 那川普當然就反擊戴蒙
[14:13] 說司法部調查又不是我的問題
[14:15] 是他們自己要調查的
[14:16] 那如果他調查沒問題
[14:18] 那就沒問題
[14:19] 所以雙方目前的衝突
[14:21] 仍然在持續當中
[14:22] 尤其全球央行
[14:24] 現在都集體開始聯手錶態
[14:26] 我們看到在最近
[14:27] 英國央行
[14:28] 歐盟央行
[14:29] 加拿大央行
[14:30] 瑞典央行
[14:31] 丹麥瑞士
[14:32] 澳洲
[14:33] 韓國巴西法國
[14:34] 等主要經濟體
[14:35] 全部都聯手來抵抗川普
[14:38] 你說那跟川普什麼事
[14:39] 對這一些國家的聯總會主席
[14:42] 或者央行主席
[14:43] 全部都支援鮑娥
[14:44] 認為美國央行
[14:46] 必須要具備足夠的獨立性
[14:48] 才能夠確保住
[14:50] 全球貨幣政策的穩定
[14:51] 那只有一個缺席
[14:52] 就日本
[14:53] 那日本為什麼缺席呢
[14:55] 這一年我們知道
[14:56] 鮑娥本人
[14:57] 雖然獨立性正在被侵蝕
[14:59] 日本官方實質表態是
[15:02] 宏觀經濟政策
[15:03] 最終責任是在政府
[15:04] 貨幣政策雖然由央行決定
[15:07] 但是依法必須跟政府密切溝通
[15:09] 這很難得見到
[15:11] 日本人這麼中立
[15:13] 還不能講這麼中立
[15:14] 這麼對於川普友善
[15:16] 很明顯
[15:17] 對於日本央行而言
[15:18] 當前他的貨幣政策
[15:20] 看起來也是跟官方密切合作
[15:22] 待會我們來做細探
[15:23] 所以種種原因
[15:25] 都導致的不確定性
[15:26] 你不確定性
[15:28] 到底聯準會跟白宮的爭議
[15:30] 會如何結束
[15:30] 你也不確定性
[15:31] 是不是過了五月
[15:33] 降息通道就會完全開啟
[15:34] 到底是這樣還是不像
[15:36] 降息確定
[15:37] 都不一定導致貴金屬價格暴漲
[15:40] 但是降息不確定
[15:41] 就已經足夠導致短期內貴金屬的賣盤了
[15:44] 這是第二個
[15:45] 我們看到貴金屬價格上漲的原因
[15:47] 那第三個
[15:48] 整體經濟並沒有一個顯著的形式判斷
[15:51] 來確保說通膨一定會再起
[15:54] 畢竟最新所公佈的CPI資料
[15:56] 這一次在12月份
[15:58] 其實並沒有顯出驚嚇
[16:00] CPI整體月增幅0.3%
[16:02] 年增幅2.7%
[16:03] 完全符合市場預期
[16:05] PPI也完全沒有失控
[16:07] 甚至昨天所公佈的
[16:09] 美國零售銷售資料
[16:10] 還意外走強
[16:12] 當然走強也不是很多
[16:13] 實際成長0.6%
[16:15] 比預估的0.5%高了一點點
[16:18] 這個是7月份以來的
[16:20] 最大單月增幅
[16:21] 年增幅有3.3%
[16:22] 所以零售銷售也沒有崩
[16:24] 通膨也不高不低
[16:26] 你也不能說它達標了
[16:27] 但是也沒有失控
[16:28] 在種種效果底下
[16:30] 川普政府當前所處於的局面
[16:33] 基本上就是
[16:34] 你好像也沒有理由
[16:35] 說現在一定要大降息
[16:37] 因為降息的理由是
[16:38] 部分人活不下去
[16:40] 而不是美國經濟不行了
[16:42] 種種效果底下
[16:43] 最後就導致
[16:44] 市場的貴金屬買盤持續增高
[16:46] 對於經濟形勢的判斷持續分歧
[16:48] 那最後呢
[16:49] 川普還有另外一大變數也是一個不確定性那就是美國最高法院判決的問題這個本來說上週五就要公佈了現在已經到禮拜四了還不公佈最高法院是在等什麼呢
[17:01] 該不會是要等到其中選舉結束之後再公佈吧
[17:04] 那當然如果最高法院判決川普關稅違法的話
[17:06] 那是不是就出現了一系列的變數
[17:09] 如果不違法
[17:10] 那就沒變數
[17:12] 繼續克嘛
[17:13] 如果違法
[17:14] 那變數就來了
[17:15] 第一
[17:15] 川普會不會改採其他條款來克增
[17:18] 比如說二三二條款
[17:19] 由商務部完成國安調查來課程
[17:22] 或者301條款
[17:23] 藉由關稅年限幅度來進行實質
[17:27] 我們講說美國國際貿易委員會
[17:30] 來進行調查之後來做公佈
[17:32] 或者338條款
[17:33] 這個幾乎沒有人用過
[17:35] 不過它也可以用
[17:36] 所以如果確定違法的話
[17:38] 那反而市場上又增加了許多變數
[17:41] 金屬價格更有進一步攀高的可能性
[17:44] 這就是目前我們看到金屬價格的實質買盤根本原因
[17:47] 當然談到關稅
[17:48] 市場上就會聚焦
[17:50] 因為在東亞市場
[17:51] 主流經濟體當中
[17:52] 就剩下臺美關稅還沒有公佈
[17:55] 雖然紐約時報之前
[17:56] 有公佈相關的新聞
[17:58] 和引述相關訊息人稱
[17:59] 這一次可能降到15%
[18:01] 讓臺灣的工具機
[18:03] 機器和手工具
[18:04] 總算是鬆了一口氣
[18:05] 不過有兩個條件
[18:07] 第一
[18:07] 紐約時報以前川普說
[18:09] 人家是fake news
[18:10] 這一次是不是fake news
[18:12] 不知道
[18:12] 第二件事情
[18:13] 是行政院前副院長
[18:15] 施濟尼先生
[18:16] 這次反而提醒說
[18:17] 這個談判的時間點就很值得審視
[18:19] 因為美國最高法院
[18:21] 即將要裁決川普關稅是否合法
[18:24] 那很多人的預計都是
[18:26] 敗訴的機率是不低的
[18:28] 如果判局違法
[18:29] 臺灣目前被課徵20%的基準
[18:32] 對等關稅
[18:33] 可能直接取消
[18:34] 那只剩下原本的最惠國待遇稅率
[18:37] 等於無條件大幅降稅
[18:39] 就不管最後川普
[18:40] 要用什麼樣的方式課回來
[18:41] 反正短期內就失效了
[18:43] 他就不用再針對我們課關稅了
[18:45] 如果這是我們簽訂協議
[18:46] 那我們就再投五座先進金源廠
[18:50] 我們政府是不是應該要勢力一點
[18:52] 稍微懂得談判一點
[18:54] 拖到最高法院結束
[18:55] 也許這是一個更好的選擇
[18:57] 當然了很多人說
[18:59] 就算這個時間點跟美方達成協議
[19:01] 那最後關稅判決已經失效了
[19:04] 你還是有很多可能性會被川普壓迫的
[19:06] 不如好好跟這個人打交道
[19:08] 先不要得罪他
[19:09] 這也是一種說法
[19:10] 的確我們看臺美當前的貿易交易量
[19:13] 並沒有因為關稅戰而減縮
[19:14] 而反而大幅攀升
[19:16] 過去20年臺灣主要是靠中國吃飯
[19:18] 對於中國的貿易順差佔GDP比值
[19:20] 長期落在10到15%
[19:23] 最高曾經到18%
[19:25] 那因為中國是最終的產品組裝地
[19:27] 不過這幾年
[19:28] 你有沒有看到紅色柱狀體
[19:29] 臺灣對於美國的貿易順差佔GDP的比重
[19:32] 已經超過中國了
[19:34] 高度集中在美國市場
[19:36] 因為AI半導體伺服器
[19:38] 現在都是由臺灣整機出口
[19:41] 美國人現在就是臺灣出口業的直接老闆
[19:44] 以前也是老闆
[19:45] 但是是次要老闆
[19:47] 因為你是從中國再運往美國
[19:48] 現在不一樣
[19:49] 整機出口到美國市場當中
[19:52] 這導致整個26年的出口市場
[19:54] 預估會十分火熱
[19:55] 按照主技術的預估
[19:57] 今年出口市場應該會突破6600億美元大關
[20:01] 連續兩年創下歷史新高
[20:04] 在這樣的一個效果底下
[20:05] 臺灣薪資在過去一年
[20:06] 也創下本世紀以來的最大漲幅
[20:09] 整體平均經常性薪資是4.78萬
[20:12] 年增幅超過3%
[20:13] 這是26年來的同期新高
[20:15] 如果把加班費獎金算進去
[20:17] 大概就有4%左右
[20:19] 當然還是有極化的問題
[20:20] 70%的員工到目前為止
[20:23] 還是沒有達到薪資的平均值
[20:24] 不過總體經濟來看
[20:26] 看起來已經完全往上衝了
[20:28] 這也使得市場上油資非常多
[20:30] 你看申請上市和新上市的公司數量
[20:34] 或者IPO的籌資金額
[20:35] 去年是IPO臺灣大爆發
[20:38] 申請IPO有45家
[20:40] 08年以來最高
[20:41] 募資金額高達850億
[20:43] 相對於2020年是翻倍了
[20:45] 去年臺灣也沒降息
[20:46] 也沒有更寬鬆
[20:47] 可是大家都在把公司掛上牌
[20:50] 而且不只是大師兄
[20:52] 現在小師弟大師太全部都回來了
[20:54] 臺股從去年第三季一路往上衝
[20:57] 最大動力是誰
[20:58] 內資嘛
[20:59] 外資已經快要一個季度都沒回補了
[21:01] 不論是大戶中時戶還是散戶
[21:04] 目前交易人數是全面的攀升
[21:07] 從Q4來看
[21:08] 大戶已經上升到4899人
[21:11] 中時戶是4萬2千人
[21:13] 散戶583萬人
[21:14] 大幅度的上升
[21:16] 尤其定期定額的買盤
[21:17] 去年年底已經創下歷史新高
[21:19] 全年累積到6千億元
[21:21] ETF的資金正在穩定變成市場的底層支撐
[21:25] 小資族現在都不怕跌了
[21:27] 他只怕買不到
[21:29] 這是我們看到的真實跡象
[21:30] 最後呈現的效果
[21:31] 就是市場上的平均分散開始擴大
[21:35] 我們看臺灣和韓國
[21:37] 張圖表示富豪的資本結構
[21:39] 科技新報統計的
[21:40] 就臺灣前十名富豪的背後
[21:42] 你看到他對應的是一整排不同公司
[21:45] 雖然也是有一點
[21:46] 位置都沒什麼變
[21:47] 這幾年
[21:48] 可是也是不同產業
[21:49] 有電子代工
[21:50] 有品牌製造
[21:51] 有零元件
[21:51] 有金融
[21:52] 有食品
[21:52] 有電源管理
[21:53] 你像有郭臺銘
[21:54] 林白敏
[21:55] 陳泰銘
[21:57] 蔡明宗
[21:57] 蔡明星
[21:57] 蔡家
[21:58] 姓蔡
[21:59] 蔡宏圖
[22:00] 好像姓蔡的在臺灣都蠻有錢的
[22:02] 韓國就不一樣
[22:04] 韓國你榜單一拉開
[22:05] 名字是變了
[22:07] 人基本上都同一個集團
[22:08] 要麼就Samsung
[22:09] 要麼就現代
[22:11] 你發現從頭到尾就這一兩個集團
[22:13] 反覆出現的幾個財富團體
[22:17] 財富是高度集中的
[22:18] 所以在臺灣姓蔡的
[22:20] 比較容易有錢
[22:21] 在韓國姓李的
[22:23] 比較容易有錢
[22:24] 那這個結構
[22:25] 你要知道各有好壞
[22:27] 臺灣就像一整片森林
[22:28] 韓國就像超級幾棵巨木
[22:30] 各有優勢
[22:31] 各有風險
[22:32] 可是雙方都迎來了經濟的全面起飛
[22:35] 這是臺灣所遇到的情況
[22:37] 那關稅戰的問題
[22:38] 談成談不成
[22:39] 都有它的好處和壞處
[22:41] 但是不會改變臺灣今年
[22:43] 對美國出口順差的創高
[22:45] 第二個聊的是韓國
[22:46] 我們看韓國記憶體缺貨
[22:48] 現在全面升溫
[22:50] 也導致SK海力士提前開工
[22:52] 強產能
[22:53] 而且現在我記得龍仁廠
[22:55] 距離所有一段距離
[22:57] 大概40公里吧
[22:58] SK海力士預估要投資600兆韓元
[23:01] 所以四座晶圓廠
[23:03] 雖然沒有公開首期的產能細節
[23:06] 不過看起來韓國大廠們
[23:08] 都已經開始對賭
[23:09] 五年到十年接下來的未來
[23:11] 我們從East Asia的資料來看
[23:13] 臺灣在去年年底
[23:15] 單月出口金額都來到
[23:16] 600到700億美元了
[23:18] 比前一年增長了50%
[23:19] 韓國當時是跟臺灣有一段的落差
[23:23] 可是由於基期效果的原因
[23:25] 今年就變成韓國開始放量了
[23:27] 因為前兩年它的基期比較低
[23:30] 在種種效果底下
[23:31] 韓國政府也進行了一系列的調整
[23:33] 我們看南韓正式宣佈
[23:35] 在本週準備要開放加密貨幣產業
[23:38] 南韓金融服務委員會傳出更新指引
[23:41] 要讓企業開始投資加密貨幣
[23:43] 因為17年以來
[23:44] 韓國是禁止企業投資加密貨幣的
[23:47] 現在可以最多把5%的股東權益
[23:50] 投入在加密貨幣資產
[23:51] 而且韓國即將要擴大
[23:53] 接下來不管是美元穩定幣
[23:55] 或者加密貨幣資產的這種儲備地位
[23:58] 市場也普遍解讀
[24:00] 對於南韓的加密產業有偏多的訊號
[24:02] 如果大型企業進場的話
[24:04] 整個資本市場的狂樂
[24:05] 就能夠有效的往外推
[24:07] 所以我們看李在民
[24:08] 這一次一方面
[24:09] 是進行大量的金融管制的開放
[24:12] 但是另外一方面
[24:13] 對於部分領域
[24:14] 你像房地產市場
[24:15] 就不願意鬆動
[24:16] 而且他對於海外
[24:17] 幾乎是全面鴿派
[24:19] 就對所有人
[24:20] 基本上都希望
[24:20] 能夠緩解市場壓力
[24:22] 第一個角度
[24:23] 就是之前觀察到的
[24:24] 對於北韓
[24:25] 我們知道北韓
[24:26] 這一次李在民上任之後
[24:29] 就已經下令停止
[24:30] 對於北韓的邊境廣播
[24:31] 試圖要緩和兩韓的緊張局勢
[24:34] 所以一方面呢
[24:35] 用這樣的一個方式
[24:36] 嘗試著淡化跟北韓的色彩
