[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 川习会有过高的期待
[12:16] 拿来跟实体民间产业的成本脱钩
[12:19] 就会让我们忽略
[12:20] 实体经济的情况压力有多大
[12:22] 我们如果细节观察
[12:24] 你像美国小麦的部分
[12:25] 在最近价格也开始出现急弹
[12:28] 从面包到面条饲料价格
[12:31] 做显著上涨
[12:32] 当时从19块涨到25%
[12:36] 整体涨幅也来到40到50%
[12:38] 那你要知道
[12:39] 在全球地缘政治高度紧张之际
[12:41] 小麦价格的上涨
[12:43] 也会形成大量面粉制品所受到的冲击
[12:46] 另外一个就是牛肉价格
[12:48] 这个就是我觉得最诡谲的地方
[12:49] 就是就算中国跟美国签订的牛肉订单
[12:53] 中国也大概买不到
[12:54] 美国牛肉价格已经失控了
[12:57] 另外一方面
[12:58] 美国牛肉是大幅缺货
[13:00] 连最便宜的角肉价格
[13:02] 现在每磅要7美元
[13:03] 背后是整条牛肉供应链
[13:06] 已经出现严重问题
[13:07] 美国的牛群数量
[13:09] 已经创下75年以来的新低
[13:11] 干旱让牧草减少
[13:13] 饲料变贵
[13:14] 利率上升又增加了农场的农资成本
[13:17] 导致很多牧场主
[13:19] 最后直接把小牛给卖掉了
[13:21] 也不愿意留下来繁殖
[13:22] 这让牛只的供应持续紧缩
[13:24] 所以我在想这一次就算签了协议
[13:26] 中国也买不到
[13:27] 因为美国几乎就没有牛
[13:29] 我们举例来说
[13:30] 这张图表就是我们看到
[13:31] 产业链里面
[13:32] 大部分的公司都在亏钱
[13:34] 从小牛养殖场
[13:35] 到育肥厂
[13:36] 到屠宰厂
[13:37] 到加工
[13:38] 到超市
[13:39] 每一层都被高成本给挤压
[13:40] 真正赚最多钱的
[13:42] 就只有最前端的牧场
[13:43] 因为美国的牛群
[13:44] 真的降到十年多的低点了
[13:46] 小牛的价格升价翻倍
[13:48] 中间的育肥厂
[13:50] 或者肉品的加工厂
[13:52] 现在饲料成本在上升
[13:54] 人工成本在上升
[13:55] 运输成本在上升
[13:57] 采购成本太高
[13:58] 反而出现亏损
[13:59] 所以在这样效果底下
[14:01] 等同于市场上除了我们讲能源通膨以外
[14:04] 食品通膨也在逐步的形成
[14:06] 那你把能源和食品一扣除掉
[14:08] 如果连服务业成本也在上升
[14:10] 那就是全面性的通膨拉伸
[14:12] 就对于内部压力其实很大的
[14:14] 加上去年其实川普进行大量美国粮食券
[14:18] SNAP的削减
[14:19] 很多人想说只是一个财政或者福利政策问题
[14:22] 不过现在已经出现在财报身上了
[14:24] 美国大量的大型食品和超市公司都坦承
[14:27] 低收入家庭的消费正在明显转弱
[14:30] 因为没有美国粮食券
[14:32] 所以我们必须承认
[14:33] 在一系列的冲击底下
[14:35] 这就导致内部的压力
[14:37] 逐步反映在企业财报
[14:39] 我们过去能够接受的
[14:40] 大概就是
[14:41] 反正就AI好
[14:42] AI让指数创高
[14:43] 然后贫富差距拉大
[14:44] 这个大概就是最终的迹象
[14:46] 然后AI看是否能够
[14:47] 藉由税收或者变现的方式
[14:49] 进行财富的重分配
[14:50] 现在不太一样
[14:52] 现在不只是AI好
[14:53] 然后一般产业没有感受到
[14:56] 现在是一般产业开始受到影响
[14:57] 因为成本开始做拉伸了
[14:59] 我们看在这一波战争以来的期间
[15:01] 大多数的产业其实都在失血
[15:03] 尤其像是消费医疗
[15:05] 零售运输和原物料相关企业
[15:08] 市值普遍都在下滑
[15:09] 根本原因就来自于
[15:11] 预估接下来的生产者成本会急速调高
[15:14] 而且现在零售销售市场表现并不好
[15:17] 所以大多数人预估
[15:19] 这些企业并没有调整终端物价的能力
[15:22] 你一调整就完全没人消费了更惨
[15:24] 你现在只能牺牲一点利润
[15:27] 那利润的牺牲
[15:28] 就是EPS的衰退
[15:29] 最后就造成股价的下滑
[15:31] 当然这也就代表着
[15:33] 很多产业
[15:34] 我们看到在最近
[15:35] 从消费品牌到汽车到矿业
[15:37] 像最近LV
[15:38] 爱马仕
[15:39] 丰田日产等企业
[15:40] 都开始面临需求下滑的问题
[15:42] 这个我们看到标普白指数当中
[15:45] 迭最重都是这些消费类品
[15:46] 我举一个例子好了
[15:47] 看一下Nike股价
[15:49] Nike股价创下12年来新低
[15:52] 它在22年当时建高点以后
[15:55] 就一路的向下
[15:56] 当然有个别公司经营的问题
[15:58] 可是Nike到目前为止
[15:59] 仍然是协业龙头
[16:00] 所以这件事情就告诉我们
[16:03] 买龙头不一定赚钱
[16:04] 你买龙头
[16:05] 它到现在都还是龙头
[16:07] 12年了永远都是龙头
[16:09] 但它股价跌成这样子
[16:11] 从当时最高点我看
[16:13] 大概是170到180块左右
[16:16] 现在只跌到42块了
[16:18] 这么大的龙头跌成这样
[16:20] 你就看得出来
[16:21] 那另外一方面
[16:22] 我们看任天堂的部分
[16:24] 在任天堂我们之前提过
[16:25] 股价从去年11月高点已经腰斩了
[16:28] 它也算是老牌的游戏公司龙头那问题不只是Switch2的销售现在记忆体晶片价格的暴涨让任天堂不得不调高主机价格Switch2在美国已经调到499美元
[16:40] 越来越不像是冲动型消费了
[16:42] 这个时候任天堂被迫
[16:44] 因为最近有他的新马力欧的电影上映
[16:47] 来看看接下来几个月度
[16:49] 能不能获得进一步的营收回馈
[16:51] 不过至少我们看到一系列的传产
[16:55] 或者IP公司都受到了显著冲击
[16:58] 这也给投资品种做些观察
[16:59] 更不用讲传统的
[17:01] 我们讲说航空业了
[17:02] 航空业现在
[17:03] 我们把二月份的航班的
[17:06] 飞行的地图
[17:07] 拿来跟五月份来进行对照
[17:10] 其实已经看得出来了
[17:11] 廉价机票的时代
[17:12] 可能真的结束了
[17:13] 因为全球航空业
[17:15] 现在核心成本
[17:16] 蓝油价格居高不下
[17:17] 大概翻了一整倍
[17:18] 欧洲四成的航空蓝油
[17:20] 都是要经过一辆这条航道
[17:22] 现在全球航空公司
[17:23] 大量的大规模取消航班
[17:25] 砍路线
[17:26] 提前淘汰老旧飞机
[17:28] 因为老的飞机耗油
[17:29] 你像德国汉莎航空
[17:31] 目前已经砍掉2万班的夏季航班
[17:34] 美国联航精神航空甚至直接破产了
[17:38] 市场现在就开始担心
[17:39] 这是航空业的一次的大型洗牌
[17:42] 贫富差距
[17:43] 大者很大
[17:45] 小者很小
[17:46] 或者破产
[17:47] 最后所形成的结果
[17:48] 就是新一轮的财富分配
[17:50] AI还是强
[17:51] 但是以前是AI强
[17:53] 一般公司没有体会到
[17:54] 现在是AI强
[17:55] 但是高成本已经开始对于
[17:57] 消费型公司形成重大冲击
[17:59] 这是我们看到的实质迹象
[18:01] 那当然他最后所形成的结果
[18:03] 就是AI所带动的就业需求还在拉升
[18:06] 可是呢
[18:06] 在传产部分
[18:08] 似乎开始有所松动了
[18:10] 当然了
[18:10] AI所造成的就业拉升
[18:12] 那还是属于那种
[18:13] 已经会使用AI的人的那种高端需求
[18:16] AI对于基本员工所裁掉的冲击
[18:19] 还是很大的
[18:20] 像很多公司
[18:21] 今年前四月
[18:22] 美国企业的裁员比例
[18:24] 大概相对于去年同期
[18:27] 又开始增加了
[18:28] 接近8.5万人
[18:29] 相对于去年同期增长33%
[18:32] 最近像Meta
[18:33] 像Amazon
[18:34] 像PayPal
[18:34] 像Coinbase
[18:35] Snap
[18:36] 几乎整个科技圈
[18:37] 都把AI当成裁员和从族的理由
[18:40] 这让我开始有一点怀疑
[18:41] 他们是不是本来就想裁
[18:44] 只是用AI找到一个借口
[18:45] 要不然
[18:46] 这种裁员数率
[18:48] 其实算是蛮快的
[18:49] 所以在这样效果底下
[18:50] 不只是基层员工
[18:51] 从中阶管理到客服
[18:52] 到行销
[18:53] 到销售后勤等流程型的白领
[18:56] 都开始受到进一波的冲击
[18:58] 尤其在IT部门的部分
[19:00] 这很有趣
[19:01] IT部门在过去两个月
[19:04] 反而失业率正在上升
[19:05] 这说明着
[19:06] 这个AI也取代了非常多
[19:09] 我们讲的工程师人员
[19:10] 那AI如果真的能够取代
[19:12] 进一步的工作潮的话
[19:14] 就会造成民间压力
[19:16] 服务成本压力极大
[19:17] 那在科技业的部分
[19:19] 也并不是每个人都享受到
[19:20] 本波的外溢效果
[19:22] 因为你自己就已经先被裁掉了
[19:24] 这等同于美国的就业市场
[19:26] 就开始进入到一个相对卡住的情况
[19:29] 我们如果以非农就业数据来看
[19:31] 其实上个月表现还不错
[19:32] 但问题是新增的工作
[19:34] 都是集中在少数低品质产业
[19:36] 我们看医疗教育业新增4.6万人
[19:38] 快递业增长3.8万人
[19:40] 就这两个
[19:41] 其他几乎全部都在衰退
[19:43] 我们如果细看
[19:44] 尤其是以家庭调查的部分
[19:46] 整个4月的实际就业
[19:48] 人口并不是增加
[19:49] 反而是减少了22.6万人
[19:51] 几乎美国的就业人口
[19:53] 每个月都在下滑
[19:54] 一部分当然是
[19:55] 有部分人借由股市财富自由
[19:57] 就跟现在的台湾一样
[19:58] 另外一部分
[19:59] 就是美国的非法移民政策的冲击
[20:03] 开始逐步的涌现
[20:04] 让人家不敢乱工作
[20:05] 那美国的资讯业
[20:07] 是本波冲击最大的
[20:08] 就是我们总以为
[20:09] 这个AI会取代
[20:10] 非科技业以外的人
[20:13] 结果分享到
[20:13] 现在科技业是财源最重的
[20:15] 你像是美国资讯业
[20:16] 每个月都是连续负成长
[20:18] 有超过一整年了
[20:19] 像Codeflare
[20:21] 财源20%
[20:22] PayPal财源20%
[20:24] Upwork财源25%
[20:26] Meta财10%的人
[20:27] Microsoft财7%的人
[20:29] Coinbase财14%
[20:31] 那Google甚至表示
[20:32] 现在75%的新城市码
[20:34] 已经由AI来进行生成
[20:36] 所以这个时候压力就很大
[20:38] 大家就很急着赶快去学习AI
[20:40] 可是大家也会发现
[20:41] 只要你学得够慢
[20:43] 你发现什么都不用学了
[20:45] AI浪潮爆发之后
[20:46] 日本人很多很焦虑
[20:47] 自己怕会被淘汰
[20:49] 去报名了很多AI班
[20:51] 熬夜学程式
[20:53] 学AI工具
[20:54] 希望能够搭上下一波的科技红利
[20:56] 结果现实往往比想象中来得更为残酷
[21:00] 市场需求的变化速度
[21:01] 远远超过个人的成长速度
[21:04] 很多人花了好几千个小时在学习
[21:06] 后来发现企业根本就不缺这类的初级技能
[21:09] 甚至下一个AI工具
[21:11] 它推出新功能
[21:12] 立即就取代了那些刚学会的人
[21:14] 这就代表着
[21:15] AI正在让知识和技术快速的贬值
[21:18] 过去几年所累积的能力
[21:19] 可能几个月就被新工具给淘汰
[21:22] 所以我们才会讲说
[21:23] 这个年代你只要学得够慢
[21:25] 你就什么都不用学了
[21:26] 你以为你现在学
[21:27] 学不太会不太懂
[21:28] 下个月可能新的AI功能
[21:31] 就已经取代这项技能了
[21:32] 你就等同于不用学了
[21:33] 因为AI就能够做到了
[21:34] 所以很多人就会有一种失落感
[21:36] 明明很努力
[21:37] 还是追不上时代
[21:39] 整个世界正在加速的变动
[21:40] 那这就是双重效果
[21:42] 一方面就是
[21:43] 如果这个世界就是AI
[21:45] 再来做显著的推升
[21:47] 那你只会感觉到自己的能力
[21:49] 会进化的幅度要来得更快
[21:50] 或者你要去寻找AI无法取代你的技能
[21:53] 可是现在在消费市场
[21:56] 在传统市场
[21:57] 目前又受到高通膨的影响
[21:59] 压力巨大
[22:00] 那就形成了双面效果
[22:02] 就科技业它的增长
[22:03] 在股价上是真的
[22:05] 可是在员工人数上并不是真的
[22:07] 传统产业并没有想象中
[22:10] 全面性的跟上AI浪潮
[22:12] 与此同时
[22:13] 高通膨高成本的冲击
[22:15] 已经逐步涌现了
[22:16] 所以我们讲说
[22:16] 华许现在
[22:17] 或许已经正式接掌联总会了
[22:20] 一边是川普的施压降息
[22:22] 一边是战争引爆通膨
[22:24] 一边是就业市场的软化
[22:25] 那联总会内部
[22:26] 当然就会出现严重分裂
[22:28] 最近一次
[22:29] 上一次鲍威尔的利率会议
[22:30] 是1992年以来
[22:32] 反对声音最多的一次
[22:33] 部分的地区联总会总裁
[22:35] 甚至已经不愿意再暗示
[22:37] 下一步的降息
[22:38] 那我们就要看一下
[22:39] 接下来双方是否能够取得
[22:41] 相对应的平衡
[22:42] 好我们看一下
[22:43] 美国股市市大指数的表现
[22:44] 道瓦指数下跌67点
[22:46] 0.14%
[22:47] 收在49693点
[22:49] 标普上涨43点
[22:51] 0.58%
[22:52] 收在7444点
[22:53] 纳指上涨314点
[22:55] 1.2%
[22:55] 收在26402点
[22:57] 纳指和标普都创高了
[22:59] 费办昨天上涨300点
[23:00] 2.57%
[23:01] 收回到12017点
[23:04] 没有在怕的
[23:05] 我们看辉达的部分
[23:06] 辉达昨天创下历史性高价了
[23:08] 上涨2.29%
[23:10] 每股收在225块
[23:11] 它已经连续6天收涨了
[23:14] 看起来就是没有到520
[23:16] 大家的捉摸行情就不断的提升了
[23:18] 它是520公布财报
[23:19] 市值现在是5.5兆
[23:21] 我们看看搞不好本月份
[23:23] 有没有机会让它突破6兆美元的市值
[23:26] 成为全美国全世界第一家6兆美元的公司
[23:31] 但你会发现
[23:32] 这就是长期你要承担
[23:34] 辉达也盘整很久
[23:35] 从去年10月到3月4月5月
[23:38] 到现在它还是创高了
[23:40] 有时候投资市场就这样子
[23:41] 有时候风险和报酬
[23:44] 它本身就是一体的
[23:45] 你想要消除痛苦
[23:46] 有时候往往连真正重要的东西
[23:49] 重要的报酬也会一起丢失
[23:51] 有些人因为害怕亏损
[23:53] 就把资金全部停留在现金
[23:55] 有些人会因为害怕波动
[23:57] 只敢买自己看得懂的低成长的资产
[23:59] 有些人会因为被套牢过一次
[24:01] 从此不再相信市场
[24:03] 那风险看是降低了
[24:05] 但财富的成长能力也一起被截掉
[24:07] 我们当然知道
[24:08] 有很多人对于AI的爆发
[24:10] 还是抱持着一定质疑的
[24:11] 或者说AI爆发以后
[24:12] 不见得对于全球经济是好事
[24:15] 那资产价格为什么要因此而上涨呢
[24:17] 的确这个看法都是有其道理的
[24:19] 但市场上从来没有完全没有副作用的选择
[24:23] 重点并不是把所有风险都给消灭掉
[24:26] 是你要理解自己到底愿意承担什么样的代价
[24:30] 我们这是一个科技乐观论者
[24:32] 我们承担的就是
[24:33] 科技不如预期发展所形成的资产泡沫破灭
[24:36] 但是我们从过去的历史河流图也看得出来
[24:39] 美国股市是三代牛是有原因的
[24:42] 不止我经常看到它历史新高
[24:43] 我老爸也经常看到
[24:45] 连我爷爷也经常看到从整个工业革命以来这种科技主导资产价格的创高它本质就是一个趋势当然你说背后是因为货币宽松这也OK但是科技的推动力本身就是如此
[24:57] 而这些顶级企业都在不断的推陈出新
[25:00] 新的产品让整个生产力做有效的提升
[25:03] 所以我觉得重点并不是
[25:05] 我们把所有风险都消灭了再进场
[25:07] 而是理解
[25:08] 那你愿意承担什么样的代价和风险
[25:11] 之前看有个男的捡到一个神灯
[25:14] 难得就像神灯精灵
[25:17] 许了一个愿望
[25:18] 因为他很胖
[25:19] 所以交不到女朋友
