[00:00] 投资品欢迎收听早晨财经因素解读
[05:10] 让政府直接进入到油市交易
[05:13] 这可能是
[05:14] 其实也不会太意外
[05:16] 虽然可能是前所未见的做法
[05:17] 但是美国和以色列
[05:19] 对于伊朗的军事行动
[05:20] 已经平均让油价上涨16到18%
[05:24] 汽油价格也攀升到一年来的新高
[05:26] 这种生活成本的压力
[05:28] 你要说川普采取一些
[05:29] 比较极端的手法来抑制油价
[05:31] 这个都是大家可以意想得到的
[05:34] 事实上如果我们仔细观察
[05:35] 过去彭博社
[05:37] 把中东的情境分为四种情况
[05:39] 最极端的是我们过去提到
[05:41] 就是冲突继续升级
[05:43] 然后继续攻击能源设施
[05:45] 那最后原油价格
[05:47] 每桶可能飙升到108块
[05:48] 对于全球经济影响很大
[05:50] 现在呢
[05:51] 感觉就是零星的攻击
[05:52] 持续在调整
[05:53] 那第二呢
[05:54] 就是维持在现在
[05:55] 80块每桶左右啊
[05:57] 它的确会对于经济造成适度成亿啊
[05:59] 但是绝对没有到衰退的程度啊
[06:01] 重点来自于通膨的僵固性啊
[06:04] 会导致第一
[06:05] 川普在中期选举的压力展现
[06:07] 第二
[06:07] 接下来或许啊
[06:09] 在联准会的降息步调上啊
[06:11] 可能也没有太多的空间
[06:12] 因为通膨不利于联准会
[06:14] 放缓接下来的降息利率格局
[06:17] 但是如果接下来停火
[06:18] 或者说双方看到伊朗
[06:21] 可能国内政权更迭
[06:23] 回到60块的关卡
[06:25] 那么这些影响就有限
[06:27] 而按照过往的经验
[06:28] 川普的利空
[06:29] 他会导致股价回跌
[06:31] 可是川普释放的利多
[06:33] 他不只可以收复过去的跌幅
[06:35] 还可以创下历史新高
[06:36] 那市场上当然
[06:38] 有点风魔心态的
[06:39] 都是这么想的
[06:40] 有利空要把握住
[06:42] 因为川普释出下一次的利多
[06:44] 他会直接把本次利空的跌幅全部给收敛掉
[06:47] 不过国际油价的持续上涨
[06:49] 已经慢慢传导到汽油价格了
[06:52] 我们根据AAA的数据
[06:54] 美国汽油平均价格
[06:56] 现在每加仑已经上升到3.11美元
[06:59] 短短一天已经上涨11美分了
[07:02] 那油油价格是汽油成本的最大决定因素
[07:05] 当油价每上升10美元
[07:08] 通常会让汽油价格增加10到15美分
[07:11] 油价从冲突以来
[07:13] 现在已经上涨18%
[07:14] 今年累积涨幅已经来到三成以上
[07:17] 油价每上涨5%
[07:19] 大概就会推升通膨0.1个百分点
[07:21] 同时也会提高运输
[07:23] 航空和物流成本
[07:25] 所以虽然是短期内冲突
[07:26] 原油价格可能只会在一两个月内
[07:28] 稍微推高通膨
[07:30] 汽油价格
[07:31] 其实现在汽油在美国家庭中的支出
[07:33] 没有想象中来得高
[07:34] 大概只有3%
[07:35] 但是如果原油价格长时间维持高位
[07:38] 甚至来到100美元的话
[07:40] 那么基本上
[07:41] 其实内部消费也不至于崩溃
[07:44] 可是通膨会额外上升0.7个百分点
[07:47] 所以最坏的情境
[07:48] 也不至于到停止性通膨
[07:50] 它就是让联准会接下来束手无策
[07:53] 今年的降息码数
[07:54] 可能被迫要再度收敛
[07:56] 那当然一旦原油价格的大幅上涨
[07:58] 全球的赢家和输家就很明显了
[08:01] 最大的受益国
[08:02] 基本上都是一些净石油的出口国
[08:05] 比如说俄罗斯或者沙尔地阿拉伯
[08:08] 那你说沙尔地阿拉伯不是有受到影响吗
[08:10] 对啊但它有其他港口也可以做产能的调配
[08:13] 每天大概进出口有接近700万桶
[08:15] 可是真正我们看到原油价格对于全球经济影响比较大的
[08:20] 主要还是来自于亚洲或者欧洲经济体
[08:23] 我们根据市场推估
[08:24] 如果油价上升到108块美元的话
[08:27] 根据模型推估美国通膨会上升0.7个百分点其实对于经济冲击还是有限的大概衰退0.2%可是欧元区和英国冲击就更明显了整个欧洲依赖中东市场的这种需求来的更多
[08:41] 更不用讲亚洲经济体能源可能会完全团灭
[08:45] 油价如果还保持在80美元的话也不太好
[08:49] 虽然它不至于让GDP正度衰退
[08:52] 美国GDP即便现在80美元
[08:54] 业营油商赚的获利还不错
[08:55] 也不至于到调整往下修的程度
[08:58] 可是一样会适度增长
[09:00] 0.3个百分点左右的通膨预期
[09:03] 所以基本上
[09:04] 现在这个情况维持越久
[09:06] 其实就是中期选举有一点压力
[09:08] 然后美国有一点通膨压力
[09:10] 但是也不至于失控
[09:11] 但是来到100美元
[09:12] 那就真实会有造成经济下锈的压力
[09:15] 在这样的一个效果底下
[09:16] 我们就必须要更进一步观察
[09:18] 它是否会引起其他大宗资产的连涨
[09:21] 就是市场的心理情绪的传导
[09:24] 比油价本身上涨来得更为恐怖
[09:27] 我们看伊朗这次战事
[09:28] 已经陆续的冲击到全球的铝供应
[09:31] 中东很多家的冶炼厂
[09:33] 已经宣布停产
[09:34] 或者启动不可抗力因素
[09:36] 导致原本就紧张的铝市场
[09:39] 今年又面临供给危机
[09:41] 大家知道
[09:42] 今年不是只有金银在轮流上涨
[09:44] 最近不管是巴林的铝业
[09:46] 还是挪威海德鲁等大型的生产商
[09:50] 都表示可能会无法履行部分合约
[09:53] 其中卡达因为天然气被迫停产了
[09:55] 到现在还没恢复
[09:56] 恢复可能要半年到一年的时间
[09:59] 由于中东地区占全球
[10:01] 精炼铝的产量大概10%
[10:03] 一旦停产持续的话
[10:05] 对于欧洲市场的压力就很大
[10:07] 中国市场或者亚洲市场
[10:10] 还有中国在撑
[10:11] 但是欧洲是大幅依赖中东的铝市场的
[10:14] 根据伦敦交易所LME的铝价
[10:17] 目前已经攀升到2022年以来的新高
[10:20] 如果从油价开始外溢
[10:22] 开始延伸到铝价
[10:24] 这个时候整个基本金属
[10:26] 会不会重新出现新一轮的价格上涨
[10:29] 我们体育来说
[10:30] 该地区现在全球精炼铝的产量
[10:33] 刚才说到10%
[10:34] 排名第一的就是巴林的阿巴
[10:37] 年产量是160万吨
[10:39] 这是全球最大的单一铝冶炼厂之一
[10:43] 其次就是阿联酋的AI Twillage
[10:46] 还有JBL
[10:47] 不是JBL
[10:49] 不是JBL
[10:51] 不是JBL
[10:52] JBL是影视网站
[10:54] 产能大概是150万吨和110万吨
[10:56] 显示阿联酋在中东驴产业的核心地位
[11:00] 其实也很高
[11:01] 那这些国家全部都遭受到伊朗的攻击
[11:04] 所以这次伊朗冲击最大的
[11:06] 我们大概分为三个轮替
[11:07] 至少从实质冲击端
[11:10] 影响最大一定是波斯湾
[11:11] 再来就亚洲市场
[11:13] 再来就欧洲市场
[11:14] 那美国虽然是发动战争的
[11:16] 可是其实他还有西德州原油
[11:18] 他还能够进行战略原油的储备释放
[11:21] 本身而言
[11:22] 其实经济的影响
[11:23] 没有想象中来得这么大
[11:24] 反而是欧洲和亚洲冲击比较大一点
[11:26] 那当然最大的还是要讲就是波斯湾
[11:29] 我们要知道过去几年
[11:30] 杜拜和阿布达比一直被视为
[11:33] 动荡世界当中的稳定避风港
[11:35] 吸引了大量的金融机构
[11:37] 资金和人才进驻
[11:38] 很多台湾人也到杜拜去置产
[11:40] 那这种安全感很理解
[11:43] 就是毕竟它是一个非常富裕的国家
[11:47] 而且治安表现也不错
[11:49] 但是随着伊朗非但被拦截的画面
[11:51] 陆续出现在杜拜夜空
[11:53] 很多原本打算前往杜拜工作的金融人才开始犹豫
[11:56] 你现在清明廉价你订机票
[11:59] 你想要去杜拜吗
[12:00] 转机可以接受
[12:02] 你想去杜拜玩一下吗
[12:04] 那你接下来端午廉价
[12:06] 中秋国防
[12:07] 不是国防
[12:08] 国庆日
[12:09] 接下来你会选择去杜拜玩吗
[12:11] 这都会形成进一步的冲击
[12:13] 所以从战争爆发以来
[12:15] 伊朗对波斯湾的飞弹和无人机的攻击当中
[12:17] 现在阿联酋承受的打击是最为沉重的
[12:21] 那这已经超过1000枚的飞弹
[12:24] 达到阿联酋了
[12:25] 远远高于其他国家
[12:26] 科威特也有个500次
[12:28] 巴林和卡达大概有一两百枚
[12:31] 所以从这件事情也看得出来
[12:33] 因为杜拜过去的房价涨幅
[12:35] 从19年以来已经涨了接近有七成了
[12:37] 它的确吸引了大量的资金
[12:40] 不管是私人资本还是主权基金
[12:42] 甚至个人散户针对房地产的投资
[12:45] 那现在遭受到这样的一个冲击
[12:47] 要多久才能够让市场上
[12:49] 重新针对杜拜有新一轮的青睐呢
[12:52] 这是值得观察的重点
[12:54] 好所以这第一波冲击来自于波斯湾
[12:56] 第二波冲击来自于亚洲市场
[12:58] 韩国股市的暴涨暴跌
[13:00] 其实看得出来
[13:01] 市场上针对当前估值
[13:03] 膨胀速度最快的新兴市场
[13:05] 其实是有一种戒慎恐惧的
[13:08] 可是又觉得他们在卖产值
[13:09] 现在是最快回收企业
[13:12] 回收资金的这些企业
[13:14] 伊朗的战争的确
[13:15] 陆续的打坏过去卖美股
[13:18] 买亚股的策略
[13:19] 我们从今年以来很明显看到
[13:21] 亚太指数受到非常显著
[13:24] 美元资金外流的效果
[13:25] 美元的左贬造成资金
[13:27] 大幅的流入到台湾股市
[13:28] 韩国股市
[13:29] 可是最近低美元的急升
[13:32] 第二
[13:32] 针对亚洲股市在短期内
[13:34] 受到能源倾倒所造成的伤害
[13:37] 都会让大家更进一步担忧
[13:38] 形成估值适度回挡
[13:40] 举例来说
[13:41] 在亚洲市场当中
[13:42] 在石油
[13:43] 接近90%都是依赖整个中东市场
[13:46] 荷姆斯海峡
[13:47] 那在LNG来自于阿联酋或者卡达的部分
[13:51] 也高达85%
[13:53] 所以我们基本上完全就靠中东过活的
[13:55] 事实上昨天龚明星部长其实也有提到
[13:58] 中东这一次的升级
[14:00] 目前国内的天然气库存大概是11天
[14:04] 符合安全标准
[14:05] 3月的供应是没有问题
[14:07] 但拖超过两周
[14:09] 那基本上我们清楚知道
[14:10] 4月初就会遇到挑战
[14:12] 那政府已经启动三项应变措施
[14:14] 跟美国和澳洲来做协商
[14:16] 把原本长约的天然气提前交货
[14:19] 以及跟日本和韩国来协商
[14:21] 调整天然气的传奇
[14:22] 不过他也坦言
[14:24] 如果四月份天然气供应出现调度压力
[14:26] 就暂时比想象中还要来得久
[14:28] 政府可能会考虑启用
[14:30] 蓝煤备用机组作为最后手段
[14:32] 台湾现在每个月
[14:33] 大概有30艘天然气的运输船
[14:36] 其中三分之一来自于中东
[14:38] 那现在有一些船还在运
[14:40] 所以短期内没有什么太大问题
[14:42] 超过一个月
[14:43] 你就会发现运不出来
[14:45] 和姆治海峡的那些油轮
[14:46] 开始影响到台湾
[14:47] 那当然经济部
[14:48] 随时会有电价平稳机制
[14:50] 尽量避免冲击物价
[14:52] 重点是来源分配的问题
[14:54] 以及国内发电的问题
[14:56] 那我们就后续再做一些追踪
[14:57] 但你也可以看得出来
[14:58] 这个亚洲股市
[14:59] 在短期内的估值卖压
[15:01] 或者整体波动开始放大
[15:02] 可是回过头来说
[15:04] 这亚洲市场
[15:05] 虽然受到外部的牵扯
[15:06] 可是相对于
[15:08] 整体全球现在的AI浪潮当中
[15:10] 资金立即回馈的
[15:12] 难道是美股的七巨头呢
[15:14] 难道是欧洲市场吗
[15:15] 其实资金进来最快的是亚洲市场
[15:18] 为什么
[15:18] 因为一直在卖硬体
[15:19] 一直在卖产值
[15:20] 事实上我们看到
[15:21] 台湾的外销订单
[15:23] 在昨天1月份外销订单
[15:26] 高达769亿
[15:27] 再度创下历史新高
[15:28] 年增幅多少
[15:29] 60%
[15:30] 当然可能是先把2月份的货
[15:33] 给抢走了
[15:33] 所以到时候从1、2月份来统一看
[15:36] 可能会有更精准的表现
[15:38] 可是60%的年成长
[15:40] 都2026年了
[15:41] 去年那种30到40的成长
[15:44] 已经有点离谱了
[15:45] 现在还有60%
[15:47] 自动讯产品
[15:48] 甚至年增幅高达102%
[15:50] 电子产品平均有78%
[15:53] 都创下历史新高了
[15:55] 韩国股市的冲击
[15:56] 或者说市场的波动
[15:58] 也是可以理解的
[15:59] 毕竟韩国二月份的出口也出来了
[16:01] 年增幅29%
[16:03] 总金额674.5亿
[16:05] 延续一月份34%的高速成长
[16:08] 即便韩国市场也是农历新年放假
[16:11] 工作天数少了三天
[16:12] 出口还是远远比市场预期还要来得高
[16:16] 台韩市场目前
[16:17] 出口正在以惊人的速度上行
[16:20] 包括我们过去提过
[16:21] 韩国政府这次为了要推动
[16:23] 自主的AI基础模型
[16:25] 去年就办了一场AI游戏竞赛
[16:28] 由新创公司来主导
[16:30] 来看是否有机会
[16:32] 让国家级的AI模型开发资格
[16:34] 能够拥抱AI
[16:35] 所以他也不只想要做硬体
[16:36] 他在软体部分
[16:38] 也想要仅次于中国和美国
[16:40] 所以在种种效果底下
[16:42] 最后所形成的效果
[16:43] 那就是整个台韩市场
[16:45] 它是由基本面来做驱动
[16:46] 可是外部的侵扰
[16:48] 造成估值波动的显著放大
[16:50] 在今年
[16:51] 我们可能会迎来一个
[16:52] 非常神奇的迹象
[16:54] 那就是原本预估即将要复苏的
[16:57] 3C电子产品
[16:59] 终端产品
[17:00] 可能遇到极大挑战
[17:01] 我们前两天跟投资朋友提过
[17:03] 到目前为止
[17:04] 你不要看韩国股市跌回来
[17:05] 记忆体的缺货并没有因此而缓解我们看苹果这一次其实已经尽可能人家说推出评价新品受到市场上一定程度高评价的原因来自于
[17:17] 记忆体都长成这样了
[17:18] 它的售价也没有贵多少
[17:20] 两款的MacBook Neo
[17:22] 才599美元
[17:24] 比很多人预测还来得低
[17:26] 原因就来自于
[17:27] 现在记忆体的大缺货
[17:28] 今年PC价格一定是大涨的
[17:31] 如果我们细看
[17:32] IDC当时的预估是
[17:33] 今年的PC平均销量
[17:35] 可能会大跌11.3%
[17:37] 手机市场应该会重度衰退12.9%
[17:40] 就是由于记忆体已经把市场上
[17:43] 应该讲说AI把记忆体的产能全部抢光
[17:46] 所以导致终端产品的记忆体价格大涨
[17:50] 最后一定会引发PC和手机市场的大涨
[17:53] 结果现在看得出来
[17:55] 市场上即便这么悲观的情况底下
[17:58] 苹果还是可以端出一个相对价格没有这么贵的机型
[18:03] 这件事情其实也就说明了
[18:04] 今年的终端产品
[18:07] 其实很大程度取决于AI的发展盛况
[18:09] AI如果发展太好
[18:11] 那看起来终端产品要重度衰退了
[18:13] 看起来是有这样的一个感觉
[18:15] 毕竟现在这个通膨传导潮
[18:17] 已经从原油价格往金属价格往外扩散
[18:21] 现在呢
[18:21] 记忆体价格也被稳在这样的一个区间
[18:24] 所以我觉得做投资很重要的一件事情
[18:26] 你要分清楚哪一些是外部冲击
[18:28] 哪一些是内生性的基本面力量
[18:31] 你像中东战争
[18:33] 油价飙升
[18:33] 航运中断
[18:34] 它其实大多数从历史周期来看
[18:36] 属于外部事件
[18:37] 在短时间内会剧烈影响到市场情绪
[18:40] 但历史经验也告诉我们
[18:42] 这类冲击通常也会有
[18:43] 和缓或者逆转的一天
[18:44] 所以大家了解我们的方向
[18:46] 我们当然适时做追踪
[18:47] 可是即便原油价格的突破
[18:50] 也不代表
[18:51] 针对中长期资产方向的看法改变
[18:54] 真正决定资产长期方向的
[18:57] 反而是企业获利
[18:58] 出口动能
[18:59] 产业需求
[19:00] 这些内生性因素
[19:01] 所以我认为
[19:03] 你要以基本面作为真实
[19:05] 是否能够布建的定锚
[19:07] 外部冲击
[19:08] 而是抱持着
[19:09] 有没有减便宜的心态
[19:10] 这是我个人的看法
[19:12] 所以很多投资人
[19:13] 以为自己在预测未来
[19:14] 其实很多时候
[19:15] 你只是站在市场后面看答案
[19:17] 价格的变动
[19:18] 从周期角度来看
[19:19] 往往就被资讯资金流向
[19:21] 制度规则慢慢消化
[19:23] 很多大型机构
[19:24] 或者产业内部的人
[19:25] 甚至政策之地者
[19:26] 他都比散户更早进一步行动
[19:28] 有时候你只是接
[19:29] 最后一棒的外部讯的讯息而已
[19:31] 反而应该要回归到
[19:33] AIG本面的部分
[19:34] 这样子才可以达成
[19:35] 更好的长期投资
[19:36] 否则很多人都以为
[19:38] 自己在预测未来
[19:39] 其实只是站在市场后面看答案
[19:42] 这两天WBC
[19:43] 很多男生
[19:45] 小时候大概都有一样的经验
[19:46] 就是跟老爸一起追经典赛
[19:49] 以前甚至还有奥运
[19:50] 八强三之类的
[19:52] 有人分享
[19:53] 想到男生小时候看球赛
[19:55] 很爱跟老爸赌
[19:57] 哪一队会赢
[19:58] 奇怪的是
[19:59] 不管怎么赌
[20:00] 每次都输
[20:02] 每次都觉得是自己眼光太差
[20:04] 有一天忍不住问老爸
[20:06] 老爸
[20:06] 右上角写的重播是什么意思
[20:09] 老爸说专心看比赛
[20:11] 你再问下去
[20:13] 以后就不跟你赌了
[20:14] 所以投资其实也像这样子
[20:18] 小时候我们看球赛
[20:19] 以为自己在判断胜负
[20:20] 其实是被画面带着走
[20:22] 市场里面很多人也是如此
[20:24] 以为自己在预测未来
[20:25] 其实很多结果
[20:26] 它已经反映在资讯
[20:27] 资金和规则里
[20:28] 投资自己没看懂
[20:29] 投资最大的形式
[20:31] 并不是说眼光好不好
[20:32] 你要搞清楚这场比赛是不是及时转播
[20:35] 还是别人已经看过一次又一次的中东冲突
[20:38] 当你理解市场资讯落差和游戏规则
[20:41] 你才会发现
[20:41] 最重要的不是每一次都要赢或输
[20:44] 是你要了解自己究竟在跟谁赌
[20:47] 我们看美股市市大指数的表现
[20:49] 道琼指数下跌784.1.61%
[20:52] 摔47954点
[20:54] 标普下跌38点
[20:55] 0.56%摔6830点
[20:57] 纳指下跌58点
[20:59] 0.26%
[21:00] 收在22748点
[21:02] 费半下跌92.1%
[21:04] 1.17%
[21:04] 收在7821点
[21:05] 不过昨天FANG反而上涨了0.87%
[21:10] 所以这件事情也就意味着
[21:11] 这个软硬提股的交错还是特别明显的
[21:14] 从今年来看
[21:15] 表现最为亮丽的是韩国COSPI指数
[21:17] 它都跌那么多了
[21:19] 今年涨幅还有29%
[21:20] 台股今年涨幅有14.7%
[21:23] 还是最亮丽的两大指数
[21:25] 日金的部分涨幅6.6%
[21:27] 费半涨幅6.1%
[21:29] 新加坡海峡指数今年涨幅4%
[21:31] 上证指数今年涨幅有2%
[21:34] 其他像标普道琼
[21:36] 欧洲指数纳指
[21:37] 还有港股
[21:39] 今年就是收跌了
[21:41] 所以从这件事情也看得出来
[21:43] 其实今年股市也没有摔到很重
[21:44] 至少对于当前油价的反应
[21:47] 过完年以后
[21:48] 基本上韩国股市台北股市表现还是非常亮丽
[21:51] 只是韩国股市波动是真的稍微大了一点
[21:53] 主要还是来自于2026年的深城市AI的竞争白热化
[21:58] 仍然在持续当中
[21:59] 现在五家公司
[22:01] OpenAI
[22:02] Google
[22:03] Enthropic
[22:04] Meta和XAI
[22:05] 都各自走出了不同的技术和商业路线
[22:08] 搞不清楚到底两年之后谁能够胜出
[22:10] 更重要的事情是
[22:12] 胜出是一回事
[22:14] 胜出之后
[22:15] 你当时投的资本支出
[22:16] 能不能予以回收
[22:18] 又是另外一回事
[22:19] 现在大家只是在保持自己的护城河而已
[22:22] 到底会不会有更进一步的生产力提升
[22:24] 是大家关注的重点
[22:26] OpenAI的战略是打造企业级的AI作业系统
[22:29] 希望能够成为跨平台的共通的基础建设
[22:32] Google是把AI深度迁入到搜寻引擎和浏览器
[22:37] 目的是要控制使用者和日常的执行入口
[22:39] Enthropic强调的是企业的应用
[22:41] 尤其是法务和金融相关的可靠领域
[22:44] Meta现在是尝试的把AI代理
[22:47] 来跟社群平台做整合
[22:49] 重塑社群体验
[22:50] 不过我的感觉是还好
[22:51] XAI大家就很明显看到
[22:53] 这个X平台的算力资源
[22:55] 打造由马斯克所成立的
[22:57] 这种帝国政府和大型机构的
[23:00] 专用的AI基础设施
[23:02] 那现在从优势和挑战来看
[23:04] 各家公司的位置不太一样
[23:06] 这个OpenAI
[23:07] 它拥有庞大的活跃的用户
[23:09] 现在其实到目前为止
[23:10] 即便Gmail有对上来
[23:12] 使用最多人的还是OpenAI
[23:14] 那Google的部分
[23:15] 跟搜寻引擎的结合
[23:16] 目前看起来是最好的
[23:17] 我们现在在Google上搜寻
[23:19] 第一列已经不是网址了
[23:21] 而是它搜寻给予你的
[23:23] AI答案
[23:24] Enthropic的部分在企业市场
[23:26] 目前还是有独占优势的
[23:28] 但扩张速度和IPO策略
[23:29] 还是充满不确定性
[23:30] 那Meta的部分就不管了
[23:33] 因为我感觉好像没有什么太大的感觉
[23:35] XAI
[23:36] 我觉得马斯克
[23:37] 现在模型有点受到版权
[23:39] 和监管问题的限制
[23:41] 不过对于未来基础建设
[23:42] 还是非常有机会的
[23:43] 原因就在于
[23:44] SpecX即将要IPO
[23:46] 1.75兆的估值
[23:49] 应该是史上最大的资本市场实验
[23:52] 即便只释出3%的股权
[23:55] 募资资金也有可能会轻松超过
[23:57] 阿里巴巴是14年创下的
[23:59] 250亿美元的新记录
[24:01] 支持者会认为
[24:02] 资本市场现在
[24:04] 今非昔比
[24:05] 很多全球公司
[24:07] 事实都突破一兆
[24:08] 回达4.5兆
[24:09] 所以市场上早就有能力
[24:11] 承接超大型IPO的能力
[24:13] 市场上另外一波会担心
[24:15] 真的有那么多人接吗
[24:17] 真的有这么多资金
[24:18] 可以随随便便
[24:19] 就接收一间SPACX
[24:21] 这间公司
[24:22] 大家做好心理准备了
[24:24] 你第一次IPO
[24:25] 就这么大的规模
[24:27] 当然
[24:27] 另外一个难题来自于股东结构
[24:29] 因为SPACX经过20年的私募融资
[24:33] 股东名单其实很复杂
[24:35] 包括创投基金
[24:36] 主权基金
[24:37] 企业投资人
[24:38] 还有数千名的员工
[24:40] 很多早期投资人的账面收益
[24:42] 已经暴涨了
[24:43] 那一旦上市
[24:44] 它就有强烈的套现动机
[24:47] 那形成庞大的潜在卖压
[24:49] 那为了要避免
[24:50] 上市之后的大量的抛售卖压
[24:52] 市场预估
[24:53] 公司会跟承销商来进行
[24:55] 分阶段的解禁机制
[24:56] 就是他不是说什么180天就直接解禁
[24:59] 过去都是这样子
[25:00] 就180天以后
[25:01] 就一大笔的巨量的股票
[25:02] 释出的压力
[25:03] 分阶段
[25:04] 你要卖的话
[25:05] 要先提前跟我讲
[25:06] 另外一个可能推高股价
[25:08] 就是指数的纳入
[25:09] 这SPAC一上市以后
[25:11] 照理来讲
[25:12] 马上就要被纳入到QQQ里头了
[25:15] 大量的追踪的ETF资金
[25:17] 被动进行买进
[25:19] 它就会创造新一轮的强制的需求
[25:21] 而这些讯息都有可能会导致
[25:24] 今年引起进一步的资金吹捧
[25:26] 那是不是接下来的行情
[25:28] 财报面感觉好像来到一个瓶颈期
[25:30] 由SpaceX由马斯克来带动
