[00:00] 投资品欢迎收听早晨财经速解读
[05:51] 所以从这样的一个角度来看
[05:53] G7迎来了史上最大规模的战略石油出备
[05:56] 这就是一个重要关口了
[05:58] 正常来讲
[05:59] 这个讯息出来
[06:00] 油价要跌了
[06:01] 但油价其实没有跌
[06:02] 反而有点尝试在80美元主体的迹象
[06:06] 这是值得做一些观察和担忧的
[06:08] 因为这是一个对原油价格极大的利空
[06:11] 利空不迭
[06:12] 稍微有点紧张
[06:13] 与此同时
[06:14] 川普也尝试的进行石油管制的放松
[06:17] 我们看在美国给予了豁免令之后
[06:20] 印度的炼油厂迅速在本周购买了3000万桶的俄罗斯原油
[06:26] 以填补中东供应中断所造成的缺口
[06:29] 现在很明显
[06:30] 川普已经改口放宽印度不能够买俄罗斯原油的过程
[06:35] 印度现在可以买俄罗斯原油
[06:36] 但是必须以实价来进行购买
[06:39] 不能以折价
[06:40] 就是市面上交易是什么样的价格
[06:43] 他就必须用什么样的一个价格
[06:44] 这样的一个效果
[06:45] 也可以让俄罗斯的供给开出来
[06:47] 来冲销掉伊朗所造成的冲击
[06:49] 当然天然气的部分
[06:51] 欧美表现还好
[06:53] 亚洲经济压力就比较大
[06:54] 因为卡达在LNG中断
[06:56] 已经创下了2008年以来最长的停运记录其实从228当时美国和以色列针对伊朗攻击以后基本上拉斯凡斯现在出口基地
[07:07] 都还没有开启
[07:08] 明明从空照图来看
[07:10] 其实也没有受损很严重
[07:12] 但是就已经完全停摆了
[07:13] 当然很多人说是因为怕再度重启
[07:16] 又受到伊朗无人机的攻击
[07:18] 所以并不是设备已经损坏
[07:21] 而是害怕攻击持续
[07:22] 所以稍微进行检查
[07:24] 所以今天直播
[07:25] 我们就从美国台湾中国三个通膨的角度
[07:28] 来看一下这一场中东战火
[07:30] 在不同的经济体
[07:31] 长出完全不同的物价压力
[07:33] 美国这边
[07:34] 原本的核心通膨
[07:36] 其实已经明显降温了
[07:38] 数据整体看起来
[07:40] 正在往联总会的目标迈进
[07:41] 但是油价一被战争推高
[07:43] 等于又被输入型通膨加入了一把火
[07:46] 那台湾这边
[07:46] 其实通膨看起来还是可控
[07:48] 可是在服务业
[07:49] 尤其是房租旅游外食费
[07:52] 能力成本极高的行业
[07:54] 目前服务业通膨还是越来越高
[07:56] 中国情况又不太一样
[07:57] 这个通缩情况似乎没有太大的一个好转
[08:00] 那今年的新一波的中国经济会议
[08:04] 所释出针对今年的经济目标
[08:06] 是否也暗示了
[08:07] 接下来走出低物价困境
[08:10] 是中国政府今年追求的方向呢
[08:12] 今天来跟投资朋友做些追踪
[08:14] 首先我们看的是美国的核心通膨
[08:16] 降到了四年来的低点
[08:18] 二月份的消费者物价指数
[08:20] 其实还在降温
[08:21] 月增幅只有0.3
[08:22] 年增幅维持在2.4
[08:23] 完全符合预期
[08:25] 如果扣除食品和能源的核心CPI
[08:27] 2月份的月增幅0.2%
[08:30] 年增幅2.5%
[08:31] 这都是2021年以来的最低水准
[08:34] 所以其实2月份美国通膨表现很不错
[08:36] 那问题在什么
[08:37] 问题在现在能源价格往上冲了
[08:39] PPI也有一点蠢蠢欲动
[08:41] 所以大家会担心3月4月5月
[08:45] 事实上美国现在的商品通膨仍然不高
[08:48] 主要还是由核心服务类别来做支撑
[08:51] 就是我们看到的浅蓝色区块
[08:53] 就是人的薪资水准
[08:55] 是造成物价无法下跌的原因
[08:57] 这也很正常
[08:58] 薪资具有高强度的僵固性
[09:00] 那美国能源其实在25年到26年初
[09:03] 这一波应该讲25年底到26年初
[09:06] 这一波的明显反弹
[09:07] 绿色性我们看到的就是汽油期货价格的短期拉高
[09:11] 那我们也知道迟早它要联动的
[09:14] 所以批发能源的PPI能源指数
[09:17] 跟反映消费端的CPI能源指数
[09:20] 就黄色线
[09:21] 虽然上涨幅度
[09:22] 这个CPI是比较缓和一点
[09:25] 可是它还是一个很典型的
[09:27] 能源价格的传导机制
[09:28] 它一直保持在80块
[09:30] 通膨被迫也可能要向上
[09:32] 那加上伊朗战争
[09:34] 现在对市场上
[09:35] 有没有造成进一步的囤货心态
[09:37] 其实还没有
[09:38] 它只是由原油价格开始外溢
[09:40] 最担心的就是往外溢以后
[09:42] 传到那些将固性比较高的
[09:44] 其实从今年以来
[09:45] 还是有很多商品价格
[09:47] 整体高物价压力还是很沉重
[09:49] 像咖啡价格
[09:50] 好像是蔬菜价格
[09:53] 牛肉价格
[09:54] 或者天然气的服务费
[09:55] 整体平均涨幅还是有10到15%
[09:58] 所以从这样的一个角度来看
[09:59] 红色线是核心商品的年增幅
[10:02] 其实不高
[10:03] 大概1%
[10:04] 那么绿色线是核心服务类别
[10:06] 大概已经下滑到接近2.9%
[10:08] 所以基本上
[10:09] 你只要核心商品一直下行
[10:11] 那服务类别迟早也会下行
[10:13] 那联准会的降息空间肯定会有
[10:15] 可是现在的问题就在于
[10:17] 核心服务类别
[10:18] 它保持一个持稳的情况
[10:20] 可是核心商品类别
[10:21] 看起来慢慢要传进去了
[10:23] 那当然了
[10:24] 美国目前不同数据会有不同的解读
[10:27] 两个重要的通膨指标
[10:28] 消费者物价指数CPI
[10:30] 通膨是温和的
[10:31] 大概2.4%
[10:32] 但联准会比较在乎的PCE
[10:34] 个人消费支出物价指数是2.9
[10:37] 这就比2%的目标高很多
[10:39] 那这种分歧比较少见
[10:41] 历史上通常PCE会比CPI低一点
[10:44] 那现在反过来
[10:45] 这也让市场上争论
[10:47] 到底哪一个指标才能够反映联准会
[10:49] 接下来的降息目标呢
[10:51] 其实两个指标的差异
[10:53] 主要来自于计算不同
[10:54] CPI主要是衡量
[10:56] 家庭的实际支付价格
[10:58] PCE是衡量整体消费
[11:00] 包括医疗保险
[11:01] 或者政府企业代付的这些支出
[11:03] 从这样的一个角度来看
[11:05] PCE对于医疗支出的权重较高
[11:08] 而CPI对于住房成本的权重非常大
[11:11] 那最近住房价格的增速
[11:13] 明显降温也压低了CPI
[11:15] 但是医疗服务成本上升
[11:17] 则是推高了PCE
[11:18] 同时间伊朗战争也导致了油价上涨
[11:21] 也可能会让未来几个月的CPI重新抬头
[11:25] 如果未来的通膨数据更接近于CPI
[11:28] 连准会降息就会相对容易
[11:30] 但如果通膨最终靠近PCE显示的3%水准
[11:34] 那央行可能会在抑制通膨和维持经济成长之间
[11:38] 陷入更为大的一个困境
[11:40] 所以从种种效果来做观察
[11:42] 会发现当前其实市场上通膨情绪指标表现还可以
[11:47] 还能够接受
[11:48] 但重点在于这个原油价格在高位保持的越久
[11:52] 对于未来的通膨反而越加不利
[11:54] 这个就是川普为什么急着要采取抑制的原因
[11:58] 其实从历史经验来看
[11:59] 地缘政治冲突往往都是短期冲突
[12:02] 我们也知道
[12:03] 但是通膨所造成的估值回调
[12:05] 它可能会形成中长期压力
[12:07] 我们前两天跟投资朋友分享
[12:09] 从历史经验来看
[12:10] 外部冲击当然还是希望能够弯腰捡钻石
[12:13] 但是很多人还是弯下腰的时候
[12:16] 谁知道捡到的是什么
[12:18] 很怕自己捡到肥皂
[12:20] 弯腰捡钻石人人都会
[12:22] 但重点在于弯腰时
[12:23] 如果捡到肥皂该怎么办
[12:25] 所以要贴着墙
[12:27] 慢慢蹲下去
[12:28] 当兵都这样
[12:29] 那为什么呢
[12:30] 怕被捅一刀
[12:31] 捅你的也不一定是刀子
[12:33] 有可能是棍棒
[12:35] 有可能是一则贴纹
[12:36] 有可能是美军的出动
[12:38] 也有可能是伊朗反击
[12:40] 但是你要勇敢
[12:41] 捅你的不一定是刀子
[12:43] 进入身体的不一定是困意
[12:45] 戴上手铐的不一定是罪犯
[12:48] 跪地求劳
[12:50] 双脚跪地
[12:52] 不一定是因为求劳
[12:53] 口里吞咽的
[12:55] 不一定是委屈
[12:56] 所以我们看
[12:57] 这一波大家稍微担心
[12:59] 历史经验过程
[13:00] 我们都知道
[13:01] 但是会担心什么
[13:02] 担心通膨拉升以后
[13:04] 对于联准会降息步调的变化
[13:07] 影响到当前估值
[13:08] 无法全面乐观
[13:10] 加上我们现在很清楚知道
[13:12] 市场的助力
[13:13] 就来自于川普会tackle
[13:15] 这个tackle的原因
[13:16] 来自于对于民意的反扑
[13:18] 我们根据盖洛普的民调来做观察
[13:20] 现在跟多数美国对外战争不同
[13:23] 最新民调显示
[13:24] 其实多数美国的民众
[13:26] 并不支持这一次对于伊朗所采取的军事行动
[13:29] 不同民调的结果差距并不小
[13:31] 支持率大约落在27到50%左右
[13:34] 即便取最高的数字
[13:36] 也远低于历史上多数战争开打初期的支持度
[13:40] 例如1941年珍珠港事件以后
[13:42] 美国对日本宣战支持率有97%
[13:45] 01年阿富汗战争有92%
[13:47] 後來的伊拉克戰爭爭議很大
[13:50] 還是有76%的人支持
[13:51] 現在只有41%
[13:54] 原因很簡單
[13:55] 因為你沒有那個敘事
[13:56] 你一下子就空襲了
[13:58] 大家還沒有覺得充分溝通好之後你就已經採取了軍事行動所以在種种效果底下就变成一种民意上的压力时间拖越久反而对于川普越不利加上川普对内经济政策的部分
[14:11] 还是有很多市场上聚焦的一些问题
[14:15] 让川普被迫要呼应一些民意来做改革
[14:19] 我们举例来说
[14:19] 不管是川普过去所曾经提过的负担率的问题
[14:23] 也就是房价负担率
[14:25] 房贷现在还是维持在相对高位
[14:27] 美国的房贷压力情况还是相对沉重
[14:30] 房地产市场交易还是非常的大
[14:32] 那另外一方面
[14:33] 过去所提过的消除政府的诈期
[14:36] 可以快速平衡联邦预算
[14:38] 可是我们看到在过去几个月度
[14:40] 联邦政府的预算赤字只有越来越高
[14:44] 薪资的部分
[14:45] 美国薪资还在涨
[14:46] 平均时薪过去六年来大概31%
[14:49] 其实跟物价通膨涨幅差不多
[14:51] 而且总体而言
[14:53] 美国的实质薪资
[14:54] 在这一段川普任期时间
[14:56] 并没有快速的放大
[14:58] 再来是经济选民和移民政策的关系
[15:01] 移民曾经是川普重要的政策之一
[15:04] 可是就目前为止
[15:05] 川普的移民支持度
[15:07] 却是大幅的下滑
[15:09] 主要就是从当时
[15:10] 明尼阿波利斯事件
[15:12] 所导致对于民意的沉压
[15:13] 大家觉得会不会有点做过头了
[15:15] 尤其对于美国公民
[15:17] 所造成的一些死伤
[15:18] 当然川普最在乎的贸易逆差
[15:20] 就完全真的没有改善了
[15:22] 原因很简单
[15:23] 因为AI的大爆发
[15:24] 美国向亚洲经济体
[15:26] 购买了大量的自通讯产品
[15:28] 那这些讯息最终就导致了
[15:30] 如果你把川普整套经济政策
[15:33] 拆开来看
[15:33] 他背后就开始被迫
[15:35] 要不断的重新去计算
[15:37] 他的政治回报
[15:38] 就白宫现在真正关心的
[15:41] 已经不是说单一政策
[15:42] 能否在经济学上完美成立
[15:44] 而是每一个政策
[15:45] 对于选民情绪的影响
[15:47] 油价能不能压住
[15:48] 房贷利率能不能再降一点
[15:50] 制造业的工作机会
[15:51] 能不能在摇摆之后
[15:52] 多创立几个
[15:53] 关税能不能让蓝领
[15:54] 觉得我对外强硬
[15:55] 所以就变成算到最后
[15:58] 川普就每天在算那个数字
[16:00] 这个伊朗战争好像对我不太有利
[16:02] 那我要不要赶快把它结束
[16:03] 财政赤字好像无法靠打击
[16:07] 诈欺或者关税来补足
[16:08] 那我是不是要变成关税
[16:10] 变成投资额的建立
[16:12] 所以川普经济学到最后
[16:13] 他就要不断的计算
[16:14] 不断的重新计算
[16:16] 政治收益上的现实算数
[16:18] 最后加总起来
[16:20] 我能够在摇摆州
[16:21] 是不是能够多拿几个百分点
[16:23] 算数就变成川普最大压力了
[16:25] 这次WBC昨天不是爆冷门吗
[16:29] 6比8
[16:31] 美国队不敌意大利
[16:33] 搞得最后大家开始算分数
[16:35] 各界都在找战犯
[16:37] 战犯之一就是
[16:39] 是不是大家好像不太熟悉规则
[16:42] 因为美国人算数不好
[16:43] 昨天玩太嗨
[16:45] 忘记期末考还有一颗烙赛
[16:48] 对不对
[16:49] 有点像那个考中生已经打响了
[16:52] 结果发现背面还没写一样
[16:54] 所以下一届
[16:55] 美国都要征召的
[16:57] 就是应该征召一些
[16:59] 会算数学的亚洲人
[17:00] 数学不会骗人
[17:03] 数学不会就是不会
[17:04] 那当然
[17:05] 现在川普就很认真在算数
[17:07] 要算该怎么赢
[17:08] 好那接下来我们往下看
[17:09] 这是美国现在
[17:10] 对于通膨所产生的压力
[17:12] 台湾的部分
[17:13] 在过去我们提到
[17:15] 二月份的通膨数据
[17:16] 因为这次升到1.75
[17:17] 创十个月新高
[17:18] 但是通常不会把它拿来
[17:20] 作为一个通膨
[17:21] 就和富兰的领头羊指标
[17:23] 原因在于2月份有春节效果
[17:25] 还有部分产品的确涨幅特别快
[17:27] 那重点在于台湾通膨分为两个部分
[17:29] 一部分是对外通膨
[17:31] 就是传出去的
[17:32] 传到美国市场的
[17:33] 像我们过去看到嘛
[17:35] 台塑四宝其实在去年三到四季度
[17:37] 就已经陆续转亏为盈
[17:39] 那另外一方面
[17:40] 不管是塑化产品还是钢饰
[17:43] 在去年的这种通膨压力底下
[17:45] 都已经开始陆续调高了盘价
[17:47] 你像热嘎冷嘎或者镀锌
[17:50] 从去年12月份开始
[17:52] 大概基本上就是150块
[17:55] 每吨150到300
[17:57] 这样子慢慢的调整
[17:58] 今年3月份陆续还有调高的机会
[18:01] 所以传产的报价调高
[18:03] 其实已经看起来陆续发酵了
[18:05] 整个AI的订单
[18:06] 从2027年来看
[18:08] 多头结构还来看
[18:09] 那还在
[18:09] 那代表着涨价的缺货族群
[18:11] 它会从原本的AI的记忆体
[18:14] 铜箔先进封装
[18:15] 往信金源
[18:16] 往太阳能
[18:17] 往塑化
[18:17] 往钢铁
[18:18] 往面板
[18:18] 往成熟制成来向外扩展
[18:20] 去年的记忆体价格
[18:22] 报价大幅上涨以后
[18:24] 基本上也没有出现
[18:25] 非常显著的回荡
[18:26] 不管是DDR4
[18:27] 还是DDR5
[18:28] 到目前为止
[18:29] 仍然维持在高位震荡
[18:31] 虽然没有继续创高了
[18:33] 可是对于市场的压力
[18:34] 还是很大的
[18:34] 我们之前提过
[18:35] 你像是亚马逊的DDR5
[18:37] 64GB
[18:38] 记忆体的套装价格走势
[18:41] 年终价格大概是150到200
[18:43] 可是从去年第四季开始
[18:44] 一路到现在
[18:45] 是730到790
[18:47] 那这种记忆体荒
[18:49] 就是AI资料中心的狂飙
[18:51] 把高阶记忆体的产能
[18:53] 大量所吸走所导致的
[18:55] 它也形成进一步的外溢效果
[18:57] 从一开始我们看到的
[18:59] 记忆体的封测厂
[18:59] 也开始掀起了涨价潮
[19:01] 一直到8寸晶圆厂的代工报价
[19:03] 开始寒涨
[19:04] 然后被动元件也跟着上涨
[19:06] 上涨完之后
[19:08] 全球的面板也跟着一起上涨
[19:10] 最后影响到终端价格商品
[19:12] 也就是今年我们看到
[19:14] PC的涨价潮已经正式启动了
[19:16] 我们看从年后
[19:18] 宏基
[19:18] 戴尔
[19:19] 惠普
[19:20] 联想
[19:20] 在2026年
[19:21] 陆续的提高价格上涨
[19:23] 多数品牌价格的涨幅
[19:25] 大概是15到25%
[19:27] 中低阶级种的压力更大
[19:29] 因为现在缺料嘛
[19:30] 缺料只好价格上涨
[19:31] 所以大家反而会形成一种压力
[19:33] 就是今年很有可能是PC
[19:35] 还有手机价格上涨
[19:37] 但是最终销量变差
[19:39] 因为现在是缺料所造成的上涨
[19:41] 不是需求所造成的上涨
[19:43] 这是对外通膨
[19:44] 那台湾内部的通膨是什么呢
[19:46] 是服务通膨
[19:47] 我们看过去三年
[19:49] 你像油料价格
[19:50] 水果价格
[19:51] 蔬菜价格
[19:52] 今年其实油料水果蔬菜价格
[19:55] 都比前两年还要来得低
[19:57] 可是有一项你看到
[19:58] 连续三年都很稳定的成长
[20:01] 是什么
[20:01] 外食费用
[20:02] 外食费用其实就是
[20:04] 人力成本价格的上涨
[20:05] 也就是服务同捧
[20:06] 我们看像Costco在今年
[20:08] 从原本金星卡组1350块的年费
[20:11] 调整为1500块
[20:13] 商业主卡从1150块上调到1500块
[20:16] 从民间物价的压力来看
[20:19] 胡须章平均调涨3.8%
[20:21] 路易莎九层饮品调高
[20:23] 我家牛排最高单项调涨60元
[20:27] 其他像是民生食材
[20:28] 鸡蛋价格的上涨
[20:29] 阿诚鹅肉单次调涨60块
[20:32] 吃到饱餐厅也开始进入到涨价潮
[20:34] 那主要是反映什么
[20:35] 其实并不是食材
[20:36] 能力成本大缺工
[20:38] 旗下的几个品牌
[20:40] 想想续集果然会享食天堂
[20:42] 平均涨幅大概是3.3到5.2%左右
[20:46] 高尔夫球球证的价格也在上涨当中
[20:49] 平均上涨幅度大概是一成到两成
[20:52] 主要还是缺地的问题
[20:54] 这种由能力所引导的通膨传导潮
[20:57] 是目前台湾通膨压力相对来的比较沉重的
[21:00] 举个例子来说这张图表是最近网友分享给我的这是知名酒店明亨是明亨不是龙亨明亨是在松江路那间
[21:11] 也不是冥想
[21:12] 冥想是在中小东路
[21:13] 从115年3月9号开始
[21:16] 调涨一小时
[21:18] 9号
[21:19] 一小时2600
[21:22] 是所有都调涨
[21:23] 还是说从3月份开始
[21:25] 可能头牌是9号
[21:27] 9号调涨一小时2600
[21:29] 通膨真的很快
[21:31] 一节也才五六百
[21:33] 一个小时也差不多两千
[21:36] 直接调涨两千六
[21:38] 那不是翻倍吗
[21:39] 9号你到底是多受欢迎
[21:41] 还是说是3月9号
[21:42] 要去考察一下
[21:44] 对不对
[21:44] 从这件事情就看得到
[21:46] 台湾的通膨
[21:47] 主要还是集中在
[21:48] 僵固性通膨的部分
[21:49] 好最后我们再看一下
[21:50] 中国市场
[21:52] 中国现在伊朗战争
[21:54] 是中国经济的双面论
[21:55] 我们清楚知道了
[21:56] 因为大多数
[21:57] 和母亲海峡输出的原油
[21:58] 其实都流向亚洲
[21:59] 蓬勃和美国能源署
[22:01] 在25年第一季数据来看
[22:02] 中国是最大买家
[22:04] 有38%
[22:05] 所以一定会受到一些影响
[22:06] 但这个影响
[22:07] 对于中国的通缩情况
[22:08] 是不是好事呢
[22:09] 就很难说
[22:10] 我们看这一次
[22:12] 基本上中国全球
[22:13] 全国政协和人大会议
[22:15] 陆续3月4号
[22:16] 3月5号开完会以后
[22:18] 公布了当前中国经济的走向
[22:20] 中国目前的确正在处于
[22:22] 10年来最长的一段通缩周期
[22:25] 我们从GDP的平减指数来看
[22:27] 2023年以来就已经连续几个季度都进入到负值
[22:31] 显示中国的物价水准是大幅的向下落
[22:34] 即便现在出口这么好
[22:36] 你还是可以感觉得出来
[22:38] 出口现在中国和台湾都是创下历史新高了
[22:41] 可是中国的通缩情况却完全没有好转的迹象
[22:45] 一方面是内需的房地产市场的疲惫
[22:47] 房地产现在还是表现非常差
[22:49] 平均跌幅大概还在5-7%左右
[22:52] 那这会导致建筑钢铁水泥等产业
[22:55] 还是进入到一个相对产能极低的水准
[22:59] 或者说被迫让整体内部消费相对而言较为紧缩
[23:05] 你都不买房了
[23:06] 你怎么可能买3C电子产品
[23:08] 怎么可能买电视买冰箱呢
[23:10] 所以房价从2021年的高点以来
[23:12] 全国平均已经下跌了接近有30%左右
[23:15] 如果我们把过去三年的物价跌幅来看
[23:19] 中国我们看
[23:20] 不管是我们看到的BRD汽车跌幅两成七
[23:24] 红酒跌了2成9
[23:26] 房价跌了2成7
[23:28] 牛肉跌了1成4
[23:29] 马铃薯跌了1成7
[23:31] 茄子跌了14%
[23:32] 蛋价跌了14%
[23:34] 西瓜跌了9%
[23:35] 微波炉跌了8%
[23:37] 从这些数据
[23:38] 我们就看得出来
[23:39] 中国市场连续三年物价都在下跌
[23:42] 而且跌幅还可以来得这么沉重
[23:44] 尤其它不致时
[23:45] 我们看到农粮价格在下跌
[23:47] 而是耐久才也在下跌
[23:49] 形成极大的压力
[23:51] 所以台湾市场是原物料
[23:53] 基本上涨幅已经相对平稳了
[23:55] 可是核心通膨就缺工的原因
[23:57] 所以导致人力成本不断上行
[24:00] 那中国市场呢
[24:01] 那就很明显嘛
[24:02] 是所有的物价目前为止啊
[24:03] 都还保持在一个通缩格局啊
[24:05] 刚才看到台湾的民亨嘛
[24:07] 最近呢
[24:08] 我看到硬核田他也分享一个数据啊
[24:10] 这个是最近中国工程圈里面流传一个
[24:13] 相对荒谬的以物抵债协议啊
[24:16] 背景就是经济下行嘛
[24:18] 那资金很紧张
[24:19] 甲方因为无力去支付乙方的工程款啊
[24:22] 提出用自己养不起的女友
[24:25] 就是饿奶来抵债
[24:28] 协议当中写明该女子22岁
[24:31] 身高172公分
[24:32] 体重45公斤
[24:34] 以座驾28万转让给乙方
[24:37] 文件应该是把小三给抵押了
[24:41] 文件内容还标注交付时间
[24:43] 还有抵扣的金额
[24:45] 看起来就像是一份正式的工程的结算协议
[24:48] 这件事情在网络上就迅速爆开
[24:51] 因为他就是告诉你说
[24:52] 之前年底结算压力很大的时候
[24:55] 各种很荒谬的抵债方式的形象
[24:58] 所以两岸的经济
[25:00] 它就变成了不同的方向
[25:02] 一方面美捷的时间
[25:06] 我们叫做排费
[25:10] 还在翻倍
[25:11] 包厢费还在翻倍
[25:13] 另外一个已经发生乙物抵债协议
[25:16] 这种通缩化的迹象
[25:18] 也导致内生经济的变化
[25:20] 它会影响到整个通膨的轮廓
[25:22] 即便大家可能会有输入性通膨的问题
[25:25] 可是内生性经济才是真实
[25:27] 是通膨环境还是通缩环境的实质迹象
[25:30] 好在种种效果底下
[25:32] 如果我们细看
[25:33] 当然它基本上引领的
[25:34] 就是中国政府在今年的最大政策方向
[25:37] 就是尝试的走出通缩
[25:39] 因为从过去的通缩幅度
[25:40] 原本最大曾经来到1%到2%
[25:43] 现在已经接近到0.7%左右
[25:46] 快要转为正通膨了
[25:48] 这是三年来
[25:49] 当然这也就意味着
[25:51] 整个中国出口的创高
[25:53] 但是工厂工人生活
[25:54] 并没有形成极大好转
[25:56] 我们看整个出口的结构
