[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 維持一個好習慣了
[10:25] 這個Gavin直言
[10:26] Harper到Blackwell
[10:27] 不只是單純換金瓶
[10:28] 而是整個資料中心重做
[10:30] 所以2026年
[10:32] 誰能夠用最低的成本
[10:34] 去生產Token
[10:35] 變成了AI的勝負的
[10:37] 最大的推手
[10:38] 這個就是今年我們看到
[10:40] 為什麼人家會說
[10:41] AI2026年
[10:42] 應該是沒有泡沫
[10:43] 可是OpenAI不一定沒泡沫
[10:45] 為什麼呢
[10:46] 因為我們知道
[10:47] 基本來說以後
[10:48] 對於大元模型的承壓
[10:50] 其實已經陸續湧現了
[10:51] 可是根本原因還是來自於哪裡
[10:53] 就是你有錢繼續燒
[10:56] 那還可以繼續打嗎
[10:57] 問題就在於
[10:58] 如果你在大元模型上已經落後了
[11:00] 今年大家都在搶錢
[11:02] 你沒拿到錢該怎麼辦呢
[11:04] 所以回過頭
[11:05] 反過來想
[11:06] 找到錢就沒問題了
[11:07] 2026年AI的新年新目標是什麼
[11:10] 第一訓練一個比2025年更聰明的模型
[11:14] 第二多買幾萬顆的GPU
[11:17] 避免推論時一直塞車
[11:19] 第三蓋更多的資料中心
[11:21] 電力水網路一個都不能少
[11:23] 第四最重要的
[11:25] 找到一個願意逃數千億
[11:27] 而且不問回本時間的人
[11:30] 這是最重要的
[11:31] 前三面三個都是技術問題
[11:33] 最後一項才是真正的核心能力
[11:36] 本質上AI面臨的問題
[11:38] 跟我今年的新目標一模一樣
[11:39] 我今年新目標是什麼
[11:41] 第一買一塊30萬的表
[11:43] 第二買一輛300萬的車
[11:46] 第三買一套3000萬的房
[11:49] 第四找到一個能夠借我3330萬的人
[11:53] 你只要有錢
[11:54] 看起來就可以跑得下去
[11:56] 所以今年是搶錢大作戰
[11:58] 未上市的也在搶錢
[11:59] 已上市的也在大量的借錢
[12:02] OpenAI最近
[12:03] San Otterman已經正在招募一項
[12:05] 全新的高階職位
[12:06] 叫做風險準備負責人
[12:08] 奧特曼直言說
[12:09] 模型現在越來越強
[12:11] 但能夠做的事情也越來越多
[12:12] 他點名兩大風險
[12:14] 一個是心理健康的影響
[12:15] 在2025年已經開始出現
[12:17] 第二是治安能力的突飛猛進
[12:19] 模型已經開始能夠自行找出的關鍵漏洞
[12:22] OpenAI是最近在加州已經面臨多起訴訟
[12:25] 指控聊天機器人
[12:27] 把人帶到妄想的迴圈
[12:29] 給予危險的建議造成嚴重後果
[12:31] 另外一個就治安
[12:32] 治安現在看起來能夠保護系統的AI
[12:35] 也可能會被反向利用滲透網路
[12:37] 他現在已經發現
[12:38] 有很多人使用AI
[12:40] 來重組機密的資訊
[12:42] 甚至來協助勒索攻擊
[12:43] 那這份新的職位
[12:45] 就是在建立能力評估
[12:46] 模型威脅
[12:48] 實際的風險緩解的趨勢
[12:50] 希望能夠在總體公司而言
[12:52] 獲得政府和民眾的信賴
[12:54] 來維持住目前的領先
[12:56] 現在OpenAI
[12:57] 其實還是全球最大的
[12:59] 大語言模型的使用者
[13:00] 可是OpenAI
[13:01] 現在也遇到一個
[13:02] 極大風險的問題
[13:03] 第一是在生態系層面
[13:04] 已經被Google給壓制住
[13:06] 另外一方面
[13:07] OpenAI燒錢的速度比任何一家公司都還要來得快
[13:10] 剛才提到錢是最重要的問題
[13:13] OpenAI在2025年的人均股票薪酬是150萬美元
[13:18] 它的員工人數有4000人
[13:20] 這個水準大概已經創下科技史的新高
[13:24] 也遠遠高於25年大型科技公司的常態
[13:28] 150萬美元
[13:29] Google在上市的時候
[13:31] 人均的股票薪酬只有七分之一
[13:34] 根據華爾街日報的彙整
[13:35] 現在沒有任何一家公司
[13:38] 比得上OpenAI
[13:40] 人均股票薪酬的一半
[13:42] 在上市的時候
[13:43] OpenAI在2025年光是付薪資
[13:46] 已經付掉46%的營收
[13:48] 你可以理解
[13:49] 它對於人才的著重程度有多大
[13:51] 所以它其實比其他人
[13:53] 還要來得更為缺錢
[13:54] 現在有這麼多的廠商
[13:56] 都是靠OpenAI
[13:57] 準備在2026年發揚光大
[13:59] 如果它無法發揚光大
[14:01] 壓力就大了
[14:02] 我們從2022年到2024年
[14:03] 微軟和甲骨文的RPO
[14:05] 都在持續往上走
[14:06] 這幾年仍然持續加快
[14:08] 而這些RPO
[14:09] 也就是未來已經簽約
[14:11] 但是還沒有認列的收入
[14:12] 都是靠OpenAI持續往上拉
[14:15] 好 那這個時候
[14:16] 我們就回過頭來看
[14:17] 剛才看到
[14:17] 七巨頭有四隻巨頭
[14:19] 跑出給大盤
[14:20] 大多數的巨頭
[14:21] 正在做什麼樣的事情
[14:22] 來確保2026年的持續領先
[14:25] 像納德拉
[14:26] 微軟的納德拉壓力就很大
[14:28] 因為OpenAI現在
[14:29] 已經稍微被Google給壓制住
[14:31] 但是微軟針對OpenAI的鉅額投資
[14:34] 第一成本比較低
[14:35] 第二他已經搶下了一些先發優勢
[14:38] 像是Copilot已經成功嵌入到Microsoft 365
[14:41] 使用者數還在擴大
[14:43] 所以也許被Google壓制是壓制
[14:46] 可是大家處在一個增量市場
[14:48] 你只是跑得比較快
[14:49] 不代表我們沒有膨脹
[14:51] 它並不是存量的競爭
[14:53] 在這樣的一個情況底下
[14:54] 納德拉已經正式宣佈
[14:56] 2026年進入創辦人模式
[14:58] 不只是大舉的延攬外部戰將
[15:00] 還親自調整管理節奏
[15:02] 他把之前Meta的工程主管給召過來
[15:05] 成立Core AI組織
[15:07] 負責開發者管理
[15:08] 也讓前任的DeepMind的共同創辦人
[15:11] 來掌握微軟自家的AI模型
[15:13] 也就是就算OpenAI沒有成功的
[15:16] 奪下大元模型的寶座
[15:18] 我也要確保我們家公司
[15:20] 能夠持續在AI層面保持領先
[15:23] 那的確我們從現在Core Pilot來看
[15:26] 已經是全球最大的AI寫程式工具
[15:29] 大概是佔比24.9
[15:30] 也不算特別高
[15:31] 可是當然跟Entropic好像已經差不多了
[15:35] Entropic是Cloud
[15:36] 看起來差不多
[15:37] 但至少它還是維持領先的
[15:39] 第二梯隊我們看到
[15:40] 佔比大概就只增加各位數字了
[15:43] 所以微軟目前仍然擁有一定程度的生態系
[15:46] Google的部分
[15:47] Google目前已經重新奪回AI的節奏
[15:50] 包括Gemini
[15:51] 晶片和平臺的全面反擊
[15:53] 這一次把Gemini 3推上前線以後
[15:55] 它是一個系統性的反攻
[15:57] 從搜尋到YouTube到Gmail到Workspace
[16:00] 全面的遷路以後
[16:01] 目前在生態系
[16:03] 已經開始有所領先
[16:04] 並且嘗試著拉開距離
[16:06] 那Google當然
[16:07] 它不再是單純比拼GPU算力
[16:09] 它是全面壓住到
[16:11] 自研的GPU和ASIC
[16:13] 把AI訓練的推論深度
[16:15] 整合到雲端的資料中心
[16:17] 那這條路線
[16:18] 短期看起來不如GPU具有彈性
[16:20] 但長期
[16:21] 它的能效和規模化的優勢
[16:23] 就會逐步的浮現
[16:25] 在這樣的效果底下
[16:26] Google現在最大的優勢
[16:27] 其實就是軟硬體的全面結合
[16:30] 生態系的碾壓
[16:31] 走到現在
[16:32] Google的確打出了漂亮的一仗
[16:34] Meta的部分
[16:35] 你不要看它好像年年投資都失敗
[16:38] Meta在過去幾年2020年是投穩定幣然後到2021年去投元宇宙23年24年投開源的AI結果被中國擊敗
[16:49] 2025年最近又在瘋狂的收購
[16:51] 我們知道這一次他收購了Manas AI
[16:54] AI的佈局再度加速以後
[16:56] Meta現在大量的收購
[16:58] 不管是華人企業
[16:59] 還是我們看到非美企業
[17:01] 交易金額都是以數十億美元起跳
[17:03] 這樣的一個持續詬病
[17:05] 足以說明著Meta最大的優勢是什麼
[17:08] 有錢嘛
[17:09] 就從頭到尾還是有錢嘛
[17:11] 不斷的收購
[17:12] 你看IG也是他收購的
[17:14] 各式各樣的社交軟體
[17:15] 也是他收購的
[17:16] 靠收購來維持
[17:18] 自己在社交媒體的壟斷權
[17:20] 那現在也凸顯的AI創新
[17:21] 不只發生在矽谷
[17:23] 亞洲的新創生態系
[17:25] 也正在快速成熟當中
[17:26] 也許有一天
[17:27] 你看到大量的收購形成以後
[17:29] AI在Meta
[17:31] 能夠有新一波的助力
[17:32] 因為Meta現在兩大方向
[17:34] 一個是過去兩年
[17:35] 不斷著重的開源
[17:36] 不過現在被中國的確
[17:38] 造成極大的壓力
[17:39] 第二大方面
[17:40] 是Meta不斷在做的
[17:42] 其實是智慧型AI全面的迴歸
[17:44] 從概念的實驗室走向主流
[17:47] 現在大家在搶奪
[17:49] 新一輪AI時代的終端產品
[17:51] 我們看AR和智慧眼鏡的部分
[17:53] 現在看起來已經迎來
[17:55] 真正轉折點了
[17:56] 早期是Google Glass
[17:57] 當時的確稍微壓力比較大
[18:00] 並沒有成功的推出
[18:01] 可是這一次Meta
[18:03] 所推出的雷鵬眼鏡等等
[18:05] 其實已經獲得市場上
[18:07] 進一步的青睞
[18:08] 大量的併購和技術開始出現以後
[18:11] 也許今年不只是自駕車推出的一年
[18:13] 也是雷鋒眼鏡推出的一年
[18:16] 而且Meta其實在各大領域
[18:18] 都在用力的推進當中
[18:19] 像是前一個月
[18:21] Meta AI當時生活化的科技
[18:23] 從AI技術變成了超視覺的幫手
[18:26] 可以最直接應用的
[18:28] 就是幫助你直接用說的來找東西
[18:30] 以前我們都是AI
[18:31] 幫你在影片當中修圖或者追蹤目標
[18:34] 可能需要手動的點選
[18:35] 現在你只要輸出
[18:37] 比如說我要紅色條紋的雨傘
[18:39] 我的貓
[18:40] 模型就會在自動畫面當中
[18:42] 來找出來
[18:43] 並且持續來做追蹤
[18:44] 它就是能夠把平面照片
[18:46] 變成全面立體化
[18:48] 那不斷的產出
[18:49] 雖然Meta AI
[18:50] 我稍微用了一下
[18:51] 是有點爛
[18:52] 不過至少它也在努力當中
[18:55] 那再來看的是蘋果
[18:56] 蘋果的部分
[18:57] 今年是準備匯入
[18:59] Google Gemini的AI
[19:00] 來重塑Siri語音系統
[19:02] 我們也知道
[19:02] 這個Siri的語音
[19:03] 大概是
[19:04] 應該有點類似人工智障
[19:06] 也不算特別聰明
[19:07] 但是如果開始進行AI能力外包以後
[19:11] 代表的是
[19:11] 它可能在現金流可控的情況底下
[19:15] 不必大舉擴大資本投入的情況底下
[19:18] 維持在終端產品的市佔率
[19:20] 就是它可能就是把自己當成一家
[19:23] 打造最完美手機的廠商
[19:25] 所以蘋果如果我們細看營收
[19:27] 其實在整個2025會計年度
[19:29] 全年營收4161美元
[19:31] 還是創下歷史金高
[19:33] i17雖然銷量也沒有說到很離譜
[19:36] 不過至少還是把營收給推上去了
[19:39] 尤其如果我們細看
[19:41] 蘋果這幾年的iPhone營收
[19:43] 大概就在2000億左右出頭
[19:46] 可是這幾年的服務營收
[19:48] 幾乎是每個季度都以驚人的速度上行
[19:51] 所以只要大家針對整個iOS的生態系
[19:54] 有進一步的掌握
[19:55] 有進一步的依賴
[19:56] 基本上蘋果它看起來就是
[19:58] AI我可能沾不上邊
[20:00] 可是我要確保你們每個人使用的AI裝置
[20:03] 我要達成市佔率第一
[20:05] 亞馬遜看起來好像是被拋在背後的
[20:08] 尤其它股價漲幅也不高
[20:10] 可是亞馬遜科技在這一波的AI競爭產品當中
[20:13] 它的核心並不是單壓單一的技術或者單一模型
[20:17] 而是把算力自主權放在前面
[20:19] 你要知道它現在的電商系統
[20:21] 還是能夠帶給它每年穩定的現金流
[20:24] 現在AWS一方面持續深化跟輝達的合作
[20:27] 目標是成為GPU最佳的雲端運算環境
[20:30] 同時間AWS也開始同步
[20:33] 加速自研ASIC晶片的程序
[20:36] 現在基本上已經傳達出一個明確的訊號
[20:40] 那就是GPU和ASIC
[20:42] 看起來已經不是對立
[20:43] 而是分工互補
[20:44] 在這樣的一個模型化
[20:46] 包括我們看到的NovaForge
[20:47] 或者Agent相關服務
[20:49] 亞馬遜針對企業AI落地的理解
[20:52] 看起來相對於其他模型
[20:55] 是有適度領先的
[20:56] 也就是說它真正的優勢在於
[20:58] 對於企業端
[20:59] 針對賣家端
[21:00] 而並不是像其他科技巨頭
[21:03] 是to see端的那種
[21:04] AI訂閱費的增長
[21:06] 那也許能夠闖出自己的一片天
[21:08] 那最後就是特斯拉
[21:10] 特斯拉是好不容易在下半年
[21:11] 最後幾個交易日漲回來
[21:13] 把自駕夢成功的吹熟
[21:16] 雖然我們知道
[21:17] 這兩天特斯拉提前公佈
[21:19] 它在整個四季度的總體銷售量
[21:22] 大概44萬輛左右
[21:24] 年減幅超過一成
[21:25] 這個應該比所有人預估的
[21:27] 都還來得更為悲觀
[21:28] 可是仍然對於特斯拉股價
[21:30] 沒有造成極大影響
[21:31] 即便我們看
[21:32] 比亞迪的總體銷售量
[21:33] 已經正式跟特斯拉
[21:35] 全面拉開距離
[21:36] 我們看的是純電動車
[21:37] BEV的交付量
[21:39] 雖然即便已經拉開距離
[21:40] 可是我們知道
[21:41] 特斯拉賣的從來不是車
[21:43] 是可以被驗證的未來
[21:45] 這個訊號就是自駕
[21:47] 超過九成的人
[21:48] 現在還沒有真正體驗過
[21:50] 完整版本的自駕系統
[21:51] 最近美國有一個博主
[21:53] 他不是從美國西安
[21:55] 然後一路靠特斯拉的FSD自駕
[21:57] 完全手沒有真正開車
[22:00] 從西岸開到東岸
[22:01] 這其實也就意味著
[22:03] FSD其實已經逐步成熟
[22:05] 一旦用過以後
[22:06] 理解門檻就會瞬間下滑
[22:08] 如果長期開車是
[22:10] 不需要花注意力去經營的話
[22:13] 長期而言
[22:14] 大家就會變成一種習慣
[22:16] 即便開車還是有樂趣
[22:18] 可是當你坐在車上
[22:21] 不用開車的時間
[22:22] 它會對於現代人
[22:24] 是一個極大的時間自主的控制
[22:26] 現在法規層面
[22:28] 還壓在特定的等級之下
[22:31] 看起來要根據各國的法規開放
[22:33] 來取決它的程序速度
[22:35] 可是按照目前的條件
[22:37] 今年下半年
[22:38] 我們應該可以看到
[22:39] 特斯拉自駕車的正式上路
[22:41] 到時候就可以跟威猛一決勝負
[22:44] 當然不只是自駕車
[22:46] 特斯拉更大的一個誘因在於
[22:47] 看今年下半年來不來得及
[22:49] 推出來它的人形機器人
[22:51] 其實今年已經算是
[22:52] 人形機器人元年了
[22:53] 前兩天不是王新林也跟AI跳舞嗎
[22:56] 王力宏也跟AI跳舞
[22:58] 從展示走向工廠的現場
[23:00] 我們就要看Optimus
[23:02] 陸續推出之後的表現為何
[23:04] 其實這幾年你看波士頓動力
[23:07] 或者像是敏捷機器人
[23:10] 中國的語術科技
[23:11] 其實匯入的成本正在快速下滑
[23:14] 現在很多可以壓到一臺百萬臺幣以內
[23:17] 特斯拉的Optimus Gen2
[23:19] 它尺寸和重量速度
[23:21] 現在還是比較貼向工廠的人力替代
[23:25] 不過呢
[23:25] 如果今年能夠進到工廠
[23:27] 來做一個獨立自主的工作
[23:29] 並不是單純的機械手臂
[23:30] 我相信一樣可以獲得更進一步的估值條件
[23:34] 那當然我們看到的就是
[23:35] 科技巨頭都在嘗試的把終端產品給推出來
[23:39] 同樣的很多的AI圍繞的軟體也陸續出來
[23:42] 舉例來說
[23:43] 很像網路上有很多相關的AI的軟體
[23:46] 像這個軟體叫做Death Clock
[23:48] 就是AI幫你倒計人生
[23:51] 主打的就是一個
[23:52] 你還能夠活多久這件事情
[23:53] 他直接用死亡倒數計時來呈現
[23:56] 就是把你的飲食運動睡眠壓力
[23:58] 心理狀態
[23:59] 用AI模型去推算你的個人壽命
[24:01] 你開啟這項APP
[24:02] 他就告訴你
[24:03] 你的人生剩下幾天
[24:05] 每人每年的訂閱費是1380塊臺幣
[24:10] 短時間內已經吸引了20萬人來註冊
[24:12] 大家每天就看著這臺手機
[24:14] 告訴自己
[24:15] 我還剩下幾天可以活
[24:17] 這個是一個蠻不錯的
[24:18] 有趣的AI軟體
[24:19] 其實很多AI軟體都陸續推出
[24:21] 前幾個月當時不是有一個Cooley AI
[24:24] 它推的就是萬物皆可作弊
[24:27] 簡單來講就是
[24:28] 你可能在聯誼
[24:29] 在網路上線上
[24:31] 跟同學討論
[24:32] 跟教授討論的時候
[24:33] 有時候我們講說
[24:34] 那個AI的及時的反應速度很慢
[24:37] 它就是主打這個反應速度
[24:39] 反應速度的目的
[24:40] 在於你跟老師對話的時候
[24:42] 他已經幫你準備好答案了
[24:44] 就反應這麼快
[24:45] 你在網路上的約會軟體
[24:47] 或者你在你的眼鏡上
[24:49] 他回饋你的速度
[24:50] 這個就是他主打的一個萬物皆可作弊
[24:53] 另外一個就Search AI
[24:54] Search AI大家這兩天應該有看到相關的新聞
