[00:00] 投资变换收听早晨财经速解读
[06:46] 就先拐头下弯了
[06:48] 那到底是升V好
[06:50] 还是浅V好
[06:50] 我个人还是偏好AV
[06:53] AV看起来现在是
[06:54] 难得在股市创高的时候
[06:56] 还具有价值投资的空间
[06:58] 大家知道
[06:58] 现在全球股市都在创高
[07:00] 你好像也没什么低基期
[07:02] 可以寻找个股的空间
[07:04] 或者说对于个别指数
[07:06] FANG等等
[07:07] 但是现在是很难得的
[07:09] 居然在股市
[07:11] 持续创下历史新高的过程当中
[07:13] 而你还看到这么多股票叠那么惨
[07:14] 尤其是七巨头
[07:16] 基本上不只是大幅落后给标普败指数
[07:19] 落后给废办
[07:20] 而且七巨头有一半
[07:21] 居然今年以来是负报酬
[07:23] 那另外一个值得观察的指标
[07:25] 就软体股
[07:26] 软体股过去在跌身之后
[07:28] 酝酿了高强度的反弹
[07:29] 那空头的回补和库藏股
[07:31] 成为市场的焦点
[07:32] 但后来股价又开始做比较显著的回跌
[07:35] 现在整体位阶
[07:37] 其实跟去年关税战还是差不多
[07:39] 这其实也说明了
[07:41] 市场上到目前为止
[07:42] 仍然没有进入到全面性的乐观
[07:45] 所以现在我们能确认
[07:46] 美国股市当前的获利
[07:49] 的确还在缓步的增长
[07:50] 标普白指数当前的获利动能
[07:53] 仍然是以20%到25%的速度
[07:55] 稳定的上行
[07:56] 那现在随着杠杆型ETF的规模
[07:59] 逼近2000亿美元
[08:00] 就代表着市场的投机属性是有
[08:02] 但是呢
[08:03] 如果你能够在大盘中赚到钱
[08:05] 本身就算开两倍杠杆
[08:07] 甚至都不一定追得上
[08:09] 废办的报酬
[08:09] 所以个股投资者
[08:11] 他的热情是一种
[08:13] 针对基本面行情还有立即现金回馈营收的热情那对于大盘的热情其实大盘涨幅也没有很夸张他主要就是更敢借了在市场上面临空头
[08:25] 在面临市场上
[08:26] 以前我们讲说趋吉避凶
[08:29] 现在是趋吉遇到凶
[08:31] 那碰到凶那就要买更多
[08:33] 不是碰到凶
[08:34] 遇到凶
[08:35] 遇到不好的事情
[08:37] 那要买更多
[08:38] 有这样的小叠小买
[08:39] 大叠大买
[08:40] 这种心理情绪逐步形成
[08:43] 那这也说明
[08:44] 整个总体经济环境
[08:45] 还是活在这种
[08:46] 我们讲说叫财富幻觉的过程当中
[08:49] 你股票赚钱了
[08:50] 哇那很多人今年
[08:52] 包括中秋的机票
[08:53] 包括光复节的机票
[08:56] 明年春节的机票
[08:57] 搞不好都已经订好了
[08:58] 但是你有卖股票吗
[09:00] 你其实并没有获利了结
[09:01] 可是财富效应足以导致你先行进行花费了
[09:05] 这个就是我们看到
[09:06] 市场消费还反而有一定的提振效果
[09:09] 我们看高盛在最新
[09:11] 针对美国的经济衰退几率当中
[09:13] 由于这一次美伊几乎已经达成临时协议
[09:16] 加上荷姆斯海峡几乎全线开放
[09:19] 现在把未来12个月美国经济衰退的几率
[09:22] 从原本的25%又下滑到接近15%
[09:26] 那基本上已经算是2023年2024年的水准了
[09:30] 换句话说
[09:30] 即便现在联总会新主席华许
[09:33] 还是抱着的比较偏硬的立场
[09:35] 但这个偏硬立场背后的拖动的基本面
[09:38] 那就是美国经济几乎完全不可能会有衰退的机会了
[09:42] 至少在未来一整年当中
[09:44] 某种程度也奠定着
[09:46] 接下来
[09:47] 甚至我们不是讨论软着陆
[09:48] 应该就是完全不着陆
[09:50] 经济再度的起飞
[09:52] 当然它会有急化的现象
[09:53] 可是呢
[09:54] 我们很清楚知道
[09:55] 大家在对赌的是什么
[09:56] 对赌就是
[09:57] 只要通膨不失控
[09:58] 我们的经济就这样子
[10:00] 一路爆发下去
[10:01] 市场有一股新的共识在形成
[10:03] 这股共识就有点类似于
[10:04] 过去我们所提到的
[10:05] 在1995年
[10:07] 一路到1999年的这种
[10:09] 我们不能讲叫非理性繁荣
[10:11] 我们叫做
[10:12] 市场上高经济成长
[10:15] 高生产
[10:15] 但是通膨稳健状态
[10:17] 当时葛林斯潘时期
[10:18] 葛林斯潘上礼拜离世了
[10:21] 当时我们就跟投资朋友分享到
[10:23] 在95年是一个重要的葛林斯潘时期
[10:26] 当时是升息升了一码以后
[10:28] 通膨就维持着3%左右的水准
[10:31] 后来在97年98年直线下弯
[10:34] 为什么
[10:34] 因为网络革命开始
[10:36] 生产力爆发了
[10:37] 生产力爆发
[10:38] 本身就会带动适度的通缩效果
[10:40] 最终就变成了
[10:42] 明明股市在大展
[10:43] 财富效应正在疯狂起飞
[10:46] 可是通膨却越来越低
[10:47] 我们最期待的
[10:48] 就是这样的实现
[10:49] 当然有时候
[10:50] 投资最困难的
[10:51] 并不是判断方向
[10:53] 是等待
[10:53] 市场总是喜欢预测
[10:55] 高点在哪里
[10:56] 预测泡沫什么时候破灭
[10:57] 那真正的大行情
[10:59] 当然也不是一天走完的
[11:01] 现在全球AI的投资
[11:02] 还在持续加码
[11:03] 从GPU到HBM到Coworks
[11:06] 到AI伺服器
[11:07] 资料中心
[11:08] 电网到核能
[11:09] 各国政府还在一笔一笔的
[11:11] 增加资本支出
[11:12] 很多人急着帮这一波行情
[11:14] 画下句点
[11:15] 但事实是那就算不完
[11:17] 我们还算不清楚
[11:18] 这场仗到底什么时候
[11:20] 会来到高峰
[11:21] 那投资也是如此
[11:22] 也不要太早替市场写结局
[11:24] 当需求还在增加
[11:26] 建设还在推进
[11:27] 资金还在投入
[11:28] 你知道
[11:28] 不会立即有算力过剩的过程当中
[11:31] 即便大家还在做梦
[11:32] 也都先替这个梦买单
[11:34] 或许真正
[11:35] 终有一天风险会到来
[11:36] 但它并不是靠想象决定的
[11:38] 是靠数字慢慢的浮现
[11:40] 所以先别急
[11:41] 我们都还没有数完
[11:43] 都还没有算完
[11:44] 到底现在需求会有多大
[11:46] 到底什么时候会算力过剩
[11:47] 都还有一段时间
[11:48] 之前讲说一对新婚夫妇
[11:52] 躺在床上
[11:53] 丈夫突然问妻子
[11:55] 你以前跟多少个男人睡过
[11:59] 妻子听到之后就一言不发
[12:01] 丈夫又问一遍
[12:02] 你告诉我吧
[12:03] 没关系的
[12:04] 你跟几个男人睡过
[12:06] 妻子还是沉默不语
[12:08] 盯着天花板发呆
[12:10] 丈夫就开始觉得
[12:12] 自己问的好像不是很合适
[12:13] 就问说
[12:14] 是这样子了
[12:16] 对不起我也不是让你难堪
[12:18] 妻子还是不回应
[12:19] 丈夫又说
[12:20] 你也知道不管怎么样
[12:22] 我都爱你
[12:22] 我只是有点好奇而已
[12:24] 终于妻子转过头
[12:26] 对他说
[12:27] 你能不能闭嘴
[12:29] 我还没数完呢
[12:31] 所以大家不要急
[12:32] 还没数完
[12:34] 你也不要太早替市场写结局
[12:36] 需求还在增加
[12:38] 建设还在推进
[12:39] 资金还在投入
[12:40] 大家都还在做梦
[12:42] 我们那个梦都还没办法买单
[12:44] 因为数不完
[12:45] 到底行情会推升到什么样的一个条件
[12:47] 原因就来自于
[12:49] 如果是因为经济非常不好了
[12:51] 我们孤注一指压住在AI
[12:53] 那的确是有一点数据上的风险
[12:55] 但这种极化现象
[12:57] 回过头来看台湾市场
[13:00] 看美国市场
[13:00] 它的内生经济并没有因此而被摧毁
[13:03] 事实上在昨天所公布的职位控缺数
[13:06] 到目前为止
[13:07] 其实还不错
[13:08] 这一次职位空缺数高达759万个
[13:11] 高于市场预期的729万
[13:14] 那等同于市场上已经连续五个月
[13:17] 比市场预期来得高
[13:18] 那AI的裁员潮看起来也没有导致
[13:22] 职缺数疯狂的削弱
[13:23] 甚至由于政府部门还在持续裁员
[13:26] 还替整个就业市场
[13:28] 在比较悲观的低预期底下
[13:31] 拉高了市场的整体数据
[13:33] 事实上如果我们从最新当前数据
[13:35] 来看待美国经济
[13:37] 美元保持在一个相对强势氛围
[13:39] 当然跟部分亚币的走弱有关系
[13:41] 跟欧元走弱有关系
[13:42] 可是如果我们回过头看
[13:44] 整体而言美元的净多头部位
[13:47] 现在大概是343亿
[13:49] 根据CFTC的数据就是一年的新高
[13:51] 那说明市场针对美元未来的后市
[13:54] 还是抱持着长期乐观
[13:56] 这个乐观不是说什么美伊战事
[13:58] 所以美元避险
[13:58] 它就是认为美国的基本面
[14:01] 还是达到了一定程度的效果
[14:02] 那最终所导致的结果是什么呢
[14:05] 是我们看到
[14:05] 在美元指数当中的极大权重
[14:08] 日元居然在升息的情况底下
[14:10] 还在暴贬
[14:11] 我们看日元这一次
[14:12] 已经贬破了40年的低点了
[14:15] 市场也紧盯日本政府的下一道防线
[14:17] 这是1986年以来的新低
[14:20] 所以我们也看得出来
[14:21] 这个美国经济的强势
[14:23] 当然台日韩股市
[14:25] 资本面都还是有受到
[14:27] 一定程度的资金吹捧
[14:28] 不过这个日本市场
[14:30] 这种日元的贬值卖压
[14:32] 或者它反映着美元的强势
[14:34] 都说明着市场上针对美国的经济信心
[14:37] 还是有一定程度的支持
[14:39] 事实上我们看到
[14:40] 日本在今年4月底到5月底
[14:42] 曾投入创纪录的11.7兆
[14:44] 直接进行汇率干预
[14:46] 那现在日元又破40年低点了
[14:49] 很快我猜又要采取动作了
[14:51] 我们知道在昨天
[14:52] 我们有提到南韩砸了1350兆韩元
[14:55] 打造了AI基地
[14:56] 那日本政府这一波
[14:58] 其实也是非常显著跟进的
[15:00] 高市在上礼拜五
[15:02] 正式公布370兆的日元投资计划
[15:05] 所以我在想
[15:06] 到底日元的走皮
[15:07] 是反映日本真的发太多债了
[15:09] 日本越来越不值钱了
[15:11] 还是它只是反映美元的走强呢
[15:13] 可能是双重效果
[15:14] 日本这次公布了
[15:15] 370兆的日元投资计划
[15:17] 针对AI和半导体
[15:19] 几乎投了有6000亿美元的支持
[15:22] 那这一次也布局17项的战略产业
[15:24] 其中有6000亿
[15:26] 刚才提到AI半导体之外
[15:28] 还涵盖的造船
[15:29] 太阳能电池
[15:30] 量子电脑
[15:31] 还有新一代的核能领域相关技术
[15:33] 那当然了
[15:34] 这样的一个估算
[15:35] 会导致财政试算的恶化压力
[15:38] 来得越来越大
[15:39] 最后财政状况能否好转的关键
[15:42] 最后日经统计出来
[15:44] 完全取决于生产力是否有所提升
[15:46] 日本过去15年的平均的经济成长率
[15:49] 一年在0.7%
[15:50] 台湾一年十几%
[15:52] 日本预估到现在为止
[15:54] 实质经济成长率
[15:55] 如果还是保持0.7%的话
[15:57] 那么未来一定会财政恶化
[15:59] 但是如果撒了那么多钱
[16:01] 未来如果能够以三倍到四倍的经济成长
[16:04] 就好像台湾一样的话
[16:06] 那就有机会能够把发的债给还完
[16:09] 所以这个日本
[16:10] 日元的走皮似乎也暗示着
[16:12] 大家对他的发债信心
[16:14] 还是抱持着一定程度的疑虑的
[16:16] 当然这样的一个效果也就意味着
[16:18] 日本材料厂
[16:19] 是否能够在本轮的AI时代
[16:21] 站稳商机
[16:22] 这特别重要了
[16:23] 大家总会稍微揶揄一下
[16:25] 黄仁勋每次都来台韩台韩
[16:27] 日本都跳过
[16:28] 日本其实在材料层面
[16:31] 还是拥有一定程度的领先
[16:33] 其实晶片越做越大
[16:34] 成数越堆越高现在的封装基板或者我们看到部分前端制成都占有重要的地位你像现在魏之树热中访星光电器等等
[16:45] 东京威力客创
[16:46] 都成为了AI供应链不可或缺的一环
[16:49] 只是由于日本在股市权重层面
[16:51] 相对于台韩
[16:53] 它比较少
[16:54] 我们看到由于科技巨头的寡占
[16:56] 所造成的市值庞大
[16:58] 所以对于整体提振效果而言
[17:00] 就不像是台韩在资产价格层面
[17:03] 反应的幅度来得这么大
[17:04] 那现在更进一步观察的几大效果
[17:07] 其实就来自于
[17:08] 日本在高强度的财政刺激底下
[17:11] 能否同时的拖动内部的内需
[17:14] 和外在的新投资
[17:15] 其实现在是有点好转了
[17:17] 很多渡边太太也真的重新归来
[17:19] 当然我们要回过头说
[17:21] 现在高市最大的问题
[17:23] 不只是我们看到在内部的经济层面刺激
[17:26] 整体政策而言
[17:27] 由于这一次
[17:28] 刚才跟投资朋友提到
[17:30] 边采预算的方式
[17:32] 其实已经不太一样了
[17:33] 高市这一次所宣布的政策预算
[17:36] 采取多年期预算政策
[17:38] 什么意思呢
[17:39] 意思就是
[17:40] 未来预计
[17:41] 从下一个会计年度上路开始以后
[17:44] 日本的新制度
[17:46] 不会再局限于一年一边的预算方式
[17:48] 这有点在台湾难以想象
[17:50] 就是他的一个政策
[17:52] 他是以多年规划
[17:53] 支持经济安全为其转变
[17:55] 370兆你想想看
[17:57] 2.3兆美元
[17:59] 这个资金量不小
[18:01] 它的目的是14年慢慢的投完
[18:04] 也就是希望透过长期资金
[18:06] 直接提高企业的投资意愿
[18:08] 摆脱过去通俗时代
[18:10] 依赖追加预算的方式
[18:11] 台湾通常以前是追加预算
[18:14] 那你说日本能不能这样搞
[18:16] 它可以把10年预算给编完
[18:18] 自民党现在独大
[18:20] 所以你可以看到
[18:21] 不同政府的逻辑
[18:22] 现在操作方式并不太一样
[18:24] 那这种高强度的刺激
[18:25] 让资产价格有进一步的上涨
[18:28] 推动力多
[18:28] 不过也让市场上
[18:30] 也会严重的担忧财政恶化
[18:32] 你要一次把14年的预算给编完
[18:34] 那钱就一定会投下去
[18:36] 所以17纳的战略政策
[18:38] 就受到非常显著的资金吹捧
[18:40] 可是针对整体债务的担忧
[18:42] 也没有因此而停下来
[18:43] 这是我们看到的实质现象
[18:45] 其实日本政府也已经观察到了
[18:47] 好的机会抓住一次就够了
[18:50] 很多人以为一个国家要成功
[18:52] 必须样样到第一
[18:54] 好像韩国那样
[18:55] 好像什么品牌自己都要做
[18:56] 但台湾也没有自己的大语言模型AI
[18:59] 没有OpenAI
[19:00] 也没有Google
[19:00] Meta这样的科技巨头
[19:01] 但是在AI浪潮当中
[19:03] 就抓住一次机会
[19:05] 从先进之城
[19:06] 到CoreWars封装
[19:07] 到AI伺服器的
[19:08] 完整供应链
[19:09] 我们甚至不做品牌
[19:10] 刚好全面进入到
[19:12] AI基础建设的时候
[19:13] 两年
[19:14] 两年就足以超越日本韩国
[19:17] 成为东北亚人均GDP
[19:19] 最高的经济体
[19:21] 所以这也让台湾出现过去
[19:23] 难以想象的成长动能
[19:25] 至少从投资人而言
[19:26] 它是瞬间
[19:27] 马上达到一个财富的新高度
[19:30] 所以日本政府也意识到了
[19:31] 好的机会抓住一次就够了
[19:34] 那这一次绝对不能够放掉
[19:35] 那网路上看到
[19:36] 讲说先生年轻时
[19:38] 第一次带女朋友来房间
[19:42] 结果先生下去买点小酒回来
[19:44] 发现房间
[19:45] 瞬间从垃圾场变成样品屋
[19:47] 先生马上就认定
[19:49] 就是他了
[19:50] 结果结婚十年
[19:52] 发现太太总共就收拾那么一次
[19:54] 很多好的机会
[19:56] 抓住一次就够了
[19:58] 对于日本来说也是如此
[19:59] 那这是对内的部分
[20:01] 我们看到这种连续多年预算编列的直接排列
[20:06] 基本上对于日本股市一定会有显著的提振效果
[20:10] 那另外一大方面就是来自于外在压力
[20:12] 我们到这一次中日稀土战爆发以来
[20:16] 市场上针对日本的担忧加剧越来越大
[20:19] 为什么呢
[20:19] 日本已经长达接近有半年的时间
[20:22] 无法取得关键的矿物供应
[20:24] 今年以来乌啊中间的材料
[20:27] 现在出口已经逐步降至零
[20:29] 到日本的部分啊
[20:30] 我们知道做那些高性能磁铁的
[20:32] 基本上这些原材料
[20:34] 中国出口到日本
[20:35] 这真的不是什么出口减少
[20:38] 它就是直接归零啊
[20:40] 那我们知道
[20:40] 中国对于日本的一亿的出口量
[20:43] 也仅剩下去年同期的1.13%
[20:46] 那这些原材料
[20:47] 广泛用于半导体设备
[20:48] LED显示器
[20:50] 电动车马达
[20:51] 和汽车机密的加工工具啊
[20:53] 中国对台湾都没有这样干过
[20:54] 但是对日本真的是往死命的打
[20:57] 那当然北京很明显是跟
[20:59] 高市去年针对台湾议题的发言有关
[21:01] 目的就是在不直接引起
[21:03] 美国科技战冲突的情况底下
[21:06] 对日本施加精准的压力
[21:08] 直到高市彻底的盗窃
[21:10] 低头认错
[21:11] 不过看起来高市也不会认错
[21:12] 所以目前虽然没有出现
[21:14] 10年全面稀土禁运的规模
[21:17] 不过日本企业已经在大规模的消耗库存了
[21:19] 这是市场上比较担忧的来源
[21:21] 那当然只能向外进行采购
[21:23] 像跟美国采购
[21:25] 不过整体单价就翻了
[21:26] 接近有1.5到2倍以上
[21:28] 事实上我们看到
[21:29] 中国半导体设备的国产化速度
[21:30] 也在加速
[21:31] 日系的五大厂
[21:32] 对于中国的销售
[21:33] 居然在去年也是首度的下滑
[21:36] 包括东京威力科创
[21:38] 爱德万等等
[21:38] 在今年前一季度的营收
[21:42] 是1兆4700亿日元
[21:44] 相比去年减少了12%
[21:46] 原因就来自于
[21:47] 美国对于中国半导体管制以后
[21:49] 中国加速建立自己的供应链
[21:51] 政府也要求全面让本土的晶片厂
[21:54] 优先采购国产设备
[21:56] 这即便有部分设备并没有被封锁的
[21:59] 但是中方仍然选择采购自家设备
[22:02] 我们知道中日之间的冲突
[22:05] 其实越来越剧烈
[22:06] 那在这样效果底下
[22:07] 等同于市场上会更进一步关注
[22:10] 中日之间如果能够释放更进一步的谈话
[22:13] 也许是让日本市场能够有提振的效果
[22:16] 要不然日本股市
[22:17] 好像不只是人均GDP落后给台韩
[22:20] 而且看起来按照日元这种贬值的效果
[22:23] 那实质GDP衰退幅度越来越大了
[22:26] 那我们就要后续观察
[22:27] 在日本内部的政策压力
[22:29] 一方面是举债的压力
[22:31] 一方面是日元贬值压力
[22:33] 另外一方面是内生经济的通缩习惯
[22:36] 生态似乎已经完全扭转了
[22:37] 那对外层面有中方的压力
[22:39] 我必须承认
[22:40] 我觉得日本的经济处境
[22:41] 比台韩都还来得更加恶劣
[22:43] 那台湾也有自己的问题
[22:45] 韩国也有自己的问题
[22:46] 不过大家都算是享受到了本轮AI基建潮
[22:50] 那日本的部分
[22:51] 还在货币政策里头
[22:52] 尝试的走出一条
[22:54] 让市场上有极高评价的路线
[22:57] 要不然举债太多
[22:59] 市场上也会有一点给他一些压力的
[23:01] 那当然回过头看
[23:02] 那欧洲市场的变化呢
[23:04] 欧洲其实也有自己的AI大陆计划
[23:07] 欧洲是希望自己能够打造成第三势力
[23:10] 不过看起来
[23:11] 连南韩的AI主权资料中心计划
[23:14] 看起来都比欧洲打造的还要来得好
[23:16] 这次欧洲所提出的超大型算力工厂
[23:19] 称之为欧洲版AI高速公路
[23:22] 欧盟预估会规划五座的AI资料中心
[23:25] 每座会配备10万颗以上的先进AI晶片
[23:29] 用来训练下一代的大模型
[23:30] 这项计划的确已经吸引了76家公司
[23:34] 但现在问题在于投资规模
[23:36] 五座那算什么
[23:38] 我们如果细看
[23:39] 如果根据ING的报告
[23:40] 到2030年目前既有的规划
[23:43] 美国目前的资料中心规模
[23:45] 大约是欧洲的三倍
[23:46] 中国大概是欧洲的1.5倍
[23:49] 那如果是从
[23:50] 欧洲自己的成长幅度
[23:52] 大概就成长75%左右而已
[23:55] 远远低于中国和美国的程度
[23:57] 即便欧洲现在规划重新翻三倍
[24:01] 它都追不上中国的产出
[24:02] 所以我们讲说
[24:03] 欧洲现在最大的问题
[24:05] 一方面除了法规太多
[24:07] 资源资本能源都跟不上
[24:09] 现在冷冷气都没法吹
[24:11] 那你AI资料中心怎么盖呢
[24:13] 甚至我们看到
[24:14] 当前艾斯摩尔等科技
[24:16] 欧洲科技企业
[24:17] 都罕见的公开要求
[24:18] 欧盟尽可能的放松AI监管法规
[24:21] 认为如果欧洲持续研究规则
[24:23] 那美中早就已经大规模的部署AI系统
[24:26] 还有机器人的发展
[24:28] 那落后的时代时间线
[24:30] 可能就来得越来越长
[24:31] 欧洲最大的挑战
[24:33] 也并不是缺乏技术
[24:34] 只是缺乏把技术快速商业化的能力
[24:37] 相对于美国拥有大量的科技巨头
[24:39] 和创投资金
[24:40] 中国现在
[24:41] 它是透过国家力量和资源整合
[24:43] 欧洲现在长期面临资金分散
[24:46] 法规又复杂
[24:47] 然后各国的政策又不太一样
[24:49] 能源成本偏高等问题
[24:50] 都让市场上有相对大的压力
[24:53] 举一个比较直观的例子
[24:54] 我们都知道德国一直都是欧洲经济的火车头可是你看从2020年以后疫情以后居然德国的人均GDP就再也没有成长过了那这很神奇
[25:05] 疫情以后
[25:06] 我们都知道它是一个新世界
[25:08] 但是德国真的就是一个
[25:10] 活在2019年高点之后的世界
[25:13] 我们看到整个欧洲市场
[25:15] 在经济火车头
[25:17] 无法做显著带动突破底下
[25:19] 那就导致了整体欧洲内部的
[25:21] 制造消费零售的疲惫
[25:23] 以前我们讲那个三大电脑展嘛
[25:25] 一个是台北国际电脑展
[25:27] 一个就是德国汉诺威电脑展
