[00:00] 投資變化收聽早晨財經速解讀
[04:10] 大概是25萬美元
[04:11] 在局勢高度緊張時
[04:13] 每次透過海峽的保費
[04:16] 現在可能要衝高到100萬美元
[04:18] 再高下去
[04:19] 也許我就不願意運了
[04:21] 意味著價格的問題攀升是一大方向
[04:25] 另外一個是
[04:25] 如果承保方不願意提供保單了
[04:28] 那麼等同於海峽被金融體系給間接封鎖了
[04:32] 這要不要打會不會整合是一回事
[04:34] 有沒有人願意提供你保單
[04:36] 又是另外一回事
[04:38] 所以本週到底郵輪的稀缺情況
[04:41] 供給鏈的緊張局勢為何
[04:42] 我們後續做更進一步的觀察
[04:44] 那週一股市當然也會進入一個高波動的時代
[04:47] 如果我們按照市場普遍預估的兩種路徑
[04:51] 第一種就是衝突被視為可控制事件
[04:55] 有點類似過去美國對伊朗或者委內瑞拉的軍事行動
[04:58] 股市在短期內的震盪之後
[05:00] 馬上就會恢復了
[05:02] 資金會重新回到企業財報和AI投資等基本面
[05:05] 另外一種就是從衝突升級成區域戰爭
[05:08] 包括飛彈的攻擊
[05:10] 代理人武裝參戰
[05:11] 或者荷姆斯海峽長期受阻
[05:14] 那就可能會推升能源價格
[05:16] 引發全球的金融條件緊縮
[05:18] 到時候即便或許上臺
[05:20] 他也被迫要因為當前失控的通膨資料
[05:23] 採取進一步的緊縮巡迴
[05:25] 那如果同時又出現一些
[05:27] 私人信貸市場的壓力
[05:28] 畢竟現在AI很缺錢
[05:30] 銀行股的走弱
[05:32] 通膨資料的偏高
[05:33] 都有可能會讓大家想象成
[05:35] 停滯性通膨的環境
[05:36] 時間線還要很久
[05:38] 可是光是想象
[05:39] 就容易引發資產價格的下跌
[05:41] 但我個人的看法是
[05:42] 其實我們把2020年
[05:44] 當時蘇雷曼尼的擊殺事件
[05:46] 和2025年以色列空襲兩次伊朗的事件來進行對照
[05:50] 你可以發現地緣政治衝突
[05:52] 往往在短期內
[05:54] 它會先引發避險情緒
[05:56] 比如說油價和金價
[05:58] 在事件前一週大多都會上漲
[06:01] VIC指數的飆升
[06:02] 十年期公債殖利率的下跌
[06:03] 現在就蠻符合的
[06:04] 那這種衝擊往往也很快會消退
[06:07] 比如說2020年
[06:08] 當時油價是在一個月之後
[06:10] 反而大跌了兩成
[06:12] 股市幾乎恢復原狀
[06:13] 2025年
[06:14] 今年的情況跟去年
[06:17] 我個人認為其實蠻類似的
[06:19] 就是油價大漲一成到兩成
[06:21] VIC指數暴衝兩成
[06:23] 可是一個月以後
[06:24] 當時也是油價又回覆了6.8%
[06:27] 原油價格再度回落到
[06:29] 長期的長空格局
[06:30] 所以其實對於地緣政治
[06:33] 對於美國股市的影響
[06:34] 長期角度來看
[06:35] 撇開1970年的兩次石油危機
[06:38] 當時是因為能源過度依賴中東
[06:40] 美國現在是全球最大的產油國
[06:43] 在這樣效果底下
[06:44] 我個人的看法是
[06:45] 對於股票市場的影響並不大
[06:47] 大家其實更為關注的
[06:48] 是對於通膨的效果會有多大的增溫
[06:51] 所以就要回到市場基本面
[06:52] 聊中東戰火升級到底會如何改寫油價
[06:55] 通膨和聯準會的路徑
[06:57] 為什麼荷姆斯海峽變成全球通膨的引爆點
[07:00] 我們也來看看
[07:02] 到底黃金現在為什麼再度成為資金的避險箱
[07:05] 美債和美元今年的避險交易
[07:08] 看起來情緒也非常不錯
[07:09] 美債今年已經跑贏了標普白指數
[07:12] 很難得啊
[07:13] 大宗資產會全面起飛嗎
[07:15] 來跟投資朋友做一些觀察
[07:17] 那我們先回過頭來看
[07:18] 這一次從威脅以及軍事部署
[07:20] 走向戰爭
[07:21] 美國對於伊朗的軍事行動
[07:23] 它也不是突然發生的
[07:25] 它是在數個月的威脅
[07:26] 和軍事集結之後
[07:27] 逐步升級的結果
[07:29] 如果呢
[07:30] 這些軍力啊
[07:31] 來仔細觀察
[07:32] 會發現它本來就是
[07:33] 來針對伊朗施壓
[07:34] 要求停止核計劃
[07:36] 那也許呢
[07:37] 川普一直在等待一個好的契機啊
[07:39] 進行軍事行動的全面展開
[07:41] 那這一次的大規模的空襲
[07:43] 空襲的規模涵蓋防空系統
[07:46] 飛彈基地
[07:47] 革命衛隊設施和指揮中心
[07:49] 數百個目標
[07:50] 應該是過去十年來
[07:52] 針對伊朗最大規模的軍事打擊
[07:54] 那有幾個看點
[07:55] 第一個是白天行動
[07:56] 那這就是一個情報上的自信
[07:58] 通常以前那個委內瑞拉抓人
[08:02] 通常都等夜色降臨
[08:04] 那這次白天行動
[08:05] 某種程度算是情報上的自信
[08:07] 也展現了電子戰的絕對實力
[08:09] 那第二個是出其不意
[08:11] 很多人會覺得說
[08:13] 川普為什麼不在伊朗之前
[08:14] 早就已經爆發民眾抗議行動一段時間了嗎
[08:17] 但其實任何的戰略
[08:19] 任何的計劃
[08:20] 他都要有一定時間的規劃
[08:22] 所以本來可能他在當時
[08:24] 就已經有計劃這樣的一個行動了
[08:26] 只是等到時間點
[08:28] 天時地利人和發動的時候
[08:29] 再一次顯著發動
[08:32] 那第三個是市場上
[08:33] 其實並沒有一個歐洲或者傳統的北約國
[08:36] 來說明自己參與了行動或者支援行動英國算是後來補上但法國就很明顯他不太支援後來發現其實美國也真的不太需要這些北約國的支援
[08:47] 歐洲幾個國家的宣告表現來看
[08:50] 基本上以後也不太可能跟美國協同
[08:53] 就代表著以後的軍事行動
[08:55] 針對中東局勢
[08:56] 完全是由美國人一個人說了算
[08:58] 最後就是美軍已經很明顯證明了
[09:01] 再度證明它是最強偉大的系統
[09:04] 那現在德黑蘭的伊朗領導層的官邸
[09:07] 在空襲節後的對照圖
[09:10] 其實也可以發現
[09:11] 6月份的時候當時畫面
[09:13] 是一個完整的領導官邸的建築群
[09:16] 周邊有清真室
[09:18] 有醫療中心等裝置
[09:19] 那哈曼尼在今年2月底3月初以後
[09:22] 官邸的核心區域
[09:24] 現在已經大面積摧毀了
[09:25] 那他也本人已經死亡
[09:27] 伊朗官方也已經證實
[09:29] 那美方為什麼選擇在此刻出手呢
[09:32] 鎖定一鍋端的伊朗高層的罕見視窗
[09:36] 其實我認為是
[09:37] 可能很早之前
[09:39] 他就已經決定好要這麼做了
[09:40] 可能談判過程當中的一個失敗
[09:44] 或者僵持
[09:45] 它是一個引爆點
[09:46] 可是川普可能本身就已經準備好這樣的一個計劃
[09:49] 這次行動也把局勢推向高度不確定性
[09:52] 一方面
[09:53] 美國以領導人公開鼓勵伊朗人民來起來多取政權
[09:57] 等同於把目標從削減軍事能力
[10:00] 往爭權更迭的方向來做挺進
[10:03] 但另外一方面
[10:04] 很多觀察者也發現
[10:06] 伊朗境內其實也缺乏能夠快速接手的
[10:09] 組織化的反對能力
[10:10] 反而可能會進入到權力真空
[10:13] 或者更劇烈的內部鬥爭
[10:14] 這也讓波斯灣其他國家更緊張
[10:17] 伊朗隨後也開始採取報復
[10:19] 那是否也就意味著
[10:20] 這場戰爭是先打再說
[10:22] 邊打邊看
[10:23] 那美方難道能夠確定
[10:25] 現在到底誰能夠接手嗎
[10:27] 似乎也無法
[10:28] 可是至少先進行壓迫
[10:30] 讓伊朗的勢力稍微緊縮
[10:33] 所以我們這一次
[10:34] 我昨天我才看到鄭利講
[10:35] 他說哈梅尼的故事告訴我們
[10:38] 人成年就應該要出去自立
[10:41] 因為他這一次是孫子兒子女婿
[10:44] 全部一次打中
[10:45] 所以人到成年就應該要自立
[10:48] 就應該要搬出去自己住
[10:50] 不要跟父母住在一起
[10:52] 不然美軍炸你的時候
[10:54] 全家團滅
[10:55] 廣東話叫
[10:57] 哈梅尼全家很嘎慘
[10:59] 所以我們講的
[11:01] 這一次哈密尼之後
[11:02] 到底誰會統治伊朗
[11:04] 戰火中的權力交接就特別重要
[11:06] 現在多名高層官員
[11:08] 已經陸續在國營電視臺來露面
[11:10] 來強調政權的運作
[11:11] 並且依據憲法來啟動接班程式
[11:14] 三個人所組成的臨時委員會
[11:16] 會暫時領導最高的領袖職權
[11:19] 總統沒有死
[11:21] 重點是領導人
[11:22] 這個精神人物死了
[11:25] 儘管政權現在維持秩序
[11:27] 哈密尼之死
[11:28] 還是被視為伊斯蘭共和國
[11:30] 歷史上的重大轉折點
[11:32] 因為過去最高領袖
[11:34] 必須要是忠於體制的高階教師
[11:36] 那目前並沒有明顯的熱門人選
[11:39] 上一個熱門人選
[11:40] 本來是被視為接班人的萊西
[11:43] 前總統
[11:44] 2024年被打死了
[11:46] 所以現在哈梅尼尼的兒子
[11:48] 應該也死了
[11:50] 所以你找不到一個新的領袖可以交接
[11:52] 所以川普是否真實希望進行政權更迭
[11:55] 我們後續要做更進一步的觀察
[11:58] 但是一直轟炸下去
[11:59] 結局是什麼呢
[12:00] 這也是一個邊打邊看的一個過程
[12:03] 再來就是美國內部的共識部分
[12:05] 這一次雖然採取了相對非常有效率的軍事行動
[12:09] 可是美國根據民調
[12:11] 現在只有四分之一的美國人支援攻擊伊朗
[12:14] 其實從委內瑞拉事件就已經開始
[12:16] 更多的馬卡派
[12:18] 希望川普能夠花更多的精力
[12:20] 在美國國內
[12:21] 尤其是內部經濟形勢
[12:23] 尤其是過去我們提到的可負擔性戰爭
[12:26] 也就是你要讓美國人民
[12:28] 即便在面臨高通膨底下
[12:30] 薪資增長水準必須要有效提升
[12:32] 而現在我們看到在第二任政府
[12:35] 川普的確在對外政策上相對比較強硬
[12:38] 而且猶豫性很高
[12:39] 刻意塑造成強硬陽剛的傾向
[12:43] 例如國防部長過去就很常進行強勢的發言
[12:47] 衛生部長也公開他自己的健身畫面
[12:49] 像小甘奈迪
[12:52] 他不是在機場裡面做引體向上嗎
[12:54] 甚至在計劃白宮要舉辦MMA比賽
[12:57] 那這些做法目的很簡單
[12:59] 就要持續吸引年輕的男性選民
[13:02] 可是我們看到根據民調顯示
[13:04] 18到29歲的男性
[13:06] 對於川普的支援率已經降到32%
[13:09] 只有27%認為
[13:10] 他真的在為他們這樣的人做事
[13:13] 很多年輕男性
[13:14] 這其實也說明了
[13:16] 他支援你
[13:17] 不一定是對於那種陽剛男性的那種偶像的支援
[13:21] 他支援你可能就是因為對於經濟前景不安
[13:23] 他覺得生活成本很貴
[13:24] 他已經不滿拜登很久了
[13:26] 但是他對於美國
[13:27] 是否要介入海外的衝突
[13:29] 希望表現而言
[13:32] 他可能更希望的是
[13:33] 改善內部的經濟
[13:34] 而並不是對外的軍事承諾
[13:35] 我們都覺得那個年輕男生
[13:37] 我們小時候都喜歡玩戰車
[13:38] 玩一些小槍等等
[13:41] 不是那個小槍
[13:43] 是那個小槍
[13:45] 就是
[13:45] 對
[13:46] 你懂我意思
[13:47] 我們講的很多這種軍事迷
[13:50] 這對於很多年輕男生
[13:52] 他即使可能有想象的空間
[13:54] 可是當他們有投票行為能力以後
[13:57] 他們要求的是什麼
[13:58] 他們要求的還是讓自己的生活水準夠好
[14:01] 還是讓自己的太太
[14:02] 讓自己的家庭生活過得更好
[14:04] 過去一年多過去
[14:05] 我們從民調資料來看
[14:07] 普遍認為情況沒有改善
[14:09] 甚至變得更糟
[14:10] 不少的年輕男性
[14:12] 現在批評川普的關稅政策無效
[14:14] 也反對在他國動用軍事力量
[14:17] 所以這件事情
[14:18] 是否會成為這種對於伊朗局勢
[14:21] 常態化戰爭的一種疑慮呢
[14:23] 後續我們可以觀察
[14:24] 後續另外一個觀察方向是伊朗的反擊
[14:27] 伊朗的反擊和區域戰爭的風險
[14:29] 的確對於投資人的壓力越來越大
[14:31] 我們看到在週末
[14:33] 不管是伊朗針對以色列
[14:34] 巴林
[14:35] 阿聯
[14:36] 科威特
[14:37] 沙烏地拉阿波
[14:38] 還是伊拉克
[14:39] 各地的美軍基地都受到了伊朗的侵襲
[14:42] 當然攻擊效果並不是特別顯著
[14:44] 可是伊朗的彈道導彈的射程
[14:46] 幾乎還是涵蓋整個中東地區
[14:49] 多數的美軍基地都還是暴露在潛在的打擊範圍
[14:52] 要花這麼多的軍事力量在中東局勢
[14:56] 川普本身就會受到民意的制約
[14:58] 為什麼呢
[14:59] 我當然知道你會打贏
[15:00] 我當然知道你有能力控制整個中東的局勢
[15:03] 但我們要不要付出這麼多的代價
[15:06] 和付出這麼多的軍費
[15:07] 這就是另外一大疑慮了
[15:09] 事實上現在有5萬名美軍正在中東
[15:11] 其中駐軍最多的是科威特
[15:14] 有13500人
[15:15] 再來是卡達和巴林
[15:17] 各有9000人
[15:18] 阿聯酋有5000人
[15:20] 伊拉克是4000人
[15:21] 約旦是3800人
[15:23] 沙烏地阿拉伯是2300人
[15:24] 土耳其有1800人
[15:26] 敘利亞有1400人
[15:27] 除了陸地駐軍以外
[15:29] 現在有兩支航母打擊群
[15:31] 尼米茲號和文森號
[15:33] 每支艦隊有5500人
[15:35] 對於伊朗周邊局勢造成高壓包圍
[15:37] 你就知道
[15:38] 如果要持續投入相關裝置
[15:40] 以及人員
[15:41] 這個部署對於美軍的資金需求
[15:44] 到底會有多高
[15:45] 所以在這樣的效果底下
[15:46] 即便我們知道
[15:47] 美國相對於伊朗
[15:49] 它具有絕對不管是現役軍人的優勢
[15:52] 還是針對軍機艦艇等等戰車相關的優勢
[15:57] 幾乎是全面性的碾壓
[15:58] 但是現在針對整個伊朗局勢的壓力
[16:02] 似乎更多反映的是國內的民意
[16:04] 再來就是能源市場和荷姆茲海峽的風險
[16:07] 荷姆茲海峽的石油產品的運輸結構
[16:10] 它是以液化石油器LPG和石腦油的數量最大
[16:14] 最主要的兩類產品
[16:15] LPG主要是流向亞洲市場
[16:18] 基本上全部都是中國
[16:19] 另外一小部分是印度
[16:21] 石腦油同樣以亞洲作為主要目的地
[16:24] 包括南韓日本和其他亞洲國家
[16:26] 相對之下汽油航空燃料和燃料油的運輸明顯比較小
[16:31] 所以這件事情基本上主要還是來自於原油運輸緊張供給的問題
[16:36] 那真正對於整體出口影響最大的
[16:40] 那第一個當然是中國市場
[16:42] 第二個就是亞洲各國
[16:43] 亞洲對於中東市場的需求依賴是很大的
[16:46] 所以其實中東局勢的維穩
[16:48] 真正影響最大的是誰
[16:50] 如果從國家力量來看的話
[16:52] 其實是亞洲
[16:53] 美國反而還好
[16:55] 美國自己石油產量也很大
[16:56] 反而中東局勢一不穩
[16:58] 亞洲市場當時的1970年代
[17:01] 十大建設就是在這樣的一個背景底下興起的
[17:03] 我們都清楚知道
[17:05] 亞洲的經濟能源的需求依賴
[17:07] 是大幅的依賴中東市場的
[17:09] 像伊朗是全球第三大的石油儲備國
[17:12] 有2091桶已經探明儲量
[17:15] 大概佔全球的13%
[17:16] 理論上對於全球能源應該會有重要影響
[17:19] 不過因為長期它就已經被禁運了所以伊朗的石油出口其實遭到嚴格限制所以儲量的規模不是當前油價波動的核心真正牽引的是地緣政治風險
[17:31] 就是波斯灣或者荷姆茲海峽
[17:34] 航運持續緊張
[17:35] 影響到沙熱拉波
[17:36] 影響到阿聯酋
[17:37] 等主要產油國的出口通道
[17:39] 那對於油價的提升
[17:41] 就會引發通膨的疑慮
[17:42] 在這樣效果底下
[17:43] 全球能源運輸
[17:45] 反而就充滿了重大幹擾
[17:47] 尤其現在保單的部分
[17:48] 是否願意沉坐
[17:50] 接下來幾周的變化都拭目以待
[17:52] 最後是防空飛彈的問題
[17:54] 美軍現在當然是具備壓倒性的優勢
[17:57] 可是美國和伊朗
[17:59] 針對伊朗可能展開的軍事行動
[18:00] 我們看到在去年短短12天
[18:03] 當中所消耗的大量的攔截彈
[18:06] 尤其是攔截彈道飛彈的THAADD系統
[18:10] 這個系統的消耗是前所未見的
[18:12] 過去一兩天
[18:14] 大概就可以用掉一整年的攔截彈產量
[18:16] 如果伊朗持續採取報復性行動
[18:19] 對於整體而言
[18:20] 過去我們看到這些攔截彈
[18:22] 使用量會持續的增高
[18:24] 對於以色列
[18:25] 對於中東各國
[18:26] 都有可能引發軍工股的全面起揚
[18:29] 尤其這次伊朗是大量的啟用
[18:32] SHED-136自殺式無人機
[18:34] 它是一種低成本
[18:36] 但是具有長距離打擊能力的武器
[18:38] 我們看一下圖表
[18:40] 其實跟烏克蘭
[18:41] 俄羅斯用的那一架有點像
[18:43] 單價大概2萬到3萬美元
[18:45] 遠遠低於動輒要數百萬美元的巡弋飛彈
[18:48] 它採用三角翼設計
[18:50] 就慢慢飛飛得也不快
[18:52] 搭載25到30公斤的炸藥
[18:54] 用活塞引擎來做挺進
[18:56] 每小時185公里
[18:57] 最大航程可以2500公里
[18:59] 慢慢飛
[19:00] 飛到最低附近進行攻擊
[19:02] 而且重點是很便宜
[19:04] 這些攻擊都會引發中東各國
[19:07] 必須要採取更多的防空力量
[19:09] 以及投注和相關的補貼資金的規劃
[19:13] 所以如果我們看
[19:14] 現在在一兩的部分
[19:15] 三種典型的打擊武器
[19:17] 彈道飛彈
[19:18] 巡弋飛彈
[19:19] 無人機等差異
[19:20] 彈道飛彈採用的是
[19:21] 高拋物線的櫃道飛行
[19:24] 彈頭重量大概是接近1200公斤
[19:27] 威力很大
[19:27] 但飛行高度很高
[19:29] 所以雷達很容易偵測
[19:30] 射了也沒太大用處
[19:31] 巡弋飛彈靠噴射引擎在低空飛行
[19:35] 大概是400公斤左右
[19:36] 能夠貼地避開雷達
[19:38] 攔截難度比較高
[19:40] 最近集中的很多都是相關巡弋飛彈
[19:42] 無人機就很便宜了
[19:43] 成本低
[19:44] 然後只有30公斤
[19:45] 大量發射來進行消耗戰
[19:47] 最擔心的就是
[19:48] 無人機如果它製造不完
[19:50] 或者說它數量極為龐大
[19:53] 可能就會引發中東各國
[19:55] 要花費更多的精力
[19:56] 所以我們總結來說
[19:58] 典型的川普的戰爭模式
[20:00] 第一個就是週末再打
[20:02] 絕對不打擾股票市場和經濟
[20:04] 當然對於油價影響還是會出現
[20:07] 但就是不會超過24小時
[20:08] 超過就是浪費犧牲和免軍的生命
[20:12] 上市嘛
[20:12] 第三個就是能談判
[20:14] 就讓對方活著
[20:15] 不能的話就直接開戰
[20:16] 再來呢
[20:17] 要麼就打你的爪牙
[20:18] 要麼就直接斬首
[20:19] 堅決不跟底層
[20:21] 不跟多數民眾來做糾纏
[20:23] 最後就是不搞地面戰爭
[20:25] 勞民傷財
[20:26] 那你仔細想一想
[20:27] 週末再打
[20:29] 孫子兵法說
[20:30] 兵文處述
[20:32] 未讀巧之久矣
[20:34] 寧可打得簡單
[20:35] 但迅速
[20:36] 也不要拖得很久
[20:38] 但是追求完美
[20:39] 不超過24小時
[20:41] 兵貴勝不貴久
[20:43] 戰爭最重要的就是快速取勝
[20:45] 不是拖延時間
[20:46] 打久了軍隊會疲憊
[20:48] 國力會消耗
[20:48] 經濟會折損
[20:50] 所以這就是他採取
[20:51] 24小時戰爭的原因
[20:52] 能談判就讓對方活著
[20:55] 及其虛
[20:55] 必其實
[20:56] 不要硬碰硬
[20:58] 要攻擊敵人最脆弱的地方
[21:00] 全軍為上
[21:01] 破軍赤枝
[21:02] 最高明的戰爭
[21:04] 就是要保持自身的完整
[21:05] 而並不是互相消耗
[21:07] 那種種訊息和分析
[21:10] 幾乎就得出一個
[21:11] 最大川普戰爭的特點
[21:13] 就是川普有看孫子兵法
[21:16] 幾乎每一項都對照得起來
[21:18] 所以川普的確
[21:19] 對於中華文化研究頗深
[21:22] 好
[21:22] 那我們後續最後觀察的幾大方向
[21:24] 一方面
[21:25] 當然是中東局勢的持續緊張
[21:28] 它會導致油價的上行
[21:29] 但對於股票市場的傷害
[21:31] 我反而認為
[21:32] 它是一個買點的出現
[21:33] 那另外一方面
[21:34] 我們從委內瑞拉的事件翻版來觀察
[21:38] 伊朗在高層受創以後
[21:40] 他就大概得出三種結構性的路徑
[21:42] 當然同樣會不會一路的清美很難說
[21:45] 第一條就是權力碎片化的伊朗
[21:47] 現在的革命衛隊
[21:49] 宗教體系
[21:50] 地方勢力
[21:51] 還有安全機構
[21:52] 各自掌握資源和武裝
[21:54] 中央的統治力下滑
[21:55] 國家還要維持運作
[21:57] 但是效率非常低落
[21:58] 經濟持續在制裁和灰色貿易中掙扎
[22:01] 有一種中東版的委內瑞拉的感覺
[22:04] 他也不公貴
[22:05] 但他也很難恢復
[22:06] 這是我認為最有可能的
[22:08] 第二種是去革命路線
[22:10] 但是不親美的技術性政權
[22:12] 它可能由革命衛隊
[22:14] 或者內部的實務派
[22:15] 官僚技術系統來主導
[22:17] 意識形態就稍微淡化了
[22:19] 優先目標是進行談判
[22:21] 石油輸出
[22:22] 解除部分制裁
[22:24] 而且恢復金融管道
[22:25] 和中國和俄羅斯持續維持合作
[22:27] 但是也願意跟歐洲和美國進行談判
[22:30] 確保不會再發展核武
[22:32] 第三條是民意的改革
[22:34] 和民族和解政府
[22:36] 那就是川普最希望的
[22:37] 改革派流亡反對派
[22:40] 或者溫和的宗教人士組成
[22:41] 來進行合法性
[22:43] 並且走向外交中立
[22:44] 但伊朗的權力結構
[22:46] 因為現在還是很軍事外漢宗教化
[22:48] 這條路徑的阻力是最大的
[22:50] 也最容易在過渡期間
[22:52] 發生政變或者內部衝突
[22:53] 從美國戰略角度來看
[22:56] 川普當然希望的是
[22:57] 人民可以推翻伊朗政府
[22:59] 但伊朗政府
[23:00] 這個神權統治也一陣子了
[23:01] 最有可能默許的
[23:03] 反而我認為是
[23:04] 弱化但是不崩潰的伊朗
[23:06] 就是第一條
[23:07] 這個路徑成本是最低的
[23:09] 美國也不需要投入大量的重建資源
[23:12] 只要讓伊朗從一個
[23:13] 本來被中國能夠低成本經營的
[23:16] 穩定能源系統剔除就好了
[23:18] 你不要再提供中國市場相關的原油
[23:21] 至少不要提供低價原油
[23:22] 第二條去革命但是不輕美
[23:25] 它是可以高度交易的優解
[23:27] 就是伊朗恢復石油出口
[23:29] 然後降低對於中國的依賴
[23:30] 美國同樣可以接受
[23:32] 那重點在於進行內部的政府結構改革
[23:35] 那最後呢
[23:36] 如果要推翻政府
[23:37] 那可能動亂時間會比想象中來得長
[23:39] 但是呢
[23:40] 川普可能真的很想要拿到諾貝爾和平獎
[23:43] 如果我們細看
[23:44] 今年才三個月
[23:46] 第一個月是馬杜洛被抓走
[23:48] 第二個月是墨西哥的獨銷
[23:51] 卡特爾的投資被殺了
[23:53] 第三個月是哈梅尼也被炸了
[23:56] 所以川普可能真的很想拿諾貝爾和平獎
[23:59] 今年全部壞人都抓起來
[24:01] 也許真的明年就頒給他諾貝爾和平獎了
[24:05] 網路上有一句開玩笑
[24:06] 我們講說諾貝爾和平獎
[24:08] 就是要用諾貝爾的方式去拿
[24:10] 諾貝爾是做炸藥的
[24:12] 我們後續會觀察
[24:13] 會不會炸到中東和平為止
[24:16] 元旦先抓了馬杜羅
[24:18] 俄巴又炸了哈梅尼
[24:20] 下一個節日就是清明節了
[24:23] 清明沒有還有端午
[24:25] 還有中秋
[24:26] 好所以這也說明
[24:27] 美國的四大支柱
[24:28] 過去我們提過的
[24:29] 高科技美軍美元文化霸權
[24:32] 你有了高科技以後
[24:34] 你的產業就非常豐沛
[24:35] 你就有能力去支撐美軍
[24:37] 有錢有技術的挺進
[24:39] 有了美軍以後
[24:40] 在全世界各地的注點
[24:42] 導致了國際資本
[24:44] 針對美元的採用率持續升高
[24:46] 當時就是由於石油美元體制
[24:49] 軍事上的互相協作
[24:51] 導致石油最終以美元來做定價
[24:53] 最後你有了高科技
[24:55] 你有了搶美軍
