[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 多次强调价格稳定的使命之后
[06:20] 我们接下来不能都靠联准会讲的一些话
[06:23] 来大幅度的推论未来市场的变化
[06:25] 而是完全取决于大家看的同一套的经济数据来做变化
[06:30] 现在市场出现的反应
[06:32] 两年期美债值利率是一度飙升到接近4.2%左右
[06:37] 放下16个月以来的新高
[06:39] 当然你看这是FedFundFuture
[06:43] 就是把26年年底的利率预期
[06:45] 拿来跟年初来做比较是差蛮多的
[06:48] 在年初的时候
[06:49] 当时原本预估26年年底的利率
[06:52] 会降到3.05%
[06:53] 代表市场会压住
[06:55] 联准会持续降息
[06:56] 但到今年6月份
[06:58] 市场不但是收回了降息预期
[07:00] 反而预估在26年年底利率
[07:02] 将会升高到4.03%
[07:05] 这会远远高于2025年年底的水准
[07:07] 这代表投资人开始相信
[07:09] 不是说接下来就停止行动
[07:12] 但这场中东战事
[07:13] 的确让本次的高利率时代
[07:16] 比想象中还要来得久啊
[07:18] 所以华许这一次有人说
[07:20] 也算是露出了阴爪你知道吗
[07:23] 就没有全部整颗头露出来
[07:25] 但是阴爪
[07:26] 那只小手已经露出来了
[07:28] 阴爪就是那个
[07:30] 是赌神还是国产007啊
[07:35] 那个好像是赌神
[07:37] 里面赌神都有那个阴爪功嘛
[07:39] 双脚就是香港脚
[07:40] 我忘记了
[07:41] 但不重要
[07:42] 重点在于
[07:43] 他只露出了半根手
[07:45] 但是整根人
[07:46] 整根头还没有露出来
[07:48] 所以算是露出了一只手
[07:50] 让大家意识到
[07:51] 我们是有中立稳定性的
[07:53] 我们不会
[07:54] 当然川普这一次
[07:55] 刚才也发表谈话
[07:56] 说随便都可以
[07:58] 也保持了一定的距离
[07:59] 所以投资机构认为
[08:01] 这一次最大的意外
[08:02] 并不是华许个人拼音
[08:04] 是整个联总会决策委员会的集体转向
[08:06] 有位官员预测升息
[08:08] 那是一个巨大的变化
[08:10] 大家都认为
[08:11] 每位票委都选择了对自己
[08:13] 在经济市场当中公允的评价
[08:16] 就连华许他本人也并没有
[08:18] 特别去贯彻川普的意志
[08:20] 还是过于强调自己的意志
[08:22] 而是尊重大家的意志
[08:24] 反而形成了一致通过的表决
[08:26] 所以联准会的预测成真
[08:27] 就代表着美国其实已经连续
[08:30] 算第六年了
[08:31] 未能够达成2%的通膨目标
[08:34] 对于以维持物价稳定为使命的央行来说
[08:38] 这代表着通膨战争还没有结束
[08:40] 但是伊朗战事的结束
[08:42] 会有利于通膨战争
[08:44] 看有没有机会
[08:45] 在今年年底到明年年初有机会能够达标那回过头看有没有机会呢我個人還是抱持著蠻大的預期的我們過去提過其實如果今年沒有伊朗戰事
[08:57] 搞不好上一季度的FOMC已經開始陸續做降息了
[09:02] 因為就業市場老實說表現並沒有特別好
[09:05] 那現在是由於原油價格所造成通膨的降過期
[09:09] 那你把原油給剔除
[09:10] 假設先不看科技通膨
[09:12] 因為科技通膨還沒有完全轉嫁到終端市場
[09:15] 那其实还是有降息的空间存在
[09:17] 我们过去讲过嘛
[09:18] 虽然大家认为年初的时候都认为
[09:20] 年底之前应该会有降个一码两码
[09:23] 但是我们按照过往的推估
[09:25] 这个搞不好可以降五码
[09:29] 不是影片的五码
[09:30] 是说降息幅度
[09:32] 我原本预估今年也是很宽的
[09:34] 但这场中东危机
[09:35] 它的确让市场上有一股的意外
[09:38] 所以我们后续要观察的几大方向
[09:40] 一个就是劳动市场是否有持续落化的空间
[09:43] 看起来是有
[09:44] 而且零售销售数据
[09:46] 整体而言
[09:47] 这几个季度表现也不算特别好
[09:49] 所以华许或者联准会未来
[09:51] 会不会更为关注
[09:53] 接下来在经济市场的实质消费变动
[09:56] 来做评价
[09:57] 还是他就要完全盯着油价
[09:58] 这就不一定
[09:59] 但至少我觉得油价
[10:00] 现在也是往有利的方向走
[10:02] 今年我认为
[10:03] 也许有机会不升息
[10:05] 现在只是把升息预期
[10:06] 先推高到了极致
[10:08] 我们看油价的部分
[10:09] 虽然昨天适度反弹
[10:10] 不过目前已经都叠在
[10:12] 80美元每桶以下
[10:13] 不管是西德州原油还是布兰特原油都是如此
[10:17] 那现在原油价格大概分为三种剧本
[10:21] 那基准情境就蓝色线
[10:22] 假设中东原油出口在7月前后逐步恢复正常
[10:27] 那布兰特原油价格会从目前的80多块
[10:29] 一路跌到70到65美元左右
[10:32] 那悲观情境就是认为绿色线供给增加需求放缓
[10:37] 油价就可能跌到55美元附近
[10:39] 那我们到现在美国的需求
[10:41] 看起来因为暑假旺季准备到来了
[10:44] 看起来也没有说多大的拉抬
[10:46] 所以如果需求不好的话
[10:48] 那对于原油价格
[10:49] 可能会有进一步的冲击作用
[10:51] 那当然了
[10:52] 有些人是属于比较乐观精进
[10:54] 我们讲是价格的乐观
[10:55] 乐观就是最后协议没有签成
[10:59] 再过一天就要签了
[11:00] 没有签成
[11:00] 原油价格再度受到和母子海峡的侵扰
[11:04] 就一路保持在80到90美元每桶
[11:06] 但至少高点是已经看到了
[11:09] 在低点层面
[11:10] 我们看就有没有机会持续向下突破
[11:13] 毕竟在卡达的部分
[11:15] 在昨天正式宣布
[11:16] 全球最大液化天然气出口国
[11:19] 正在准备重启生产
[11:20] 卡达那边公司在昨天表示
[11:22] 预估在一个月内会恢复50%的产能
[11:25] 之前是因为天然气管被击中
[11:28] 所以接近有一半的产能
[11:30] 基本上都无法运出去
[11:31] 加上荷姆这海峡处于失职封锁情况
[11:34] 那现在呢
[11:35] 卡达过去也知道嘛
[11:36] 他丢掉了韩国的订单
[11:38] 台湾的订单也被丢掉了
[11:39] 日本的订单也被丢掉
[11:41] 现在整个东北亚都在跟澳洲
[11:43] 都在跟美国掉天然气和石油
[11:45] 好那问题来了
[11:46] 这场中东战是结束以后
[11:48] 台湾人以后会回去买
[11:51] 中东的原油和天然气吗
[11:53] 我们战友已经跟美国下这么多订单了
[11:55] 美国会愿意让你放手吗
[11:56] 所以这件事情
[11:57] 我们就可以意味着
[11:58] 未来中东所出产的能源价格
[12:01] 是否有进一步来压抑价格的变化
[12:04] 是值得大家观察的重点
[12:06] 所以市场上原油价格的下跌
[12:08] 现在就分为两个部分
[12:09] 一个当然就是局势的淡化
[12:11] 这个是市场主流共识
[12:12] 可是另外一大方面
[12:14] 可能就来自于
[12:15] 现在的实质需求
[12:17] 我们现在
[12:18] 市场的需求其实很大程度
[12:20] 是由AI来贡献的
[12:22] 可是实质的民间需求
[12:23] 并没有特别的强
[12:24] 那如果需求比想象中
[12:26] 还要来得更弱
[12:27] 原油价格就有持续的向下作用
[12:29] 保持通膨能够下行的方向
[12:32] 事实上如果我们细看
[12:33] 最近在中国五月份的原油进口量
[12:36] 它已经降到了每天780万桶
[12:38] 这是8年来的新低
[12:40] 电油厂的开工率也降到4年的新低
[12:43] 我们当然知道中国政府一直尝试的
[12:45] 想要淡化对于原油在能源部分的权重
[12:48] 因为它算是全球最大的原油进口国
[12:51] 这一次中国中东战是打了三个月
[12:54] 它也没有抢购原油
[12:56] 它也透过消耗库存提高电气比的方式
[12:59] 来降低石油的依赖
[13:01] 居然每天可以减少780万桶的原油进口
[13:04] 8年新低
[13:05] 这一方面当然是内部的能源政策调整
[13:08] 另外一方面肯定内需市场并没有想象中还要如此来的火热
[13:13] 至少相对于其他亚洲新市场经济体
[13:16] 足以导致着如果全球针对石油的需求下滑
[13:20] 那么通膨也许就不会做持续性的拉伸了
[13:22] 所以我个人认为下半年的通膨真正的压力来自于哪里
[13:26] 来自于大量3C产品推出之后
[13:29] 价格科技通膨的压力
[13:31] 过去我们提过在电子零组件的PPI
[13:34] 整体年增幅在今年中旬
[13:36] 已经涨幅来到87%
[13:38] 电脑软体和配件价格指数
[13:41] 甚至也已经陆续创下历史新高
[13:43] 涨幅大概75%左右
[13:45] 那这就两种思维了
[13:47] 因为我们过去讲过
[13:48] AI到底会让通膨下滑还是上升
[13:51] 这是两种完全不同给予的讯号
[13:53] 部分人士滑雪的看法一直都是这样
[13:56] 他认为AI会带来前所未见的生产力革命
[13:58] 提高企业效率
[14:00] 降低成本
[14:01] 最终能够压低通膨
[14:02] 并且让央行有空间能够降息
[14:04] 这是他在担任联总会主席之前
[14:06] 就不断表态给予的看法
[14:08] 他是一个标准的科技通修论者
[14:11] 由于长期科技产品不断的迭代
[14:13] 你现在再去用五年的iPhone
[14:15] 它还会跟当年的价格一样贵吗
[14:17] 不会
[14:18] 所以科技会让我们的成本持续下滑
[14:20] 科技不断的进步
[14:22] 一辆车可能成本是1万美元
[14:24] 到过了五年过了十年
[14:26] 可能车子的成本只剩下5000美元了
[14:29] 剩下的通膨其实都是M2货币量的增长
[14:32] 可是现在的问题出在需求面
[14:34] 就是你不是说科技会助长通缩
[14:37] 怎么会现在PPI在电子零组件
[14:41] 年增幅是87%呢
[14:43] 根本原因就来自于
[14:45] 由于我们AI带来的市场带货潮
[14:47] 和基础建设的需求实在太强大了
[14:50] 所以在通缩之前
[14:51] 先造成了高强度的通膨
[14:53] 这个通膨不是由于科技的进步产生的
[14:57] 是由于为了让科技进步
[14:58] 我们必须新建大量的基础建设
[15:01] 所以先把科技产品的通膨给拉高了
[15:03] 那未来要通缩
[15:04] 可能是五年十年以后的事情
[15:06] 这个就是我们看到
[15:08] 现在属于极度尴尬的局面
[15:09] 我举一个比较直观的例子
[15:11] 大家可以感受了
[15:12] 这张图表示我们看到台中院
[15:13] 在昨天所公布的
[15:15] 26年台湾经济预测变化
[15:18] 在变化的过程当中
[15:20] 经济成长率翻了三倍
[15:21] 这没什么好说的
[15:22] 这去年年底
[15:23] 他才预测台湾经济
[15:25] 今年大概3.46%
[15:26] 现在已经来到9.33%了
[15:28] 我觉得突破双位数字不是太困难
[15:30] 可是你看投资成长从1.7
[15:33] 现在上调到6.16
[15:35] 也上升了接近三倍左右
[15:37] 商品劳务的输出从4.72
[15:39] 暴增到19.62%
[15:41] 翻了五倍
[15:42] 但是你看一下民间消费
[15:44] 也不过从2.23上升到3.5
[15:46] 所以民间消费成长是远远不及GDP成长的
[15:50] 再来我们看看最扯的是什么
[15:51] 消费者物价指数
[15:53] 它从1.78%上调到1.96%
[15:57] 生产者物价指数
[15:59] 从0.15%暴增到11.37%
[16:04] 所以台湾的经济增速
[16:05] 的确让所有人跌破眼镜
[16:07] 这么高强度的成长
[16:09] 是大家的确没有意料到
[16:11] AI的带货潮
[16:12] 但是理论上游成本大幅上涨
[16:15] PPI现在已经来到11.37%
[16:17] 你的CPI只有1.96%
[16:19] 这有两个角度
[16:20] 第一个角度就是内部的补贴
[16:23] 就是居然厂商的成本这么贵
[16:27] 但是我们的物价居然还没什么调高
[16:30] 说明的事情是
[16:31] 政府的高强度补贴
[16:32] 从电价油价交通运输到部分民生价格
[16:35] 全部遭到政府的直接性调控
[16:38] 那正常来讲
[16:39] 不要说什么上涨5%
[16:41] 上涨3%
[16:43] PPI就差不多要准备做转嫁了
[16:44] 那第二个角度是什么
[16:45] 这是我们刚才所提到的
[16:47] 就是PPI的暴增
[16:48] 生产者的成本暴增
[16:50] 一定会反映在终端物价吗
[16:52] 其实也不一定
[16:53] 你想想看
[16:53] 台积电进口的设备
[16:56] 进口的机台价格暴增了
[16:58] 我们进口的材料
[16:59] 机体价格暴增了
[17:01] 所以伺服器的产值也暴增了
[17:02] 那我们的PPI会不会暴增
[17:05] 一定会暴增
[17:06] 我们的生产者的成本一定上升
[17:07] 可是我们生产者成本上升以后
[17:09] 我们没有让台湾人买我们自己的伺服器
[17:12] 都是美国人自己买走的
[17:14] 所以这就造成了一个现象
[17:16] PPI的上升反映的是
[17:18] 我们的AI终端产品价值大幅提高
[17:22] 机体的带货潮
[17:23] 但是我们的消费者物价指数
[17:25] 就足以说明着
[17:26] 就没有那么多台湾人买科技产品
[17:29] 所以都是美国人买走了
[17:30] 通膨就大量的往美国来进行输送
[17:33] 所以这件事情就意味着
[17:35] 我们在未来看待通膨的时候
[17:36] 必须要有两个角度
[17:38] 一个是实体的民间消费通膨另外一个是科技通膨好 问题来了现在联总会在决策下半年的利率决策会议的时候要不要把那种生产者基础建设的通膨
[17:49] 纳入到重要的判断依据当中
[17:52] 还是就如之前联总会内部报告所提出的
[17:55] 我们可以适度的进行指数边转上的调整
[17:59] 予以剔除呢
[18:00] 它又没有影响到民间
[18:01] 就跟豪宅价格翻一倍
[18:04] 你觉得对于整体全台的房地产市场
[18:07] 会有重大影响吗
[18:09] 好像也还好
[18:10] 好在那就是那些人在买的
[18:12] 跟一般的住宅
[18:12] 好像价格不太会互相影响
[18:15] 这是蛮有趣的一个角度
[18:17] 所以我个人的看法是
[18:18] 也许当观念一转
[18:20] 下半年的升息预期
[18:21] 慢慢就消失了
[18:22] 我还是抱持的
[18:23] 比较乐观的看法
[18:25] 那第二个角度是来自于
[18:26] 那你说科技通缩论
[18:28] 到底在哪里呢
[18:28] 不是说科技
[18:30] 没有任何通缩的感觉
[18:31] 我们看在近期
[18:32] 企业已经不再只是
[18:34] 追求最强的AI模型
[18:36] 而是开始计算它的成本效率
[18:38] 我们根据报道
[18:39] 微软正在研究
[18:40] 把中国的开源模型DeepSeek V4
[18:42] 纳入到Copilot的服务
[18:45] 作为OpenAI和Enthropy之外的
[18:47] 低成本选项
[18:48] 什么意思
[18:48] 现在大家已经开始去计算了
[18:51] 我要如何省钱
[18:53] AI的价格战
[18:54] 发展到这样的一个地步
[18:56] 就说明着大语言模型
[18:58] 很多人现在在2C端
[19:01] 他不再给你推出最前沿的模型
[19:03] 你要使用也OK
[19:04] 但是我现在要想办法
[19:06] 把我自己的成本给降下来
[19:08] 那这就有趣了
[19:10] 因为如果现在从AI的token指数来看
[19:13] 现在成本的确在下滑
[19:15] 这就是标准的科技通俗论
[19:17] 以前可能一个token
[19:18] 它要消耗多少的能源
[19:20] 或者消耗多少的资金
[19:21] 现在要消耗不用花这么多的资金了
[19:24] 那本身而言
[19:25] 它就是一种科技的通俗论
[19:27] 所以也不能因为因此而判论说
[19:29] 华许说的没有意义
[19:32] 他说的还是有意义的
[19:33] 只是它是一个渐进式影响的过程
[19:35] 我们当前的通膨
[19:36] 不是由于科技生产力
[19:38] 没有造成通俗效果
[19:39] 只是因为现在基础建设的需求
[19:42] 实在太强大了
[19:43] 好那回过头来说
[19:44] 接下来这段时间
[19:46] 为什么我们讲说利率指引
[19:48] 很有可能会往相对偏宽松的方向走
[19:51] 一个方面是属于AI的生产力爆发
[19:53] 另外一个就是川普还在任
[19:56] 我们事实上看到
[19:57] 川普也采取了一定程度的物价介入
[19:59] 像在这一次CPI当中
[20:01] 大家最为关注的就是保险费用的下滑
[20:03] 5月份的汽车保险价格下滑了1.7%
[20:07] 创下疫情以来的最大跌幅
[20:08] 此外其他像是药价等等
[20:11] 部分民生医疗产品
[20:12] 川普是直接采取了部分的物价介入
[20:15] 要求价格采取最惠国价格
[20:18] 也就是要求你的药价或者学名药等等
[20:21] 进行适度的价格让利
[20:23] 至少不能够比其他国家还要来得高
[20:25] 也压低了内部的通膨
[20:27] 但是的确川普在任内目前的物价涨幅
[20:30] 大概已经超过了5%
[20:32] 很多人把它归咎于关税或者能源政策
[20:35] 不过我们必须回过头来说
[20:37] 现在其实过去一整年的关税
[20:39] 对于通膨的拉升效果有限
[20:41] 因为关税政策本身其实已经来到尽头了
[20:44] IEP几乎已经全面失效
[20:46] 另外一方面
[20:47] 真正影响到当年度通膨的
[20:50] 今年其实就是伊朗战事
[20:51] 那我们就看礼拜五签署协议以后
[20:53] 能否有效的降温
[20:55] 但川普压力是很大的
[20:56] 如果我们细看
[20:57] 川普从第二任任期就职以来
[21:00] 支持率大概从50%一路下滑到39%
[21:04] 反对率从43%上升到58%
[21:07] 这是属于统合型民调
[21:08] 再来我们看
[21:09] 如果把所有民调进行列整
[21:12] 不管是路透或者Ipsor或者UGOV
[21:15] 经济学人NBC
[21:16] 不管是左派右派媒体
[21:18] 整体反对率大概都是超过53%左右
[21:22] 净支持率就是支持减掉不支持
[21:25] 大概是-10到-28左右
[21:27] 那这些压力
[21:28] 当然我们知道有不同的调查方式
[21:30] 不同的样本
[21:31] 可是不管从极左到极右
[21:34] 从民调层面的方向趋势
[21:36] 都透露出通膨的压力越来越大
[21:39] 我们从民间的支持率水准来看
[21:42] 现在在通膨议题上的支持率
[21:44] 你看2022年
[21:47] 当时拜登的通膨支持率是来到最低点28%
[21:50] 按照美银的统计
[21:52] 目前川普只剩下27%
[21:54] 尤其在今年伊朗战事之后是疯狂爆发
[21:57] 在伊朗战事爆发以前
[21:59] 它其实还维持38到40
[22:01] 现在这件事情就足以说明着
[22:03] 如何压低通膨
[22:04] 已经成为中期选举之前
[22:06] 最大的推力
[22:07] 其实从民调的种族部分
[22:10] 其实也看得出来
[22:11] 最大的问题
[22:12] 不在于基本盘全面流失
[22:14] 是中间选民离开了
[22:15] 以前过去相对支持
[22:17] 共和党的男性
[22:18] 或者白人
[22:20] 高中以下学历的族群
[22:21] 目前进支持度
[22:23] 大概也在负值区间
[22:24] 只是叠幅相较小
[22:25] 如果是女性
[22:26] 年轻族群
[22:27] 大学以上
[22:28] 或者西语裔
[22:29] 非裔
[22:30] 富贫程度就明显来得更高一点了
[22:33] 那原因也很简单了
[22:34] 那当然市场上会把过去五年的通膨
[22:37] 怪罪于当届政府
[22:38] 即便拜登也要付一定的承认
[22:41] 或者说负担一定程度的代价
[22:43] 在过去五年当中
[22:44] 涨最多的是咖啡价格
[22:46] 涨了108%
[22:47] 燃料油涨了69%
[22:49] 牛肉64%
[22:51] 汽车保险涨了54%
[22:52] 汽油52%
[22:53] 交通运输成本42%
[22:55] 天然气41%
[22:56] 电价40房价35
[22:58] 从这件事情就看得出来
[23:00] 美国本身内部的压力
[23:02] 为何会如此有效的产生
[23:04] 原因就来自于
[23:05] 如果你给我适度的通膨
[23:07] 但是带来疯狂大的就业成长
[23:09] 那我可以接受
[23:10] 可是美国的实质薪资
[23:11] 我们过去提到
[23:12] 本月份翻覆了
[23:14] 就是过去即便通膨很高
[23:17] 我的薪资至少跑赢通膨
[23:18] 现在是我的薪资居然给跑出通膨了
[23:22] 那物价还这么高
[23:23] 压力当然就因此而出现
[23:25] 另外一大方面就是打了一整年的关税战
[23:28] 加上AI的基础建设资料中心的新建潮
[23:31] 在5月份美国的工业生产月增幅只有0.1
[23:34] 远远低于市场预估的0.3
[23:36] 整体而言在制造业部分
[23:39] 不管是在纯石油 煤炭 塑胶 橡胶
[23:43] 本身而言都有非常大的落差
[23:45] 跟预估上的区别
[23:47] 这其实就意味着
[23:48] AI现在在美国大概砸了接近有8000亿美元
[23:51] 但是结果对于美国的GDP
[23:53] 按照蓬勃的统计
[23:54] 成长大概接近是0.1%左右
[23:57] 这个成长比例
[23:59] 其实就没有想象中还来得多
[24:00] 即便美国GDP成长2%
[24:02] 现在大概有75%
[24:04] 都来自于AI投资
[24:06] 包括资料中心
[24:07] 伺服器等等
[24:07] 所以制造业到底
[24:09] 有没有为美国带来巨大的就业成长
[24:12] 答案是没有的
[24:13] 可是有没有带来适度的通膨压力
[24:16] 刚才聊到
[24:16] 过去五年美国电价涨幅是40%
[24:19] 所以美国制造业回流
[24:21] 听起来很简单
[24:22] 就是川普一句话
[24:23] 要把工厂搬回美国
[24:25] 大家就想到
[24:26] 就业会增加供应链安全
[24:27] 可是你要知道
[24:29] 就算是他提出了这样的一个计划
[24:31] 而且时间都已经过一年了
[24:33] 可是现在美国在内部
[24:34] 出现的一系列的压力
[24:37] 过去我们所提过的
[24:38] 不管是电价的上涨
[24:39] 资料中心的排挤
[24:41] 民调上的压力
[24:42] 都产生进一步的反对意见
[24:45] 我们举例来说
[24:46] 过去我们看到盖洛普的民调
[24:47] 其实就有提到
[24:48] 现在市场近年
[24:50] 针对资料中心的新建潮
[24:53] 虽然已经成为了AI美国国家的战略
[24:55] 但是资料中心要盖在自己家附近的时候
[24:57] 支持率是多少
[24:58] 27%
[24:59] 反对比例现在居然高达71%
[25:02] 强烈反对有48%
[25:04] 所以美国人虽然每天也喜欢说
[25:06] 使用AI投资AI讨论AI
[25:08] 但未必愿意承担AI所需要的电力
[25:11] 土地噪音和水资源的成本
[25:14] 所以很多资料中心
[25:15] 即便拿到资金和土地
[25:17] 现在可能还是卡在地方政府
[25:19] 所以现在就是讲讲都还行
[25:21] 真的要做的时候
[25:22] 发现好像给予的回馈
[25:24] 没有想象中还要来得多
[25:25] 这就是我们现在
[25:26] 川普政府所遇到的两难
[25:28] 他的利益是好的
[25:30] 国防供应链也在回流
[25:31] 获得了很多投资
[25:33] 但是讲讲还行
[25:35] 但是实质上
[25:36] 有没有给民众很有感的回馈
[25:38] 那就有蛮大的区别
[25:40] 之前网络上不是讲说
[25:41] 太太问先生
[25:42] 如果你有100万
[25:44] 你愿意捐给穷人吗
[25:45] 愿意
[25:46] 如果有10万
[25:47] 也愿意
[25:48] 有1万
[25:49] 也愿意
[25:50] 如果有1000块
[25:51] 那我不愿意
[25:52] 为什么
[25:53] 因为我真的有一千块
[25:54] 就是当你这些资源
[25:58] 真实会影响到你的生活品质的时候
[26:01] 你就会介意了
[26:02] 但是你说对于美国国策
[26:04] 对于美国AI供应链
[26:05] 国防产业的支持
[26:06] 美国人都马是支持的
[26:08] 这就是在民调上所呈现的两难
[26:10] 我们过去所提过
[26:11] AI资料中心
[26:12] 现在遇到最主要的意见就是
[26:14] Not in my backyard
[26:16] 不要走我后门
[26:17] 后院
[26:18] 不要走我后院
[26:20] 不要盖在我家后院
[26:22] 我当然支持不管是核能建设、资料中心、发电厂
[26:26] 不要盖在我家就没问题了
