[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 之前一度飙到110接近120
[03:39] 那更进一步的是川普的谈话
[03:42] 完全的去抑制住
[03:44] 当前的原油价格的上涨趋向
[03:46] 其实高低波动也有30%
[03:48] 我这个做期货真的很刺激
[03:50] 做多做空都有可能会被洗掉
[03:53] 一句话就留了一根壁垒针
[03:56] 你要知道川普的逻辑就是
[03:58] 他是一个拥有美国权力
[04:01] 美国总统权力的商人
[04:03] 他并不是一个像商人一样的总统
[04:05] 或者说应该讲说
[04:07] 他并不是真实的
[04:09] 以美国总统作为定谋
[04:12] 你要把它视为具有
[04:13] 这种美国总统权力的商人
[04:15] 来想象他所采取的措施
[04:17] 快狠准
[04:18] 对于资产价格的定谋也是如此
[04:21] 好那这一次
[04:22] 哈梅尼的赤子
[04:24] 这一次接掌伊朗以后
[04:26] 中东战火的局势
[04:27] 虽然还在持续
[04:28] 伊朗的态度也相对强硬
[04:30] 可是由于各大领导人
[04:32] 陆续被拔除以后
[04:33] 我们就要看川普最后
[04:35] 是不是会保持跟伊朗
[04:37] 长期的冲突关系
[04:38] 但是又不至于引起
[04:40] 地缘政治的持续紧张
[04:41] 我们从历史经验来显示
[04:43] 刚才有提到
[04:44] 如果原油价格打了一根避雷针
[04:47] 那就代表着
[04:48] 股市也可能会打了一根下影线
[04:50] 在昨天没有股市
[04:51] 四大指数就是如此
[04:53] 从1979年
[04:55] 多次重大地缘政治冲突爆发的时候
[04:58] 标普白指数在短期内
[04:59] 确实会出现波动
[05:01] 但拉长时间来看
[05:02] 我们都知道
[05:03] 多数情况下市场反而逐步回升
[05:05] 要不然股市就不会长期创新高了
[05:07] 比如说79年
[05:08] 当时的伊朗人质危机
[05:10] 当时的亚果出任问
[05:11] 大家有看过这部电影
[05:13] 一年之后标普白指数
[05:15] 还是上涨了25.9%
[05:16] 03年美国入侵伊拉克
[05:19] 一年之后更是上涨27%
[05:21] 2023年的加萨战争爆发之后
[05:24] 一年内股票市场还是上升了30%
[05:27] 那当然有例外啦
[05:28] 比如说2022年乌二战事
[05:29] 后来标普白指数持续下跌
[05:31] 可是啊
[05:32] 这也说明着冲突是否长期拖累市场
[05:35] 还是取决于通膨
[05:36] 利率和经济周期的因素
[05:38] 22年很明显是属于供给链通膨
[05:41] 失速通膨
[05:42] 再加上库存的调整
[05:44] 三层叠加以后所造成的价格回调
[05:47] 所以呢
[05:48] 这也说明了地缘政治
[05:49] 如果没有伴随的通膨全面失控的话
[05:52] 其实他是可以接受长期的中东冲突
[05:56] 而且这些冲突对于价格的冲击
[05:58] 反而是可控的
[05:59] 我们从不同的机构
[06:02] 不同的数据来进行回测
[06:03] 其实都是如此
[06:04] 我最近看到汤利
[06:06] 他在最新一期的podcast
[06:08] 里头主持人就问他
[06:10] 说美国股市会不会受到影响
[06:11] 他的说法是这样
[06:13] 我觉得蛮有道理的
[06:14] 你把美国股市想象成一间公司
[06:17] 从疫情开始
[06:18] 2020年他经历了新冠疫情
[06:21] 他经历了供给链的断链
[06:23] 乌二战士
[06:25] 大规模通膨
[06:26] 甚至还曾经爆发
[06:28] 矽谷银行的流动性问题
[06:30] 到今天大盘其实还在上行
[06:33] 如果是一间公司
[06:34] 他可以度过疫情
[06:36] 供给链断链
[06:36] 乌二战士
[06:37] 每个都跟他有关
[06:38] 他搞不好早就已经破产了
[06:40] 但美国市场
[06:41] 确实建立了足够的韧性
[06:43] 然后藉由AI
[06:44] 持续带动量力的表现
[06:46] 这个是市场的基本逻辑
[06:48] 要对于这家公司有一个清楚的定位
[06:50] 他到底能不能承受这些波动
[06:52] 所以从历史经验来看
[06:54] 地缘政治冲突往往对于股市
[06:57] 其实都是短期冲击
[06:58] 而并不是长期趋势
[06:59] 无论是海湾战争
[07:00] 伊拉克战争还是乌尔冲突
[07:02] 我们其实长时间跟大家做数据的回测
[07:05] 都是如此
[07:06] 所以从历史经验来看
[07:08] 那你对于操作的做法
[07:09] 大家都知道
[07:10] 外部冲击当然是弯腰捡钻石
[07:13] 因为优质的资产总是在情绪恐慌时被错杀
[07:18] 但大多数人真的到弯腰的时候
[07:20] 你就怕自己是弯腰捡肥皂
[07:23] 有风险
[07:24] 弯腰捡钻石当然用力捡
[07:26] 可是你一弯腰
[07:27] 发现自己在捡肥皂
[07:28] 有风险会害怕
[07:30] 市场上不是每个人
[07:32] 他都能够冷静的去分析
[07:33] 钻石还是肥皂
[07:35] 有些人觉得自己在捡钻石
[07:37] 弯下腰
[07:38] 你发现捡的东西好像不对
[07:40] 开始紧张
[07:41] 这个就是每一次心理情绪的变化
[07:43] 股市周期永远都在
[07:46] 乖离会有高会有低
[07:47] 但每一次乖离偏低
[07:49] 每一次景气进入衰退期
[07:51] 总是有一群人不弯腰剪钻石
[07:54] 他害怕自己踩到雷
[07:56] 这个就很有趣的景象
[07:57] 周期会不断重复
[07:59] 情绪居然也会不断重复
[08:01] 我们已经经历过数百年的历史了
[08:03] 但是大家的心态还是一样
[08:06] 这蛮有趣的
[08:07] 当然这也不代表说接下来通膨问题完全瓦解就算煤桶在80美元左右它对于今年的能源通膨一样有适度压力所以川普的目标难道就是把它压回到80美元煤桶吗
[08:20] 我们细节来做观察
[08:22] 如果是从今年1月1号
[08:24] 一路到昨天3月9号
[08:27] 来观察原物料今年价格的涨幅
[08:30] 涨最多的那很明显
[08:31] 布油 西德州原油 热兰油
[08:34] 整体平均涨幅是高达90%
[08:37] 这个涨幅的确有点夸张
[08:39] 那其他我们看到像小麦黄豆
[08:42] 一些农粮产品价格
[08:45] 其实平均涨幅也有大概20%左右
[08:47] 那黄金白银是去年年底就已经开始疯狂上涨了
[08:51] 今年平均上涨幅度还有15%左右
[08:54] 那其他一些我们讲的大宗商品
[08:56] 玉米 镊 活牛 铜架
[08:59] 今年反而表现还好
[09:00] 涨幅1到3%
[09:01] 对通膨压力不是特别大
[09:03] 所以川普的态度也很明显
[09:04] 我把能源价格给打下去
[09:06] 今年大概通膨也可控了
[09:08] 或许接下来的降息路径才可以完全打开
[09:11] 毕竟还是有下跌的大宗商品
[09:14] 像一些软性商品
[09:15] 可可今年还是跌了46%
[09:18] 咖啡跌了15%
[09:19] 柳橙汁跌了10%
[09:21] 糖类跌了6%
[09:22] 天然气
[09:23] 硫磺砂
[09:25] 靶金
[09:25] 钵金
[09:26] 今年都还算是下跌的
[09:27] 所以我们知道
[09:28] 全球能源结构在过去数十年的变化当中
[09:31] 中东当然还是世界能源体系的重要核心
[09:35] 尤其对于亚洲市场来看
[09:36] 但是呢
[09:37] 中东对于全球能源价格的冲击
[09:40] 一方面
[09:41] 其实从产量而言
[09:42] 表现没有来得这么亮丽了
[09:44] 全球最大产油国
[09:45] 目前是美国
[09:46] 那第二大方面
[09:47] 这种由于川普存在
[09:50] 对于能源价格的随时打压
[09:52] 他其实是对于能源
[09:54] 会有非常良好的抑制作用
[09:55] 即便他具体的行为
[09:57] 目前看起来
[09:58] 仍然没有任何邮轮
[10:00] 尝试的要越过赫姆治海峡
[10:02] 但是油价就不敢涨了
[10:03] 这就很有趣的
[10:04] 情绪反转的趋向
[10:05] 其实从波斯湾的液化天然气
[10:07] 现在来看
[10:08] 真正对于经济影响比较大的
[10:10] 还是我们看到的亚洲国家
[10:12] 从整个25年来看
[10:13] LNG从波斯湾出口
[10:15] 卡达就占了
[10:17] 大概接近有90%左右
[10:19] 阿联大概只占10%
[10:22] 所以从卡达被封锁这件事情
[10:24] 我们看到中国进口2500万吨
[10:27] 然后印度1500万吨
[10:29] 台湾810万吨
[10:30] 南韩710万吨
[10:31] 我现在才知道
[10:32] 台湾从卡达进口的规模
[10:34] 居然比南韩还要来得多
[10:36] 那也很正常
[10:37] 南韩基本上能源结构
[10:40] 相对而言比较分散一点
[10:42] 那台湾现在蓝气比例
[10:44] 已经接近到40%到50%
[10:46] 我们达到非核家园
[10:48] 同时间我们的蓝煤在这几年
[10:50] 的确也在持续的减少
[10:52] 所以空气品质尝试的进行改善
[10:54] 那蓝气比重尝试会增加
[10:56] 那当然能源就大幅依赖天然气
[10:58] 而这些问题
[10:59] 从实际情况来看
[11:01] 油价是回跌了
[11:02] 可是从实际情况来看
[11:04] 仍然没有做显著的好转
[11:06] 所以基本上还是要看整个供给链瓶颈
[11:08] 何时能够打通
[11:10] 现在只是川普先放话而已
[11:11] 不过他的放话已经达到一定的作用了
[11:14] 所以我们才讲说
[11:15] 这一波你说美国真的经济冲击有很大吗
[11:18] 其实就是通膨的问题而已
[11:20] 对于美国经济冲击还好
[11:22] 我们普遍来看
[11:23] 这一次伊朗战争对于欧洲和亚洲的经济打击
[11:27] 其实比美国还要来得更为严重
[11:29] 因为美国现在是石油和天然气的进出口国
[11:32] 本身就有大型的能源产业
[11:34] 那相对的
[11:35] 意大利 德国 英国 中国 印度 南韩 台湾
[11:38] 就会受到这种中东局势的影响
[11:41] 如果我们从各国家庭能源的支出占比来看
[11:44] 你会发现美国其实并不高
[11:45] 根据国际能源署IEA的数据
[11:48] 美国家庭平均
[11:49] 大概只有一年收入3.2%
[11:53] 用于家庭能源支出
[11:54] 一个家庭年薪
[11:56] 可能100万
[11:57] 它只有3.2万是用在汽油相关的能源支出
[12:02] 这个是主要经济体当中
[12:04] 应该算是很低很低的
[12:06] 大概就仅次于加拿大而已
[12:07] 相比之下
[12:09] 南韩是3.3
[12:10] 法国英国是4.7
[12:12] 中国是5%
[12:13] 日本是5.2
[12:14] 德国5.5
[12:15] 西班牙6.5
[12:16] 印度6.6
[12:17] 意大利7.2
[12:18] 这件事情也就说明着
[12:19] 这美国能源这件事情
[12:22] 对它的消费甚至影响都不如欧洲国家来的大
[12:25] 那第二呢
[12:26] 是通膨传导的角度来看
[12:28] 能源价格的上涨
[12:29] 对于美国的冲击
[12:30] 其实也小于其他经济体
[12:32] 如果细节勘察
[12:33] 在26年第四季
[12:34] 对于通膨的预测推升幅度
[12:36] 根据牛津经济学院的预估
[12:38] 如果原油价格继续上涨
[12:40] 美国大概是落在2.2到2.4
[12:42] 其实还可以接受
[12:43] 英国会到2.6
[12:45] 欧元区大概是2.4
[12:47] 意大利大概超过3%
[12:49] 那更不用讲其他国家
[12:51] 日本的部分大概也是2.6到2.7
[12:53] 这美国已经是在原油冲击底下
[12:56] 它的通膨上升幅度来得最低了
[12:58] 就是由于本身内部具有足够的量产能力
[13:02] 这个时候我们再从能源贸易结构来看就更明显了
[13:05] 整个24年能源贸易收支占GDP的比例
[13:09] 美国已经成为少数能源进出口国之一
[13:11] 所以能源的贸易账它是小幅的顺差
[13:15] 加拿大甚至是约4-5%的GDP的能源顺差
[13:18] 其他国家南韩日本印度中国法国德国
[13:22] 都是能源进口大国
[13:24] 所以从这些数据来看
[13:25] 基本上
[13:26] 其实对于美国的经济数据就还好
[13:28] 川普就是要压通膨而已
[13:29] 就算真的压不住
[13:31] 那就是经济受到一些影响
[13:33] 但是也不至于真的遭受到巨大伤害
[13:35] 他的中期选举有点压力而已
[13:37] 但是由于中期选举有压力
[13:39] 我们相信他还是会采取一定的做法的
[13:41] 事实上我们看这一次
[13:43] 川普已经表达
[13:44] 伊朗的政军核心仍然是
[13:47] 美国美军的重要的攻击目标
[13:50] 那刚才他有讲到
[13:51] 从原本2000个目标
[13:53] 已经上升到5000个目标
[13:54] 最近白宫又再度表示
[13:57] 即将考虑派取特种部队
[13:59] 来夺取伊朗的浓缩钥
[14:02] 中东战争风险再升级
[14:03] 多名外交官透露
[14:05] 根据彭博社报道
[14:06] 华府和以色列准备考虑一个方案
[14:09] 是因为我们无法确定
[14:10] 伊朗核材料的实际位置
[14:12] 能炸的都已经炸掉了
[14:14] 可是国际原子能总署
[14:16] 已经9个月无法核实
[14:18] 伊朗过去所得到的核材料
[14:20] 到底流到哪里去了
[14:21] 伊朗可能已经把部分的浓缩钥
[14:23] 从伊斯法罕的地下设施开始进行转移
[14:26] 那大概有441公斤
[14:28] 如果纯提炼的话
[14:30] 足以制造11枚核弹
[14:32] 那美国和以色列目前仍然在搜寻这一波材料的位置
[14:35] 一旦确认位置
[14:36] 一方面轰炸的话
[14:39] 怕你又把剩下的浓缩钥又再度的进行转移
[14:43] 所以有可能会考虑派取部队来直接进入现场
[14:47] 把浓缩钥稀释并且直接进行销毁
[14:50] 那当然问题就在于
[14:51] 这些材料其实可以被分装在
[14:53] 16个小型的金属圆筒
[14:55] 就好像不可能的任务那样
[14:57] 真的不同的圆筒
[14:59] 每个25公斤
[15:00] 被车辆或者人工搬运到其他地方
[15:04] 然后这个是稍微压力来得大的
[15:06] 可是川普针对伊朗的打击
[15:08] 看起来也并不会因此而结束
[15:10] 他只是要确保供给电的平稳
[15:12] 我们看伊朗的飞弹部队
[15:14] 因为大部分都是属于伊斯兰革命卫队
[15:16] 平时都躲在被称为
[15:18] 飞弹城市的地下隧道
[15:20] 很多是藏在厚重岩层下的山区基地
[15:23] 那很多士兵以前都是
[15:25] 尝试先在洞穴里面待命
[15:27] 那一接到命令
[15:28] 就迅速的把数百公斤的飞弹
[15:30] 装上发射架
[15:31] 然后开出去
[15:32] 完成发射
[15:33] 但一旦通常你飞弹一发射
[15:35] 通常你的热讯号
[15:36] 马上就会曝露位置
[15:37] 那现在美国和以色列
[15:39] 有大量的卫星和无人机
[15:40] 在伊朗上空
[15:41] 通常你一发射
[15:42] 你这台车就不保了
[15:44] 你就会被击中
[15:45] 所以根据金融时报报道
[15:46] 现在剩下的每一辆车
[15:48] 几乎都被多个监视和打击系统给盯上
[15:52] 那德黑兰现在也尝试着要把发射车分散到乡下
[15:57] 但可以看得出来
[15:58] 现在伊朗的还击能力稍微看起来也是稍微偏弱的
[16:02] 所以从种种讯息来看
[16:03] 川普很清楚他只要控制了舆论权
[16:06] 他就控制了油价
[16:08] 这就是我们过去所讲到原油价格的多头
[16:11] 最大风险就是川普这个人
[16:13] 因为原油价格的上涨是不利于川普的中期选举的
[16:16] 我们看美国股市市大指数表现
[16:18] 道琼上涨236.0.5%
[16:21] 收在47740点标普上涨55.0.83%收在6795点纳斯达克指数上涨308.1.38%收在47740点标普上涨55点0.83%收在6795点纳斯达克指数上涨308.1.38%收在22695点
[16:33] 费办上涨295点
[16:35] 3.93%
[16:36] 收在7810点
[16:38] 尝试的把季线给站回来
[16:40] 那当然了
[16:41] 我们讲说川普找不到买点
[16:44] 那就自己创造买点吧
[16:46] 对不对
[16:47] 在股市晶晶涨的过程当中
[16:49] 也很难得啊
[16:50] 突然出现一个一周性的系统性的回调
[16:52] 只有你想不到
[16:54] 没有他做不到的
[16:56] 狼子野心
[16:57] 蛇蝎心肠
[16:59] 人面兽心
[17:00] 禽兽不如
[17:01] 种种形容词套用在他身上
[17:04] 你就可以了解说
[17:05] 这种具有商人性质的总统
[17:09] 不对
[17:10] 应该是他是拥有美国总统权利的商人
[17:14] 你用这个角度去思考
[17:16] 你才可以了解说
[17:17] 对他有利的主意都会实现
[17:19] 也许是技术性的实现
[17:21] 但最终数字上一定要因此而呈现
[17:24] 你说世界上真的有禽兽不如的人吗
[17:27] 但是没办法
[17:28] 我们看到他对于很多事物的理解
[17:31] 我们也无法用传统的道德观来进行评判
[17:34] 找不到买点就自己创造买点
[17:36] 我们看油价这一次冲击全球市场之后
[17:39] 台北股市也一度重挫了接近有1500点
[17:43] 尾盘最后出现了352亿的大量买盘
[17:46] 拉抬指数143点
[17:47] 但由于外资直接卖压还是很重
[17:49] 昨天跌停加速有57加
[17:53] 但其实下跌加速也接近1000加
[17:56] 之前买不到
[17:58] 现在卖不掉
[17:59] 干脆不要动
[18:01] 大奖开不停
[18:03] 中奖包你发
[18:04] 开大奖
[18:05] 你中奖以后
[18:07] 结果突然卖不掉
[18:08] 然后行情走到现在这个位阶
[18:11] 我们一直讲过
[18:12] 外部性的冲击
[18:13] 对于你当前的做法
[18:15] 最好是什么都不做
[18:16] 要不然呢
[18:17] 你就依循着周期判乖离
[18:19] 寻找部件的空间
[18:20] 我们讲说崩盘前
[18:22] 每个人看战争
[18:24] 就很幸灾乐祸
[18:26] 打了没打了没
[18:28] 后来真的股价跌下来了
[18:30] 打没打没
[18:31] 不想发生在自己身上
[18:33] 股价也很有趣
[18:35] 因为台股这一波乖离
[18:36] 是拉的稍微高一点
[18:37] 所以这是回撤幅度
[18:39] 其实离巨线都还有一段距离
[18:41] 但市场上会有一股痛感
[18:43] 外资昨天卖了1208亿
[18:45] 这个是史上之最
[18:47] 打破了2024年当时是9月4号
[18:49] 创下1007亿的记录
[18:51] 短短七天外资卖了多少
[18:53] 短短七天他卖了4400亿
[18:56] 这么多货可以卖
[18:57] 所以当然内资也不是省油的灯
[19:00] 虽然ETF头期买卖超
[19:01] 今年也是卖了151亿
[19:03] 但这一波我们看到
[19:05] 内资的个股买盘其实非常强劲
[19:07] 内资也是大股详评
[19:11] 小股贪评
[19:12] 跟你耗上了
[19:14] 外资到今年为止
[19:15] 整体卖超幅度
[19:16] 还是有3031亿
[19:18] 您看这几年
[19:19] 基本上调节居多了
[19:20] 涨越多它卖越多
[19:22] 持股比例保持住
[19:23] 进行适度调节
[19:25] 那投信的部分
[19:26] 今年ETF
[19:27] 你发现怎么好像买的不够多
[19:29] 足以彰显的
[19:30] 台湾投资人的心态是什么
[19:33] 跌不够重我干嘛买呢
[19:34] 有这种心态
[19:35] 那存股足每个都在等重跌
[19:37] 但是个股投资人
[19:38] 看起来就有点兴奋了
[19:40] 你抛多少我都接
[19:41] 台股其实也跌不太动
[19:43] 有些内部资金的轮动速度也很快
[19:47] 有些记忆体像全联
[19:48] 单日的波动回跌幅度也很快
[19:52] 有些记忆体是杀到病
[19:54] 海绵体软掉了
[19:57] 市场上的压力短期内震荡以后
[19:59] 你会发现个股的整体波动很大
[20:01] 但ETF投资人
[20:03] 他就是那种跃跃欲试
[20:05] 随时等待着你有一个系统性的回调
[20:07] 从融资预约来看
[20:09] 昨天也不过减了107
[20:10] 其实也还好啦
[20:12] 现在还有这3700亿
[20:15] 其实总体而言
[20:16] 你说市场上有没有一个
[20:18] 像样的筹码的清理
[20:21] 我是觉得还好啦
[20:22] 根本就稍微休息一下
[20:24] 尤其我们也要清楚知道
[20:26] 你像关于基金软金化市场
[20:27] 在昨天又适度的喊话
[20:29] 不管是基本面的良好
[20:30] 那它每次出现
[20:31] 大家都会想起
[20:32] 我上一次它互盘互很久
[20:34] 那关税占打多久
[20:36] 台湾关税出来之前
[20:38] 它真的就一直互
[20:39] 那根据上一轮它的退场条件
[20:43] 大概是在接近快要三万点
[20:45] 两万八左右
[20:46] 那是不是也意味着
[20:48] 接下来如果真的又遭遇一些系统性风险
[20:52] 那对于国家队的护盘计划
[20:55] 随时有可能涌现
[20:56] 所以我们想说
[20:57] 这系统性回调的时候
[20:58] 很多机会浮现的
[21:00] 弯腰可以捡钻石
[21:01] 多数人想的是弯腰捡肥皂
[21:02] 很紧张
[21:03] 可是你要捡钻石
[21:04] 你又担心自己捡错
[21:06] 捡到地雷该怎么做呢
[21:07] 减那个电贝股
[21:09] 减那个第一个国安基金进去护盘的股票
[21:12] 也许就是一个想象空间
[21:14] 我们事实上看到
[21:15] 昨天台湾景气灯号公布以后
[21:17] 这一次是39分
[21:19] 再亮红灯
[21:20] 等于连续两颗都是红灯
[21:22] 那2月份红灯看起来也不会有太大问题
[21:24] 21个月以来的新高
[21:26] 目前台湾经济
[21:27] 已经从去年的库存调整期
[21:30] 开始走向新一轮的扩张周期
[21:32] 当然从结构来看
[21:34] 制造业和出口动能
[21:36] 目前还是台湾景气的重要支撑
[21:38] 包括股价指数
[21:39] 工业生产指数
[21:40] 出口值
[21:41] 机械设备的进口
[21:43] 制造业的销售量
[21:44] 五项指标都维持在红灯
[21:46] 反映出AI相关的硬体需求
[21:49] 还是带动台湾半导体上升的主要原因
[21:51] 更重要的是什么
[21:52] 这过去N1B的货币总技术
[21:55] 从黄蓝灯慢慢变成绿灯了
[21:59] 整个资金的流动性
[22:00] 看起来稍微变得好一点了
[22:02] 台湾虽然二月份的通膨率
[22:04] 刚才讲到
[22:05] 美国现在最大的问题就来自于
[22:07] 石油的外溢效果
[22:09] 会不会引起通膨的僵固性
[22:10] 台湾在2月份通膨也大幅跳升到1.75
[22:13] 这是10个月以来的新高
[22:14] 不过我个人认为
[22:16] 还是因为春节的效应所带动的
[22:18] 部分服务和餐饮价格
[22:20] 你去2月份订房间
[22:22] 那旅宿费很贵
[22:23] 所以排除季节因素
[22:25] 台湾通膨其实
[22:26] 如果是从主机处长期公布的数据
[22:29] 看起来搞不好3月份就要回来了
[22:31] 可能又回到1.2 1.3左右
[22:33] 基本上整体短期通膨压力
[22:36] 还是属于可控范围
[22:38] 尤其台湾在整个一月份的通膨
[22:40] 如果拿来跟美国南韩欧元区
[22:42] 日本香港新加坡来做比较
[22:45] 只有0.69
[22:46] 这其实也就说明着
[22:48] 台湾基本上是慢慢进入到通缩情况
[22:52] 从数据来看
[22:53] 体感温度当然感受不一样
[22:55] 但从数据来看
[22:56] 差不多就仅次于中国市场而已
[22:59] 事实上我们看到在整个二月份
[23:01] 蔬菜价格还是有非常显著的市场卖压的
[23:04] 我们看叠幅最重的
[23:06] 从年减幅来看
[23:07] 叠最重的几项
[23:08] 香蕉价格
[23:09] 重挫39%
[23:11] 苦瓜叠了32%
[23:13] 南瓜叠了32%
[23:15] 茄子叠了26%
[23:17] 葱叠了27%
[23:18] 这条状态
[23:19] 很多蔬菜价格
[23:21] 其实我们看到在整个二月份
[23:23] 出现了比较系统性的回调
[23:24] 当然其实也就说明着
[23:26] 台湾只要食品价格
[23:28] 没有更进一步的上涨
[23:30] 短期内看起来
[23:31] 对于物价是有一定性的承压的
[23:34] 当然最重要的事情是
[23:35] 把景气推高到红灯
[23:37] 肯定是出口的持续畅望
[23:39] 那市场上总会有一股担心
[23:41] 那觉得因为他看出口
[23:43] 他看的是年增幅
[23:44] 他看的不是绝对存量
[23:46] 从景气指标来看
[23:47] 那总会担心
[23:48] 去年平均年增幅是30%
[23:50] 去年每个月平均出口400亿
[23:53] 结果呢
[23:54] 115年
[23:56] 今年2026年
[23:57] 居然还在往上冲
[23:58] 我们把二月份拿来跟一月份做平均
[24:01] 577亿美元
[24:02] 因为一月份跳高到69%
[24:05] 因为有提前的出货潮
[24:07] 二月份因为春节
[24:08] 所以下滑到20%
[24:10] 可是平均来看
[24:11] 还是每个月有577亿的出口规模
[24:14] 这件事情其实也彰显着
[24:16] 今年看起来
[24:18] 去年基金这么高了
[24:19] 它还在往上冲
[24:20] 我们以一到二月份的累积来看
[24:23] 整体年增幅
[24:24] 自通讯产品还成长了81%
[24:26] 电子零组件成长了41%
[24:29] 尤其美国市场的出口规模快速的放大
[24:32] 去年是美国好不容易超越了中国成为台湾的主要出口对象现在开始拉开距离了美国已经占台湾出口来到31%中国是24%这也就说明着兜兜转转20年
[24:46] 台美的贸易关系
[24:48] 回到1980年代了
[24:50] 从出口结构来看
[24:51] 美国占台湾的出口比重
[24:53] 已经快要来到35%了
[24:56] 这个水准差不多已经接近
[24:58] 台湾加入WTO前的高峰期间了
[25:00] 中国占比就一直下滑
[25:02] 所以以后美国作为主要市场
[25:05] 台商以后不用再去东莞应酬了
[25:09] 该去凤凰城的俱乐部
[25:12] 看跳舞
[25:14] 也是一种方式
[25:16] 所以台湾的半导体护城河
[25:17] 这一波是形成台湾景气快速扩张的原因
[25:20] 当然它也会有进一步的扩散效果
[25:23] 这个扩散效果就是
[25:24] 很大程度会取决于美方的贸易政策
[25:28] 我们要清楚知道
[25:29] 上个礼拜其实高级法院
[25:32] 因为之前是最高法院裁定
[25:34] 美国总统根据IEPA
[25:36] 国际经济紧急权利法
[25:38] 单方面课征大规模关税
[25:39] 已经违宪了
[25:40] 但判决本身没有说明
[25:42] 已经缴纳的关税如何处理
[25:44] 但是在上个礼拜
[25:46] 高级法院已经正式判定
[25:48] 川普必须要把这些关税进行退回
[25:51] 美国国际贸易法院裁定
[25:53] 所有登记进口商
[25:55] 都有权受益于最高法院的判决
[25:58] 意味着企业可以申请来退回这些关税
[26:01] 你不申请
[26:01] 那他不一定要退回
[26:02] 可是你要申请的话
[26:04] 美国政府川普应该要予以退回
[26:07] 法院也要求美国海关
[26:09] 停止对仍然在结算中的商品
[26:12] 征收相关的关税
[26:13] 立即停止
[26:14] 千万不能够再征收了
[26:15] 这直接导致一个效果
[26:17] 全美都在告川普
[26:19] 任天堂在上礼拜
[26:21] 是正式向川普提告
[26:22] 要求立即退回在白宫关税政策下
[26:25] 支付的关税费用
[26:27] 大家都知道
[26:28] 谁能忍
[26:29] 千万不要惹任天堂的法务
[26:31] 这起案件是企业对于贸易政策反击的最新例子
[26:35] 企业主张这些关税措施不合理
