[00:01] 投資朋友歡迎收聽早晨財經速解讀
[07:07] 現在已經不是會不會漲
[07:09] 而是誰在漲
[07:10] 我們根據最新市場統計的資料
[07:13] 當前其實整波結構
[07:15] 正在變得健康
[07:16] 什麼意思呢
[07:17] 就是現在最明顯的訊號有幾個
[07:19] 第一個是市場廣度正在改善
[07:21] 參與度正在擴大
[07:23] 迴圈股和原物料股
[07:25] 正在重新轉強
[07:26] 就是這一波行情
[07:27] 為什麼我們講說
[07:28] 等權指數
[07:29] 開始持續跑贏市值加權指數
[07:32] 它是一個非常值得觀察的重點
[07:34] 因為前面幾年
[07:36] 就是期計頭一直漲
[07:37] 剩下的股票跟不上
[07:38] 今年年初到現在
[07:40] 大部分的漲幅
[07:41] 都跟工業原物料能源有關
[07:43] 反而是期率頭到目前為止都不太漲
[07:46] 本益比就越來越低
[07:47] 那這種輪動加補漲的敘事
[07:50] 在2025年它是一個最差的族群
[07:52] 可是在2026年初
[07:54] 我們看到開始明顯的跑贏大盤
[07:56] 像原物料能源必須消費房地產
[07:58] 去年產不能賭掉到地獄
[08:02] 但是今年以來相對於SPX
[08:04] 相對於標普派指數全部翻陣了
[08:07] 這就說明著資金開始回頭
[08:09] 去撿那些去年被錯殺估值修復的板塊
[08:13] 所以美銀這個時候
[08:15] 他就提出了一個市場上極度樂觀
[08:18] 但是又不得不參與的一種投資假設
[08:21] 那就是當前從種種指標來看
[08:24] 的確我們似乎應該要離開市場了
[08:26] 可是由於資金開始產生輪動
[08:29] 那就代表著我們只要確保
[08:31] 每一家公司的估值不要推高到無限
[08:33] 那我們就繼續玩下去
[08:35] 舉例來說
[08:36] 美銀這次一月份的基金經理人調查就顯示
[08:39] 投資人情緒已經回到2021年中旬
[08:42] 這幾乎是這一輪多頭以來最亢奮的情況
[08:45] 那他統計的是227位
[08:47] 管理資產超過6000億以上的美元的調查指出
[08:51] 投資人這些基金經理人
[08:53] 對於企業獲利景氣前景
[08:55] 幾乎找不到一個是看衰的
[08:57] 那讓人警惕的就是
[08:59] 那就代表沒有人在防守了
[09:00] 大家頂多配置一點黃金
[09:02] 但沒有人想做避險
[09:03] 高達48%的受訪者直接表示
[09:06] 完全沒有針對股票市場大跌做任何避險一塊錢都沒有這創下2018年以來的新高那另外一方面如果以淨比例來顯示現在有做下跌避險的投資人
[09:18] 那到底具體比例是多少呢
[09:20] 現在相對於過去一年
[09:22] 大概已經減少了50%左右
[09:24] 再來是衰退情緒
[09:26] 我們看市場認為
[09:28] 未來一年會進入到衰退的比例
[09:29] 已經降到四年低點了
[09:31] 這個低點差不多就是2021年的水位
[09:35] 當時是因為剛衰退完
[09:37] 所以2021年高強度復甦QE
[09:40] 我們現在也沒撒錢
[09:42] 但是我們的樂觀程度
[09:43] 跟QE的樂觀程度
[09:44] 其實差不多的
[09:45] 所以美銀
[09:46] 他給出了一個有趣的概念
[09:48] 他說從所有指標來看
[09:50] 他都告訴你
[09:51] 現在好像該賣股票
[09:53] 美銀策略師
[09:54] 這很有名的Michael Harnett
[09:56] 他直言說
[09:56] 從技術面和資金面來看
[09:58] 每一個指標都告訴你
[10:00] 現在該賣股票
[10:01] 包括美銀牛熊指標
[10:02] 衝高到9.0
[10:03] 現金部位現在只有3%
[10:05] 是全球統計以來歷史的新低
[10:08] 股票投資及債券
[10:11] 黃金加密資產
[10:12] 全面出現擁擠交易
[10:14] 幾乎每一個經典指標都在喊風險太高
[10:17] 那他的關鍵判斷就在於
[10:19] 這一輪市場跟過往的市場不同之處
[10:23] 其實在於政策
[10:24] 你說聯準會沒有QE嗎
[10:26] 其實他某種程度已經啟動了類QE
[10:29] 對不對
[10:29] 他其實現在還在緩步的購債在擴表
[10:31] 他只是沒買那麼多而已
[10:33] 川普呢
[10:34] 他同時推動降息
[10:35] 而且關稅正在下滑
[10:37] 關稅正在降低
[10:38] 他也壓低能源和民生成本
[10:40] AI的生產力爆發
[10:42] 也蓄勢待發
[10:43] 那在這些組合底下
[10:44] 即便市場過熱
[10:46] 也很難出現典型的快速反轉
[10:47] 所以他的看法是這樣子
[10:48] 他認為啊
[10:49] 世界上是乖離真的很高
[10:51] 市場真的很熱
[10:52] 但是資金最後不會撤退
[10:54] 他最後會怎麼樣
[10:55] 輪動
[10:56] 漲多了
[10:57] 往下一個
[10:58] 所以2026年啊
[10:59] 他認為正確的知識啊
[11:00] 叫做long boom
[11:01] short bubble
[11:02] 就是你把有稍微泡沫破滅的
[11:06] 或者泡沫稍微高一點的資金移出
[11:08] 你不是去做空它
[11:10] 你是移到那些迴圈股或者價值股
[11:13] 從高科技股高估值的AI股重新迴流
[11:17] 那等到迴圈類股
[11:18] 記憶體或者我們看面板
[11:20] 景氣迴圈股也漲高以後
[11:23] 再重新迴流到那些以前高估值
[11:26] 但是後來變低估值的期巨頭
[11:27] 所以他強調
[11:28] 這一次很有可能是沒有
[11:30] 真正系統性危機的景氣擴張
[11:32] 廣度會勝於集中度
[11:34] 回檔自然就會有人接
[11:36] 因為市場同時
[11:37] 有對於年輕時代的消費支撐買盤
[11:40] 所以泡沫指標
[11:41] 會在資訊流通底下
[11:43] 重新的被墊高
[11:44] 簡單來講
[11:45] 就是現在時代不同了
[11:47] 我們之所以看到
[11:48] 那個資金面
[11:48] 怎麼不斷的湧進來
[11:49] 是因為很多一般人
[11:52] 已經意識到
[11:52] 光是持有現金是不行的
[11:54] 日本人以前哪需要投資
[11:57] 常年通說
[11:58] 現金是越來越值錢的
[12:00] 在這樣效果底下
[12:01] 臺灣人過去幾年
[12:03] 買美元保單
[12:04] 誰要跟你買ETF
[12:06] 誰要跟你投資
[12:07] 這幾年不只是經歷過
[12:09] 買個股買ETF的市場轉捩
[12:11] 還經歷過高股息和全資金之戰
[12:13] 已經越來越懂得
[12:14] 如何去參與行情了
[12:16] 所以當全球投資人
[12:17] 都開始資訊越來越流通
[12:19] 越來越聰明以後
[12:20] 他把錢從現金換成投資產品
[12:23] 那不是很正常的嗎
[12:24] 所以為什麼每一項指標都過高
[12:26] 因為所有人都不想要
[12:28] 讓自己的資金跑輸給通膨
[12:30] 所以不願意持有陷阱
[12:31] 這個我相信是根本的原因
[12:33] 當然在這樣的一個效果底下
[12:35] 最終所形成的就是
[12:36] 現在賣產值的賺得特別快
[12:39] 價格也都集中在這邊
[12:40] 但是做軟體的
[12:43] 等待終端營收的
[12:44] 大家還在等待
[12:45] 接下來的資本支出的實質變化
[12:47] 其實臺灣
[12:48] 雖然老AI股價也沒什麼波動
[12:49] 不過從GB200到GB300
[12:51] 去年的出貨結構攤開來看
[12:54] 整個2026年
[12:55] 就不只是放量的問題
[12:57] 全面擴張
[12:58] 25年GB200 GB300的出貨
[13:00] 大概是2.5萬貴
[13:02] 26年現在是預估多少
[13:04] 7萬貴
[13:05] 今年成長不是翻一倍
[13:07] 今年預估成長要翻三倍
[13:09] 所以整個雲端和AI生態系的同步擴張
[13:12] 從客戶類別來看
[13:14] 你像Google AWS Microsoft Meta
[13:17] 甲骨文戴爾幾乎都是全面翻倍
[13:20] 其中甲骨文和微軟
[13:21] 在OpenAI和Stargate的專案帶動底下
[13:25] 26年的出貨佔比還是會維持在高檔
[13:27] 就說明大型雲端服務商
[13:29] 已經把AI伺服器
[13:30] 視為基礎建設型的重要投資
[13:33] 它不是一個短期資本支出
[13:34] 它一路拉貨拉到2030年
[13:37] 即便XAI或者CoreWave
[13:39] 或者其他新興雲端
[13:41] 和祖先AI客戶也在擴大
[13:43] 不過現在看起來
[13:45] 你光是吃Stargate
[13:47] 把OpenAI的訂單給吃下來
[13:49] 那你就可以吃撐很久了
[13:50] 所以除非OpenAI
[13:51] 遭遇什麼樣的變故
[13:52] 要不然臺廠這幾年
[13:54] 可能真的是迎來
[13:56] 這種史詩級的生產力爆發
[13:58] 當然它也意味著
[13:59] 現在的聚焦
[14:00] 大家都集中在這些高品質獲利
[14:03] 高強度動能
[14:04] 壓倒性的主流的AI股
[14:06] 那傳產股雖然產生適度的資金輪動
[14:09] 不過現在最強的買盤
[14:11] 還是集中在這些
[14:12] 漲幅沒有特別亮麗
[14:14] 但是過去一年是非常亮麗的
[14:16] 七巨頭或者AI相關概念股
[14:18] 在這樣效果底下
[14:19] 市場上就開始有進一步的預期
[14:22] 那就是所有的風險都變成可控的
[14:25] 我們現在最大的風險
[14:27] 是沒有搭上AI行情
[14:29] 大家開始擔心
[14:30] 自己的資金效率風險
[14:32] 這是一個蠻有趣的變化
[14:33] 我們看美銀所統計的資料
[14:35] 已經開始意識到
[14:36] 現在最可怕的不是衰退
[14:38] 最可怕的是
[14:39] 害怕自己沒有跟上行情
[14:41] 投資人也認為
[14:42] 下一輪的系統性的信用風險
[14:44] 很有可能不是來自於
[14:46] 過去我們看到的房地產市場
[14:48] 而是來自於私募股權
[14:49] 私募信貸
[14:50] 我們也不確定
[14:51] AI超大型的雲端業者資本支出
[14:53] 會擴張到什麼樣的地步
[14:55] 到底能不能回收
[14:56] 但是沒辦法
[14:57] 我一定要參與
[14:57] 最後買點AI
[14:59] 再順便買點黃金
[15:01] AI股
[15:02] 指數和黃金
[15:03] 陸續都創下歷史性高
[15:05] 所以我們後續會觀察
[15:07] 的確市場的恐慌情緒
[15:09] 大家為什麼越來越能夠淡然面對
[15:11] 原因就在於
[15:12] 這張圖表我們講過很多次了
[15:13] 正因為大家看太多次了
[15:15] 所以越來越不害怕
[15:16] 這張圖表叫做
[15:17] 市場永遠有最大的尾端風險
[15:19] 只是名字一直在換
[15:21] 你看從過去幾年來
[15:22] 哪一年沒有重大利空
[15:24] 從歐債危機到中國硬著陸
[15:26] 聯總會的政策失誤
[15:28] 18年美洲貿易戰
[15:29] 20年的疫情
[15:30] 21年22年的通膨
[15:32] 央行緊縮
[15:33] 一路走到現在的AI泡沫
[15:35] 地緣政治的衝突和全球的衰退
[15:37] 本質上你會發現每年都在重演
[15:40] 但是股市就是在這些利空當中
[15:42] 一步一步走下來
[15:44] 所以我們必須承認是
[15:45] 市場有沒有風險
[15:46] 其實有風險
[15:47] 剛才看了很多指標
[15:48] 都是說明現在股市有點過熱
[15:50] 但是你會很理解
[15:51] 我們正在迎來一個新的生產力的起義點
[15:54] 所以在投資世界當中
[15:56] 你就得出一個結論
[15:58] 你對於未來
[15:59] 三代牛
[16:00] 你當然是抱持樂觀
[16:01] 但你也要了解說
[16:02] 短期內的確估值乖離退得很高
[16:05] 多數人他並不是不懂風險
[16:07] 他只是說你在痛苦面前你很誠實
[16:10] 但是你享受了這個果實
[16:12] 你又變成選擇性市民
[16:13] 市場一回蕩
[16:14] 那個理性就開始歸位
[16:16] 我們就開始談估值
[16:17] 談談看基本面
[16:19] 要談一下長期紀律
[16:21] 好像從頭到尾自己都是風控派
[16:23] 但是行情一熱
[16:25] 標的開始飆的時候
[16:26] 原本看得見的風險
[16:27] 就變自動模糊了
[16:29] 管它那麼多
[16:29] 槓桿集中度
[16:31] 流動性問題
[16:31] 全部都認為
[16:33] 反正趨勢還在
[16:34] 全部都帶過
[16:34] 那不是資訊不夠
[16:35] 是當下的獲利感
[16:37] 會讓人不想被風險打轉
[16:38] 所以我們永遠都是這樣
[16:39] 左側永遠不悲觀
[16:41] 右側永遠不會特別樂觀
[16:44] 用這樣的一個方式
[16:45] 讓大家瞭解說
[16:45] 真實的景氣概況違和
[16:47] 所以很多專業投資者
[16:48] 他對於痛苦很真實
[16:50] 很真誠
[16:51] 但是對於享受
[16:53] 更誠實
[16:54] 它就形成這種
[16:55] 張
[16:56] 你不擔憂
[16:58] 但是疊了
[16:59] 你卻好像處處小心的感覺
[17:01] 去年我一個朋友搬家
[17:03] 住在我隔壁棟
[17:05] 我們都在合體
[17:06] 有天我就問他要不要打球
[17:08] 合體高速公路底下有球場
[17:10] 然後他回我說腳骨折
[17:12] 去不了
[17:13] 我知道他這個人很懶
[17:14] 喜歡撒謊找藉口
[17:17] 我就改口問他
[17:18] 我說我們家樓下
[17:19] 開了一間泰式按摩
[17:21] 走啊一起去按摩
[17:24] 那方堯師蠻漂亮的
[17:25] 他說OKOK
[17:26] 我想說這人真的是
[17:28] 那很久沒見了嘛
[17:29] 我也沒點破他
[17:30] 心裡就想著小孩子下流
[17:33] 快過兩天
[17:35] 那按摩那天到門口
[17:38] 我就看他遠遠的
[17:39] 他真的組著一個柺杖走過來
[17:41] 原來下流的是我
[17:43] 就在投資世界當中
[17:45] 多數人不是不懂風險
[17:47] 他對於痛苦很誠實
[17:50] 但他對於享受更誠實
[17:52] 一旦賬面虧損出現的時候
[17:54] 那風險意識就會立刻復甦
[17:56] 開始檢討部位
[17:57] 開始反省判斷懷疑市場
[17:59] 那你互利順風的時候
[18:01] 這個時候大家好像
[18:02] 本來的風險都被自動調低音量
[18:05] 所以我們應該做什麼
[18:06] 我們要知道風險在哪裡
[18:08] 但是我們對於長期是樂觀的
[18:10] 用這樣的一個角度
[18:11] 你才能夠在左側右側的
[18:13] 投資過程當中
[18:14] 隨意的進行切換
[18:15] 美股市道瓊指數上漲306點0.63%
[18:19] 收在49384點標普上漲37.055%收在6913點納指上漲211點0.91%所以在23436點費辦上漲13點
[18:30] 0.16%
[18:31] 收在8055點
[18:33] 我們從美國市大指數來看
[18:35] 這個硬體股的資金輪動
[18:37] 還是來得最為強烈的
[18:38] 那現在好處在於
[18:40] 軟體股接下來的回收
[18:42] 有可能出現
[18:43] 一個是阿發貝
[18:43] Google旗下的威猛
[18:45] 無人計程車
[18:46] 在本日今天正式登陸邁阿密
[18:50] 開始擴充套件到第六大城市了
[18:52] 那包括我們看到的Robotex服務
[18:54] 現在也在邁阿密開放付費乘客使用以後
[18:57] 象徵著2026年
[18:59] 是VIMO重點的擴張計劃
[19:01] 雖然現在特斯拉已經正式上路了
[19:04] 不過VIMO在各大城市
[19:06] 其實已經相對成熟了
[19:07] 那後續呢
[19:08] 美國同業的擴張步調
[19:09] 持續增長底下
[19:11] 這塊餅
[19:11] 看起來不是存量競爭
[19:13] 不是什麼特斯拉崛起
[19:14] 會壓縮到威模的原本的市佔空間
[19:17] 而是雙方都在把這個餅越做越大
[19:20] 真正受傷的是沒有無人駕駛
[19:23] 計程車技術的車廠
[19:25] 另外一方面我們也看到
[19:26] 奧斯汀的部分就目前為止
[19:28] 已經正式推動無安全監督員
[19:31] 以前特斯拉是旁邊還有一個人坐在旁邊
[19:33] 有一個安全監控人員
[19:34] 這一次在奧斯汀已經全面取消
[19:36] 特斯拉收盤是大漲了接近有4%
[19:38] 馬斯克也宣揚這一次的載客服務
[19:41] 是特斯拉自駕佈局當中
[19:43] 備受期待的重要一步
[19:45] 一旦OK以後
[19:46] 全美各地就會陸續出現
[19:48] 然後甚至導用到
[19:49] 原本的特斯拉的車主
[19:50] 到時候全世界都是Uber了
[19:53] 用這樣的一個角度
[19:54] 就代表著AI市場
[19:56] 已經開始有終端營收的回收
[19:59] 開始有所發酵
[20:00] 各國也開始大力的進行投資
[20:02] 這也是第二層
[20:03] 為什麼AI泡沫
[20:04] 不容易破的原因
[20:06] 因為它並不是美中之間的AI博弈
[20:08] 而是各國現在都在
[20:10] 瘋狂的砸入資源來推動AI
[20:13] 各國的預算案
[20:14] 它就可以確保部分AI股
[20:16] 有好一陣子的獲利
[20:17] 我們舉例來說
[20:19] 像韓國政府最近正式啟動
[20:21] AI魷魚遊戲計劃
[20:22] 這個AI魷魚遊戲
[20:24] 它的概念是國家級競賽
[20:26] 希望用高壓淘汰制
[20:28] 逼出真正有競爭力本土的
[20:30] AI基礎模型
[20:31] 這項科學由ICT部來做主導
[20:35] 為期超過一年
[20:36] 每六個月就會進行一次性的評比和淘汰
[20:39] 輸家不只會出局
[20:41] 連GPU和資料資源都會被收回
[20:43] 很明顯
[20:44] 韓國政府手上有一筆錢
[20:46] 但只願意投一家
[20:47] 那麼該怎麼投呢
[20:48] 你們來比賽
[20:50] 誰贏了
[20:50] 這筆錢就拿走
[20:51] 我們要扶植國家主權AI
[20:53] 我們要扶植韓國的OpenAI
[20:56] 我們看到Neville在雲端AI團隊
[20:58] 因為最近被認出有外國技術
[21:00] 被淘汰了
[21:01] 現在有LG
[21:02] 有SK海力士
[21:03] 等等新創團隊陸續的進擊
[21:05] 最後會選出兩支勝出的隊伍
[21:08] 來打造能夠跟ChadGBT和DeepSeek
[21:11] 能夠抗衡的主權AI
[21:12] 南韓的做法也很有趣
[21:15] 居然是用這樣的一個方法
[21:16] 有沒有圖利的問題
[21:17] 但是至少它是公開的競賽
[21:19] 南韓不願意在AI世代
[21:21] 被邊緣化焦慮和野心
[21:23] 南韓官方認為
[21:24] 我們現在有記憶體
[21:25] 我們有云端
[21:27] 我們有應用的場景
[21:28] 我們甚至有成熟的影視服務業
[21:31] 這些都需要用到AI
[21:32] 那為什麼我們不能有自己的AI主權呢
[21:35] 或者說自己的AI生成式軟體
[21:38] 所以爭議也隨之而來
[21:39] 那現在能不能借用其他的架構
[21:41] 因為現在好像懷疑跟中國模型相似
[21:43] 就有可能被淘汰
[21:44] 那這也形成韓國政府當前投入的計劃
[21:49] 印度的部分
[21:49] 在孟買正式打造AI創新之城
[21:52] 印度巨頗Tata集團
[21:54] 這次投入了110億美元
[21:56] 在孟買附近打造一座世界級的創新之城
[22:00] 希望能夠把東南亞各地的AI和半導體服務
[22:04] 開始引進
[22:04] 來跟馬來西亞和新加坡
[22:06] 搶奪AI市佔率
[22:08] 這個園區現在是正在
[22:09] 興建大量的資料中心
[22:11] 那塔塔集團出錢
[22:13] 希望能夠搶一些中國人才
[22:15] 或者東南亞人才
[22:16] 尤其是馬來西亞籍的
[22:18] 用這樣的一個方式
[22:19] 打造成算力和科技紅利
[22:21] 我們也拭目以待
[22:22] 其實全球目前都在這樣做了
[22:24] 其實如果我們細看
[22:26] 現在全球AI算力
[22:27] 超級電腦的數量
[22:29] 最多當然還是
[22:30] 美國有175座
[22:31] 加拿大有13座
[22:32] 巴西9座
[22:33] 德國是11座
[22:34] 法國25座
[22:35] 義大利有17座
[22:36] 中國大陸有47座
[22:37] 日本39座
[22:38] 南韓15座
[22:39] 臺灣大概有8座
[22:41] 排名大概全球第13名
[22:42] 臺灣這幾年
[22:44] 也開始從原本的電子零元件的技術
[22:46] 開始主導由政府往AI主權方向來做發展
[22:50] 我們知道臺灣現在有AI十大基礎建設
[22:53] 臺灣這次所推出的版本
[22:56] 賴政府的AI十大基礎建設
[22:58] 它主要是複製當年十大建設的躍升效果
[23:01] 一方面它是分成三大架構
[23:04] 最底層是數位的基盤
[23:06] 就是算力
[23:07] 主權AI
[23:07] 人才和資金
[23:08] 中段是關鍵技術
[23:10] 比如細光子
[23:11] 量子科技
[23:11] 和智慧機器人
[23:13] 那最上層是最難的
[23:14] 就智慧應用
[23:15] 那試圖要補上
[23:16] 之前是硬體強
[23:17] 軟體弱嘛
[23:18] 那要把軟體最後給補上
[23:20] 但必須呢
[23:21] 從最底層
[23:22] 開始進行
[23:23] 長年期的資本投入
[23:24] 所以這樣的一個效果
[23:25] 也導致
[23:26] 現在臺灣
[23:27] 其實在硬體層面
[23:29] 幾乎不用擔心
[23:30] 連國家政府補助
[23:31] 租稅補貼
[23:32] 其實都不用
[23:34] 一個幫忙臺灣本身已經
[23:36] 到世界各國去設廠了
[23:37] 重點在於要如何讓這些
[23:39] 新臺商能夠迴流在國內
[23:42] 所建立的軟體系統
[23:43] 在昨天賴總統在二六的
[23:45] 天下經濟論壇當中
[23:47] 其實也端出了30年尺度的
[23:49] 國家經濟藍圖
[23:50] 那他的判斷很清楚
[23:52] 在地緣政治升溫
[23:54] 全球供應鏈重組的情況底下
[23:56] 臺灣不是被動承受者
[23:58] 反而因為民主體制
[24:00] 法治環境和產業實力
[24:01] 正在成為國際資本
[24:03] 企業重新配置的重要節點
[24:05] 一方面本屆內閣叫做AI內閣
[24:08] 一方面本屆總統叫AI總統
