[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是远远比不上革命卫队
[04:58] 一样会有终端产品的涨价潮陆续出现
[05:02] 从邮轮被攻击到航运保险
[05:04] 那第二大问题就是
[05:06] 美国如果真的逐步抽手
[05:08] 中东的权力真空谁会来填
[05:10] 中国最近开始丢出了停火倡议
[05:13] 沙热地阿拉伯进退两难
[05:14] 欧洲现在选择保持距离
[05:16] 那就说明着全球的秩序正在重组
[05:19] 那这段时间我们要如何观察
[05:21] 它是否有利于不确定性的下降
[05:24] 还是说只是增加更进一步的不确定性
[05:26] 使得油价难以回荡
[05:28] 那最后呢
[05:29] 即便把三月份给拿掉
[05:31] 美欧股市早从二月份就开始回调了
[05:34] 整个AI的估值一直都在冷却
[05:36] 从资金压力能源成本
[05:38] AI的抢钱游戏
[05:39] 现在终于我们一过去还可以怪给中东问题
[05:43] 现在我们要开始回过头来看一下
[05:45] AI基本面的变化
[05:46] 今天我们就从这样的一个角度来做观察
[05:48] 首先看的是美军撤出中东之后
[05:51] 谁会来填补接下来的权力真空
[05:54] 我们看在昨天
[05:56] 中国和巴基斯坦在北京会面之后
[05:58] 联合提出了五点倡议
[06:00] 主动推动中东局势的降温
[06:02] 看起来多极力量已经开始介入战局
[06:05] 促成停火和恢复稳定
[06:07] 由中国外长王毅和巴基斯坦副总理
[06:10] 目前主导内容主要包括避免冲突升级
[06:13] 确保亚洲供应国能够顺利的取得原物料
[06:18] 相关资源
[06:20] 不管是卡达的天然气
[06:21] 还是原油
[06:22] 基本上呢
[06:23] 由亚洲国家
[06:25] 以中国为首
[06:26] 陆续跟中东国家
[06:28] 伊朗来进行和谈
[06:29] 那第二大方面呢
[06:30] 是中东自己的问题
[06:31] 我们知道沙烏地阿拉伯
[06:33] 现在处于一个
[06:34] 非常非常尴尬的窘境
[06:36] 因为沙烏地阿拉伯
[06:37] 一方面是把伊朗视为
[06:38] 长期对手
[06:39] 但是呢
[06:39] 我们也知道
[06:40] 沙国一直以来都不希望
[06:42] 正面冲突
[06:42] 全面失控
[06:43] 战前沙烏地阿拉伯
[06:45] 已经刻意降温了
[06:46] 今年年初
[06:47] 还向伊朗保证
[06:48] 不会对他的领空或者空域来进行攻击
[06:51] 结果战争爆发之后
[06:52] 情势就完全失控了
[06:54] 那伊朗飞弹
[06:54] 有的打到沙热地阿拉伯
[06:56] 有的打到阿联
[06:57] 科威特
[06:58] 海水淡化厂
[06:58] 现在也被攻击
[06:59] 那沙热地阿拉伯
[07:00] 我们看得出来
[07:01] 过去几周
[07:02] 他还算克制
[07:03] 他自己都没有宣布正式参战
[07:06] 因为一旦反击
[07:07] 就会招来更大规模的攻击
[07:09] 好那现在态度已经很明显了
[07:11] 川普呢
[07:12] 如果陆续停火的讯号出现
[07:14] 那中东各国要如何处理跟伊朗的关系呢
[07:17] 双方的压力会不会持续发酵
[07:20] 所以沙国或者说大部分海湾国家
[07:23] 还是采取不主动升级
[07:24] 但随时准备反击的态势
[07:26] 但是呢不会跟你硬刚
[07:28] 双方可能进入一个相当尴尬的期间
[07:31] 另外一方面
[07:32] 伊朗这一次的攻击始终要有人负责
[07:35] 来对于这些中东国家一个交代
[07:37] 举例来说
[07:38] 在昨天伊朗无人机又攻击了一艘满载的科威特的邮轮
[07:43] 地点是在杜拜的外海
[07:44] 他不是要通过
[07:45] 结果邮轮就被打到了
[07:47] 虽然最后火势已经控制
[07:49] 并没有形成漏油
[07:50] 全员也算安全
[07:51] 可是最近又有海水淡化常被攻击
[07:54] 这个迹象难道在战后格局
[07:56] 就会停止吗
[07:58] 这是中东的第一大挑战
[08:00] 权力真空
[08:00] 第二大是欧洲
[08:02] 欧洲这一次我们知道
[08:04] 北约的裂合已经逐步出现
[08:06] 川普发动的伊朗战争很多欧洲国家明显态度是比较偏阴的你像西班牙是直接关闭了领空意大利拒绝美军降溜在他的基地
[08:16] 法国不让军机通行
[08:18] 这就很明显彰显北约内部的罕见分歧
[08:22] 那川普呢
[08:23] 甚至在这一段时间
[08:24] 考虑可能要重新审视跟北约的关系
[08:27] 甚至不排除退出北约
[08:29] 让你们自己处理乌俄战事的问题
[08:32] 中东的问题
[08:33] 我由又不是从那边拿的
[08:34] 我可以自惨自笑吧
[08:35] 这也就说明着
[08:36] 整个核扩散的时代正在归来
[08:39] 我们虽然看到
[08:40] 伊朗在这一次的核浓缩
[08:42] 受到极大攻击
[08:43] 现在基本上80%到90%的浓缩诱设施
[08:48] 都已经陆续被摧毁
[08:50] 可是对于其他国家来看
[08:52] 反而过去数十年已经建立的
[08:55] 核不扩散体系
[08:56] 现在正在松动
[08:57] 美俄现在缺少了新协议
[08:59] 中国正在快速的扩军
[09:01] 美国一方面打击伊朗的核计划
[09:04] 另外一方面
[09:05] 现在考虑让沙乌地阿拉伯
[09:07] 接触敏感的核技术
[09:09] 考虑让南韩拥有核舰艇
[09:11] 从这些角度来看
[09:13] 各国家都在一个新的辩决当中
[09:16] 得出一个新结论
[09:17] 那就是放弃核武的国家
[09:19] 也许更容易成为被攻击的国家
[09:22] 所以从利比亚到乌克兰
[09:23] 到现在的伊朗都变成案例
[09:25] 南韩日本现在如果开始跟进的话
[09:27] 可能就引发新一波的连锁的核扩散
[09:31] 那台湾没有核武
[09:33] 台湾没有要盖核武
[09:35] 但是台湾本身在本场的变局当中
[09:39] 整个位阶也是观察来看是非常重要的
[09:42] 我们举例来说
[09:42] 刚才提到整个欧洲市场的部分
[09:44] 其实川普已经有非常明显表态
[09:47] 这次欧洲在伊朗战事的配合意愿极低
[09:50] 让他重新审视了北约跟美国之间的关系
[09:53] 那的确如果我们看欧洲核威慑的核心现实
[09:57] 他处于一个比较极端的现象
[09:59] 就是整个核体系在欧洲身上
[10:01] 几乎就完全集中在英国和法国
[10:03] 那两者的性质又截然不同
[10:05] 英国有225枚核弹头
[10:07] 不过呢
[10:09] 它是高度依赖美国的技术和供应链
[10:11] 本质上更像是美国核保护伞的延伸
[10:15] 可是你看法国
[10:16] 它不仅是部署数量接近
[10:18] 而且它是具有完整的自主生产能力
[10:21] 所以其实法国才是欧洲少数
[10:23] 真正独立核威慑的力量
[10:25] 那两个核力量
[10:27] 基本上都是以潜艇为核心
[10:29] 确保第二打击能力
[10:30] 可是法国除了英国
[10:33] 有第二打击力量以外
[10:34] 他还有一个空射核武
[10:35] 就是由战机直接搭载
[10:37] 换句话说
[10:38] 欧洲虽然现在有核武
[10:40] 但是其实是一半依附
[10:42] 一半自主
[10:42] 一旦美国战略收缩
[10:44] 能够撑得起欧洲核能安全
[10:47] 核安全的
[10:48] 基本上就只剩下法国而已
[10:49] 所以法国是否会填补
[10:51] 本轮的中东缺口
[10:52] 这个是大家特别去关注的
[10:54] 极大方向
[10:55] 对于日本也是如此
[10:56] 我们知道
[10:57] 虽然川普把更多精力
[10:59] 集中在西太平洋
[11:00] 可是西太平洋各国
[11:01] 负担自己的防卫义务也越来越重要
[11:04] 日本在九州雄本
[11:06] 在本周正式首批国产的长程巡弋飞弹
[11:10] 十二式改已经正式发表
[11:12] 射程高达1000公里
[11:13] 理论上是可以涵盖中国沿海
[11:15] 也象征防卫政策出现了重大突破
[11:18] 这一连串动作
[11:19] 我们知道过去几个月中日关系是急速的恶化
[11:23] 美国也有安全承诺不确定性的回应之后
[11:26] 高市目前正在选后极力的推动修宪
[11:29] 希望能够调整和平宪法的第九条
[11:32] 也就是让自卫队的地位更加的明确
[11:35] 也被国际同盟被视为
[11:38] 这是一种新一轮的国家正常化
[11:40] 那中国当然很强烈反弹
[11:42] 那等同于日本再度左向军事化
[11:44] 双方的角力还在持续
[11:46] 可是我们知道在美国的支持下
[11:49] 我们看到在过去几个季度
[11:50] 日军已经采取了一系列的加强建设动作
[11:54] 举例来说
[11:55] 你像冲绳还有西南诸岛的军事跑道
[11:58] 在过去几个季度
[11:59] 之前像是什么普天建基地
[12:01] 因为有搬迁问题
[12:02] 长期未解
[12:03] 但是现在又流行无人机攻击
[12:07] 你也不能把机场集中在一个岛屿
[12:09] 以防一次被团灭
[12:11] 所以冲绳各个岛屿的
[12:13] 它的跑道跟机场分布
[12:15] 数量不太足
[12:16] 从去年开始
[12:18] 像九米岛 石环岛 宇纳国岛的机场跑道
[12:21] 大多都是800到2000公尺
[12:23] 相比之下
[12:25] 中国海军在公国海峡的军事部署
[12:27] 规模却越来越大
[12:28] 所以呢
[12:29] 由于美方的压力底下
[12:31] 日军呢
[12:31] 开始在各个大大于
[12:33] 新建小型机场
[12:35] 或者说无人机机场
[12:37] 用这样的一个方式
[12:38] 尝试的避免
[12:40] 在第一波攻击当中团灭
[12:41] 这也是我们看到
[12:42] 新一波所采取的军事动作
[12:44] 那美国更不用讲了
[12:45] 昨天美国国会代表团
[12:47] 才刚结束访台行程回去了嘛
[12:49] 我们都知道
[12:50] 这一次跨党派的参议员来台湾
[12:52] 最重要的核心
[12:53] 就是要台湾通过军费法案
[12:55] 虽然看起来好像
[12:56] 没有取得太显著的成效
[12:58] 不过至少我们看到
[13:00] 对于华府来说
[13:01] 它是一个非常标准的政治讯号
[13:03] 希望台湾能够
[13:06] 更有强化的防卫意识
[13:08] 并且对于美国的军购
[13:11] 有一定性的承诺
[13:12] 我们也知道
[13:13] 现在台湾的国防支出
[13:15] 在这次追加特别预算以后
[13:17] 这几年其实已经开始飙高了
[13:19] 我们根据数据
[13:20] 根据ISW数据
[13:22] 台湾在2025年的国防支出
[13:24] 如果通过的话
[13:25] 占GDP比值
[13:26] 大概会接近3.1%
[13:28] 应该跟新加坡是并列亚洲最高
[13:31] 就不看绝对体量
[13:32] 看占GDP的比词
[13:33] 这个会比中国比日本比印度
[13:36] 甚至比军备完整的韩国都还来得高
[13:39] 这说明台湾虽然我们也知道
[13:41] 我们国土不大
[13:42] 人口体量也不大
[13:44] 可是假设军费就是400亿美元
[13:47] 那今年的军事投入
[13:49] 应该是亚洲发达市场当中最多的
[13:52] 仅次于北韩
[13:53] 我们就要观察一下
[13:56] 后续这种能源真空的转移
[13:58] 对于国际局势的影响
[13:59] 为什么这样讲
[13:59] 因为权力真空以后
[14:02] 它不利于油价
[14:03] 有在维稳的情况底下下跌
[14:06] 它并不是一个标准的和谈
[14:08] 只是美方撤出本次的战斗
[14:10] 能源价格
[14:11] 昨天跟股票市场的上涨比较起来
[14:14] 下跌幅度就蛮有限的
[14:15] 昨天原油
[14:16] 布兰特原油才跌三块
[14:17] 希德州原油才跌1.5块
[14:19] 跌幅大概1%到2%而已
[14:21] 到现在为止
[14:23] 希德州原油都还在百块左右
[14:25] 这件事情就意味着
[14:26] 虽然看起来每一双方有意愿做停战
[14:29] 可是油价没有大敌
[14:31] 我们再从Polymarket的市场预判
[14:35] 对赌民调来看
[14:36] 事实上现在认为战事结束高达50%的几率
[14:40] 仍然在5月中下旬
[14:42] 这也说明着市场并没有因此而预期
[14:45] 每一战事会有大幅的结束提前
[14:48] 只是认为
[14:49] 我们可能只是在反映接下来即将到来
[14:53] 以前是不知道什么时候会结束
[14:54] 现在是这几个月应该会结束
[14:57] 可是结束的时间看起来也没这么快
[14:59] 那你当然说
[14:59] 川普怎么会在这个时间点
[15:01] 选择做这样的一个决定呢
[15:03] 或者释出这样的讯号呢
[15:04] 事实上在昨天有一个重要的赌盘反转了
[15:07] 就是我们看到
[15:08] Polymarket根据参议院的民调变化
[15:11] 民主党从一路落后
[15:13] 本来民调在过去几个月
[15:14] 大概就只有20%
[15:15] 相对于共和党60%
[15:18] 应该不是讲民调了
[15:19] 赌盘胜率形成绝对多数
[15:21] 居然在昨天形成死亡交叉了
[15:23] 也是代表的市场上在用钱投出来的预测当中
[15:28] 已经预判参议院即将在今年中期选举
[15:31] 获得应该讲说民主党在参议院获得绝对性的多数
[15:34] 那这也说明了整个通膨的外溢效果
[15:37] 是川普当前最为关注的
[15:39] 美国油价现在冲上4美元每加仑
[15:42] 那如果从个别各州来看
[15:45] 加州幅度上涨幅度最多
[15:47] 在短短两周已经上涨1.24块
[15:50] 如果以全美目前价格来看
[15:53] 整个西岸
[15:54] 每家轮大概已经来到
[15:56] 五到六块左右了
[15:57] 其实压力是非常大的
[15:59] 直接进行转嫁
[16:00] 台湾也是如此
[16:01] 我们知道
[16:02] 这种通膨外溢出去之后
[16:04] 你要让它回来
[16:04] 也没那么简单的
[16:05] 便当价格上涨
[16:07] 就算米价蛋价跌
[16:08] 便当都不一定会跌
[16:09] 所以这种通膨的
[16:11] 僵固性压力就很大
[16:12] 必须要立即阻止它外溢
[16:14] 像天然气的部分
[16:15] 昨天中油正式宣布
[16:16] 也进行天然气的价格调整其中就是因为全球能源在台湾的第一波传导这一次我们看到LNG价格尤其反映的进口成本上升
[16:28] 直接反映在电业用户
[16:30] 一次大涨多少
[16:31] 41.58
[16:33] 这个很高
[16:34] 所以虽然我们知道
[16:36] 政府这次选择的态度很明显
[16:38] 民生是宣布动涨的
[16:40] 工业小涨
[16:41] 但是电业大户全吞
[16:43] 台湾电业很难在这一波活下来
[16:46] 如果涨幅是40%的话
[16:48] 所以民生物价
[16:50] 我们当然知道压力也不会完全消失
[16:51] 它只是往后递盐
[16:53] 另外一方面
[16:54] 我们也知道从4月份开始
[16:56] 当时三月底就已经预告了
[16:57] 不管是农记甲本或者二甲本的牌价
[17:01] 在4月1号都进行全面性调高
[17:04] 甲本现在调涨11%
[17:06] 每公饼来到7640块
[17:08] 这是过去两年来新高
[17:10] 二甲本上涨9.5%
[17:11] 我们过去提过
[17:13] 甲本和二甲本都是非常关键的
[17:15] 石化溶剂和基础化工原料
[17:17] 用在涂料油墨粘着剂塑胶化纤等等
[17:20] 这些溶剂价格上涨
[17:22] 除了影响石化液本身以外
[17:24] 从纺织到包装到塑胶到电子材料
[17:27] 都有可能面临成本推升的压力
[17:29] 所以我们才知道
[17:30] 为什么现在政府要吸收这么多
[17:32] 竹子油价已经跌回来了
[17:35] 但是通膨剧外溢出去的这种景象
[17:37] 我们只能期待战事尾声
[17:40] 因为一个月内
[17:41] 过去一个月塑化报价涨很快
[17:44] 那问题来了
[17:45] 现在要花多久时间
[17:46] 报价才会回跌
[17:47] 昨天我去黄昏市场买菜
[17:49] 每一家都在问
[17:51] 好像真的有点缺塑胶袋
[17:53] 像我以前习惯买菜的
[17:55] 那个老板
[17:56] 他以前都是帮我
[17:58] 每一类菜就装一袋
[18:00] 可能番茄一盘就装一袋
[18:02] 花椰菜一盘就装一袋
[18:04] 高丽菜也装一袋
[18:06] 然后最后还拿一个大袋子
[18:07] 后来我昨天买了有400多
[18:11] 他居然全部都直接给我装一袋
[18:14] 因为我们家是习惯厨余是装塑胶袋
[18:18] 然后再拿去倒
[18:19] 平时没有买塑胶袋的习惯
[18:21] 都是拿买菜的袋子重新装
[18:23] 压力很大
[18:25] 我在那边苦苦哀求老板
[18:27] 拜托拜托再一袋好不好
[18:29] 一袋一袋
[18:30] 老板说打没打没
[18:33] 他以为我在讲日语
[18:35] 所以很痛苦
[18:37] 好我们回过头来看
[18:39] 除了整个美国市场所形成的中期选举压力
[18:42] 台湾市场所形成的
[18:44] 报价的外溢效果
[18:46] 欧洲市场在昨天
[18:47] 公布了三月份通膨率
[18:49] 上升2.5%
[18:50] 这个就开始往上拐头了
[18:52] 很明显
[18:53] 这一波的跳升幅度非常大
[18:55] 能源价格年增幅4.9%
[18:57] 是最大的推升力度
[18:59] 毕竟布兰特原油
[19:00] 现在从战争爆发以来
[19:02] 已经涨超过50%了
[19:04] 每桶占上110块
[19:05] 核心通膨反而在缩小2.3%
[19:07] 反而服务通膨不严重了
[19:09] 现在是属于输入性的通膨
[19:11] 开始陆续的发酵
[19:12] 那我们当然过去也提到
[19:14] 欧洲国家这个补贴力度也不小
[19:17] 你看当时21年到23年
[19:19] 乌俄战事危机的时候
[19:20] 欧洲各国政府为了要压住能源价格
[19:23] 几乎是全面开支票在补贴
[19:25] 跟台湾现在几乎差不多
[19:26] 从GDP来看
[19:28] 你像马尔他
[19:29] 保加利亚
[19:30] 奥地利
[19:30] 希腊
[19:31] 意大利
[19:31] 支出一场战争就随随便便飙升5% 7%
[19:35] 所以你说这种补贴效果下去以后
[19:38] 难道接下来市场上的美债
[19:42] 就会因为通膨问题回温
[19:44] 所以美债价格就必定会持续性的暴涨吗
[19:47] 财政压力也越来越大了
[19:49] 一场能源危机
[19:50] 我们必须看短时间内的利多情绪
[19:53] 跟长时间内的压制
[19:55] 是否会产生进一步的外溢效果
[19:57] 这是大家最为关注的
[19:59] 好 回过头来说
[20:00] 现在我们看到整个能源通膨
[20:03] 大家处理的问题变成善后问题
[20:05] 包括权力真空的问题
[20:07] 包括各国如何处理报价上行之后
[20:10] 接下来这种外溢通膨的问题
[20:12] 但更重要的是什么
[20:13] 油价得跌
[20:15] 而且现在压力比较大的原因在于
[20:17] 本周不是愚人节
[20:20] 是愚人节
[20:21] 但是本周除了愚人节以外
[20:23] 大家最为关注的
[20:24] 就是清明节和复活节
[20:27] 这说明着
[20:28] 川普按照过去的尿性
[20:30] 应该讲惯性
[20:32] 通常都是选择在假期时间发生战事
[20:36] 或者发动攻击
[20:37] 为什么
[20:37] 让市场上有更多消化空间
[20:40] 那问题来了
[20:41] 美军其实在过去几天
[20:43] 他已经陆续抵达中东了
[20:44] 才刚抵达就要撤退了吗
[20:46] 会不会这一次只是一个幌子呢
[20:49] 他真的要撤
[20:49] 美军基地的兵也要跟着撤吗
[20:51] 不然被伊朗追击
[20:52] 所以到底我们看接下来的战事
[20:55] 到底有没有进一步升级的可能性
[20:57] 其实还是充满变数的
[20:59] 我们过去提过
[21:00] 其实在本周
[21:01] 美军所派取的3500名官员
[21:04] 才刚刚到达中东
[21:05] 2500名的海军陆战队
[21:09] 两栖攻击舰才刚刚到达
[21:11] 结果本来要进行伊朗大规模打击的
[21:14] 现在战事就要结束了吗
[21:16] 有可能如此吗
[21:18] 而且如果从结束的角度来看
[21:21] 似乎不太有利于川普在中期选举的时候
[21:25] 释出这种在本轮政策当中取得的成果
[21:29] 毕竟如果就这样撤军了
[21:31] 那中期选举你也大概知道
[21:32] 民主党会用什么样的一个角度
[21:34] 来批判这场战事
[21:36] 所以指向先留着
[21:38] 以防下礼拜还用得到
[21:40] 再观察一阵子
[21:41] 看一下美军地面部队是否有动作
[21:43] 你说要让伊朗搞到无法研发核武
[21:48] 其实还有一段时间的善后处理
[21:50] 所以撤军也是这样子
[21:52] 美军撤军就像核电重启
[21:56] 核电重启要依据三大共识
[21:59] 核安武与核废有解
[22:01] 社会共识
[22:02] 不用时间的
[22:03] 就算你方向是确认的
[22:05] 终有一天要停火
[22:06] 那难道不用时间做一些审查吗
[22:08] 进一下程序文汇
[22:09] 所以我还是要多做一些观察
[22:11] 这件事情川普过去的惯性
[22:14] 从市场节奏来看
[22:15] 廉价长价都会形成流动性真空
[22:18] 你卖不掉股票
[22:20] 所以川普要选择的攻击时间点
[22:22] 最好就要趁这段时间
[22:23] 确实基本上用这样的一个角度
[22:26] 他就能够快速的降低
[22:28] 及时的市场冲击
[22:29] 因为这一次欧美复活节休假
[22:32] 亚洲又刚好清明
[22:34] 他连亚洲投资人都雇到了
[22:35] 今年特别有趣
[22:36] 今年2026年的复活节
[22:38] 刚好跟
[22:39] 我记得是清明节是同一天
[22:41] 这种时间
[22:42] 其实以前都差不多时间
[22:44] 可是完全重叠
[22:46] 好像也蛮少见的
[22:47] 对
[22:47] 清明节跟复活节同一天
[22:50] 刚好适合反清复明
[22:51] 清明节加复活节
[22:53] 这一边是纪念耶稣基督复活
[22:55] 从死亡走向重生
[22:58] 另外一方面是
[22:59] 回祖先坟前扫墓祭拜
[23:02] 有趣的事情
[23:04] 一个是向前看
[23:05] 一个是向后看
[23:06] 本质上
[23:07] 两个节列都在处理同一件事情
[23:09] 人如何理解死亡
[23:11] 复合节给的不只是一种
[23:13] 死亡不是终点的超越想象
[23:15] 清明节让死亡变成一种延续
[23:18] 其实也是两种文明
[23:20] 对于生命问题的对照和呼应
[23:22] 那川普要做决定
[23:23] 就要趁现在
[23:24] 对不对
[23:24] 我还记得我大学
[23:26] 以前很喜欢去社团趁吃
[23:28] 尤其是那种宗教社团
[23:31] 一开始都去什么
[23:32] 如来石正社
[23:33] 禅学社
[23:34] 会中式
[23:35] 因为不用小事而废
[23:36] 然后每周都有东西吃
[23:37] 但因为都吃素
[23:38] 会腻
[23:39] 后来我就经常去团契
[23:41] 团契跟一般的教会不一样
[23:44] 他是一边会祈祷
[23:46] 查经
[23:46] 唱歌
[23:47] 然后又吃得很好
[23:48] 第一周团契吃Costco
[23:50] 烤鸡
[23:51] 第二周吃Pizza
[23:53] 第三周吃意大利面
[23:54] 为了他们的食物
[23:55] 我整整去了一年半
[23:57] 吃饭一个小时
[23:58] 唱歌半小时
[24:00] 然后再一起
[24:01] 叫属灵交流
[24:03] 我基本上是中西通词了
[24:05] 因为我们每次都有半个小时左右
[24:07] 通常要查经
[24:09] 或者会做一些很深入的探讨
[24:11] 你像那个时候我就在想
[24:14] 我们高中都要念中华文化基本教材
[24:16] 念孔孟念论语
[24:19] 国外很多上那种文学课会读圣经
[24:23] 当文学
[24:24] 那个时候我就
[24:25] 其实就很认真跟学长讨论
[24:27] 我说你看我们高中都在念中华文化基本教材国外也念圣经耶稣接督跟孔子是不是有一些共通点
[24:39] 耶稣是圣子
[24:40] 他跟上帝同一本质
[24:42] 但位格不同
[24:43] 人家说叫上帝之子
[24:44] 孔子也是圣人
[24:47] 至圣先师
[24:48] 我们还有孔庙要拜他
[24:50] 这两个人是不是
[24:51] 其实有一点像
[24:53] 耶稣谈爱谈救赎
[24:55] 谈内在信仰
[24:56] 孔子讲
[24:57] 仁义理智社会伦理
[25:00] 本质上都是在描述人应该怎么活
[25:03] 我们就跟学长交流
[25:05] 那时候做很多这样的探讨
[25:07] 我就跟他问
[25:09] 我说你觉得耶稣比较厉害
[25:11] 还是孔子比较厉害
[25:12] 我那学长想了一下
[25:14] 他说还是耶稣比较厉害
[25:16] 我说为什么
[25:17] 他说因为耶稣手上有两个孔子
[25:20] 所以我还是比较喜欢团契
[25:25] 食物好吃
[25:27] 学长又喜欢讲一些有的没的
[25:29] 不像我们小时候
[25:30] 可能偷喝土地公的仙草蜜
[25:32] 开玩笑
[25:33] 土地公不是喝太甜的
[25:35] 被阿嬷打得半死
[25:37] 所以我还是比较喜欢团契的
[25:39] 活泼的氛围
[25:41] 好
[25:41] 不管怎么讲
[25:42] 没有股市
[25:43] 至少这一次市场上并没有反应
[25:46] 即将在清明年假
[25:47] 复活年假可能采取的军事行动
[25:49] 大家对于川普的话
[25:51] 看起来是买单的
[25:52] 认为战事的确往停火的方向走
[25:55] 就来自于中期选举的变化
[25:56] 我们看到穷指数上涨1125点
[25:59] 2.49%
[26:00] 收在46341点
