[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 市场上更进一步关注的是由过去废办带头冲高的龙井
[03:50] 但是其实走势
[03:51] 我们回过头来看
[03:52] 1939年以来的地缘政治压力
[03:55] 走势其实是非常标准化的
[03:58] 地缘政治冲击
[03:59] 通常在三周到四周左右会触底
[04:01] 接着再花一个月左右收复跌幅
[04:04] 这一次虽然中间跌幅
[04:06] 略微超过历史的区间
[04:08] 但随后反弹速度是非常快的
[04:10] 九个交易日已经涨了8.5%
[04:13] 把战争所带来的所有跌幅
[04:15] 全部给收回了
[04:17] 这边的关键就在于
[04:18] 市场的反弹
[04:20] 当然并不代表风险已经全面消失了
[04:22] 那油价也没回跌
[04:23] 战争也没有一个头绪
[04:25] 但这种快速的修复
[04:27] 其实就是流动性和预期在主导
[04:29] 而并不是单纯
[04:30] 现在战争已经确定百分之百结束了
[04:33] 只是市场的情绪一翻转以后
[04:36] 这种追价的压力逐步的涌现
[04:38] 所以互相嘎来嘎去
[04:40] 做多做空
[04:41] 在今年的整体波动度都还很大
[04:43] 那战争还没有结束
[04:44] 市场现在开始庆祝
[04:46] 我们细看标普白指数创高
[04:49] 纳斯达克指数创高
[04:50] 费半的创高
[04:51] 同样是中东冲击之后的市场修复
[04:54] 这一轮美国股市就一直独秀了
[04:56] 前阵子都是亚洲股市在上涨
[04:59] 这一轮纳指、罗素、标普
[05:01] 全部都转回正报酬了
[05:03] 代表的资金正在回流美国股市市场
[05:06] 基本上也有利于接下来市场进一步
[05:09] 在财报季当中有更进一步的想象空间
[05:12] 现在毕竟从美欧股市的财报季
[05:15] 就可以外溢到其他新兴市场
[05:17] 是否会有进一波的订单
[05:18] 只要它的资本支出再调高
[05:20] 我们的订单就变得更多
[05:22] 事实上如果我们细看八大投顾
[05:24] 在今年年初
[05:25] 针对今年二季度和全年的目标点位预估
[05:28] 基本上二季度点位已经进行全面突破了
[05:32] 我们举例来说像群一统一
[05:34] 当时Q2整体台股的点位区间
[05:37] 预估26000到34000
[05:39] 3000到35000
[05:40] 3000到35000
[05:42] 28000到34000
[05:43] 台新是29000到34000
[05:45] 一金是3000到34000
[05:47] 基本上已经全数突破高点了
[05:50] 那现在就要准备挑战全年高点
[05:52] 就代表着国内券商很快的要陆续调高目标价了
[05:55] 现在是全数达标
[05:57] 那当然这也意味着台股迎来一个新的格局
[06:00] 这个格局就是第一
[06:02] 跌百点或者跌到千点都算是台股的正常波动了
[06:08] 为什么呢
[06:08] 成交量也升了
[06:10] 点位也大了
[06:11] 目前台股整个三月份的日均成交量是9214亿
[06:16] 这是历史新高
[06:17] 你很难想象
[06:18] 每天的成交量是9000多亿
[06:20] 平均直接推升了证交税
[06:22] 单月份在上个月535亿台币
[06:26] 年征服是多少
[06:27] 非常非常惊人
[06:29] 基本上快要翻了接近一倍
[06:31] 而且总体而言已经连续8个月成长
[06:34] 第一季的累积证交税来到1237亿
[06:37] 这是20年来最快的征数
[06:39] 这代表的是台股已经迈向了新时代
[06:43] 未来我们看到的兆元成交量
[06:45] 搞不好就是新常态了
[06:47] 这很难想象
[06:48] 因为在疫情以前
[06:49] 我们每天成交量还在2000亿3000亿
[06:52] 现在就是兆元变成一个新常态了
[06:55] 那当然了
[06:55] 市场交易极度活跃
[06:57] 活跃不代表一定是多头
[06:59] 它代表的是资金正在高频的进出
[07:02] 4月份更夸张
[07:03] 4月份像日均成交量到现在4月中
[07:06] 每天是接近9400亿
[07:08] 单日成交突破一兆
[07:10] 现在市场情绪正在快速的拉弹
[07:13] 就代表着整个台股的流动性
[07:15] 味道越来越显著了
[07:17] 一兆
[07:17] 兆元俱乐部
[07:19] 现在看起来
[07:20] 可能会成为一个新常态
[07:22] 一兆
[07:23] 台语就是伊朗兆
[07:25] 伊朗要兆了
[07:27] 所以老天打的暗号
[07:30] 暗示伊朗战事要结束
[07:32] 好的我们回过头说
[07:33] 今天我们就从几个角度来做切入
[07:35] 标普站上了期间点
[07:36] 科技股的创高
[07:38] 台股的创高
[07:38] 资金从避险瞬间回来追价
[07:41] 仿佛中东冲突已经翻篇
[07:43] 可是封锁还在
[07:44] 谈判也未定
[07:45] 但是这种提前交易的行情
[07:47] 本质上反而是CTA的机械性买盘来做推动
[07:51] 而并不是单纯风险的全面消失
[07:53] 第二是更深层的结果在变化
[07:55] 我们看美中的竞争已经从贸易战升级成能源
[07:59] 甚至川普不断的指控
[08:00] 伊朗之所以还采取有一定程度的军事的报复手段
[08:04] 来自于中国的帮助
[08:06] 最后回到AI的部分
[08:08] 现在AI财务系即将开始了
[08:10] 现在也不是单纯过去我们提到那些
[08:13] 谁推出更新的模型技术竞赛
[08:15] 现在是法律和制度之战了
[08:17] 接下来未来几个月从版权诉讼到资料使用各国的监管框架陆续AI法律战逐步发酵以后法规如果通不了商业模式就很难落地
[08:28] 这都是我们值得观察的重点
[08:30] 好 我们先首先来看一下
[08:31] 荷姆兹海峡目前的僵局
[08:33] 的确现在在停火的边缘
[08:36] 持续的谈判
[08:37] 预估下礼拜
[08:38] 范斯可能又要重新回到巴基斯坦
[08:40] 进行新一轮的谈判
[08:42] 这一次对峙的核心还是两个问题
[08:44] 核计划和能源控制权
[08:46] 以色列和美国是坚持要限制伊朗的高浓缩诱能力
[08:50] 那伊朗是否认发展核武
[08:52] 双方分歧还是很大
[08:53] 同时间赫姆兹海峡运了全球20%的油气运输要道
[08:57] 长期受阻对于全球经济很大
[08:59] 那对于美方而言压力更大
[09:01] 为什么
[09:02] 因为再过两周
[09:03] 4月份CPI就要统计出来了
[09:06] 再来再过两周
[09:07] 川普就必须要援引更进一步的军事法援依据
[09:11] 来确保长期在中东的战事升温
[09:13] 以及加大军事的补贴和补助
[09:16] 那川普的确在过去两天
[09:18] 不管是受到CNN
[09:20] 还是美联社的采访
[09:21] 都表达美伊战争
[09:22] 已经非常接近停火
[09:24] 并且强调美方在军事上
[09:26] 已经全面压制伊朗
[09:27] 对方也急于达成协议
[09:29] 他所释出的讯号就是
[09:31] 快结束快结束了
[09:32] 基本上目前呢
[09:34] 我们已经就差握手而已了
[09:36] 当然我们要知道
[09:37] 目前其实谈判
[09:38] 是属于僵持的情况
[09:39] 甚至连第二次谈判
[09:40] 都还没有正式登场
[09:42] 我们只能说
[09:42] 现在双方仍然保有
[09:44] 在停火期的默契
[09:46] 主要还是因为你的游船被我封锁了
[09:48] 事实上我们看Polimarki Dupan
[09:50] 伊朗跟美国目前达成永久和平协议
[09:53] 在4月30号的几率
[09:55] 的确在过去几天大幅的上升
[09:57] 目前已经从原本的10%上行到38%
[10:01] 伊朗在最近也放弃了
[10:03] 透过暗船的中间商来出售石油
[10:06] 很明显因为现在邮轮被封锁了
[10:08] 美国的封锁是真的
[10:10] 它没有封锁其他国家的邮轮
[10:12] 但它真的封锁了伊朗的邮轮
[10:13] 所以大部分的伊朗船队
[10:15] 不敢离开港口
[10:17] 钱可以再赚
[10:18] 命只有一条
[10:19] 双方的和谈可能性
[10:21] 的确在短期内提高
[10:22] 不过私下的交锋
[10:24] 这次在川习会登场之前
[10:26] 已经开始有点冲击了
[10:27] 我们看川普在昨天正式表示
[10:29] 他已经透过书信
[10:31] 直接要求习近平
[10:32] 不要再向伊朗提供武器
[10:34] 习近平的回答是
[10:36] 中国没有这么做
[10:37] 这段互动
[10:38] 是美国和伊朗战事升温之际
[10:40] 也是北京会面即将要展开之际
[10:43] 所以现实结果就比表面更复杂了
[10:45] 中方现在是很明显否认
[10:47] 没有军售
[10:48] 但是长期提供军民两用技术
[10:51] 被美方视为变相资源
[10:53] 同时间中国又高度依赖伊朗的石油和中东能源通道
[10:57] 他就必须要在战争当中做出微妙的平衡
[11:00] 事实上我们根据金融时报的报道
[11:02] 这一次金融时报的调查显示
[11:04] 伊朗的革命卫队已经取得中国叫做T101B侦察卫星
[11:10] 在今年三月份军事时期
[11:12] 就用来监控美军的中东多个军事基地
[11:15] 基本上美军的战机当时被摧毁
[11:18] 你看那么多台飞机
[11:19] 偏偏打中那台预警机最贵的那一台
[11:22] 本身金融时报大胆的推测
[11:25] 就是借由中国的卫星的帮助
[11:27] 所达成目标的形成
[11:29] 当然这代表着战争形态
[11:31] 从单纯的飞弹到无人机打击
[11:33] 变成了太空和地面的整合战力
[11:36] 伊朗透过外部
[11:37] 尤其是中国的技术
[11:38] 来补强自身的情报能力
[11:40] 再结合人力情报
[11:41] 再结合俄罗斯的卫星资料
[11:43] 大幅度的提升精准度
[11:45] 要不然这么多台飞机
[11:47] 刚刚好就达到预警机
[11:48] 好像也有点难度
[11:49] 在这样的一个效果底下
[11:51] 等同于美方已经正式向中国施压
[11:53] 那中方的态度就是
[11:54] 我提供的是军民两用的技术
[11:57] 事实上我们看到
[11:58] 这一次的美中博弈
[12:00] 事实上已经在能源和地缘政治全面发酵
[12:03] 事实上在昨天
[12:06] 习近平在接近沉默有七周
[12:08] 针对伊朗战士
[12:09] 进行直接发表谈话之后
[12:11] 在昨天是直接表态
[12:12] 将在中东扮演建设性角色
[12:16] 北京批评美国的封锁行动
[12:18] 很危险
[12:19] 而且不负责任
[12:20] 不过他没有批评伊朗
[12:21] 而且他在测试
[12:23] 全球两大经济体之间的脆弱平衡
[12:26] 毕竟美方扬言
[12:27] 要违反封锁的传承
[12:29] 但是中国相关的游轮
[12:31] 目前部分离开伊朗港口以后
[12:33] 直奔中国
[12:34] 所以双方就变成了
[12:37] 从美伊之间的冲突
[12:38] 变成从伊朗港口出来的中国邮轮
[12:41] 跟美军之间的冲突
[12:43] 压力持续在拉升
[12:45] 毕竟我们看战前
[12:46] 中国大概有11%左右的原油来自于伊朗
[12:49] 虽然不是最大来源
[12:50] 不过伊朗也是中国的第三大的供应国
[12:53] 仅次于俄罗斯和沙乌地阿拉伯
[12:55] 另外29%都来自于其他中东国家
[12:58] 所以整体中东比例还是占了接近有一半
[13:00] 伊朗或者荷姆治海峡出现冲突
[13:04] 其实也不是单一供应来源公断
[13:06] 它是整个中东供应链
[13:08] 都会影响到中国市场
[13:09] 所以我们才会看到说
[13:11] 这一次为什么在内战后格局
[13:14] 中方的介入程度来得越来越高
[13:16] 事实上我们看中俄之间
[13:18] 在本月份也加速进行合作
[13:21] 这一次习近平和普丁
[13:24] 陆续强调中俄关系的稳定性和确定性
[13:28] 那俄罗斯的代表团
[13:29] 在上礼拜也陆续抵达中国
[13:31] 表态会进行进一步的战略合作
[13:34] 那更关键的就是能源和供应链的重组
[13:36] 中国能源进口
[13:38] 虽然中国内部油价并没有全面失控
[13:40] 不过能源进口已经受到影响
[13:42] 那俄罗斯直接表示可以补足缺口
[13:44] 双方的依赖程度进一步的加深
[13:47] 那这种就是标准的经济互补
[13:49] 进行中长期对抗美国主导体系的一部分
[13:53] 那事实上中方在过去几个季度
[13:56] 也尝试的改善跟邻国之间的关系
[13:58] 你看中日关系的冲突虽然还存在
[14:01] 但这几个月稍微淡化了一点
[14:03] 中韩之间也是
[14:04] 与此同时
[14:05] 中印关系
[14:07] 是目前在过去两年当中
[14:09] 成长最快的
[14:10] 当时在2020年的边境冲突
[14:12] 大家拿狼牙棒打来打去
[14:14] 印度和中国的关系
[14:16] 一度陷落到冰点
[14:17] 不过目前过去两年来看
[14:19] 因为目的要重启访中行程了
[14:21] 双方现在恢复了直航
[14:23] 展开了贸易对话
[14:25] 双方看起来合作条件
[14:26] 来得越来越高
[14:27] 对于中国而言
[14:28] 全球压力升高底下
[14:30] 他也不希望
[14:30] 跟另外一个亚洲大国
[14:32] 有互相的对立
[14:33] 关键就卡在投资和信任
[14:35] 印度在本周正式放宽部分对于中资的限制
[14:39] 比如说降低审查门槛
[14:41] 还有加速审批的流程
[14:43] 当然还是保留高度的裁量权
[14:45] 印度一直都是一个比较关税壁垒大国
[14:48] 使得企业的不确定性还是很高
[14:50] 但是印度希望能够缩小对于中国的贸易溢差
[14:53] 所以愿意双方进行进一步的合作
[14:57] 这是我们看到整体市场的氛围
[14:59] 那中欧的关系目前也在和缓当中
[15:02] 我们看斯特兰提斯
[15:03] 这一次居然要考虑跟东风汽车合作
[15:06] 讨论欧洲和中国进行联合生产
[15:09] 甚至开放欧洲闲置的工厂给对方使用
[15:12] 欢迎中国车厂进军欧洲市场
[15:15] 同时也希望欧洲车厂能够持续打开中国市场
[15:18] 那当然知道
[15:19] 中国的电动车品牌的压力越来越大
[15:22] 欧洲希望借由放宽已经趋于饱和的市场
[15:25] 来打入中国市场
[15:27] 甚至取得中国的电动车技术
[15:29] 过去都是欧洲技术输出到中国
[15:31] 尤其是油车
[15:33] 现在中国的产能和技术的反向输出
[15:36] 欧方态度很明显
[15:38] 希望借由你来设厂
[15:40] 我们给你一些优惠
[15:41] 来取得中国电动车的相关技术
[15:44] 双方的合作也在交层
[15:45] 事实上之前我们才看到
[15:48] 因为阿提米斯
[15:49] NASA的第二号任务成功返回地球
[15:51] 这一次我们看到
[15:53] 中欧之间的太空合作
[15:56] 也来得越来越显著
[15:57] 甚至我们看到
[15:58] 欧洲当然现在是陷入到第二次中国冲击的两难
[16:01] 毕竟中国制造力持续的压缩欧洲产业的空间
[16:05] 但是欧洲跟美国关系
[16:07] 现在我们也知道并不是特别好
[16:09] 想要进一步的让欧洲企业能够开放市场
[16:13] 取得进一步的技术
[16:14] 或者打开中国市场
[16:15] 那基本上也只能这样子做
[16:17] 所以我们看到进一步的合作
[16:19] 使得双方中国对于印度的关系
[16:23] 中国对于欧洲的关系
[16:24] 在美方的冲击底下反而有了有效的升温
[16:27] 事实上我们回过头看爱马仕
[16:29] 爱马仕第一季财报营收略微下滑
[16:32] 引发市场的希望
[16:33] 失望大幅的落空
[16:34] 应该讲说希望落空
[16:36] 原本还希望可以借由
[16:38] 因为欧洲现在只剩下军工股在撑还有部分半导体科技股但是实体内需表现已经不是特别好了那爱马仕对于这次中东战火奢侈品的需求冲击影响非常非常大
[16:51] 中东买盘几乎全断了
[16:53] 那现在呢
[16:54] 也希望能够逐步的进一步打开中国市场
[16:56] 来取得进一步平衡
[16:58] 所以我们这人讲说
[16:59] 川普硬要讲了
[17:00] 对内部分他当然有他的交代
[17:02] 可是对外部分
[17:03] 的确越来越有那种外交孤立的加剧
[17:06] 那盟友们开始各走各的路以后
[17:08] 你发现
[17:09] 之前的马克宏
[17:10] 或者没有了之
[17:12] 陆续抵达中国进行参访以后
[17:15] 中国的关系反而跟各国联系程度来得越来越高
[17:18] 当然从原理来看
[17:20] 还是符合美国本身的初衷和利益的
[17:23] 可是对于全球新一轮的格局来看
[17:25] 双方也开始各自角力
[17:27] 这是我们看到第一部分观察的重点
[17:29] 第二部分是股市
[17:31] 股市没有管这么多
[17:32] 反正涨就对了
[17:33] 道中指数小跌72.0.15%
[17:36] 收在48,463点
[17:38] 标普上涨了55.0.8%
[17:41] 直接创下历史新高了
[17:43] 根本不管中东战士
[17:44] 纳扎克指数上涨376点
[17:46] 1.6%
[17:47] 这在24,016块
[17:49] 也是创下历史新高
[17:50] 原油价格都还在90几块每桶
[17:53] 结果股市全面喷出
[17:55] 这一波市场最痛心的是什么
[17:57] 就人人都在等第二只脚
[18:00] 连我最引以为豪的第三只脚也没出现
[18:03] 它就直接这样子喷出了
[18:05] 这就变成了
[18:06] 我们为什么一直作为一个重要的左侧投资者
[18:09] 对于长期投资而言
[18:11] 就是当然大家都可能期待
[18:13] 第二次回撤年限的时刻能够发酵
[18:15] 但真实情况是
[18:17] 川普上任以后
[18:20] 那跌幅稍微长一点
[18:22] 大概两到三周
[18:23] 可是涨起来
[18:25] 花一周到两周就已经全部涨回来
[18:28] 甚至直接创下新高
[18:29] 这导致大多数的左侧投资者
[18:32] 最大的困难都是买不够
[18:33] 更不用讲右侧
[18:34] 你想要去追了
[18:35] 右侧你现在要不要追的问题
[18:37] 压力就很大吧
[18:37] 我们刚看到动量资金
[18:39] 就被迫要进行追高
[18:41] 可是对于左侧而言
[18:42] 你至少买的时间
[18:43] 比涨起来的时间还来得多
[18:45] 这个就是我们看到
[18:46] 我们还是比较偏向
[18:48] 作为左侧投资者的原因
[18:49] 好 费办上涨15点
[18:51] 涨幅不高0.16%
[18:53] 不过收在9239点
[18:56] 这种涨法真的是非常非常惊人
[18:59] 当然我们刚才也提到
[19:01] 硬体股是真的往上涨了
[19:02] 可是软体股
[19:03] 更类似于空头的回补行情
[19:05] 从2月份以来
[19:07] 当时软体股是被大幅的做空
[19:09] 对通基金部位降到历史低点
[19:11] 甚至整个科技股出现
[19:12] 近5年最大规模的资金撤出
[19:14] 那现在呢
[19:15] 就回补空单而已了
[19:17] 那到底
[19:18] 比如说最近
[19:19] Enthropy的新模型
[19:20] 或者AI是否会压缩
[19:22] 软体公司的长期利润
[19:23] 这一些议题
[19:24] 我们还是必须要在
[19:25] 本轮财报季当中
[19:26] 看出新一轮市场的共识
[19:28] 到底是所有软体股全挂
[19:31] 只剩下科技继续投
[19:32] 开始往上涨
[19:33] 还是呢
[19:34] 接下来就是硬体主导
[19:36] 软体股持续疲惫的过程
[19:37] 这样子其实对于AI行情
[19:39] 是不太有利的
[19:40] 毕竟我们不能够期待
[19:42] 台积电一直赚钱
[19:43] 台积电客户都不赚钱吧
[19:44] 所以呢
[19:45] 现在我们看到
[19:46] 美银的策略
[19:47] 在当前市场状态底下
[19:49] 比较属于
[19:51] 同时压多和防跌的双尾交易
[19:53] 什么意思呢
[19:54] 因为标普白指数
[19:55] 是7个交易日
[19:56] 它就收复了
[19:57] 19个交易日的跌幅
[19:59] 波动率也在迅速的增温
[20:01] 市场已经回到暂停的情况
[20:03] 但是油价还在高档
[20:04] 能源市场的压力也未解
[20:06] 代表的是股市已经开始忽略风险
[20:08] 那跟基本面出现落差
[20:09] 这个时候市场就存在两种极端风险
[20:12] 一边是暂时在起
[20:15] 导致下跌
[20:16] 另外一方面是AI和科技行情带动继续上涨
[20:19] 那最不该做的就是什么都不做
[20:21] 要不然你就放弃错过了一轮可以布建的机会
[20:25] 所以在这样的一个情况底下
[20:26] 等同于适度的左右两边布局
[20:30] 左尾方面可能透过VIX期权来做避险
[20:33] 压住如果市场再度动荡
[20:35] 波动率会上升
[20:36] 那右尾就直接压住科技股的动能
[20:39] 买进纳斯达克指数或者买进费办
[20:42] 直接延续的AI行情
[20:44] 毕竟现在上方已经没有任何的卖压
[20:46] 就看它能够推多高了
[20:48] 但是至少我们可以承认
[20:49] 现在整个市场的概况
[20:51] 第一波动率情绪持续的加大
[20:54] 第二市场很明显的
[20:56] 刚才我们提到
[20:56] 包括是美中之间的博弈
[20:58] 或者全球新一轮地缘政治的新格局
[21:01] 都是过去我们是建立在那种全球化
[21:04] 自由市场和央行独立的框架
[21:07] 强调看不见的手
[21:08] 以前是强调QE美元主导
[21:10] 那资金也偏好在大型科技股和私募资本
[21:14] 现在我们迎来了一个新社会
[21:16] 这是美英做的图表
[21:17] 第一个更政治化
[21:19] 第二个干预更强的环境
[21:21] 投资主走从战争的不确定性
[21:24] 走向看似可控的和平叙事
[21:27] 但是又会引发进一步的不确定性
[21:29] 从精英主导变成了民粹的政治崛起
[21:32] 政治上我们强调国家安全
[21:33] 关税还有边境管控
[21:35] 央行也从独立走向配合政府
[21:37] 同时间市场的结构也在转变
[21:40] 从老年世代往Z世代
[21:42] 从人力资本转向AI
[21:44] 从原本的单纯七巨头
[21:48] 开始外溢到各大产业
[21:49] 整体来看
[21:50] 就是从一个全球化的资本主义
[21:53] 转向国家主导
[21:55] 再分配的实体投资驱动的新资本秩序
[21:58] 你抓准了这个产业以后
[22:00] 你就发现
[22:00] 包括国防产业
[22:02] 无人机产业
[22:02] 地缘政治冲突产业
[22:04] 这种格局
[22:05] 我们追求的已经不是全球的效率化提升了
[22:08] 我们追求的是各个国家的利益优先
[22:10] 所以你看行情现在波动越来越大
[22:13] 你不如要回头检视自己真正需要的是什么
[22:16] 你要是短期的快感
[22:18] 哇那每个月都有啊
[22:19] 还是长期的安稳
[22:21] 股市是很诚实的
[22:22] 他造建的
[22:23] 不会说是你单纯资产短期内的变化
[22:26] 它是那种人性
[22:27] 最深层的欲望和恐惧
[22:29] 现在大多数人的担心都不是中东战士
[22:31] 都是没买够怎么办
[22:33] 所以我们讲说
[22:34] 投资这条路
[22:35] 本质就是在波动当中去换取报酬
[22:38] 如果你只想要上涨时抱住
[22:40] 一下跌又离场
[22:41] 其实等于把风险留给自己
[22:43] 却把报酬拱手让人
[22:44] 市场不会给你只涨不跌的剧本
[22:46] 每一次的真正大收益
[22:48] 背后几乎都会伴随着震荡和不确定性
[22:51] 我们要这样想
[22:52] 如果你连一天的资产蒸发
[22:55] 10%的情境都无法接受
[22:57] 关税战
[22:58] 那你也很难真正抓住
[23:00] 10% 20%
[23:01] 甚至翻倍的机会
[23:02] 因为那些报酬
[23:03] 本来就是对应
[23:04] 同等或者更高的波动
[23:06] 投资不是在躲避下跌
[23:09] 它是在学会下跌当中
[23:11] 你还能够活下来
[23:12] 能够站稳
[23:13] 所以这是我们采取的策略
[23:14] 当行情回来的时候
[23:16] 你还会发现自己还在场上
[23:18] 你才有资格去收获结果
[23:21] 大家想想
[23:22] 能够让唐僧成为唐僧的
[23:25] 不是经书
[23:26] 是那条取经的路
[23:28] 我每天晚上也会取经
[23:30] 我是说诵经
[23:32] 我会念那个药师经或者心经
[23:34] 好但不重要
[23:35] 重点就是
[23:36] 你没有体会过这种波动
[23:38] 你怎么能够抱得住呢
[23:39] 所以2026年最大风险
[23:41] 还是抱不住
[23:42] 好我们回过头来说
[23:43] 整个AI的发展概况
[23:45] 基本上还是非常紧密的
[23:47] 这也是本轮AI财报季的重点
[23:49] 毕竟AI的军备竞赛
[23:51] 还在升级当中
[23:53] 我们看艾斯摩尔最新所公布的财报
[23:55] 上修裁册了
[23:57] 难得
[23:57] 过去几个季度
[23:59] 他裁册感觉好像永远都在下调
[24:01] 每一次都是财报不错
[24:02] 裁册下调
[24:03] 这次居然上调了
[24:04] 预估全年营收会落在
[24:06] 3600亿到400亿欧元之间
[24:08] AI的需求
[24:09] 正在推动半导体产业的扩产
[24:12] 连艾斯摩尔这种
[24:13] 每一次都给负面消息的
[24:15] 都开始往上跑了
[24:16] 似乎说明着
[24:17] 新一轮的资本带动潮开始了
[24:20] 甚至我们看到
[24:21] 韩国在今年一季度
[24:23] 正式成为了爱斯摩尔的最大市场
[24:25] 设备销售占比
[24:27] 从前一季的22%
[24:29] 跳升到45%
[24:30] 原因就是三星和SK海力士
[24:32] 正在全面扩产
[24:34] AI资料中心应对记忆体的需求
[24:37] 出现暴增
[24:38] 现在确保了
[24:39] 2026年订单满了
[24:40] 就说明着
[24:41] 2026年产能满了
[24:42] 那就说明着
[24:43] 2026年的EPS不会有变动了
[24:45] 因为满了
[24:46] 你就是用最产能最满的情况
[24:48] 去估2026年
[24:49] 现在的问题在于
[24:51] 2027年订单已经排到哪里去了
[24:53] 当然AI的军备竞赛仍然在持续拉升
[24:57] 美国的领先按照贝森特昨天的说法
[24:59] 已经只剩下三到六个月的时间
[25:02] 他特别指出Enthropy最近所推出的模型是一个进展因为它能够找出软体和系统漏洞方面的能力当然他也可能改变整个慈安和科技产业的格局世代变动来得越来越大
[25:14] 他也呼吁接下来的民主党
[25:16] 能够尽快开放AI的法源依据来配合联邦政府
[25:20] 他这么想是有原因的
[25:22] 因为现在AI的监管站已经全面开达了
[25:25] 民主党甚至最近在中期选举之前
[25:28] 获得了大量的科技派的资金
[25:31] 为什么呢?
[25:31] 因為這些科技派希望民主黨不要在AI監管層面大力的綑綁
[25:36] 由矽谷所資金規模的親AI團體
[25:39] 大概已經募集了3億美元
[25:42] 在各個選戰當中出手
[25:44] 管你是共和黨還是民主黨
[25:45] 你支持AI
[25:46] 那這筆錢就給你
[25:48] 這個策略是有潛力可循的
[25:49] 以前都是主要給共和黨或者白宮來成功的遊說白宮內部的科技派
[25:54] 而現在民主黨也大量的被摸頭
[25:57] 希望不要在地方法规层面
[26:00] 来跟中央硬碰硬
[26:02] 事实上我们过去跟投资朋友提过
[26:04] 目前整个AI市场概况
[26:06] 引发了一系列的法律争议
[26:08] 目前正在发酵
[26:09] 一个是我们过去提过
[26:11] 贝森特和鲍尔
[26:12] 在上礼拜的时候
[26:13] 就已经紧急召开了会议
