[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由雨伞王赞助
[04:39] 波尔多的味道是比较偏重一点
[04:41] 所以我就没有那么喜欢
[04:42] 我还是比较喜欢
[04:43] 就是可能像是伯根地这样的风格
[04:45] 那当然伯根地
[04:45] 因为它比较稀缺的一个关系
[04:48] 所以一级元特级元
[04:49] 特别是知名的酒庄
[04:50] 现在都是炒作到一个
[04:52] 非常难以接近的价格
[04:53] 可是不代表你一定要去买这个
[04:55] 才可以喝到伯根地的一些风味
[04:57] 就如果你今天去走一些
[04:58] 村庄级的选项
[04:59] 或者是一些
[05:00] 可能没有这么知名度的酒庄
[05:02] 但是因为伯根地
[05:03] 它毕竟是耕地块的
[05:04] 也就是可能像一些特级元一级元
[05:06] 上面会有很多人在那边耕种
[05:08] 理论上当然只有两派的说法
[05:10] 一派的说法就是说
[05:12] 其实酿酒师本身会决定的口味很大
[05:15] 另外一派的说法
[05:16] 特别是有很多大师的说法是
[05:17] 我们只是忠实的去反映这个地块该有的一个味道
[05:21] 所以酿酒师呢
[05:22] 如果你有自己的太多色彩在里面
[05:25] 反而不是一个好事情
[05:26] 那总之呢
[05:26] 我自己也是比较偏向是地块的一个信徒
[05:29] 那当然有些酿酒者非常强大的
[05:31] 像乐浩我觉得就是真的是很厉害
[05:33] 那实际上他价格也是贵的不可思议
[05:35] 那他种出来的东西就真的比别人香很多
[05:37] 你也不知道到底发生什么事情
[05:38] 即便是在同一个地块
[05:39] 那可是呢
[05:40] 绝大多数的状况之下
[05:41] 你用地块去选
[05:42] 我觉得是OK的
[05:43] 就没有什么太大的问题
[05:44] 那波尔多的话呢
[05:46] 就是跟着酒庄啦
[05:47] 所以如果说预算比较够的
[05:48] 你就可以去买他一军的酒
[05:50] 那如果预算没有这么够的
[05:52] 像那些五大
[05:52] 他们都有他的二军的酒
[05:53] 那二军的酒
[05:54] 其实差距也不会到太大
[05:56] 是一个可以减便宜的选项
[05:58] 那再来呢
[05:59] 我自己是比较喜欢右岸
[06:00] 就是一开始在长辈推坑之下
[06:02] 他们都推我左岸
[06:03] 但后来发现说
[06:04] 就是长辈他们可能
[06:05] 你知道他有些味道喝不到
[06:06] 就像是我可能喜欢喝
[06:07] 十八天跟金牌
[06:08] 那长辈就说
[06:09] 他们喜欢喝传统的台啤
[06:10] 他们觉得这才有味道
[06:11] 所以一样的道理
[06:12] 就是我可能年纪还没有到
[06:13] 所以我后来就觉得说
[06:14] 左岸的东西都是太重了
[06:16] 酒味太浓
[06:17] 所以真的要喝
[06:18] 就是它一定要放很久
[06:19] 它可能要30年40年以上的
[06:20] 我才会觉得说OK
[06:21] 可是30 40年又有可能会放到
[06:24] 已经有一些
[06:24] 那种金针菇尾部的味道
[06:26] 那有些人喜欢那个味道
[06:27] 可是我非常的不喜欢
[06:28] 所以后来就对左岸就还好
[06:30] 我比较喜欢右岸的
[06:31] 就是Pomerol
[06:31] 然后跟Merlot葡萄
[06:33] 它所酿出来的一些红酒
[06:35] 那当然右岸的东西有蛮多
[06:36] 也是被炒到很靠背的价格
[06:38] 那如果说我们今天进入新世界
[06:40] 就是往美国那边去的话
[06:41] 那美國這邊我就有很多很喜歡的
[06:44] 那像一個什麼Montbrave勇敢山
[06:47] 那也是可能兩三千塊
[06:48] 我覺得它的味道就很好
[06:49] 那貴的話呢
[06:51] 像Screaming Eagle
[06:51] 我真的就是還蠻喜歡的
[06:53] 但是我後來最喜歡的是一個Harland
[06:55] 它大概就是Screaming Eagle的半價而已
[06:57] 可是味道非常好
[06:59] 那Screaming Eagle的話
[06:59] 我覺得它的平替版本
[07:00] 就是你可以選那個Cask23
[07:02] 它是還蠻不錯的
[07:03] 那再來呢
[07:04] 如果說你覺得整個
[07:06] 哪怕也是不便宜的話呢
[07:07] 你可以再往南美去選
[07:09] 我覺得那個味道
[07:10] 其实并不会说差很远
[07:11] 都是比较偏向是那种水果炸弹的感觉
[07:14] 就是满满的果味非常的浓郁
[07:16] 那南美洲就有超级多
[07:18] 便宜实惠的选项
[07:19] 像之前跟大家推的那Catina
[07:20] 就是南美的一个
[07:22] 我觉得是还蛮厉害的酒庄
[07:24] 那我就直接来跟大家讲一下
[07:25] 我在全联挑到了哪些东西
[07:26] 那首先有一个是DV Catina Malbec
[07:29] 这个我觉得它喝起来的味道
[07:33] 是非常的干净的
[07:35] 就是说它有当然各种浓厚的果香
[07:38] 一点点那种黑色水果的味道
[07:40] 这个不是我在那边瞎掰
[07:41] 我特别去买了一本那种味道书
[07:43] 然后就整天在那边闻那个味道
[07:45] 黑李子啊
[07:46] 一点点紫罗兰
[07:47] 那巧克力的话
[07:48] 可能有些人闻得到
[07:48] 有些人闻不到
[07:49] 我觉得好
[07:49] 但问老婆他可能闻得到
[07:50] 那再来就是一些橡木的味道
[07:53] 那口感呢
[07:54] 算是很饱满的一个选项
[07:57] 那这个东西呢
[07:58] 在这个价位
[07:59] 就是可能几百块来说
[08:00] 是非常的物超所值啦
[08:02] 就是你要感受一下
[08:03] 这种水果烘炸的话
[08:05] 我觉得它是一个还蛮屌的选项
[08:07] 那第二个呢是Luca Laborde
[08:09] 那它是一个Cera
[08:11] 就是用Cera这个葡萄所做出来的东西
[08:13] 那它的香味的辨识度就是还蛮高的
[08:16] 那多了一点点
[08:17] 就是他们把它称为是皮革味
[08:19] 那它的口感也是偏浓
[08:21] 但是呢不会说太重
[08:23] 然后再来就是
[08:24] 我觉得它丹宁是还蛮结实的
[08:26] 那尾韵呢是相对长一点的
[08:29] 那以这个价位的酒来说
[08:31] 你要有比较长的尾韵
[08:32] 其实是比较困难的
[08:33] 就是简单来讲就是说
[08:34] 像我自己喜欢的一些酒装
[08:36] 我会故意买它最入门
[08:38] 跟它最贵的
[08:38] 一般最贵的就是说
[08:40] 那个味道的细腻度
[08:41] 跟精致程度会拉到很高
[08:43] 有点像是说
[08:44] 你今天去买一个
[08:46] 怎么讲
[08:47] 就可能几千块以上的毛衣
[08:48] 然后到你去买那个什么
[08:50] Loropiana
[08:50] 老实讲
[08:51] 对于绝大多数人来讲
[08:53] 你已经分不出差别
[08:54] 你真的要很认真去喝
[08:55] 你才喝出那个差别
[08:56] 那有点像这样子的味道
[08:57] 所以基本上
[08:58] 你只要挑到一个
[08:59] 够好的酒庄
[08:59] 跟不错的地块
[09:00] 你就很难输了
[09:01] 那在网上
[09:02] 要去分出来就不容易
[09:03] 但可能像是
[09:04] 尾韻這個東西
[09:06] 就是說它的味道拉的長不長
[09:07] 這個對我來講
[09:08] 實在還蠻明顯可以分得出來
[09:09] 它是相對長
[09:10] 以這個價位來講
[09:11] 算是一個非常好的選項
[09:12] 然後去配一些比較重口的東西
[09:14] 我覺得是還蠻適合的
[09:16] 所以可能是一個蠻令人興奮的Cera
[09:19] 這算是還蠻推薦的
[09:20] 然後再來西班牙有一款
[09:22] 叫做Bardo's Reserva
[09:23] 那這個我自己也算是還蠻喜歡的
[09:26] 它是Tempranillo
[09:27] 然後可能搭一點Carbonate Sauvignon
[09:29] 去做出來的
[09:31] 那是用那種
[09:32] 好像是全新的橡木桶
[09:33] 去熟成一阵之后
[09:34] 才把它放出来
[09:35] 那它就是有一点那种
[09:36] 黑醋粒的味道
[09:37] 然后有一点点雪松
[09:39] 我感觉是这样子
[09:40] 那薄荷
[09:41] 我上网查了蛮多人说有
[09:42] 可是我是喝不太出薄荷的味道
[09:43] 但总之呢
[09:44] 这也是一支蛮认真
[09:45] 然后是现代风格的酒
[09:47] 那以这个价钱来说呢
[09:50] 它算是给你非常多的东西
[09:51] 所以这也是一个蛮赞的选项
[09:53] 然后再来就是两个白的
[09:55] 因为我觉得有红的就好
[09:56] 白的
[09:56] 那首先是一个叫做
[09:58] FAMILLE
[09:59] 应该是这样念
[10:00] 就是FAMILLE
[10:02] MASSE
[10:03] 那后面就是那个法文
[10:05] 超难念的
[10:06] Tara
[10:06] 不会
[10:07] 反正就是
[10:08] 总之你用Famimas
[10:10] 应该就可以找到
[10:11] 然后
[10:11] Bourgogne Chardonnay
[10:13] 它这是Chardonnay
[10:14] 2022年份的
[10:15] 那这是一个
[10:16] 比较那种小型的家族酒庄
[10:19] 是用老藤去做的
[10:21] 那它是用不锈钢槽
[10:23] 加橡木桶去做配合
[10:25] 大概可能是熟成了
[10:26] 大概十个月左右
[10:27] 那它的香气就是蛮典型的
[10:29] 大家可能白酒会喜欢的
[10:31] 像是什么
[10:31] 青蘋果 白桃
[10:33] 然後一點點的榛果
[10:35] 然後一點點的碎石
[10:37] 後來才知道這個叫碎石
[10:38] 因為像我之前就喝一個雙基的酒
[10:40] 那時候還有一些長輩以為說
[10:42] 這個酒可能是壞掉了
[10:44] 因為怎麼會這麼黃
[10:44] 然後我說聞起來超像鞭炮的味道
[10:46] 然後後來來說這個鞭炮的味道
[10:48] 就是他們後來把它稱為是碎石
[10:50] 或者說礦物的味道
[10:52] 以前有一個說法是說
[10:54] 這種礦物的味道
[10:55] 應該是在土壤裡面有很多的
[10:57] 可能石頭或什麼的
[10:58] 然後釀出來就這樣子
[10:59] 只是後來
[11:00] 因為上次我去參加品酒會的時候
[11:01] 里面有一个老师
[11:01] 他就去做了很多的说明
[11:03] 他说最后面他们有发现
[11:04] 那个味道其实不是说什么
[11:05] 葡萄可以去从土壤里面
[11:07] 吸到那些石头的味道
[11:08] 他是没有办法的
[11:09] 他可能是发酵的时候
[11:11] 会产生那样子的一个味道
[11:13] 那总之呢
[11:13] 这个我觉得应该是
[11:14] 蛮多人都会喜欢的
[11:16] 用一个超级便宜
[11:17] 极表快的价格
[11:17] 就可以当成是一个配餐
[11:19] 可能配海鲜在还蛮适合
[11:20] 其实在还蛮顺口的Charlotte
[11:22] 也是一个
[11:22] 就是可能可以参考的选项
[11:24] 那最后一个是
[11:25] Matoa Sauvignon Blanc
[11:27] 那这个就是一个
[11:28] 我觉得绝大多数人
[11:31] 就如果正要入門的話
[11:32] 用這個應該最簡單
[11:33] 因為它酒味沒有很重
[11:34] 那就把它冰到冰箱
[11:34] 就讓它很冰就對了
[11:35] 你不要屌它說什麼
[11:36] 12度 14度
[11:38] 不用 就是讓它變超冰的喝
[11:40] 就不會有問題
[11:40] 那它的香味就是非常的
[11:43] 怎麼講
[11:44] 就是我覺得其他多種會喜歡
[11:45] 有點那種像美酒的感覺
[11:46] 什麼可能一些檸檬
[11:48] 一些青草味
[11:49] 然後再來就是水果 百香果什麼
[11:51] 這個你都會感覺到
[11:53] 酸度高又很乾淨
[11:54] 可是它有一個小缺點就是
[11:56] 它放一段時間
[11:57] 它就會就類似那種老婆跟弟一樣
[11:59] 那個味道很快就會散掉
[12:00] 但是如果說你剛開瓶直接冰冰的下去
[12:03] 我覺得這個應該是蠻多人會
[12:04] 在夏天可以做的一個選項
[12:06] 就你不要想太多
[12:06] 麻煩便宜就直接把它拿來灌這是OK的
[12:09] 所以以上就是我在全聯的一些小發現
[12:12] 當然不要在後面就立刻在叫我說什麼
[12:14] 已經有人問說你去美聯社
[12:15] 因為我之前PO限動
[12:16] 去美聯社
[12:17] 然後你去什麼家樂福或者說好市多
[12:21] 有空再去
[12:21] 因為我家就像我剛剛前面講的
[12:23] 那個歷史是太長了
[12:24] 所以對或許之後有空氣氛對再來試看看
[12:28] 但我覺得蠻有趣的
[12:29] 有時候聽眾給我出一個任務
[12:30] 我也沒有想過說
[12:31] 我可以這樣去做嘗試
[12:32] 總之就是一個滿有趣的發現
[12:34] 在這邊稍微的跟大家簡單分享一下
[12:37] 好 希望大家飲酒要適量未成年人不要亂喝酒大概這樣接下來我們進入我們今天節目的話題那這邊的盤面應該讓蠻多人很有感覺至少我自己也開始去吃了一些回檔但並沒有覺得說有很大的傷害
[12:51] 因為這一波從上次修正的低點
[12:54] 就差不多六月的上旬
[12:55] 最低大概是摸到四萬兩千點
[12:57] 然後後來噴到了四萬八千多點
[12:59] 所以又是短短的時間內就拉了六千多點
[13:02] 那現在稍微的拉回
[13:04] 甚至連一些主要的均線都還沒有跌破
[13:06] 所以感覺就是可能創新高州的一個
[13:09] 休息
[13:09] 那当然有些人可能会把这个
[13:11] 视为是一个假突破
[13:12] 但这样看其实是不对的
[13:14] 所以假突破可能是
[13:15] 今天已经是盘整盘了
[13:17] 很长的一段时间
[13:18] 然后突然间拉上去
[13:19] 接着直接灌破往下又再破底
[13:21] 这个才会算是一个假突破
[13:22] 那以现在这个状况
[13:24] 看起来比较像是说
[13:25] 就是涨多拉回
[13:26] 因为前面从42000拉上
[13:27] 也是直接又拉了6000点
[13:28] 所以这个盘是非常恐怖的
[13:30] 说不定后面休息一下之后
[13:31] 又再继续的往上喷射
[13:33] 很难讲
[13:33] 那这一波当然大家会想要
[13:35] 去找一些下跌的理由
[13:37] 有人说可能是
[13:38] 美银发了一个报告说升息会升三次
[13:40] 什么有的没有的
[13:41] 但是我自己觉得触发点可能是韩国郎造成的
[13:45] 因为韩国人
[13:45] 大家知道说他们的指数下
[13:47] 已经变成像是那种全民大赌场的感觉
[13:50] 韩国人他们很厉害的点是说
[13:51] 他们并不是只会影响到自己国内的人
[13:54] 他们会跑到外面
[13:56] 像之前去搞Tesla去搞Pantier
[13:58] 然后或者搞一些鬼谷小票
[14:00] 那或者Wall Street Bets上面的一些标的
[14:02] 然后加密货币什么
[14:03] 反正每次只要韩国人群聚的地方
[14:05] 后面就是很容易会有那种瞬间的爆炸产生
[14:08] 那这个瞬间爆炸怎么产生呢
[14:10] 我今天刚好早上在跟一些朋友聊天的时候
[14:12] 就说其实这一波有点像是那时候Archegos爆仓的时候
[14:15] 大家不知道还记不记得Archegos比欧皇
[14:17] 那时候跟大家介绍这个故事
[14:18] 那他也是含义的
[14:19] 那反正总之就是他用大量的杠杆去搞一些标题
[14:22] 然后最后面呢因为有一些标题爆炸
[14:24] 就连带的他可能就要疯狂的去砍仓一些东西
[14:27] 然后就去触发一个连锁效应
[14:28] 那一个人就有可能会造成这样子的影响
[14:31] 讲说韩国一堆
[14:32] 然后再买那种杠杆ETF
[14:34] 买到爆炸的
[14:35] 他们确实是有机会
[14:36] 会造成一些那种全球性的影响
[14:37] 所以我的体感是比较偏向说
[14:40] 感觉是韩国那边
[14:41] 先开始大爆跌之后
[14:42] 然后后来全球的一些市场
[14:44] 就跟着被影响
[14:44] 甚至在台湾这边
[14:46] 有些人讲说什么韩国股市在跌
[14:47] 可是我心中想
[14:48] 韩国股市在跌到底干我们屁事
[14:49] 但可能就是有一些那种
[14:51] 心情上会联动吧
[14:52] 看到一些那种韩国的大型巨头
[14:54] 突然间那边掉摔
[14:55] 然后装上指数出现一些熔断
[14:57] 有些人可能就觉得紧张
[14:58] 就想要把东西丢出来
[15:00] 但我自己觉得
[15:00] 这一波并没有找到
[15:01] 一些solid的理由去解释
[15:03] 老实讲
[15:04] 我们的听众都知道
[15:05] 我们在下跌的时候
[15:06] 不用花太多时间去解释
[15:07] 为什么下跌
[15:08] 因为你解释了半天
[15:09] 后面V上来
[15:10] 你就是把自己的脸打到烂掉
[15:11] 像是可能在六月上旬的
[15:13] 这一波回档
[15:14] 那时候也是一堆人
[15:15] 跟你一堆说法
[15:16] 讲了半天
[15:17] 你现在就回头看他们的说法
[15:19] 你不觉得说就很好笑吗
[15:20] 就是为父心持强说仇
[15:21] 明明就没有事情
[15:22] 然后你也要把它讲得很严重
[15:24] 那其实每个人都一定会
[15:25] 对市场有一些评论或是看法
[15:27] 我意思就是不要把话踩死
[15:29] 因为终究你就是在市场里面
[15:31] 要持续的做多
[15:32] 你才会赚到钱
[15:32] 终究是要这样子
[15:34] 所以就是每次的修正
[15:35] 你可以稍微的去做一些调整
[15:36] 你可以稍微的去找一些理由
[15:38] 来自驾一下自己的逻辑
[15:40] 可千万不要因为这样子
[15:41] 然后满手放空
[15:43] 因为满多人这样做
[15:43] 那你就想过去的几年
[15:45] 绩效一定都不是太好
[15:46] 总之我会觉得说
[15:47] 这波没有办法找到一个
[15:49] 像样的修正理由
[15:50] 比较平常的时候
[15:51] 可能就是涨多的一个拉回休息
[15:53] 拉回的幅度也很大
[15:54] 可是也不要忘记
[15:55] 上去也很多
[15:56] 上去了6000点
[15:57] 所以这样下来一下还OK
[15:59] 那在过去的几天
[16:01] 我自己也产生一些想法
[16:02] 我第一个想法就是说
[16:03] 会不会大家终于要
[16:04] 就是密底刮
[16:05] 要往台积电里面去跑
[16:07] 因为在过去我们有注意到
[16:08] 就是数个交易日
[16:10] 像是被动元件
[16:11] 或是功率元件
[16:12] 都开始出现了一些回荡
[16:13] 但今天被动元件又再一次的
[16:15] 又转强了
[16:17] 像是国具
[16:17] 基本上这波修正跟没有跌到一样
[16:19] 然后其他的一些被动元件
[16:21] 其实都是相对的强势
[16:23] 在整个盘面来讲
[16:24] 那功率元件
[16:25] 就在过去已经喷一阵子
[16:26] 然后最近的两天
[16:27] 也开始出现休息
[16:28] 可是整体来看
[16:30] 他们的形态
[16:30] 都还是非常漂亮的一个
[16:32] 多头的结构
[16:33] 那所以自己是不会觉得说
[16:35] 这种东西
[16:36] 我必须要把它清藏掉
[16:37] 就只是因为有一个小回荡产生
[16:39] 但是就是会担心说
[16:41] 会不会在这一波的转换之后
[16:43] 大家终于要躲进去台积电
[16:44] 所以在前几天
[16:44] 我自己也有去试着
[16:45] 就把一些东西丢掉
[16:46] 然后换进台积电
[16:47] 当然台积电也是跟着吃回荡
[16:48] 它回檔的幅度就沒有大家大
[16:50] 可是在今天盤中
[16:52] 就是剛才我想一想
[16:53] 我又覺得
[16:54] 因為又再一次跟身邊朋友討論
[16:55] 我就說我感覺就是TSM一定要上的
[16:58] 可是問題是就感覺中小沒有死透
[17:00] 所以本來買了蠻多的TSM
[17:02] 又把它稍微再降一點點
[17:04] 又再弄回去中小
[17:05] 所以這一波操作
[17:06] 我自己也覺得比較沒有一個邏輯
[17:09] 比較偏向是一個感受的東西
[17:10] 就是前面你看到一些回檔產生
[17:12] 那想說OK
[17:13] 我要先躲進台積電
[17:14] 就按照本來的規劃
[17:14] 可是當你發現說
[17:15] 其實好像中小沒有死掉的時候
[17:17] 又把它拉出來
[17:18] 就可能稍微的闪掉一点风
[17:19] 可是我觉得对整体的部位的影响不大
[17:21] 反正该次的回涨全部都只有迟到
[17:23] 所以又再继续的先回去中小
[17:25] 可能我要等到台积电这波再一次的往上过
[17:28] 小波段的新高
[17:29] 我就会再觉得说再去介入
[17:31] 可是现阶段会觉得
[17:32] 反正既然修正大家都一起来修正
[17:34] 它也没有特别好像说很扛的感觉
[17:37] 所以感觉我本来前一两天认为说垃圾盘会出现
[17:40] 可是我现在看就觉得垃圾盘感觉不会出现
[17:42] 所以就再一次的跑回去中小里面
[17:45] 接下来最近在市场上面
[17:46] 偏向发哥的话题是比较多一点
[17:48] 我们就简单的来讲一下
[17:49] 首先是发哥的涨价性
[17:52] 这个应该蛮多人都有看到
[17:53] 然后再来就是新闻上
[17:54] 已经有把它爆出来了
[17:55] 它并没有去载明说
[17:57] 要去调涨的晶片的项目跟幅度
[18:00] 所以一般我们就把这个视为
[18:01] 是可能全产品线都有机会
[18:03] 会去做调整
[18:04] 这个调整可能不会是一个均衣价
[18:06] 就可能也是按照说
[18:07] 不同的客户会有不同的一个幅度
[18:09] 就像是我们可能在被动元件
[18:10] 所看到的一个现象一样
[18:12] 当然这件事情
[18:13] 它对公司一定是一个加分项
[18:15] 很多人可能就吸反射
[18:17] 就说那为什么股价没有涨
[18:18] 是不是利多出尽什么
[18:19] 没有我觉得是因为前面真的涨很多
[18:21] 就前面真的涨非常多
[18:23] 所以后面的一些利多
[18:24] 不一定推得上去
[18:24] 就类似说可能像Invidia
[18:26] 它有很多好消息
[18:27] 可是不一定推得上去
[18:28] 因为毕竟就真的是已经推很多
[18:30] 但有可能后面假设盘面的结构转变
[18:32] 市场开始喜欢大型股的话
[18:35] 就有可能会把这个涨价线的故事
[18:37] 就拿出来炒
[18:38] 这个是有机会的
[18:39] 总之就是这个
[18:40] 对于整个公司的财务素质来说
[18:42] 我觉得就是一个加分项
[18:44] 是一个蛮不错的讯号
[18:46] 重点是说你涨得动客户
[18:48] 客户给你涨
[18:49] 这个就是一个好事情
[18:50] 那再来就是大家应该有看到
[18:51] 郭明奇有去贴说
[18:53] 联发客这边有一个新的晶片有拿到
[18:56] 就Google要给他收了
[18:57] 叫做Triggerfish
[18:58] 那这个Triggerfish
[18:59] 我们稍微都去做了一下调查
[19:01] 那去问了一下
[19:02] 其实这算是一个非常早期阶段的东西
[19:05] 就是一般来说
[19:06] 像我们在市场上跟大家分享的东西
[19:08] 都是你可能已经是有看到
[19:10] 他有一个road map跑出来
[19:12] 已经有一些状况
[19:13] 才会跟大家去讲说
[19:14] 可能后面有什么契机可以去注意
[19:15] 但这个真的是还在非常early phase的一个东西
[19:18] 严格上来说
[19:19] 它并不是说额外再去拉出一颗
[19:22] 就是那种standalone的晶片
[19:24] 它比较平常是用本来的晶片去做一些调整
[19:26] 可能在memory这边去做一些加量
[19:29] 加料之类的
[19:30] 那所做出来的一颗
[19:31] 所以它没有办法就是单一的去评量说
[19:34] 它可能会多多少量
[19:35] 我们可以把它视为说跟前面的那一颗
[19:37] 算是包在一起
[19:39] 就triggerfish
[19:39] 然后跟前面不管是zebra或是humo
[19:42] 就是联发科这一条线
[19:43] 你可以把它算成是一起
[19:45] 不过因为说Triggerfish
[19:46] 然后就额外就多出很多市场
[19:47] 可以这样去想象
[19:48] 但是其实可以代表说
[19:49] 它有办法在Google这边
[19:51] 在额外去拿到案子
[19:52] 那一定就是在开发上面
