[00:00] 欢迎收听谷爱,我是圣梦公,本集节目由Sally赞助
[07:14] 管線啊散熱板或什麼的
[07:15] 那它裡面的東西就全部都擋起來
[07:17] 沒有辦法看到
[07:18] 那當然我們還是有辦法
[07:19] 透過一些管道
[07:20] 其實我們知道說裡面的東西是怎麼樣
[07:22] 那只是它可能就是還沒有Ready
[07:24] 所以就長這個樣子
[07:25] 那LPU大家會比較期待的原因是因為
[07:27] 它並不會說真的放到極大的一個量
[07:29] 它大概我們目前估計
[07:30] 一年来说大概就是一万到
[07:32] 可能一万五千Racks左右
[07:33] 可是毕竟它是一个新的东西
[07:36] 它是完成收购之后
[07:37] 所搞出来的一个新的路线
[07:40] 所以我们很好奇
[07:41] 它里面有什么样的一些原件
[07:42] 但就是比较可惜没有看到
[07:44] 再来有看到CPU Rack
[07:46] CPU Rack的话
[07:47] 其实大家都算是非常的熟悉
[07:48] 反正CPU的Configuration
[07:50] 大家都已经懂了
[07:51] 只是他现在把它变成是
[07:52] Whole Rack去做推出
[07:54] 最主要的应用就是用在
[07:55] Algentic的AI Workflow里面
[07:57] 其实在这边
[07:58] 市场上有一个说法是这样的
[08:00] 之所以會用到這麼多的CPU
[08:01] 其實是因為現在的Agentic Workflow
[08:03] 並沒有做得很好
[08:04] 所以模型很多時候它是在撞牆
[08:07] 它瘋狂的撞牆要去找那個路線
[08:09] 所以導致它去用掉了很多的CPU
[08:12] 等到有一天可能把模型優化之後
[08:14] 說不定就不需要用到這麼多的CPU了
[08:17] 就有些人會用一些
[08:18] 可能比較偏空的角度來看這件事情
[08:20] 這件事情我覺得還是回到Satya講的
[08:23] 反正總之就是你把一個東西的成本降低
[08:26] 大家可能會以為說
[08:27] 所以這些元件就沒有辦法再炒上去
[08:30] 需求就沒有這麼大
[08:31] 沒有你把它成本降低
[08:32] 其實用的人會更多
[08:33] 現在在用AI的人
[08:35] 嚴格上來說是很小百分比的人
[08:38] 一些那種什麼geek在用
[08:39] 實際上在大家生活之中
[08:41] 每個人都會講AI
[08:42] 可是你說他們到底exposure多少
[08:44] 那個很不多
[08:45] 所以我不會認為說
[08:47] 你去把軟體的一些流程給改善之後
[08:50] 你就會少用CPU
[08:51] 對你會少用一點CPU as a person
[08:53] 但是會有更多人用
[08:55] 你會有更多的應用都要去用
[08:56] 所以整体来说
[08:57] 那个数字会再更大
[08:58] 那所以像CPU这种configuration
[09:01] 就是在后面的
[09:03] 还是可以持续的去做关注
[09:04] 因为在Agentic的workflow里面
[09:06] 它必须要整天的去
[09:07] 滋用各式各样的东西
[09:09] 它去做派遣
[09:09] 有一个像是教练的形式的存在
[09:11] 所以在CPU的用量
[09:13] 就会去走到很大
[09:14] 那再往后看的话
[09:15] 关于这个像是什么VRubin
[09:18] 大家都非常熟悉的
[09:19] 所以我们就不用再花
[09:20] 太多时间去讲
[09:21] 但有时候我会觉得有点不公平
[09:22] 因为可能有人是刚加入市场的
[09:24] 他就会想说
[09:25] 这个对他来讲是新鲜的东西
[09:26] 然后我们一直想说
[09:26] 这个是老梗
[09:27] 这个可能有点类似说
[09:29] 搞不好我们在可能
[09:30] 因为我最早看台积电的时候
[09:31] 大概它是一两百块的东西
[09:33] 我在看一两百块台积电
[09:34] 我觉得是很新鲜
[09:35] 很酷的东西的时候
[09:35] 那我后来知道说
[09:36] 像我们楼下的一个邻居
[09:38] 他是几十块的时候
[09:39] 就在看台积电的
[09:40] 因为他就是年纪比较大一点
[09:42] 所以在他的角度
[09:43] 说不定那时候
[09:44] 我就跟他讨论的时候
[09:44] 他就讲说
[09:45] 这个东西可以到那么高吗
[09:47] 就是我以前看他是十几块
[09:48] 他现在两百多块
[09:49] 你说可以到一千
[09:50] 我不太相信可以到一千
[09:51] 可是最后面他可能就真的到
[09:52] 一千两千三千去了
[09:53] 所以后来的人
[09:54] 当然这些东西
[09:55] 对他们来讲
[09:56] 还是很新鲜的
[09:57] 只是说对于前面的人来说
[09:59] 有时候我们自己
[09:59] 也要注意说
[10:00] 不要被锚定的
[10:01] 因为我们可能
[10:01] 已经很习惯说
[10:02] 像以前这些OEM ODM EMS
[10:05] 或是金人代工业者
[10:06] 他是多少钱
[10:07] EPS多少
[10:07] 他还曾经推出了什么产品
[10:09] 这我们都听到腻了
[10:10] 不要再听了
[10:10] 可是如果你有
[10:11] 这样子的想法的话
[10:12] 你可能会错过
[10:12] 后面的一些涨幅
[10:13] 因为他可能好
[10:14] 就还会再更好
[10:15] 这个是我们自己
[10:15] 会想要小心的
[10:16] 但反正总是就是去看的
[10:18] 像是VR Rubin
[10:19] 或是Grace Blackwell的相关的设计
[10:23] 这个对我来讲已经是很熟悉的
[10:25] 当然也聊到不要聊
[10:26] 我们就不用再聊
[10:27] 我们稍微看了一下Kyber
[10:28] Kyber的东西
[10:29] 其实也是跟去年差不多
[10:31] 下午看到Switchblade是超大一片
[10:32] 这个可能是我记得
[10:33] 好像去年印象中是没有看到这个东西
[10:36] 然后下午有展出来
[10:37] 但是Kyber它一个比较大的问题
[10:39] 我们在过去的集数有跟大家聊到
[10:41] 其实最主要就是
[10:42] 因为它的工艺是真的是比较复杂一点
[10:44] 所以甚至还会再有进一步的一些地缘
[10:47] 都是有机会发生的
[10:49] 那在过程之中可能就会去折中
[10:51] 就是我们不要一次跳这么高的一个技术门槛
[10:55] 我们可能就是慢慢的推过去
[10:56] 所以导致像Kyber大家比较去关注的是
[10:59] 像什么正交的结构
[11:01] 后面的背板Midplane
[11:03] 或者说里面的Qube
[11:05] 当然Qube有用在LPU里面
[11:06] 那这些东西算是在市场里面蛮热门
[11:10] 过去会大家很关注的题材
[11:12] 那随着地炎可能有些人就会不去注意它
[11:15] 但是我觉得有朝一日
[11:16] 他们都是还是会再回来的
[11:18] 因为看到这些产品
[11:19] 还是觉得非常的感动
[11:20] 他们真的是带领
[11:21] 这些科技业的从业人员
[11:23] 一起去做一些
[11:24] 为了AI
[11:25] 非常大的技术突破
[11:27] 当然就要靠大家的脑力跟肝
[11:29] 一定是要肝到爆炸
[11:30] 才可以持续的去做这样子的推进
[11:32] 所以Enterprise整体来看
[11:34] 我觉得跟过去是差不多的
[11:36] 并没有太多的新鲜的东西
[11:38] 后来我们就是到了南港区域
[11:40] 有看NVIDIA消费端相关的一些内容
[11:44] 这次的消费端的展示
[11:45] 我是非常喜欢的
[11:47] 就是跟過去比起來
[11:48] 當然過去
[11:48] 像那時候跟大家分享說
[11:49] 你可以跟遊戲裡面的NPC互動
[11:51] 或什麼
[11:51] 那個就是比較平常是科幻的情節
[11:53] 還記得在一兩年前
[11:55] 不是很多人都講嗎
[11:56] 以後都是用AI做遊戲或什麼的
[11:58] 那時候我們就是有
[11:58] 比較大膽的逆風去提出一個說法
[12:01] 就是其實你去玩一個遊戲
[12:03] 你是要玩一個設計好的體驗
[12:05] 你懂我意思嗎
[12:05] 你不是要玩一個隨機建出來的東西
[12:08] 你就是因為知道這款遊戲好玩
[12:09] 或者說你知道這個就是小島修福做的
[12:11] 你才要去玩嘛
[12:12] 你為什麼要玩一個隨機建的
[12:13] 所以你真的要對我的遊戲
[12:15] 去產生一些隨機性的話
[12:17] 那可能是產生在
[12:18] 可能某一部分的對話
[12:20] 你可以telemate
[12:21] 因為今天是我的生日
[12:22] 或者說因為我的名字叫什麼
[12:24] 那你會跟我去做對話那這邊可以去做一些調整我覺得是OK的可是你說整個劇情整個場景要為了我去做一個客製化的設定也是之前很多那種屌炊AI的人在講那我覺得那個是很不實際的
[12:36] 所以我們在今年就比較沒有看到
[12:39] 他們去強調說在電玩裡面
[12:41] 去做一些那種可能DIY
[12:43] 或是Custom made的東西
[12:44] 那反而是在工作流上面
[12:46] 去做了許多的加強
[12:48] 那我就看到像市場中
[12:50] 現在大家都非常不喜歡的Adobe
[12:51] 因為大家認為說
[12:53] AI可以生圖
[12:53] AI可以改圖
[12:54] 所以Adobe就是要BBQ
[12:56] 但这次很好玩的一点是
[12:58] 甚至会感觉说
[12:59] NVIDIA跟Adobe是不是有什么
[13:01] 当然他们已经有公布一些合作
[13:03] 所以我相信台面下
[13:04] 应该有更多深度的合作
[13:05] 跟开发案在进行中
[13:07] 为什么
[13:07] 因为他会去展示说
[13:08] 不只是他们的硬体去custom
[13:11] 然后for Adobe的应用
[13:13] 然后在Adobe这边的软体
[13:15] 也会去做
[13:16] 可以去符合RTX Spark的一种设计
[13:19] 然后让它可以跑得更加的顺畅
[13:22] 然后他们展示出的内容
[13:23] 像有些是没有使用RTX Spark的笔电去跑的话
[13:27] 他去跑Premiere
[13:28] 或者他去跑Photoshop
[13:29] 他就要花很长的一段时间
[13:30] 那如果今天是RTX Spark的话呢
[13:32] 他可以只花三分之一
[13:34] 或是五分之一的时间就跑完
[13:35] 他还帮你把
[13:36] 就是每个镜头切换的时间点都抓出来
[13:40] 那所以剪片就变得非常快
[13:42] 那这边你会注意到两个极端吗
[13:44] 现在有一派的人就说
[13:45] 以后都是AI剪片或什么的
[13:47] 这样说这个就像是很多人会讲说
[13:49] 以后就是AI发文就好
[13:50] 那现在很多人会用什么Claw
[13:52] 然后去在他的粉专
[13:54] 或是可能他的X上面去做发文
[13:56] 我都会跟大家讲说
[13:57] 这个对我来讲
[13:58] 它其实有点像是一个自杀的行径
[14:00] 为什么
[14:00] 因为我绝对不会想要把我的
[14:02] 在网络上的各种形象或什么的
[14:05] 去完全的做自动化
[14:07] 因为你今天不是什么爱买
[14:09] 然后什么全联加勒福
[14:11] 你再推一个折扣讯息
[14:12] 如果你推的讯息
[14:14] 都是那种千篇一律
[14:15] 大家最后面一看都知道是AI的
[14:17] 你的互动跟触及
[14:18] 一定会掉的超级快
[14:19] 所以这个时代
[14:20] 当然有很多自动化的东西
[14:22] 很多AI的東西看起來是很酷
[14:24] fascinating
[14:25] 大家很喜歡
[14:25] 但換個角度
[14:27] 其實我相信越來越多人
[14:28] 會對於這種東西很憎恨
[14:30] 討厭AI Slop
[14:32] 超級不喜歡
[14:33] 然後外加真的想要去找一些
[14:34] 有人味的東西
[14:35] 所以像這樣子的自動化
[14:36] 我是不喜歡的
[14:37] 我絕對說像什麼
[14:38] AI全自動剪片
[14:39] 如果強調
[14:40] 如果你今天是一個
[14:41] 就是你每天要重複好幾次的
[14:43] 全聯的某一個東西特價
[14:45] 你讓AI去剪
[14:46] 我覺得沒有問題
[14:47] 可是如果是你身為一個創作者
[14:49] 你是導演
[14:49] 你是編劇
[14:50] 或者說你是一個老師
[14:52] 你用AI去做这个
[14:53] 我觉得你是加速你的灭亡
[14:54] 所以这个其实跟世间的满头东西
[14:57] 或是我自己的价值观
[14:58] 一直都是契合的
[14:59] 就是世界上是有光谱的
[15:01] 你说有没有东西
[15:02] 是要用AI的全自动化去
[15:04] 有就像我刚才前面讲的
[15:05] 折扣讯息
[15:06] 每日的折扣讯息
[15:07] 每日的消息推播
[15:09] 你用自动化去做
[15:10] 太适合了
[15:11] 但是如果你今天是
[15:13] 有一些人格特质的东西在里面
[15:16] 大家喜欢你是你的人格特质
[15:18] 你用AI去自动化这件事情
[15:19] 你是把自己推到棺材里面
[15:21] 所以買到東西我覺得還是要味道在
[15:24] 就是你不能跟我講說
[15:25] 現在有一個什麼很強的AI導演
[15:27] 然後以後大家就會看這個AI導演
[15:28] 沒有老子要看諾蘭
[15:30] 我就是想看諾蘭
[15:31] 我就是想看塔倫提諾蘭
[15:32] 我覺得他的味道
[15:33] 就算他的味道可能比較鈍一點
[15:35] So I 我就是喜歡
[15:36] 所以要去記得這樣的一個差距
[15:38] 可能像過去的AI的展會都比較強調
[15:42] 就像我們剛剛講的那種全自動
[15:43] AI可以做所有東西
[15:44] 人類拜拜
[15:45] Sayonara
[15:46] 這樣的一個嘗試
[15:48] 現在我覺得今年甚至是不只是
[15:50] 在很多的攤位都有感覺到
[15:52] 已經越來越少人去強調
[15:54] 我們要走向一個沒有人的世界
[15:56] 反而現在是我覺得
[15:58] 把人重新的放到舞台的正中間
[16:00] 這也是我喜歡的
[16:01] 這也是我覺得是對的
[16:02] 這也是為什麼我會在過去
[16:04] 多次的表達我對Enthropic老闆
[16:07] 雖然我知道Enthropic產品
[16:08] 真的很好用 我有在用
[16:09] 可是他的發文實在是
[16:11] 令人不敢苟同
[16:12] 就是怎麼講
[16:13] 整天都是在講說
[16:15] 我們東西多可怕
[16:16] 會有多少人失業或什麼的
[16:18] 像最近David Sachs的一個PO文
[16:20] 就是以前川普的AI撒谎
[16:23] 我觉得他讲的这段超有趣的
[16:25] 最好也是给这些人一些当头棒喝
[16:26] 你整天在讲说
[16:27] 你的产品会让一堆white collar jobs不见
[16:30] 你会让一堆人
[16:31] 就是可能失去活着的目的或什么的
[16:34] 那你甚至会导致global crisis
[16:36] 可能会有一些核武的危机
[16:38] 或是互相害
[16:40] 害对方的飞弹
[16:41] 然后把人家炸飞
[16:42] AI可以做什么
[16:43] 你这个意思代表说
[16:45] 你要被我们收归国有
[16:47] 就如果说
[16:48] 你这个企业在推的这件事情
[16:50] 是会造成这样的一个结果
[16:51] 会造成人道危机
[16:53] 会造成经济的困难的话
[16:56] 那怎么可能让你继续发展
[16:57] 那把你收回国有
[16:59] 或者说给你超大的一个监管
[17:01] 给你放一个很大的一个居住期
[17:04] 这不是超级合理的事情吗
[17:05] 每一任总统都想做这件事情
[17:07] 每一个百姓
[17:08] 像前面听到一些演讲超级不爽的
[17:11] 那些highly league
[17:12] 名校的一些学生
[17:13] 大家一定都支持这件事情
[17:14] 你要毁灭我们
[17:16] 我怎么可能让你继续做下去
[17:17] 所以我觉得越来越多人有发现这件事情
[17:20] 那抑或是不一定是有发现
[17:22] 这么人文的一个思考
[17:24] 而是他单纯的去从他们可能过往推的那些
[17:27] 像过去一两年
[17:28] 到处都机械狗是怎样
[17:30] 我不是说机械狗不好
[17:31] 我也不是说什么humanoid不好
[17:32] 可是你们每个人都在出机械狗
[17:34] 就很明显就是在跟风
[17:35] 你这机械狗要用在哪里
[17:37] 甚至尤其是那种超废的功能
[17:38] 然后他们还是要讲的
[17:39] 煞有其事
[17:40] 因为AI因为怎么样
[17:41] 所以全部都是机械狗
[17:43] 那再来就是一些那种AI的小gadget
[17:46] 其实当下看会觉得很酷
[17:48] 可是真的看久了之后
[17:48] 我觉得会审美麻木
[17:49] 就是你真的会觉得
[17:50] 非常非常的烦躁
[17:51] 那今年真的都是
[17:52] 少掉很多这样子的东西
[17:54] 更加的去强调说
[17:55] 人跟机器的一个结合
[17:57] 那所以像是
[17:58] 可能大家在市场中
[18:00] 仍然喊打的Adobe
[18:01] 就是说你死定了啦
[18:02] AI取代的第一棒
[18:03] 结果竟然在Invidia的
[18:05] 这个消费展会里面
[18:06] 当然这个是没有对外站的啦
[18:07] 所以可能
[18:08] 一定要从一些报道里面
[18:09] 才会看到一些相关的图片
[18:10] 跟讯息
[18:12] 那竟然有大量的曝光
[18:14] 就是他们其实
[18:14] 跟他在做一个
[18:15] 很深度的合作之类的
[18:17] 当然这边不知道Q大家说
[18:18] 所以Adobe的低点到了
[18:19] 毕竟这个对我来讲
[18:20] 是一个我们比较相对不熟悉的领域
[18:22] 只是它很有趣的是
[18:23] 就是一个大家在市场上说
[18:25] 要被淘汰的某个东西
[18:27] 那竟然是
[18:28] 看得出来是他们深度合作的伙伴
[18:30] 甚至为了这个Runting
[18:32] 他们可能在硬体上面
[18:33] 有去做一些调整
[18:34] 那为什么RTX Spark
[18:35] 可以去做到这些这么厉害的东西
[18:37] 最主要就是它那个Unified Memory
[18:38] 就是说它把整个记忆体的pool
[18:40] 都可以拿来用
[18:41] 所以我可以放进去更大的模型
[18:43] 我可以一次处理更多的参数
[18:45] 所以他有去展示像他可以去把
[18:48] New York City可能30到50Block之間的一個地貌
[18:52] 直接在一瞬間就Render出來
[18:54] 而且他的速度超級快
[18:55] 他不會因為說怎麼你轉頭
[18:56] 然後他就需要去載入或者說會卡頓之類的
[18:59] 非常的順
[19:00] 我就在想說因為以前我們都知道說
[19:01] 每次的GTA出來他就是一個硬體大屠殺
[19:04] 甚至是可能連當下檯面上最強大的硬體
[19:08] 都沒有辦法去跑他的最高效能
[19:10] 你要等到可能一兩年之後才有辦法
[19:12] 今年我覺得會有一些變化
[19:15] 就是可能在AI的輔助之下
[19:17] 不管是NVIDIA什麼DLSS什麼的
[19:18] 或是去幫你補幀之類的
[19:20] 就是下達的幀並不是每一幀
[19:22] 都是直接去把它Render出來
[19:24] 尤其是用AI去算的
[19:25] 所以它會讓硬體的負載
[19:27] 可以再更加的大一點
[19:28] 然後外加Unified Memory的一個處理
[19:30] 在這樣的一個展示之下
[19:32] 其實我已經可以去想像到說
[19:33] 一些3A大作
[19:34] 它可能可以去把更好的畫面
[19:36] 呈現給玩家
[19:37] 而不用讓玩家一定要去追求
[19:39] 可能最貴的硬體設備也可以達到
[19:41] 就是說在硬體跟軟體的協作之下
[19:43] 软体让硬体装上了一双翅膀
[19:46] 差不多这样的一个感受
[19:47] 所以其实整个展会看下来的东西
[19:49] 都是在聚焦
[19:50] 如何的让一些软体执行的更快
[19:52] 剪片修图
[19:53] 或者说去做设计跟打游戏
[19:56] 怎么样跑得超级顺
[19:57] 我认为这个是
[19:59] 我自己很意外会讲这样的话
[20:01] 如果我是两三年前
[20:02] 一开始去看AI展
[20:03] 看到这个我一定会觉得不太对
[20:05] 就是你应该要跟我去
[20:07] demo一些未来的可能性
[20:08] 可是在经过两年的
[20:10] 疯狂的审美疲劳之后
