[00:00] 歡迎收聽谷外,我是孟公,本期節目由英國TravelBlue贊助
[02:05] 就覺得好煩
[02:06] 但這次呢
[02:07] 因為真的看了兩場radio
[02:08] 太過癮了
[02:09] 所以覺得說還是值得
[02:10] 這個生病值得
[02:11] 那後來之後呢
[02:12] 就有蠻多行程要跑
[02:14] 後來也學會一件事情
[02:15] 因為這個你沒有當爸之前不知道
[02:17] 特別是我之前
[02:18] 也沒有什麼獨立的機會
[02:19] 那這次回來就發現說
[02:21] 其實回來之後
[02:21] 應該是要排一個禮拜
[02:22] 什麼事情都不能做
[02:23] 我本來想說
[02:24] 就是回來就趕快
[02:25] 把一些事情做一做
[02:26] 只是後來回來發現說
[02:27] 就是你兒子會想你
[02:28] 雖然講這個
[02:29] 真的是那種甜蜜的負擔
[02:30] 就是他是很甜的
[02:31] 他是很好的
[02:32] 只是同時他是一個
[02:33] 就是你必須要注意
[02:34] 必須要為了這個
[02:35] 去調整行程的一件事情
[02:36] 因為就發現說
[02:37] 我在外面
[02:38] 我兒子就去打電話來
[02:38] 爸爸你什麼時候回家
[02:39] 因為他可能很久
[02:40] 沒有看到你
[02:40] 其實沒有多久
[02:41] 就他媽四天而已
[02:42] 但他就是每天都會打電話給你
[02:44] 你想說
[02:44] 平常老子每天在你隔壁的時候
[02:46] 就對我要理不理的
[02:47] 我真的出去一下
[02:47] 你就知道說你爸有多好
[02:49] 還是說可能
[02:49] 因為我帶禮物
[02:50] 回來給他之類的
[02:51] 我不確定
[02:51] 但反正就是
[02:52] 突然間你兒子變超甜的
[02:53] 就整天都要黏你
[02:55] 那我基本上
[02:56] 也算是一個兒子控
[02:57] 就是老婆講什麼
[02:58] 不一定會聽
[02:59] 很多時候
[03:00] 你知道說老婆
[03:01] 她就是想要抱怨
[03:02] 她就想要跟你講說
[03:03] 你趕快回來好不好
[03:04] 整天在外面吃飯
[03:04] 你在幹嘛
[03:05] 其實你根本就沒有
[03:05] 整天在外面吃飯
[03:06] 他每次都跟別人講說
[03:07] 我整天在外面吃飯
[03:08] 然後或者說什麼
[03:09] 他又跟別人講說什麼
[03:10] 西方光說他沒有很多朋友
[03:12] 他明明就一堆朋友
[03:13] 他整天在外面
[03:13] 我說幹
[03:14] 拜託那個是我們那種
[03:15] 商務上的聚會好不好
[03:16] 就是一些那種
[03:17] 同業啊
[03:18] 或產業圈人士
[03:19] 有時候就是需要去跟人家交流
[03:20] 你不可以他媽整天待在家
[03:22] 我們已經算是很幸運的人
[03:23] 我們待在家裡
[03:24] 還可以成為那種社群電臺
[03:26] 那種一堆
[03:26] 不知道就是大家的know how
[03:28] 還是會無條件的
[03:29] 傳訊息來給你
[03:30] 我們已經很幸運了
[03:31] 可是當然偶爾還是要出去
[03:32] 跟人家見面
[03:33] 要聊一下或什麼的
[03:33] 然後他就會整天
[03:35] 他媽叫我回家
[03:35] 他叫我回家
[03:36] 我就不太想屌他
[03:37] 我就想說到底是怎樣
[03:38] 就知道說我已經很少出來
[03:39] 你是想怎樣
[03:40] 可是我兒子就跟他講說
[03:41] 爸爸回來
[03:41] 爸爸回來念故事
[03:43] 我就跟他說
[03:43] 對不起
[03:43] 我現在立刻回去
[03:44] 我要回去唸故事
[03:45] 拜拜
[03:45] 我就走了
[03:46] 所以兒子講什麼
[03:47] 就立刻做
[03:48] 那兒子最近也安排
[03:49] 我們大家去拍
[03:50] Christmas picture
[03:52] 就是大家有一個
[03:53] 全家福的照片
[03:54] 那以前小時候會拍這種東西
[03:56] 可是到我們這一代
[03:57] 我發現好像比較少
[03:58] 聽到人家說什麼
[03:59] 會帶出去攝影棚
[04:00] 拍那種很認真的照片
[04:01] 然後這次呢
[04:02] 是因為我兒子去他同學家
[04:03] 看到人家家裡有全家福
[04:05] 就說為什麼我們家
[04:06] 沒有這種認真的照片
[04:07] 他就跑來問
[04:08] 就說你們在幹嘛
[04:09] 這種感覺
[04:10] 爸媽你們到底在幹嘛
[04:11] 為什麼我們家沒有這種東西
[04:12] 所以我跟我老婆
[04:14] 就立刻感覺到汗顏
[04:15] 我趕快安排一下
[04:16] 我老婆就找到一個地方
[04:18] 讓我們去拍照
[04:19] 那這是聽眾的一個攝影棚
[04:20] 到那邊還稍微的認清了一下
[04:22] 非常感謝這位聽眾
[04:24] 跟他太太的全力協助
[04:26] 那我自己也覺得
[04:28] 我進步成長了
[04:29] 像以前我去拍這種東西
[04:30] 我一定超快就離之斷線
[04:32] 就是在那邊
[04:33] 你現在微笑一下
[04:34] 你的臉往左邊擺
[04:35] 你聽起來很正常
[04:37] 這不就是正常拍照做事
[04:39] 可是我就是超討厭拍照
[04:40] 然後我一到現場
[04:41] 然後他們就覺得有頭髮問題
[04:43] 就叫我說什麼要噴發
[04:44] 要稍微弄一下
[04:45] 還要幫我settle一下
[04:46] 就這些在很多人的眼中
[04:48] 聽起來是
[04:48] 看起來或聽起來是很正常的事情
[04:51] 在我的腦袋裡面就覺得說
[04:53] 怎樣我頭髮不行嗎
[04:54] 但我知道頭髮不行
[04:55] 就很多人每次看到頭髮
[04:57] 像老婆每次看到頭髮說
[04:58] 你半個人早上
[04:58] 你只好弄一點水在頭上
[05:00] 我就覺得說
[05:01] 有什麼好弄的
[05:01] 就這樣嘛
[05:02] 你長得好看長得醜
[05:03] 老實講
[05:04] 今天臉換成冠希
[05:05] 你不用頭髮也可以啦
[05:06] 那今天如果你不是成冠希
[05:08] 你弄了也不會加分到哪去啦
[05:09] 所以我是有點這種放推的心態
[05:10] 然後人家在那邊幫你整理頭髮
[05:12] 然後跟你講說
[05:13] 要怎麼樣拍照
[05:14] 就理論上
[05:15] 我是不太喜歡去做這種事情
[05:16] 可是因為今天是
[05:17] 兒子的要求
[05:19] 是兒子安排的
[05:20] 我就覺得說
[05:20] 我今天耐心特別好
[05:21] 就以前這種時候
[05:22] 我應該已經會想說
[05:23] 什麼時候結束
[05:24] 要趕快回家
[05:25] 那這次呢
[05:26] 反正人家講什麼
[05:27] 我就好
[05:27] 立刻配合
[05:28] 那這位聽眾也是超級專業
[05:30] 就馬上幫我們弄好
[05:31] 那後來是我的
[05:32] 大兒子先理智斷線
[05:34] 他本來超喜歡拍照
[05:35] 然後那個聽眾也有發現
[05:36] 就是說
[05:37] 他真的超愛拍照
[05:38] 讓人會白婆手手
[05:39] 然後他也掌握到
[05:40] 他的喜好
[05:41] 所以就跟他講說
[05:42] 這個你可以傳給你同學
[05:43] 他就很高興就會配合
[05:44] 那可是呢
[05:45] 可能還是傳到他爸
[05:46] 耐性的部分是有限的
[05:48] 所以拍到後來講說
[05:49] 媽拍太多了
[05:50] 拍太多了
[05:51] 可以結束了
[05:52] 所以呢
[05:52] 我就跟他講說
[05:53] 沒有辦法就到這邊
[05:54] 還有他非常專業
[05:55] 他就是趁我們在講話
[05:56] 為什麼他都一直狂拍
[05:57] 所以也累積到夠多的素材
[05:59] 那就完成了
[06:00] 我們第一次的家庭拍照
[06:02] 大家都非常開心
[06:03] 好那順便這邊要來回應一位
[06:05] 我們地方的資深美少女聽眾
[06:08] 劉媽媽
[06:08] 這個劉媽媽
[06:09] 她的兒子
[06:10] 也是我們的地方聽眾
[06:12] 她是一位
[06:12] 之前在臺大的醫師
[06:14] 然後現在跑去美國的
[06:16] 發馬上班
[06:17] 發馬相關的公司上班
[06:18] 那在一路上
[06:20] 非常多的協助跟幫忙
[06:22] 特別是就是在知道說
[06:23] 我兒子那時候有些狀況中
[06:25] 他是給予我很多
[06:26] 不管是實際上
[06:27] 或是說精神上的一些協助
[06:29] 非常感謝這位聽眾
[06:30] 那也因為這樣子結緣
[06:32] 像那時候Apple Vision Pro
[06:34] 也是這位聽眾幫我帶回來的
[06:35] 就非常感謝有這麼好的地方聽眾
[06:38] 在各個方面上
[06:39] 都持續的協助著我
[06:41] 那他就跟我講說
[06:41] 他的媽媽也是一個
[06:43] 這個資深的聽眾
[06:44] 然後跟我講說
[06:45] 希望我不要有朝一日變成Colt
[06:47] 我就變成那種邪教之類
[06:48] 因為他媽一定會加入
[06:49] 就是我講什麼他媽
[06:50] 可能都會配合之類的
[06:52] 那這邊先跟大家去做一個保證
[06:54] 就是我自己知道奮計在哪
[06:55] 特別是節目這麼多年
[06:57] 大家應該也知道
[06:57] 有些事情是不做的
[06:59] 我們沒有跟聽眾
[07:00] 直接有任何的對價的關係
[07:02] 那我們也不會去什麼開課
[07:04] 對大家收費或什麼的
[07:06] 所以其實就是一個
[07:07] 非常單純的互動模式
[07:08] 那我也不打算去擴大經營
[07:10] 開始去發展
[07:12] 我們自己的世界線
[07:13] 然後去弄什麼周邊
[07:15] 什麼這個都是沒有
[07:16] 在自己的規劃裡面
[07:17] 當然曾經都有人跟我提過
[07:19] 那也有人想跟我討論過
[07:20] 可是最後面
[07:21] 自己都是決定說
[07:22] 不要去做類似的事情
[07:23] 就是儘量讓這個東西
[07:24] 維持非常的單純
[07:25] 所以應該是不會有變成一個邪教的可能性
[07:28] 那這位地方自身美少女
[07:30] 因為她說她掌握不到這個密碼
[07:32] 所以就請她兒子就帶了一封信給我
[07:34] 是手寫的信
[07:35] 那看完之後真的覺得非常的感動
[07:37] 那同時也覺得很汗顏
[07:38] 然後就有點不好意思
[07:39] 因為像我的那個二兒子
[07:41] 之所以一開始會顯得像是
[07:43] 有點那種焦慮啊害怕或什麼的
[07:45] 是因為他出生的時候呢
[07:47] 是有被檢查到很多東西
[07:48] 不然說少一顆腎
[07:50] 腹部裡面有一個囊腫
[07:51] 那這個囊腫可能是腫瘤
[07:53] 他們不排除
[07:54] 那再來呢
[07:55] 在膀胱的地方有一些氣泡
[07:56] 在腦部裡面有氣泡
[07:57] 那可能在腳部的發育上呢
[07:59] 他們說感覺髖關節
[08:01] 這個以後有機會要復健
[08:02] 或者是說
[08:03] 有可能是腦部沒有發育好
[08:04] 所以導致他腿部這樣
[08:05] 這個是我們身為父母
[08:07] 一開始聽到的各種狀況
[08:09] 那同時也跟我們講說
[08:10] 就是因為他有這麼多
[08:11] 看起來像是狀況的東西
[08:13] 所以他有可能是寒病的小朋友
[08:14] 所以呢
[08:15] 也建議我們去做那種
[08:16] 最大規模那種
[08:18] 就是所有那種
[08:18] 很小項的東西
[08:19] 都要做的那種寒病的DNA檢查
[08:22] 那檢查完之後就發現說
[08:23] 就我老婆只有兩個東西
[08:24] 她是那種隱性的原則
[08:26] 那我是全羊
[08:28] 所以理論上沒有事
[08:29] 可是因為小朋友
[08:30] 那時候根本就還沒有生出來
[08:31] 所以也不知道到底會怎麼
[08:32] 那生出來之後
[08:33] 就被看到有一堆
[08:34] 有的沒有的東西
[08:35] 所以其實對一開始的我來說
[08:37] 我真的是百感交集
[08:39] 覺得非常的辛苦
[08:40] 也非常的累
[08:41] 那只是呢
[08:42] 就是還是很感謝菩薩
[08:44] 觀音
[08:45] 各路的醫師
[08:46] 然後各路的聽眾
[08:47] 大家的各種
[08:49] 不知道善念或意念之類的吧
[08:50] 我整天跟我講說
[08:51] 希望二兒子平安健康
[08:53] 那真的就平安健康
[08:54] 最後面就真的像一些
[08:55] 算命先講的
[08:56] 就是說
[08:57] 有驚無險
[08:58] 就是這個小朋友
[08:59] 就讓你有驚無險
[09:00] 所以確實就是
[09:01] 他前面的所有東西
[09:02] 最後面都排除掉
[09:03] 就除了那個單腎
[09:04] 那個是確定的
[09:05] 一千個小朋友就有一個這樣
[09:06] 所以也不是真的很罕見的東西
[09:08] 那其他什麼腦部氣泡
[09:10] 寬可能要復健
[09:11] 肚子可能有腫瘤
[09:12] 什麼的
[09:13] 那個全部後面都排除掉
[09:14] 所以就是一個
[09:15] 這個健康的小baby
[09:17] 然後現在長得白白胖胖的
[09:18] 那這個劉媽媽寫給我的信
[09:20] 就是寫到說
[09:21] 在他自己的小朋友
[09:23] 他兩個小朋友的養育過程之中
[09:25] 那小朋友可能也有出現過一些狀況
[09:28] 健康上有一些問題
[09:30] 那或者是呢
[09:31] 可能小時候有磕到頭
[09:32] 有去縫線什麼的
[09:34] 那他就寫下了他當下的一些心情
[09:36] 大家知道他孩子有一些
[09:39] 可能在出生的時候的問題
[09:41] 或者說在幼年期的時候摔倒
[09:43] 長大的時候生了一些重病之類的
[09:46] 他當下的一些想法
[09:48] 那他是要來安慰我
[09:49] 他就跟我講說
[09:50] 反正我們身為家長
[09:51] 就會擔心這些東西
[09:52] 終究都是會過去的
[09:54] 我們都是可以解決這些問題
[09:55] 所以其實看到這樣的東西
[09:57] 是令我非常感動的
[09:58] 那其實連他兒子有講到說
[09:59] 就是不要像我自己
[10:01] 好像認為說
[10:01] 我們去分享這些東西
[10:03] 很微不足道
[10:03] 就是一些這種簡單的分享
[10:05] 說我的小朋友遇到什麼東西
[10:07] 然後後面是怎麼樣去做處理
[10:09] 不管結局是好是壞
[10:10] 對於正在經歷這一切的家長來講
[10:13] 一定會有一些幫助
[10:14] 我當下是不知道
[10:15] 我講的東西
[10:16] 有這麼大的一個象徵意涵
[10:17] 只是反正就只是想把一些想法
[10:20] 分享出來
[10:21] 然後因為我也沒有
[10:22] 別的地方可以寫
[10:23] 我也沒有什麼blog
[10:24] 所以就在我節目
[10:25] 大家有時候
[10:26] 新的聽眾會覺得很奇怪
[10:27] 像有些新的聽眾之間
[10:28] 就看到會在網上抱怨說
[10:30] 奇怪了
[10:30] 我還聽這個節目
[10:31] 我這在聽股票
[10:32] 我大部分都是講股票
[10:33] 怎麼他前面在講他的狗
[10:34] 或者說在講他的小朋友
[10:36] 但當然合則來不合則去
[10:38] 我也懶得屌心的人
[10:39] 怎麼想
[10:40] 我們家重點是經營
[10:41] 我們的老聽眾
[10:41] 可是就是我們某個程度上
[10:43] 就是因為這樣子
[10:44] 大家有一個
[10:45] 更深的連結跟結合
[10:48] 如果說沒有去分享
[10:49] 這些東西的話
[10:50] 我不會跟這位地方資深美少女
[10:53] 去形成這樣的一個連結
[10:54] 在看她信的當下
[10:55] 我就感覺說
[10:56] 我跟另外一個家長
[10:58] 雖然我見過她一面
[11:00] 也不是完全數位蒙面
[11:01] 可是我們在看這封信的同時
[11:03] 我們的腦袋是連在一起的
[11:05] 我知道她在想什麼
[11:05] 她一定也知道在想什麼
[11:06] 我覺得那種感覺是非常奇妙的
[11:08] 所以就是感謝一切我的小朋友的救命
[11:12] 至今就是所有的問題
[11:13] 都是已經算是排除掉了
[11:15] 拿下是一個白白胖胖
[11:16] 又很健康的小朋友
[11:17] 每天都在笑
[11:18] 從一開始
[11:19] 長得比較嚴肅一點
[11:21] 然後到現在每天都在笑
[11:22] 所以我就是感謝每一天
[11:23] 所以我其實到後來
[11:24] 我對事實上的一切
[11:26] 要求已經不多了
[11:27] 我對我自己的股票漲跌
[11:29] 部位什麼
[11:29] 要求也都不多了
[11:31] 我就覺得說
[11:31] 我從現在開始
[11:32] 要做有益的事情
[11:32] 因為光是我們人
[11:33] 可以活在這世界上每一天
[11:35] 高高興興的
[11:36] 家人沒有生病
[11:36] 這就是一個超珍貴的事情
[11:38] 就是你光是好手好腳
[11:40] 你不用被病痛給困擾
[11:42] 你不是躺在病床上
[11:43] 你已經沒有什麼好抱怨的
[11:45] 就以前真的會抱怨
[11:46] 就即便有些人可能講說
[11:47] 你可能已經發展的怎麼樣了
[11:49] 就是你到底在不開心什麼
[11:51] 可是我老實講
[11:51] 那真的都只有自己知道
[11:53] 就像是有一個乞丐
[11:54] 可能會看著你說
[11:54] 你他媽的
[11:55] 你有正常的薪水跟工作
[11:56] 你在不爽什麼
[11:57] 所以其實每個人眼睛
[11:58] 都是往上看
[11:59] 一直想比
[11:59] 可是直到你自己遇到一些
[12:01] 生命中那種
[12:02] 就不是靠你自己一己之力
[12:04] 可以扭轉
[12:04] 因為我們很習慣
[12:05] 就是所有事情
[12:06] 就是我們想怎麼樣
[12:07] 就是會怎麼樣
[12:07] 我就是要買到這個東西
[12:10] 我一定會買到
[12:10] 我就是希望可以改變這件事情
[12:12] 我一般都可以做到
[12:13] 就是你已經很習慣
[12:14] 你有這樣子的能力
[12:15] 或是意志力
[12:17] 這種健康的東西它真的不是說
[12:19] 我想要這個癌細胞立刻去死
[12:20] 它就立刻會跑去死掉之類的
[12:22] 它不是你可以控制的東西
[12:23] 所以你會瞬間瞭解到你自己很渺小就類似說有些太空人可能飛到太空然後看到地球小小的才知道說我們每天在討論的東西到底是沙小什麼這個國與國之間要發生什麼戰爭什麼的你真的跑到太空站去看地球
[12:34] 你會覺得你們到底在幹嘛
[12:36] 類似這種感覺
[12:36] 所以你真的遇到一些狀況之後
[12:38] 你就發現說你過去的一些擔憂
[12:40] 其實都超好笑超奇怪的
[12:41] 當然我們現在還是會整天想要努力
[12:43] 想要奮鬥想要戰鬥什麼
[12:45] 可是不會像以前就是得失心這麼重
[12:47] 現在就放得很淡
[12:48] 因為知道說反正自己
[12:50] 或者說家人的身體健康跟平安
[12:52] 是最重要的事情
[12:53] 所以非常感謝劉媽媽這封信
[12:55] 也希望你在接下來的生活裡面
[12:57] 可以持續的快樂
[12:58] 然後可以持續把這樣子的能量
[13:00] 分享給更多人
[13:01] 因為像我看你的這封信之後
[13:02] 我覺得很感動
[13:03] 你就幫到我了
[13:04] 那我可能把它分享出來給
[13:05] 正在面臨這一切的家長們聽到
[13:08] 他們也會覺得很感動
[13:09] 因為一切終將會解決
[13:10] 一切都會是好的安排
[13:12] 只要我們都持續努力著就好
[13:13] 好 大家這樣
[13:14] 簡單跟大家分享一下
[13:15] 那最近的盤面蠻逗趣
[13:17] 就是在前幾集有跟大家講說
[13:19] 我策略稍微去改變
[13:20] 我成為這個拾荒組
[13:22] 就是春風化雨
[13:24] 那種大家都不要的東西
[13:25] 人氣我取
[13:26] 之前我是比較偏向去追動的東西
[13:28] 然後近期稍微往這個方向去改
[13:29] 然後在禮拜一的時候
[13:30] 我真的又再一次的覺得說
[13:32] 我真的是股神
[13:34] 前面跟大家講說
[13:35] 不要亂追
[13:35] 你看樂門股一堆沙到翻掉
[13:38] 禮拜一這種時候掉下來
[13:40] 你們在亂沙
[13:41] 老子進去撿
[13:41] 好爽
[13:42] 那禮拜二的時候發現說
[13:44] 快笑不出來
[13:46] 禮拜一開始撿
[13:48] 撿太多
[13:48] 到禮拜二發現
[13:49] 怎麼還可以掉這麼深
[13:50] 還是鼓起勇氣再減一點
[13:52] 然後在今天
[13:53] 開始出現一些反彈的時候
[13:55] 老實講
[13:55] 我感覺還沒有演完
[13:57] 我感覺要繼續疊
[13:58] 可是因為前面
[13:59] 怎麼講
[13:59] 因為第一波抄底抄得太快
[14:01] 然後禮拜二再彈了一筆
[14:02] 禮拜三彈的時候
[14:03] 稍微的
[14:03] 我反而是做一點調節
[14:05] 因為在想說
[14:06] 後面有機會再殺
[14:06] 就不要太急
[14:07] 大方向是正確的
[14:09] 就現在不應該去追
[14:10] 一些特別強勢的東西
[14:12] 在我腦中是這樣
[14:12] 雖然我分享這一段之後
[14:14] 後來有一些股友
[14:15] 是跟我講說
[14:16] 孟公我覺得
[14:16] 股票還是要買最強的
[14:18] 就算一下
[14:18] 強的東西變少
[14:19] 可是還是要去買最強的
[14:20] 所以其實每個人的做法不太一樣
[14:22] 那我的做法是有點去買那些
[14:24] 當然我不會去買那種空頭排列的
[14:25] 一定還是多頭排列
[14:26] 就是大家
[14:27] 突然間
[14:28] 媽你們前一天每個人都要
[14:29] 然後隔一天大家都不要
[14:31] 確認類似說
[14:31] 不知道就是在一兩個月前
[14:33] 不是大家還在狂吹說
[14:34] 什麼Google多屌
[14:35] 也沒有到一兩個月
[14:36] 就幾個禮拜前
[14:36] Google多屌
[14:37] 什麼Avago多屌
[14:38] 然後媽Avago
[14:39] 啥啥啥也沒有人要
[14:40] 大家都不要博通了
[14:42] 所以就類似這樣的東西
[14:43] 就大家不要的
[14:44] 或者說揮打
[14:44] 因為這個Google出來
[14:45] 大家想說什麼
[14:46] 揮打不行
[14:46] 雖然我們跟大家講
[14:47] 這是一個非常莫名其妙的
[14:49] 一個判斷
[14:49] 但你們覺得不要
[14:51] 那就是我來收
[14:52] 只是可能還是
[14:53] 不要收太積極
[14:54] 因為禮拜一
[14:55] 就是很高興的在那邊收
[14:56] 然後收到一週
[14:57] 發現禮拜二又再跌了更深
[14:58] 因為禮拜二
[14:59] 有一些那種很熱門的股票
[15:01] 然後都出現跌停
[15:02] 就我們知道說
[15:03] 那種什麼各地的投資公司
[15:05] 或是一些buy side
[15:06] 會大買的股票出現跌停
[15:07] 這就是有一點那種
[15:08] 市場人氣潰散的感覺
[15:10] 可是還不夠
[15:11] 之所以會覺得說
[15:12] 禮拜三這個反彈
[15:13] 不能夠馬上再幹進去
[15:14] 主因就是因為覺得還不夠
[15:15] 因為理論上這種人氣潰散
[15:18] 大家開始放棄之後
[15:19] 後面會再出一個更長的黑K
[15:21] 然後一次把它洗掉之後
[15:22] 可能再北上
[15:23] 我就覺得會是這樣
[15:24] 所以在資金的調節面
[15:26] 其實本來是有打算說
[15:27] 就在這幾天就把它打滿
[15:29] 然後後面覺得不行
[15:30] 就要再稍微的再等一下
[15:32] 所以在整個排名上的看法
[15:34] 大概是維持這樣一個做法
[15:35] 就是還是會持續的去找那些
[15:36] 多頭排列
[15:37] 一個突然間大家短期內都不要的東西
[15:39] 我就拿來收
[15:40] 那接著呢
[15:41] 就是慢慢的把這個隨位加回去
[15:43] 儘量不要加得太快
[15:44] 因為今天結算嘛
[15:45] 那等看可能在夜盤
[15:47] 或者說明後天的反應是怎麼樣
[15:49] 如果說他有辦法持穩
[15:50] 然後開始上工的話
[15:51] 那可能再把部位加到滿的一個狀態
[15:54] 所以會先往這個方向去做
[15:55] 那再來在今天的盤中呢
[15:57] 有一個新聞顯示
[15:59] 當然我不知道源頭是Information
[16:00] 還是Reuters還是Bloomberg
[16:01] 但是就看到他們都有在報
[16:03] 就在講說
[16:04] 可能OpenAI會去尋求
[16:06] Amazon的一個融資
[16:08] 所以就是我們之前
[16:09] 跟大家講的那個臥底
[16:10] 只是我們本來以為說
[16:11] 這個臥底事件
[16:12] 會在他的AWS reinvent
[16:14] 的時候公佈
[16:15] 就是因為我們收到的
[16:16] 線報是這樣
[16:17] 只是現在看起來
[16:18] 是delay了
[16:19] 但今天終於有新聞出來了
[16:20] 所以代表說
[16:21] 我們真的不是那種
[16:22] 空穴來風會亂講的東西
[16:23] 就是很多時候
[16:24] 我們訊息可能走得比較快
[16:25] 當然走得比較快
[16:26] 不代表一定會對
[16:27] 因為有些東西是可能
[16:28] 最後面胎死腹中之類的
[16:30] 所以其實我們在節目
[16:31] 也不敢跟大家
[16:32] 把事情講得太絕對
[16:33] 但是要知道說
[16:33] 就是我們講的所有東西
[16:34] 都會有一定程度的依據
[16:36] 絕對不會說什麼
[16:37] 掐指一算
[16:37] 隨便亂講
[16:38] 如果是這樣的
[16:39] 我就會跟大家說
[16:39] 這個是我猜的
[16:40] 但如果不是講說我猜的
[16:42] 那我們一定是相當程度
[16:43] 都掌握到一些資訊
[16:44] 然後才會這樣跟大家分享
[16:46] 那所以呢
[16:47] 就是我們今天
[16:47] 跟大家討論的那件事情
[16:49] 就如果說今天Amazon
[16:50] 或者說AWS
[16:51] 加入這個臥底聯盟
[16:52] 就大家都
[16:52] 我在講話好像很粗魯
[16:54] 反正就是
[16:54] 怎麼講
[16:55] 大家都看那個網路上的臥底
[16:56] 你知道嗎
[16:56] 那不是我自己瞎掰的
[16:58] 一個形容詞
[16:59] 反正就是大家都是
[17:00] 互相握著對方的命根子
[17:01] 大家都是綁在同一個
[17:02] AI QQ Trend上面
[17:04] 所以如果今天說
[17:05] 哪一個人突然間撐不下去
[17:07] 其實就是為大家一起爆炸
[17:08] 這也是大家很期待
[17:09] 就像AI黑會員期待的一個爆炸劇本
[17:11] 就是你們全部人都是命運共同體
[17:13] 所以如果後來
[17:14] AI沒有辦法端出revenue
[17:16] 或者是profit的話
[17:17] 那就有可能會像是
[17:18] 推倒這個股牌一樣
[17:20] 然後大家都一起爆炸
[17:21] 雖然這個劇本我們短期看
[17:22] 老實講我真的看不到
[17:23] 在供應鏈的各個結構上面
[17:25] 目前我們真的看不到
[17:26] 這樣子一個劇本
[17:26] 但它確實有可能
[17:28] 就像說它走到2027 2028
[17:29] 大多頭臺股上什麼三萬五三萬八千點之後
[17:32] 然後要來殺這個就很有機會
[17:33] 那只是現在就覺得還OK
[17:35] 因為臺股呢或者說美股的一些相關的標的
[17:38] 嚴格上來說
[17:39] 你不去講他未來夢的部分
[17:41] 你只講他現在或者說NTM
[17:45] 就是next 12 month的一個獲利的P ratio
[17:47] 其實都沒有到泡沫的一個程度
[17:49] 所以像我自己是不會去害怕這樣的東西
[17:51] 但當然有一天不排除
[17:52] 這就是一個大家可以殺的一個劇本
[17:54] 所以如果說今天AWS加入了這個臥底正線
[17:57] 我們快速的幫大家recap一下
[17:59] 那當然最直接的一個影響就是
[18:02] 我認為
[18:03] 就如果你要獲得這個融資的話
[18:04] 你一定要端出相對應的牛肉出來
[18:07] 所以對於OpenAI來講
