[00:00] 欢迎收听赵华与古惑仔第1051集
[09:02] 趁時間一直很想推進工
[09:04] 對 我覺得還是
[09:05] 比較穩健
[09:06] 還是穩健
[09:07] 你看連伊朗都想去炸
[09:12] 中東這一區的一些相關的CSP廠
[09:18] 好像亞馬遜都中招
[09:19] 所以我倒覺得說
[09:21] 確實大家對於AI的需求
[09:24] 目前看起來還是持續的
[09:27] 只是說短暫有一些雜音
[09:29] 我覺得倒是還好啦
[09:31] 所以云翔哥虽然在上个礼拜五
[09:35] 我来上这个赵华恩论书
[09:36] 有提到他已经降持股了
[09:38] 对不对
[09:38] 但事实上后来
[09:40] 他又把持股加回来
[09:42] 这人到底怎么搞
[09:44] 可不可以细细地讲一下你的想法
[09:46] 就是为什么上礼拜五
[09:47] 事实上你后来又把卖掉的股票
[09:49] 又减回来之外
[09:51] 你还是漏掉了去买put这个动作
[09:54] 你的想法是什么
[09:55] 我大概先这样讲
[09:56] 就是说
[09:56] 确实刚开始的一个动作
[09:59] 就是说在台股先打破一次
[10:02] 大概在月线左右
[10:04] 然后又收回来
[10:05] 对那一次我基本上是有降持
[10:08] 所以在降持的过程里面
[10:10] 就是确实我就觉得说
[10:12] 那既然降持了
[10:13] 这个P是不是可以买便宜一点
[10:15] 坦白讲就是因为贪便宜
[10:18] 因为觉得说
[10:19] 这个P现在来讲下不了手
[10:21] 因为P有点贵因为现在可能你要必须要这个点位拉到1000多点以上会买到这种五十到一百左右那事实上大家看到的位置点都在两百多
[10:31] 因为跟我以前要买
[10:33] 这个一百左右
[10:34] 是有点距离
[10:35] 所以晚上
[10:36] 我就会稍微等一下
[10:38] 或者是挂单等
[10:39] 等不到
[10:40] 等不到
[10:41] 其实还是可以
[10:43] 做一件事情
[10:44] 就是你至少买一半
[10:45] 对不对
[10:47] 买一半
[10:47] 通常买了就会下来
[10:49] 你就抽到另外一半
[10:50] 对
[10:50] 可是连一半都没有买的情况下
[10:53] 你就去睡觉
[10:54] 那基本上这个风险
[10:55] 可能半水的风险就来
[10:57] 对
[10:57] 那另外一点就是说
[10:59] 对于这个战争来讲
[11:01] 确实我是感受到这一次
[11:04] 当然比较不一样
[11:06] 那可能会打得会比较久一点
[11:08] 相对你看就是说
[11:09] 确实这一次的这个弹药用量
[11:12] 相当恐怖
[11:12] 就是这个飞弹的用量
[11:14] 甚至美国基本上
[11:15] 一直紧急在怎么样调配这些飞弹
[11:18] 甚至在要求洛西德马丁
[11:21] 雷神等人
[11:22] 这些要增产
[11:23] 那也好像讲说
[11:26] 要求追加大概到500亿美金的
[11:29] 国防的预算
[11:31] 那时候我当然
[11:34] 上礼拜我记得
[11:35] 有跟赵华谭提到
[11:36] 其实在油的部分
[11:37] 我认为说
[11:38] 它的避险是最好的
[11:42] 那由避险来讲
[11:43] 在美国
[11:44] 那是讲大概两家公司
[11:45] 一个是艾克森美服
[11:47] 另外一家就是雪佛兰
[11:49] 那这两家基本上
[11:50] 其实它就一路在创高
[11:52] 那不过呢
[11:53] 它是直接是避险的
[11:55] 味道很高
[11:56] 为什么
[11:56] 因为油价只要一喷
[11:58] 对它来讲是相当有利
[12:00] 因为美国是一个大的
[12:02] 一个油的一个加工出口国
[12:04] 那这两个
[12:06] 这样是一个很鲜明的例子
[12:07] 可是在台湾基本上
[12:09] 当然就比较不容易找到
[12:10] 唯一可以找到的
[12:11] 当然就是像台塑化这样子
[12:13] 对 它是做石油相关
[12:15] 炼油
[12:16] 可是它做石油相关
[12:17] 它相对要跟美国进口
[12:21] 除非它有低价库存
[12:22] 对 有低价库存
[12:23] 不然它的成本也是会很快拉起来
[12:27] 那就是说
[12:27] 不过总体来讲
[12:29] 当然台塑化基本上是比较单纯可以看到
[12:32] 可是美国有相对比较多的这种
[12:34] 石油公司
[12:35] 对 那可以做一些规避
[12:38] 那我没有选择这个石油
[12:40] 原因是因为在台湾只能买台塑化
[12:43] 我又不太想买这种大的一个标的
[12:45] 那所以我就去选择什么
[12:47] 军工
[12:48] 对
[12:48] 所以我是确实买了不少
[12:50] 军工有关
[12:51] 那军工来讲
[12:52] 很多人可能认为说
[12:53] 现在是卡到这个
[12:55] 台湾的国防预算
[12:56] 对
[12:56] 可是很多是做出口的
[12:58] 所以我是找了一些
[13:00] 做出口
[13:01] 出口什么
[13:01] 真的在战场用到的
[13:03] 比如说
[13:04] 这个以色列的铁穹
[13:05] 这个美国的
[13:07] 这个
[13:07] 洛克斯汀的马丁相关的
[13:09] 这些飞弹
[13:10] 对
[13:11] 那个
[13:12] 所谓的短程飞弹
[13:15] 长程飞弹
[13:15] 跟所谓类似这种
[13:17] 所谓的防御飞弹
[13:18] 还有无人机
[13:19] 用了这么多无人机
[13:20] 所以只要有出口的一些相关
[13:23] 所以我确实买了一些
[13:24] 就是台湾有做一些弹体
[13:26] 比如说这个融钢
[13:28] 金钢
[13:29] 全训
[13:30] 这基本上跟铁穹都有关
[13:32] 最近还是没有涨
[13:34] 不过我觉得是
[13:35] 没有涨就算了
[13:37] 有一点被错杀了
[13:38] 所以我倒觉得说
[13:39] 这些股票
[13:40] 当然我还继续
[13:41] 持续有在看
[13:42] 因为我认为
[13:44] 这个相关的战争如果拉长
[13:47] 势必大家就会看到
[13:48] 这个需求面会出来
[13:50] 好
[13:50] 这个是在整体的环境上
[13:53] 等一下也会跟云翔哥一个一个问
[13:55] 因为像今天的重灾区
[13:57] CPO
[13:57] 上个礼拜四还是礼拜三
[13:59] 这是明汉协理来
[14:00] 也有跟大家聊到
[14:01] CPO我觉得这次会回的比较深
[14:03] 真的是因为博通的电话会议
[14:06] 真的是惊人
[14:07] 不要小看
[14:08] 虽然我们知道NVIDIA会用
[14:10] 但是因为NVIDIA会用
[14:12] 大家说会用
[14:13] 这件事情已经让CPU涨到
[14:15] 已经乖离非常非常的巨大
[14:17] 而他们的获利
[14:19] 目前是跟不上的一个状况
[14:20] 普通说到2028才要用的这个情况
[14:23] 甚至2028不见得会用的这个情况
[14:25] 会让CPU的回档相当的大
[14:27] 我只能说是我个人
[14:29] 因为并不一定会回到那样
[14:30] 我觉得主要的几个个股
[14:32] 如果回到季线是有可能的
[14:34] 其实像光盛
[14:34] 因为他们还有加上一个被处置的问题
[14:36] 今天被处置的股票真的非常惨烈
[14:39] 因为大家要提款
[14:40] 对不对
[14:40] 那提不出来
[14:41] 直接就跌停锁在那边
[14:43] 动都不能动了
[14:44] 所以光是一下子
[14:46] 其实你去看一下
[14:47] 形态也快要回际线了
[14:49] 不是不可能
[14:50] 真的不是不可能
[14:51] 但是你说CPU的前景
[14:52] 我看不看好
[14:53] 我依旧是看好的
[14:54] 只是要去厘清
[14:56] 每一个你有掌握的产业
[14:58] 到底是回到哪里
[14:59] 叫可以
[15:00] 例如说记忆体好了
[15:01] 其实记忆体
[15:02] 我很早以前
[15:03] 就跟大家讲说
[15:03] 我真的掌握不到
[15:04] 对
[15:05] 那变成是上礼拜五
[15:06] 大跌的记忆体
[15:07] 今天还是有部分人
[15:08] 持续大跌
[15:09] 当然有人很厉害了
[15:10] 微缸对不对
[15:11] 盘中拉起来
[15:12] 这个有特定的
[15:13] 我知道有特定的法人在有原因的做
[15:15] 但是大部分的机体
[15:16] 今天还是很吃紧
[15:17] 那要开始做跌停
[15:18] 所以我觉得我不做也没有什么关系
[15:21] 那另外还有像低轨道卫星
[15:22] 大家都讲说
[15:23] 今年这个SpaceX的挂牌IPO
[15:26] 绝对会再上去
[15:28] 可是生达科今天再吃一根
[15:29] 因为20分钟分盘
[15:30] 华通 耀华全部都跌停版
[15:32] 我们等一下会就这些热门产业
[15:35] 请云翔哥一个一个
[15:36] 他自己心目中的判断
[15:38] 但我这边想要插播一个
[15:39] 就是我跟云翔哥
[15:40] 几乎每天都会小讲一句话
[15:42] 这次魔咒真的很猛
[15:44] 因为他在礼拜二的那一天
[15:46] 就已经提到
[15:47] 如果今天收一个长黑
[15:49] 没有下影线
[15:49] 他觉得要回月线上整理
[15:51] 然后我就跟他说
[15:52] 我就跟他说
[15:53] 其实我蛮期待这种事情
[15:54] 然后我就说
[15:55] 现在股民看起来
[15:56] 有点太勇了
[15:57] 对
[15:58] 因为大家去接的
[16:00] 那个心情太踊跃
[16:01] 跟我以前感受到的
[16:02] 比较不一样
[16:03] 然后后来呢
[16:04] 云翔哥就说
[16:05] 大场面要来了
[16:06] 我的批停利走了
[16:08] 那是礼拜二的
[16:09] 当收盘
[16:10] 然后后来就说
[16:11] 我对不起大家
[16:12] 他就自己说
[16:12] 然后我就跟他说
[16:13] 你到底为什么不买啊
[16:15] 我说夜盘可能会跌千点
[16:17] 结果后来夜盘就跌千点
[16:19] 然后我就跟他说
[16:21] 你到底为什么你有批吗
[16:23] 你没有
[16:24] 直接这样子讲
[16:26] 对
[16:26] 然后后来呢
[16:27] 就继续往下
[16:29] 我就说你看
[16:29] 1100了
[16:30] 夜盘连月线都破了
[16:32] 他说
[16:32] 你就说一个200万的避险单
[16:34] 就被我自己按走了
[16:36] 但是后面其实还有
[16:37] 后面才是云翔哥2万的状态
[16:40] 因为就是刚刚特别讲到的
[16:42] 本来呢
[16:43] 他已经打算要再买P了
[16:45] 而且已经减现股了
[16:47] 结果最后一刻
[16:48] 他是加现股
[16:49] 没有买P
[16:49] 这就是今天会大获利回吐的原因
[16:53] 好
[16:53] 检讨完毕
[16:55] 可是买避险这个事情就这样
[16:58] 越点越会觉得
[16:59] 我为什么要在这时候买
[17:00] 都跌下来了
[17:01] 那现在你今天有买吗
[17:04] 还是没有
[17:05] 不会止跌
[17:06] 都是因为你
[17:07] 因为当然啦
[17:09] 我们觉得说
[17:09] 人家所说一步错步步错
[17:11] 可是绝对不要这样想
[17:14] 一步错步步错
[17:15] 不可以一步错步步错
[17:17] 所以一步错了没有关系
[17:20] 就是说我今天还是
[17:21] 当然比如说前面
[17:23] 还是稍微有做一些减码
[17:25] 那减码以后基本上
[17:26] 当然你要看这个盘式
[17:28] 大概的一个状况
[17:29] 所以今天坦白讲
[17:32] 就是我大概
[17:33] 对总体来讲
[17:34] 我大概会抓一个状况
[17:37] 现况是我认为说
[17:39] 台股现在来讲
[17:40] 就刚好落点也落在说
[17:43] 接近季线
[17:44] 还没啦
[17:45] 还没有
[17:45] 还有一段
[17:46] 还1000点
[17:46] 1000点很快
[17:48] 什么很快
[17:49] 什么很快
[17:49] 你不要再乌鸦嘴了
[17:51] 可能一个点一下就台南去
[17:52] 我想说不见得会到季线
[17:54] 再1000点就到了
[17:55] 其实很快
[17:56] 那为什么
[17:56] 因为季线还在上扬
[17:58] 对啦
[17:58] 对所以他们会慢慢贴近
[18:00] 可是月线基本上稍微在下弯
[18:02] 月线很不幸的
[18:04] 在上个礼拜五
[18:05] 到今天呈现转折下弯了
[18:07] 对对有点下弯
[18:08] 所以也就是说
[18:09] 现在看的感觉是
[18:10] 季线是一个
[18:11] 要看了
[18:12] 季线是往上在游走
[18:13] 那现在这个位置点呢
[18:16] 其实如果
[18:17] 要我说会去捡什么
[18:19] 刚刚我点了很多热门产业
[18:21] 对
[18:21] 只有一只
[18:22] 谁
[18:23] 台积电
[18:23] 所以我今天捡
[18:25] 大概捡了一千多万
[18:26] 我小小剧透一下
[18:27] 我脸书上有说
[18:28] 有人敲了一千万的台积电
[18:30] 就是杨云祥
[18:32] 我今天大概在
[18:34] 一千七百多的时候
[18:36] 是
[18:36] 那其实会去捡
[18:37] 有一點
[18:38] 當然有一點道理
[18:39] 就是說
[18:40] 我認為台積電基本上
[18:42] 大概今年的估法
[18:44] 估值大概是
[18:46] 大概90到100
[18:47] 對 這個估值應該是
[18:49] 應該是還滿精確
[18:51] 因為在1月份
[18:52] 這種爆發到4000億的情況下
[18:54] 低劑一定不會差
[18:55] 對
[18:56] 二月就算你
[18:57] 這個比較差一點
[18:59] 回一個20%很正常
[19:01] 因為供收的天數少
[19:02] 所以我倒覺得說
[19:03] 如果今年我們就估一個低值
[19:05] 就是90
[19:06] 那我覺得本益比20倍很合理
[19:09] 就是大概1800
[19:10] 所以1800以下我認為
[19:11] 它是一個比較
[19:13] 就是說對我來講很容易接受的位置
[19:17] 那如果它估值到100
[19:18] 那就是2000
[19:19] 所以你離2000大概有一點距離
[19:22] 何況說外資可能不只估20倍的本益比
[19:25] 那明年如果說高的
[19:26] 2027年估到120
[19:29] 2028年估到150
[19:31] 如果這樣的估值的法則來講
[19:34] 就是说
[19:35] 确实现在的本益比来讲
[19:37] 我觉得20倍
[19:37] 是还蛮关键的一个点
[19:39] 所以说
[19:40] 到这个时候来讲
[19:42] 我刚好介入来减一点
[19:43] 那这个也是说
[19:45] 比较容易被护的一个位置点
[19:47] 那刚刚有提到
[19:49] 赵老师刚刚有提出
[19:50] 为什么这个CPU
[19:51] 什么东西
[19:52] 这个被处置
[19:53] 被关有风险
[19:54] 有风险
[19:55] 为什么有风险
[19:55] 你要护得很难
[19:57] 你知道吗
[19:58] 要进去护也难
[19:59] 因为你基本上
[20:00] 是被锁盘的时候
[20:01] 等于是忙下
[20:02] 那忙下
[20:03] 我还知道说
[20:03] 到底这个市场多少人
[20:05] 真的把单子丢出来
[20:07] 那我接得完接不完
[20:09] 因为不止圈钱的问题
[20:12] 因为20分钟后
[20:13] 你才知道戳到多少钱
[20:15] 对没有错
[20:15] 那还有一个问题点就是说
[20:18] 确实要担心一点是融资
[20:20] 这大盘我觉得大盘
[20:22] 比较不用担心
[20:23] 因为这些全资股
[20:24] 包含台积电 联发科
[20:26] 这些鸿海等等
[20:28] 他们没什么融资的
[20:29] 你发现说这个台积电
[20:31] 只有2万张
[20:32] 有什麼好融資的問題
[20:34] 所以就是說大盤融資會崩盤的問題
[20:37] 我覺得比較不大
[20:39] 問題在於這些小型股
[20:41] 如果它已經來了兩支跌停板
[20:43] 各股的
[20:44] 對 如果它的融資過高的情況下
[20:46] 你會發現說它確實比較
[20:48] 大家會恐慌嘛因為萬一我又來一個斷頭怎麼處理所以稍微我就會避開一些個股然後比較高融資尤其是在右上角高檔回檔的這些股票
[21:01] 確實稍微我覺得說現在來講當然稍微避開
[21:04] 可是在右下角呢
[21:06] 那基本上我覺得不一樣
[21:07] 右下角如果說
[21:08] 它本來就已經回到這個比較低的位階
[21:12] 那相對它的融資比較乾淨
[21:15] 那這時候當然
[21:16] 如果你要搶反彈
[21:17] 这时候卫士店也比较安全一点
[21:19] 好
[21:20] 因为这个刚刚我点名的
[21:22] 不管是CPU
[21:23] 记忆体
[21:24] 对不对
[21:24] 这个刚刚讲到低轨道卫星
[21:26] 不管再怎么看好前景
[21:28] 对
[21:29] 他们各自现在都有各自的问题
[21:31] 那CPU的问题我讲了
[21:33] 就是我觉得
[21:34] 因为基本面
[21:34] 毕竟跟这个股票的涨幅比起来
[21:38] 跟上的速度真的不够快
[21:39] 真的涨太多
[21:40] 我必须这么讲
[21:41] 这个多不是平常的多
[21:43] 是非常多家这个领头公司
[21:45] 都创历史新高
[21:46] 还继续创的情况
[21:48] 然后又被分盘交易
[21:49] 又被博通讲了这么一句
[21:50] 所以我才会想说
[21:51] 对我来说
[21:52] 可能要回到
[21:53] 季限的是CPU
[21:54] 那记忆体
[21:55] 现在的杂音很多
[21:56] 就是以现货市场来说
[21:58] 他们缴出来的成绩单
[22:00] 还是非常漂亮
[22:00] 可是呢
[22:01] 第一是我想有
[22:02] 非常多的做空机构
[22:03] 越来越想要做空记忆体
[22:05] 第二是也常跟大家讲到是
[22:07] DDR
[22:07] 我们毕竟是做
[22:08] DDR4跟DDR3
[22:10] 连DDR5可能都不多
[22:12] 更不要说是HBM
[22:14] 那人家现在在缺的是HBM
[22:16] 只要一旦有一个反转
[22:17] 倒霉的一定是DDR4 DDR3
[22:20] 所以这就是在现货价
[22:22] DDR4涨不动的时候
[22:23] 我个人也会比较提高警觉
[22:25] 但是有些高手
[22:26] 可能很喜欢玩隔日冲
[22:27] 我觉得那个是
[22:28] 各个高手自己去决定的
[22:31] 或者是说大家
[22:32] 买这波机体的循环
[22:34] 真的买到很低点
[22:35] 我觉得那个我也没话讲
[22:37] 只是以现在这个位阶
[22:38] 好那低轨卫星
[22:39] 真的就是看
[22:39] 我觉得个人是觉得
[22:41] 看只跌点
[22:42] 对
[22:42] 就要滑滑通
[22:43] 因为圣达克老大20分钟分盘
[22:46] 是每天跌停
[22:47] 很猛哦
[22:47] 已经跌到1100了
[22:49] 我真的
[22:49] 这个跌下来很吓人
[22:51] 对
[22:52] 但是呢
[22:54] 因为这个族群里面
[22:55] 华通跟圣达克是有赚钱的
[22:57] 加上卫星的数量是增加的嘛
[22:59] 所以我会等
[23:00] 他们如果有出现比较明确的止跌
[23:03] 或者圣达克被放出来
[23:04] 我觉得他们还是在今年
[23:06] 是一个比较亮眼的族群
[23:08] 我觉得这个是个人小浅见
[23:10] 但是连云翔哥这么厉害
[23:12] 他号称短冲战神
[23:14] 他都不想在今天
[23:15] 去捡跌停板的热门产业
[23:17] 还有一个跟台股特性有关
[23:18] 就是我们分盘交易的加速
[23:20] 真的非常多
[23:22] 每天早上
[23:23] 我们早盘的同仁
[23:24] 会整理一份清单
[23:25] 就是分盘交易的加速
[23:27] 5分钟的跟20分钟的
[23:29] 那个名单到今天早上
[23:31] 那名单已经超长了
[23:32] 超级长
[23:34] 然后今天在名单上
[23:35] 大概一半以上都是跌停板做收
[23:37] 所以这个
[23:38] 可能我们证交所
[23:40] 也要去思考一下
[23:41] 假设有系统性风险
[23:42] 这个分盘交易
[23:43] 可能会让融资断头更快
[23:45] 其实我记得
[23:47] 我之前大概有在提醒
[23:49] 就是观众朋友
[23:50] 就是我们讲说
[23:52] 这个产业虽然它是一个很强
[23:55] 比如说低谷卫星也好
[23:56] 后来衍生到这个PA
[23:58] 因为PA跟低谷
[24:00] 又有强烈的关联的时候
[24:03] 那你看说PA的三雄
[24:05] 基本上这个所谓的全新跟
[24:08] 文貌派对很凶
[24:09] 对
[24:10] 由于全新基本上
[24:11] 你看那一波飙得很凶
[24:13] 可是一样
[24:14] 在飙得凶以后
[24:16] 当然在回档的时候
[24:17] 基本上可能今天
[24:19] 直接就跌停缩时
[24:20] 因为又是分盘的问题
[24:21] 我那时候大概有提到
[24:23] 如果你是要走PA
[24:26] 它既然是一个强势的族群
[24:27] 老大老二基本上
[24:30] 已经太右上角
